hhid,Cluster,NDVILocation,Season,HerdSize,LivestockLosses,MortalityRate
1002,Lower,Marsabit Central,LRLD 2009,,7.0,
1002,Lower,Marsabit Central,LRLD 2011,15.0,9.0,0.6
1002,Lower,Marsabit Central,SRSD 2012,5.0,3.0,0.6
1003,Lower,Marsabit Central,LRLD 2009,,3.0,
1003,Lower,Marsabit Central,SRSD 2010,6.0,1.0,0.16666666666666666
1003,Lower,Marsabit Central,SRSD 2012,9.0,1.0,0.1111111111111111
1004,Lower,Marsabit Central,LRLD 2009,,14.0,
1005,Lower,Marsabit Central,LRLD 2008,,2.0,
1005,Lower,Marsabit Central,LRLD 2009,,5.0,
1005,Lower,Marsabit Central,LRLD 2011,9.0,4.0,0.4444444444444444
1005,Lower,Marsabit Central,SRSD 2009,11.0,2.0,0.18181818181818182
1005,Lower,Marsabit Central,SRSD 2011,7.0,1.0,0.14285714285714285
1005,Lower,Marsabit Central,SRSD 2012,11.0,4.0,0.36363636363636365
1005,Lower,Marsabit Central,SRSD 2014,25.0,25.0,1.0
1006,Lower,Marsabit Central,LRLD 2009,,12.0,
1006,Lower,Marsabit Central,LRLD 2011,19.0,17.0,0.8947368421052632
1007,Lower,Marsabit Central,LRLD 2009,,7.0,
1007,Lower,Marsabit Central,LRLD 2010,4.0,1.0,0.25
1007,Lower,Marsabit Central,LRLD 2011,3.0,2.0,0.6666666666666666
1007,Lower,Marsabit Central,SRSD 2011,3.0,3.0,1.0
1008,Lower,Marsabit Central,LRLD 2009,,4.0,
1008,Lower,Marsabit Central,LRLD 2011,7.0,1.0,0.14285714285714285
1008,Lower,Marsabit Central,LRLD 2013,15.0,6.0,0.4
1008,Lower,Marsabit Central,SRSD 2009,6.0,1.0,0.16666666666666666
1008,Lower,Marsabit Central,SRSD 2011,13.0,5.0,0.38461538461538464
1008,Lower,Marsabit Central,SRSD 2012,15.0,1.0,0.06666666666666667
1009,Lower,Marsabit Central,LRLD 2009,,61.0,
1009,Lower,Marsabit Central,LRLD 2011,28.0,22.0,0.7857142857142857
1009,Lower,Marsabit Central,LRLD 2012,9.0,2.0,0.2222222222222222
1009,Lower,Marsabit Central,LRLD 2013,48.0,13.0,0.2708333333333333
1009,Lower,Marsabit Central,SRSD 2011,9.0,9.0,1.0
1010,Lower,Marsabit Central,LRLD 2009,,24.0,
1012,Lower,Marsabit Central,LRLD 2009,,11.0,
1013,Lower,Marsabit Central,LRLD 2009,,22.0,
1013,Lower,Marsabit Central,LRLD 2011,9.0,3.0,0.3333333333333333
1013,Lower,Marsabit Central,LRLD 2013,7.0,7.0,1.0
1013,Lower,Marsabit Central,LRLD 2015,1.0,1.0,1.0
1014,Lower,Marsabit Central,LRLD 2009,,3.0,
1014,Lower,Marsabit Central,SRSD 2012,2.0,2.0,1.0
1014,Lower,Marsabit Central,SRSD 2014,3.0,3.0,1.0
1015,Lower,Marsabit Central,LRLD 2009,,25.0,
1016,Lower,Marsabit Central,LRLD 2009,,2.0,
1017,Lower,Marsabit Central,LRLD 2009,,2.0,
1018,Lower,Marsabit Central,LRLD 2009,,6.0,
1018,Lower,Marsabit Central,SRSD 2009,22.0,3.0,0.13636363636363635
1018,Lower,Marsabit Central,SRSD 2011,5.0,5.0,1.0
1019,Lower,Marsabit Central,LRLD 2009,,2.0,
1019,Lower,Marsabit Central,SRSD 2012,6.0,1.0,0.16666666666666666
1020,Lower,Marsabit Central,LRLD 2009,,2.0,
1020,Lower,Marsabit Central,LRLD 2010,39.0,1.0,0.02564102564102564
1020,Lower,Marsabit Central,LRLD 2011,39.0,2.0,0.05128205128205128
1020,Lower,Marsabit Central,SRSD 2008,,6.0,
1021,Lower,Marsabit Central,LRLD 2009,,9.0,
1021,Lower,Marsabit Central,LRLD 2011,5.0,5.0,1.0
1021,Lower,Marsabit Central,LRLD 2015,2.0,2.0,1.0
1021,Lower,Marsabit Central,SRSD 2009,10.0,5.0,0.5
1021,Lower,Marsabit Central,SRSD 2012,3.0,1.0,0.3333333333333333
1021,Lower,Marsabit Central,SRSD 2014,1.0,1.0,1.0
1022,Lower,Marsabit Central,LRLD 2009,,2.0,
1022,Lower,Marsabit Central,SRSD 2011,3.0,3.0,1.0
1022,Lower,Marsabit Central,SRSD 2012,14.0,2.0,0.14285714285714285
1023,Lower,Marsabit Central,LRLD 2009,,21.0,
1023,Lower,Marsabit Central,LRLD 2011,11.0,11.0,1.0
1023,Lower,Marsabit Central,SRSD 2012,3.0,1.0,0.3333333333333333
1024,Lower,Marsabit Central,LRLD 2009,,32.0,
1024,Lower,Marsabit Central,LRLD 2010,14.0,6.0,0.42857142857142855
1024,Lower,Marsabit Central,LRLD 2011,8.0,3.0,0.375
1024,Lower,Marsabit Central,LRLD 2013,21.0,9.0,0.42857142857142855
1024,Lower,Marsabit Central,SRSD 2011,10.0,1.0,0.1
1025,Lower,Marsabit Central,LRLD 2009,,82.0,
1025,Lower,Marsabit Central,LRLD 2011,15.0,3.0,0.2
1025,Lower,Marsabit Central,LRLD 2013,15.0,2.0,0.13333333333333333
1025,Lower,Marsabit Central,LRLD 2015,3.0,3.0,1.0
1025,Lower,Marsabit Central,SRSD 2011,10.0,2.0,0.2
1025,Lower,Marsabit Central,SRSD 2014,1.0,1.0,1.0
1026,Lower,Marsabit Central,LRLD 2009,,3.0,
1026,Lower,Marsabit Central,LRLD 2013,14.0,1.0,0.07142857142857142
1026,Lower,Marsabit Central,SRSD 2009,14.0,5.0,0.35714285714285715
1027,Lower,Marsabit Central,LRLD 2009,,3.0,
1027,Lower,Marsabit Central,LRLD 2011,7.0,1.0,0.14285714285714285
