NDVILocation,Season,Full Season,Preseason,PosZNDVI,NegZNDVI,PreNDVI,PostNDVI,Cluster,Location,Losses,HerdSize,MortalityRate,TotalInsured,SRSD,Good Regime
Kargi/South Horr,LRLD 2010,SRSD Full 2010,SRSD Pre 2010,890238.9462752523,228542.35218793043,661696.5940873218,661696.5940873218,Lower,KARGI,18.044460257221168,188.3448275862069,0.09580544625767373,14558.0,False,True
Kargi/South Horr,LRLD 2010,SRSD Full 2010,SRSD Pre 2010,890238.9462752523,228542.35218793043,661696.5940873218,661696.5940873218,Lower,SOUTH HORR,31.02258852258852,66.0,0.47003922003922,1155.0,False,True
Kargi/South Horr,LRLD 2011,SRSD Full 2011,SRSD Pre 2011,101297.59330659284,987333.654900328,-886036.0615937354,-886036.0615937354,Lower,KARGI,68.93204733003495,232.0909090909091,0.29700451258534444,15041.0,False,False
Kargi/South Horr,LRLD 2011,SRSD Full 2011,SRSD Pre 2011,101297.59330659284,987333.654900328,-886036.0615937354,-886036.0615937354,Lower,SOUTH HORR,23.71111111111111,65.5,0.36200169635284135,638.0,False,False
Kargi/South Horr,LRLD 2012,SRSD Full 2012,SRSD Pre 2012,783333.4231387017,177871.30608126076,605462.1170574409,605462.1170574409,Lower,KARGI,35.151286912316166,106.36,0.3304934835682227,9217.0,False,True
Kargi/South Horr,LRLD 2012,SRSD Full 2012,SRSD Pre 2012,783333.4231387017,177871.30608126076,605462.1170574409,605462.1170574409,Lower,SOUTH HORR,13.466666666666667,46.0,0.2927536231884058,459.0,False,True
Kargi/South Horr,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,569670.7579381925,280513.1819898195,289157.5759483729,289157.5759483729,Lower,KARGI,29.04798623745005,78.42105263157895,0.3704105627594302,7045.0,False,True
Kargi/South Horr,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,569670.7579381925,280513.1819898195,289157.5759483729,289157.5759483729,Lower,SOUTH HORR,15.3006993006993,43.6,0.3509334701995252,664.0,False,True
Kargi/South Horr,LRLD 2015,SRSD Full 2015,SRSD Pre 2015,207881.45834673548,686960.3863910118,-479078.92804427625,-479078.92804427625,Lower,KARGI,22.00389038764615,22.00389038764615,1.0,0.0,False,False
Kargi/South Horr,LRLD 2015,SRSD Full 2015,SRSD Pre 2015,207881.45834673548,686960.3863910118,-479078.92804427625,-479078.92804427625,Lower,SOUTH HORR,20.85,20.85,1.0,0.0,False,False
Korr/Ngurunit,LRLD 2010,SRSD Full 2010,SRSD Pre 2010,687536.9125900704,146169.4666756897,541367.4459143807,541367.4459143807,Lower,NGURUNIT,41.72297410192147,69.5,0.6003305626175751,2115.0,False,True
Korr/Ngurunit,LRLD 2011,SRSD Full 2011,SRSD Pre 2011,58277.86878209033,752992.9152022217,-694715.0464201315,-694715.0464201315,Lower,NGURUNIT,44.17026862026862,66.8,0.661231566171686,2940.0,False,False
Korr/Ngurunit,LRLD 2012,SRSD Full 2012,SRSD Pre 2012,483933.43993028125,182453.2806621676,301480.1592681137,301480.1592681137,Lower,NGURUNIT,13.592832167832167,32.6,0.4169580419580419,1083.0,False,True
Korr/Ngurunit,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,282358.9879141288,366999.1276596873,-84640.13974555847,-84640.13974555847,Lower,NGURUNIT,20.73117878290292,62.45454545454545,0.331940271633089,3274.0,False,False
Korr/Ngurunit,LRLD 2015,SRSD Full 2015,SRSD Pre 2015,139225.06356098765,425221.2517425728,-285996.1881815851,-285996.1881815851,Lower,NGURUNIT,25.342244846656612,25.342244846656612,1.0,0.0,False,False
Laisamis,LRLD 2010,SRSD Full 2010,SRSD Pre 2010,221384.8331080846,541966.9561413832,-320582.1230332985,-320582.1230332985,Lower,LONTOLIO,17.403418803418802,20.5,0.8489472587033562,442.0,False,False
Laisamis,LRLD 2011,SRSD Full 2011,SRSD Pre 2011,37091.88546288221,1026971.3249747908,-989879.4395119085,-989879.4395119085,Lower,LONTOLIO,30.92857142857143,54.75,0.5649054142204828,1121.0,False,False
Laisamis,LRLD 2012,SRSD Full 2012,SRSD Pre 2012,285924.0097863423,336222.0227887836,-50298.01300244127,-50298.01300244127,Lower,LONTOLIO,14.333333333333334,91.0,0.1575091575091575,286.0,False,False
Laisamis,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,333903.3614294369,385438.5394751864,-51535.17804574952,-51535.17804574952,Lower,LONTOLIO,22.40793650793651,52.142857142857146,0.4297412480974125,872.0,False,False
Laisamis,LRLD 2015,SRSD Full 2015,SRSD Pre 2015,441642.8479806057,263605.3335718073,178037.5144087984,178037.5144087984,Lower,LONTOLIO,24.447008547008547,24.447008547008547,1.0,0.0,False,True
