Location,Season,Full Season,Preseason,PosZNDVI,NegZNDVI,PreNDVI,PostNDVI
Butiye,LRLD 2008,SRSD Full 2008,SRSD Pre 2008,183270.13672914685,183156.3945639575,113.74216518935287,113.74216518935287
Butiye,LRLD 2009,SRSD Full 2009,SRSD Pre 2009,56380.89712856774,239701.07646579226,-183320.17933722452,-183320.17933722452
Butiye,LRLD 2010,SRSD Full 2010,SRSD Pre 2010,211316.4312787581,225486.16809832954,-14169.73681957143,-14169.73681957143
Butiye,LRLD 2011,SRSD Full 2011,SRSD Pre 2011,9661.602673172045,411952.4210161389,-402290.81834296684,-402290.81834296684
Butiye,LRLD 2012,SRSD Full 2012,SRSD Pre 2012,115324.06032551877,137674.43783393662,-22350.377508417834,-22350.377508417834
Butiye,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,612460.6504040362,80282.1136334969,532178.5367705392,532178.5367705392
Butiye,LRLD 2014,SRSD Full 2014,SRSD Pre 2014,157878.92634473505,142954.29451277535,14924.631831959703,14924.631831959703
Butiye,LRLD 2015,SRSD Full 2015,SRSD Pre 2015,59017.87253582054,285567.41537596314,-226549.5428401426,-226549.5428401426
Butiye,SRSD 2008,LRLD Full 2009,LRLD Pre 2009,98271.27157713482,76169.85018040845,22101.421396726364,22101.421396726364
Butiye,SRSD 2009,LRLD Full 2010,LRLD Pre 2010,68710.42023770709,119937.88555685664,-51227.465319149545,-51227.465319149545
Butiye,SRSD 2010,LRLD Full 2011,LRLD Pre 2011,2725.4929231035803,301133.439122513,-298407.94619940943,-298407.94619940943
Butiye,SRSD 2011,LRLD Full 2012,LRLD Pre 2012,308228.4109560932,37492.75400362697,270735.6569524663,270735.6569524663
Butiye,SRSD 2012,LRLD Full 2013,LRLD Pre 2013,98537.15943293044,83411.5643479889,15125.595084941537,15125.595084941537
Butiye,SRSD 2013,LRLD Full 2014,LRLD Pre 2014,83918.57452696776,77839.71290941926,6078.861617548495,6078.861617548495
Butiye,SRSD 2014,LRLD Full 2015,LRLD Pre 2015,13108.526288112429,229911.44060905636,-216802.91432094394,-216802.91432094394
Butiye,SRSD 2015,LRLD Full 2016,LRLD Pre 2016,77150.22089534337,35090.51567311576,42059.70522222761,42059.70522222761
Dukana,LRLD 2008,SRSD Full 2008,SRSD Pre 2008,248526.88328469513,498283.99240610923,-249757.10912141408,-249757.10912141408
Dukana,LRLD 2009,SRSD Full 2009,SRSD Pre 2009,72798.75457847759,777612.1930823219,-704813.4385038443,-704813.4385038443
Dukana,LRLD 2010,SRSD Full 2010,SRSD Pre 2010,1465921.2647600763,80136.0679105398,1385785.1968495364,1385785.1968495364
Dukana,LRLD 2011,SRSD Full 2011,SRSD Pre 2011,76427.90465562961,966577.1437703009,-890149.2391146712,-890149.2391146712
Dukana,LRLD 2012,SRSD Full 2012,SRSD Pre 2012,305714.88875489094,382391.5833401688,-76676.69458527789,-76676.69458527789
Dukana,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,541253.2532491062,218130.9190775698,323122.3341715365,323122.3341715365
Dukana,LRLD 2014,SRSD Full 2014,SRSD Pre 2014,705680.8369100147,319780.68602656043,385900.1508834543,385900.1508834543
Dukana,LRLD 2015,SRSD Full 2015,SRSD Pre 2015,137755.35432517412,608064.4517198231,-470309.09739464894,-470309.09739464894
Dukana,SRSD 2008,LRLD Full 2009,LRLD Pre 2009,476541.4485505794,259650.9223905809,216890.52615999847,216890.52615999847
Dukana,SRSD 2009,LRLD Full 2010,LRLD Pre 2010,500812.50385732506,217407.22721176324,283405.27664556185,283405.27664556185
Dukana,SRSD 2010,LRLD Full 2011,LRLD Pre 2011,53617.380138964014,650722.9285961973,-597105.5484572332,-597105.5484572332
Dukana,SRSD 2011,LRLD Full 2012,LRLD Pre 2012,995452.2313863289,61314.10560679635,934138.1257795326,934138.1257795326
Dukana,SRSD 2012,LRLD Full 2013,LRLD Pre 2013,152860.22891237642,329769.90505017387,-176909.67613779742,-176909.67613779742
Dukana,SRSD 2013,LRLD Full 2014,LRLD Pre 2014,258104.69291516635,211209.5791683156,46895.113746850744,46895.113746850744
Dukana,SRSD 2014,LRLD Full 2015,LRLD Pre 2015,200456.43074043142,370906.65141298366,-170450.22067255227,-170450.22067255227
Dukana,SRSD 2015,LRLD Full 2016,LRLD Pre 2016,213628.52528684263,90013.27819444302,123615.24709239962,123615.24709239962
Golbo,LRLD 2008,SRSD Full 2008,SRSD Pre 2008,130362.54447497235,140018.3014538111,-9655.756978838745,-9655.756978838745
Golbo,LRLD 2009,SRSD Full 2009,SRSD Pre 2009,54079.24389658782,137695.61288627566,-83616.36898968785,-83616.36898968785
Golbo,LRLD 2010,SRSD Full 2010,SRSD Pre 2010,154531.4535549236,112632.31254297766,41899.14101194591,41899.14101194591
Golbo,LRLD 2011,SRSD Full 2011,SRSD Pre 2011,13735.486362683278,235536.77161638957,-221801.2852537063,-221801.2852537063
Golbo,LRLD 2012,SRSD Full 2012,SRSD Pre 2012,70017.02093385508,114180.21695067835,-44163.196016823276,-44163.196016823276
Golbo,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,364117.6794541022,79293.00735863466,284824.6720954675,284824.6720954675
Golbo,LRLD 2014,SRSD Full 2014,SRSD Pre 2014,125795.72592339889,91025.86451374399,34769.86140965489,34769.86140965489
Golbo,LRLD 2015,SRSD Full 2015,SRSD Pre 2015,53227.451627758564,202659.31917940706,-149431.8675516485,-149431.8675516485
Golbo,SRSD 2008,LRLD Full 2009,LRLD Pre 2009,61937.22590345288,70317.22067275873,-8379.994769305848,-8379.994769305848
Golbo,SRSD 2009,LRLD Full 2010,LRLD Pre 2010,24741.456350630386,94218.09631668846,-69476.63996605808,-69476.63996605808
Golbo,SRSD 2010,LRLD Full 2011,LRLD Pre 2011,2765.263865563747,186664.0488018325,-183898.78493626878,-183898.78493626878
Golbo,SRSD 2011,LRLD Full 2012,LRLD Pre 2012,211558.60152759054,14283.481465453358,197275.1200621372,197275.1200621372
Golbo,SRSD 2012,LRLD Full 2013,LRLD Pre 2013,78891.52061004417,57384.76278401302,21506.75782603115,21506.75782603115
Golbo,SRSD 2013,LRLD Full 2014,LRLD Pre 2014,38476.19919042348,70327.20917863019,-31851.009988206704,-31851.009988206704
Golbo,SRSD 2014,LRLD Full 2015,LRLD Pre 2015,6240.586063940907,162400.6185961289,-156160.032532188,-156160.032532188
Golbo,SRSD 2015,LRLD Full 2016,LRLD Pre 2016,25997.303563564183,39639.918987175195,-13642.615423611016,-13642.615423611016
Heillu/Manyatta,LRLD 2008,SRSD Full 2008,SRSD Pre 2008,6320.867030947563,3688.9701649318463,2631.8968660157166,2631.8968660157166
Heillu/Manyatta,LRLD 2009,SRSD Full 2009,SRSD Pre 2009,1657.93183609371,5570.272108969574,-3912.340272875864,-3912.340272875864
Heillu/Manyatta,LRLD 2010,SRSD Full 2010,SRSD Pre 2010,4743.752857397353,3099.658204696064,1644.0946527012889,1644.0946527012889
Heillu/Manyatta,LRLD 2011,SRSD Full 2011,SRSD Pre 2011,227.27566893625004,11096.97098801831,-10869.69531908206,-10869.69531908206
Heillu/Manyatta,LRLD 2012,SRSD Full 2012,SRSD Pre 2012,4410.469071610866,3466.859696348088,943.6093752627775,943.6093752627775
Heillu/Manyatta,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,12735.617614528423,2772.6146710881208,9963.002943440302,9963.002943440302
