Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
17031,-87.8168,41.8401,616,1925-01,0.92,15.5,32,14,0.64,2.77
17031,-87.8168,41.8401,616,1925-02,1.61,23.8,40.3,22.5,0.83,4.01
17031,-87.8168,41.8401,616,1925-03,2.43,29.9,50.9,27,1.14,7.28
17031,-87.8168,41.8401,616,1925-04,3.06,42.9,65.7,37.7,2.14,13.95
17031,-87.8168,41.8401,616,1925-05,1.5,43.7,69.1,38.3,2.24,15.75
17031,-87.8168,41.8401,616,1925-06,3.84,60.9,84.3,56.4,3.29,23.75
17031,-87.8168,41.8401,616,1925-07,3.36,63.8,85,59.1,3.39,23.56
17031,-87.8168,41.8401,616,1925-08,2.24,63.4,85,58.5,3.54,24.09
17031,-87.8168,41.8401,616,1925-09,4.27,62.5,79.9,59,2.92,17.77
17031,-87.8168,41.8401,616,1925-10,3.48,37.7,51.6,35.9,1.16,5.57
17031,-87.8168,41.8401,616,1925-11,2.56,30,46.3,27.5,1.01,5.16
17031,-87.8168,41.8401,616,1925-12,1.28,17.2,31.5,16.4,0.65,2.42
17031,-87.8168,41.8401,616,1926-01,1.59,18.3,34.4,17.1,0.68,3.03
17031,-87.8168,41.8401,616,1926-02,2.67,25.5,36.6,23.8,0.9,2.69
17031,-87.8168,41.8401,616,1926-03,3,22.9,39.2,21.6,0.81,3.78
17031,-87.8168,41.8401,616,1926-04,2.21,33.2,52.9,28.9,1.49,7.79
17031,-87.8168,41.8401,616,1926-05,3.03,47.9,73.2,43.7,2.27,17.85
17031,-87.8168,41.8401,616,1926-06,5.22,54.2,75.8,51,2.19,17.38
17031,-87.8168,41.8401,616,1926-07,4.22,63.3,83.7,59.2,3.2,21.84
17031,-87.8168,41.8401,616,1926-08,2.55,65.1,82.9,61.5,3.34,19.9
17031,-87.8168,41.8401,616,1926-09,6.45,57.9,72.7,56.6,1.72,11.45
17031,-87.8168,41.8401,616,1926-10,2.16,44.4,60.4,41.9,1.51,8.52
17031,-87.8168,41.8401,616,1926-11,4.03,29.2,44.1,27.3,0.96,4.34
17031,-87.8168,41.8401,616,1926-12,1.27,19.7,33.1,18.5,0.72,2.53
17031,-87.8168,41.8401,616,1927-01,1.56,17.4,31.3,15.7,0.67,2.44
17031,-87.8168,41.8401,616,1927-02,1.33,27.6,41.9,25.2,1.05,4.08
17031,-87.8168,41.8401,616,1927-03,2.59,34,50,30.3,1.37,6.17
17031,-87.8168,41.8401,616,1927-04,6.18,40.5,57.6,37.4,1.52,8.17
17031,-87.8168,41.8401,616,1927-05,4.94,48.3,67.2,45.2,1.96,11.9
17031,-87.8168,41.8401,616,1927-06,2.91,55.5,76.2,51.3,2.54,17.39
17031,-87.8168,41.8401,616,1927-07,3.15,62.8,84,58.3,3.26,23.11
17031,-87.8168,41.8401,616,1927-08,2.32,57.8,78.3,55.2,2.14,18.18
17031,-87.8168,41.8401,616,1927-09,5.84,59.8,80,56.5,2.6,19.18
17031,-87.8168,41.8401,616,1927-10,3.19,48,68.2,44.4,2,13.21
