Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
17031,-87.8168,41.8401,616,2014-01,3.05,7.2,24.8,6.7,0.41,1.8
17031,-87.8168,41.8401,616,2014-02,2.48,10.4,26.1,6.7,0.52,2.39
17031,-87.8168,41.8401,616,2014-03,1.12,21.3,39.2,18.8,0.72,4.31
17031,-87.8168,41.8401,616,2014-04,2.75,39.4,59.7,32.4,1.92,11.31
17031,-87.8168,41.8401,616,2014-05,3.9,51.9,70.5,45.5,2.42,16.03
17031,-87.8168,41.8401,616,2014-06,6.48,61.7,81.2,57.1,2.79,19.29
17031,-87.8168,41.8401,616,2014-07,6.14,62.4,80.2,56,3.42,19.8
17031,-87.8168,41.8401,616,2014-08,11.24,66,82.3,60.9,3.2,18.51
17031,-87.8168,41.8401,616,2014-09,2.8,55.9,75.3,52.2,2.25,16.32
17031,-87.8168,41.8401,616,2014-10,5.1,45.6,62,41.4,1.7,9.53
17031,-87.8168,41.8401,616,2014-11,1.46,27.5,42.8,23,1.08,4.8
17031,-87.8168,41.8401,616,2014-12,0.79,28.7,39.6,25.5,0.82,2.78
17031,-87.8168,41.8401,616,2015-01,1.45,16.9,29.6,14.2,0.62,2.25
17031,-87.8168,41.8401,616,2015-02,1.83,8.5,25.2,6.6,0.56,2.09
17031,-87.8168,41.8401,616,2015-03,1.07,27.1,45.3,22,0.98,6.76
17031,-87.8168,41.8401,616,2015-04,3.29,41.2,62.5,32.9,1.85,12.68
17031,-87.8168,41.8401,616,2015-05,4.32,52.8,71.9,48.2,1.88,14.74
17031,-87.8168,41.8401,616,2015-06,7.67,59.1,77.3,57.1,1.7,14.67
17031,-87.8168,41.8401,616,2015-07,2.68,64.8,83.2,58.6,3.69,21.73
17031,-87.8168,41.8401,616,2015-08,6.28,64.3,82.4,57.6,3.65,21.63
17031,-87.8168,41.8401,616,2015-09,4.31,62.2,79.6,56.6,3.22,18.44
17031,-87.8168,41.8401,616,2015-10,1.28,47.5,64,40.5,2.67,11.39
17031,-87.8168,41.8401,616,2015-11,5.19,37.6,54.1,33.9,1.35,7.8
17031,-87.8168,41.8401,616,2015-12,5.88,35,46.3,32.2,0.85,3.82
17031,-87.8168,41.8401,616,2016-01,0.81,18.7,32.1,15.7,0.87,2.47
17031,-87.8168,41.8401,616,2016-02,1.27,24.7,38,20,1,3.98
17031,-87.8168,41.8401,616,2016-03,3.45,36,52.4,32.2,1.23,6.9
17031,-87.8168,41.8401,616,2016-04,2.17,39.5,59.1,33.8,1.91,11.07
17031,-87.8168,41.8401,616,2016-05,8.25,51.2,69.4,44,2.89,15.42
17031,-87.8168,41.8401,616,2016-06,3.11,63.5,82.9,55.7,4.32,23.26
17031,-87.8168,41.8401,616,2016-07,6.32,68.1,85.5,62,3.65,21.83
17031,-87.8168,41.8401,616,2016-08,6.14,69.5,85.5,63.5,3.48,21.58
17031,-87.8168,41.8401,616,2016-09,1.6,63.1,79.5,57,3.17,18.13
17031,-87.8168,41.8401,616,2016-10,4.22,50.6,66.5,47.4,1.8,10.04
