201701_Evap_tavg,201702_Evap_tavg,201703_Evap_tavg,201704_Evap_tavg,201705_Evap_tavg,201706_Evap_tavg,201707_Evap_tavg,201708_Evap_tavg,201709_Evap_tavg,201710_Evap_tavg,201711_Evap_tavg,201712_Evap_tavg,201801_Evap_tavg,201802_Evap_tavg,201803_Evap_tavg,201804_Evap_tavg,201805_Evap_tavg,201806_Evap_tavg,201807_Evap_tavg,201808_Evap_tavg,201809_Evap_tavg,201810_Evap_tavg,201811_Evap_tavg,201812_Evap_tavg,ADM3_PCODE
2.414385109350941e-05,1.4107068430432569e-05,9.37807012572074e-06,1.6739782506243365e-05,3.572295319808464e-05,5.205942043165743e-05,4.855465774444375e-05,4.880397857208658e-05,4.6326188090006816e-05,5.0282737793097305e-05,4.5217276221173576e-05,3.9176313345921264e-05,2.450347251370408e-05,1.4214292059006689e-05,9.84049476288675e-06,1.8249390832781653e-05,3.505742620147464e-05,5.003919299594465e-05,4.128433571517649e-05,3.055433763268555e-05,3.69024510446042e-05,3.892398060790662e-05,4.681240028714975e-05,3.176127464036051e-05,TH630105
2.222997164243402e-05,1.266948047907872e-05,8.561504658125798e-06,1.7186241273197484e-05,3.534454572385097e-05,5.048869173838752e-05,4.651795157823604e-05,4.719571041116328e-05,4.610844113965292e-05,5.152911888444539e-05,4.639568882824135e-05,3.973845093661373e-05,2.301310936164165e-05,1.3399897787188174e-05,9.739395801092452e-06,1.924283381091725e-05,3.618023481908377e-05,5.089330651773652e-05,4.005824848989208e-05,2.9923391114774524e-05,3.745016040882283e-05,3.961387770637205e-05,4.6634521917856285e-05,2.9652078064269167e-05,TH630106
2.0502760090022648e-05,1.137036865013995e-05,8.637562057168367e-06,1.905081839581329e-05,3.704688128880624e-05,4.9491264426146734e-05,4.6475277811722274e-05,4.874771374781711e-05,4.714044727425898e-05,4.898185299006772e-05,4.221337431552035e-05,3.45234672820597e-05,1.92087239458799e-05,1.154483521876989e-05,7.10888729729651e-06,2.076897643933562e-05,3.962655281235212e-05,5.134145389834869e-05,4.18526111675801e-05,3.4894145336829975e-05,4.16052937073712e-05,3.978868385780677e-05,4.333437562336592e-05,2.720763566893121e-05,TH630107
2.1736438195725087e-05,1.259794519917379e-05,9.22540473927495e-06,1.7899864044725514e-05,3.583930431676237e-05,5.1102039825096576e-05,4.761674991605206e-05,4.875612142864586e-05,4.737638548832154e-05,5.2184850212295925e-05,4.707210356800543e-05,3.989409509404039e-05,2.250303961789732e-05,1.3314378135261543e-05,9.98785010877514e-06,1.9326874403164496e-05,3.7162158081348895e-05,5.175023738059059e-05,4.181307597763979e-05,3.232044480295808e-05,3.861382287047895e-05,4.099622568527805e-05,4.711975111192289e-05,2.9758777874896138e-05,TH630108
2.268666600439418e-05,1.4370131718650331e-05,1.1565966761480398e-05,1.996120880199444e-05,3.5770848822047337e-05,4.948797414609461e-05,5.053426903741792e-05,5.177076731548903e-05,4.916830944077624e-05,5.228632664268624e-05,4.718302024007294e-05,4.077578205588477e-05,2.320405295957995e-05,1.447229270176461e-05,1.1526204787435873e-05,2.122436020828997e-05,3.709155981557868e-05,5.033522475861848e-05,4.334328183243471e-05,3.641485944215093e-05,4.131787998734927e-05,4.288262772564836e-05,4.837501491786185e-05,3.168280080806716e-05,TH630109
2.6967657961364555e-05,2.304318967735129e-05,1.9298578861629105e-05,2.6039220159727067e-05,3.5101211208143404e-05,4.612013778836364e-05,4.58093992461188e-05,4.615310573960056e-05,4.33691224986236e-05,4.4151329474465375e-05,3.9075423539724994e-05,3.576701979219345e-05,2.8141832565001357e-05,2.3065660841119887e-05,2.2172856726428905e-05,2.4024087051536897e-05,3.621989270766675e-05,4.719816665265429e-05,4.180146195561858e-05,3.658708941785669e-05,3.871238284439499e-05,3.764604637502967e-05,4.25139028848111e-05,3.394660745649792e-05,TH630111
2.4621121578759332e-05,1.4382551883864724e-05,1.055760577052568e-05,1.6521119113524023e-05,3.566210295222859e-05,5.12417298134788e-05,4.917533037401464e-05,4.9774370402052456e-05,4.649491490734274e-05,5.011246981171103e-05,4.54595931508292e-05,3.972977532291804e-05,2.487097125364563e-05,1.4410262022337712e-05,1.1262644629654272e-05,1.7326375029826655e-05,3.441842326875741e-05,4.888854136272116e-05,4.211600392203607e-05,3.228911334659821e-05,3.5839245601163254e-05,3.963286344972072e-05,4.71074524736403e-05,3.2552558101469745e-05,TH630112
2.4636825467598216e-05,1.682940799835487e-05,1.4690302328375523e-05,2.1786817009336813e-05,3.612176753116207e-05,4.9207568104560416e-05,4.9184466226201656e-05,4.9259708717526096e-05,4.6366986178391305e-05,4.883359278782371e-05,4.391695002445117e-05,3.912685733410844e-05,2.581832162755945e-05,1.7000174989530726e-05,1.529814249411514e-05,2.252399811919735e-05,3.655599246249146e-05,4.959499045780266e-05,4.266179111805128e-05,3.595648436467628e-05,3.868880470350698e-05,4.01115810375274e-05,4.6097314386257576e-05,3.3116246954252484e-05,TH630113
2.0239798659839926e-05,1.3335086376233907e-05,1.209032172710461e-05,1.91510761486682e-05,3.881202562260036e-05,5.341890197820432e-05,5.102035618739666e-05,5.3788385217116486e-05,5.0484412780811735e-05,5.3198004910207096e-05,4.700608026432296e-05,3.787487667604229e-05,2.014306359584433e-05,1.3130928855516756e-05,9.502455502080627e-06,2.084316097423234e-05,4.0194443086576166e-05,5.474059024690508e-05,4.663415966319728e-05,3.99912520032124e-05,4.474610618560722e-05,4.351667075631397e-05,4.683908793345683e-05,2.743211506507984e-05,TH630114
2.1005880562358828e-05,1.2710215501607792e-05,1.020865511585356e-05,1.8315687970862563e-05,3.608156940828056e-05,5.055085041089847e-05,4.907494074843104e-05,5.078045248074559e-05,4.8969114391901325e-05,5.2447667485583374e-05,4.71297443901424e-05,3.991698291906881e-05,2.19923333803992e-05,1.3198312840066416e-05,1.101145304400722e-05,1.931013900002917e-05,3.850521841928959e-05,5.21098733546141e-05,4.281916246602028e-05,3.5612716674081284e-05,4.144568242832187e-05,4.219512319520851e-05,4.762617001143042e-05,3.0511762315793935e-05,TH630115
2.1525013626182358e-05,9.562734309693816e-06,6.773779231254987e-06,1.728409735433864e-05,3.5314472817180964e-05,4.58952626992175e-05,4.300542398082948e-05,4.425027108913409e-05,4.278778117517976e-05,4.4642702782308216e-05,3.717503215380449e-05,3.2119443378843834e-05,1.8975692538382385e-05,1.0228984122734513e-05,6.519723495643056e-06,1.8944785640321662e-05,3.636724734865397e-05,4.595118462534156e-05,3.441229607266948e-05,2.8053748835286887e-05,3.621881740109097e-05,3.5520653175754964e-05,4.0469024620268194e-05,2.8232159295933317e-05,TH630201
2.010035819444656e-05,8.582895520789268e-06,6.420801452170445e-06,1.8616049789711707e-05,3.510639270343163e-05,4.368777867789223e-05,4.136000002125859e-05,4.2682937781658055e-05,4.126987751391341e-05,4.199396032442062e-05,3.3855989379713824e-05,2.926588585846413e-05,1.6578286796237508e-05,8.962842014740386e-06,6.214680668787492e-06,1.9705196881518665e-05,3.7145934705053385e-05,4.532162109999637e-05,3.4979524201318405e-05,2.9273521417430455e-05,3.564971313122972e-05,3.400312385784214e-05,3.793538179632113e-05,2.7300232495980102e-05,TH630202
2.110980080226067e-05,1.1907167267655255e-05,9.27363783479834e-06,1.9471466721501748e-05,3.6160836308324106e-05,4.518516953954747e-05,4.42292301226106e-05,4.538837944712898e-05,4.412339491943569e-05,4.410748395084356e-05,3.6672832993570914e-05,3.0841300640323304e-05,1.9467538688503613e-05,1.1742717937087474e-05,7.252666996479066e-06,2.3037426217723963e-05,4.058328849770096e-05,4.543779651304653e-05,3.627525494639337e-05,3.2200538871362466e-05,3.9764392467048925e-05,3.717008020236796e-05,4.042963485603132e-05,2.8985052589692795e-05,TH630203
2.3646630250640607e-05,1.2782591888558636e-05,8.286873548978638e-06,1.6018582775525613e-05,3.562049426442841e-05,5.13136730305772e-05,4.737904781803951e-05,4.799179313310423e-05,4.626664915765671e-05,5.0813890956208336e-05,4.544954717636392e-05,3.915981939354504e-05,2.3971953118460768e-05,1.3569261447979977e-05,8.833753082335704e-06,1.816946774337506e-05,3.51183565670338e-05,4.9708658133508926e-05,3.83393675430244e-05,2.8495232172711223e-05,3.748797367911926e-05,3.886053218607091e-05,4.637675591291458e-05,3.021713970534169e-05,TH630204
