Zone,Tambon,Year,WeightedLoss,WeightSum,min_plant_date,max_plant_date,Loss
C1,10-10-1,2017,0.0,28000.0,2017-05-01,2017-05-16,0.0
C1,10-10-1,2018,0.0,18000.0,2018-05-14,2018-06-14,0.0
C1,10-10-1,2019,0.0,42400.0,2019-05-07,2019-10-23,0.0
C1,10-10-1,2020,0.0,29200.0,2020-05-20,2020-06-20,0.0
C1,10-10-1,2022,0.0,12000.0,2022-10-05,2022-10-05,0.0
C1,10-10-2,2015,0.0,202400.0,2015-05-13,2015-09-22,0.0
C1,10-10-2,2016,0.0,266800.0,2016-05-05,2016-10-27,0.0
C1,10-10-2,2017,0.0,228800.0,2017-05-01,2017-10-30,0.0
C1,10-10-2,2018,0.0,211800.0,2018-05-01,2018-10-21,0.0
C1,10-10-2,2019,0.0,292700.0,2019-05-01,2019-10-19,0.0
C1,10-10-2,2020,0.0,158400.0,2020-05-01,2020-07-03,0.0
C1,10-10-2,2021,4400.0,92700.0,2021-05-01,2021-06-16,0.04746494066882417
C1,10-10-2,2022,0.0,114300.0,2022-05-01,2022-06-12,0.0
C1,10-11-2,2015,0.0,18000.0,2015-05-24,2015-06-19,0.0
C1,10-11-2,2016,0.0,56900.0,2016-05-01,2016-06-23,0.0
C1,10-11-2,2017,0.0,20100.0,2017-05-02,2017-06-28,0.0
C1,10-11-2,2018,0.0,20100.0,2018-05-13,2018-05-27,0.0
C1,10-11-2,2019,0.0,24800.0,2019-05-11,2019-06-12,0.0
C1,10-11-2,2020,0.0,21600.0,2020-05-10,2020-05-15,0.0
C1,10-11-2,2021,0.0,4000.0,2021-05-01,2021-05-01,0.0
C1,10-11-2,2022,0.0,41700.0,2022-05-01,2022-06-23,0.0
C1,10-11-3,2015,0.0,28000.0,2015-05-01,2015-06-16,0.0
C1,10-11-3,2016,0.0,28000.0,2016-05-28,2016-10-10,0.0
C1,10-11-3,2017,0.0,20000.0,2017-05-10,2017-06-16,0.0
C1,10-11-3,2018,0.0,16000.0,2018-05-25,2018-05-25,0.0
C1,10-11-3,2019,0.0,28000.0,2019-05-23,2019-08-04,0.0
C1,10-11-3,2020,0.0,28000.0,2020-05-01,2020-05-29,0.0
C1,10-11-3,2022,0.0,12000.0,2022-06-12,2022-06-12,0.0
C1,10-11-4,2015,0.0,58800.0,2015-05-25,2015-08-30,0.0
C1,10-11-4,2016,0.0,313400.0,2016-05-01,2016-10-21,0.0
C1,10-11-4,2017,0.0,146700.0,2017-05-01,2017-06-27,0.0
C1,10-11-4,2018,0.0,141200.0,2018-05-01,2018-06-04,0.0
C1,10-11-4,2019,0.0,303200.0,2019-05-01,2019-09-25,0.0
C1,10-11-4,2020,0.0,332400.0,2020-05-01,2020-07-20,0.0
C1,10-11-4,2021,0.0,169000.0,2021-05-01,2021-06-24,0.0
C1,10-11-4,2022,12000.0,188400.0,2022-05-01,2022-06-09,0.06369426751592357
C1,10-11-5,2015,0.0,267600.0,2015-05-05,2015-08-25,0.0
C1,10-11-5,2016,0.0,370200.0,2016-05-01,2016-08-16,0.0
C1,10-11-5,2017,0.0,309400.0,2017-05-09,2017-10-28,0.0
C1,10-11-5,2018,0.0,235400.0,2018-05-02,2018-09-14,0.0
C1,10-11-5,2019,0.0,536900.0,2019-05-01,2019-09-20,0.0
C1,10-11-5,2020,0.0,541700.0,2020-05-01,2020-08-05,0.0
C1,10-11-5,2021,0.0,236800.0,2021-05-01,2021-07-31,0.0
C1,10-11-5,2022,9200.0,430000.0,2022-05-01,2022-10-30,0.021395348837209303
C1,10-11-6,2015,0.0,549000.0,2015-05-01,2015-09-14,0.0
C1,10-11-6,2016,0.0,665700.0,2016-05-01,2016-10-23,0.0
C1,10-11-6,2017,0.0,360000.0,2017-05-01,2017-07-13,0.0
C1,10-11-6,2018,0.0,431300.0,2018-05-01,2018-08-05,0.0
C1,10-11-6,2019,0.0,505500.0,2019-05-06,2019-10-10,0.0
C1,10-11-6,2020,0.0,506700.0,2020-05-01,2020-07-10,0.0
C1,10-11-6,2021,0.0,215272.0,2021-05-01,2021-07-29,0.0
C1,10-11-6,2022,0.0,391739.0,2022-05-01,2022-10-23,0.0
C1,10-3-1,2015,0.0,564800.0,2015-05-02,2015-09-25,0.0
C1,10-3-1,2016,0.0,649900.0,2016-05-10,2016-09-10,0.0
C1,10-3-1,2017,0.0,620800.0,2017-05-01,2017-09-01,0.0
C1,10-3-1,2018,0.0,401400.0,2018-05-01,2018-06-20,0.0
C1,10-3-1,2019,0.0,645200.0,2019-05-01,2019-07-26,0.0
C1,10-3-1,2020,0.0,542700.0,2020-05-01,2020-08-27,0.0
C1,10-3-1,2021,0.0,128156.0,2021-05-01,2021-06-17,0.0
C1,10-3-1,2022,0.0,131703.0,2022-05-01,2022-06-30,0.0
C1,10-3-2,2015,4800.0,702600.0,2015-05-01,2015-10-27,0.006831767719897523
C1,10-3-2,2016,0.0,847300.0,2016-05-01,2016-10-25,0.0
C1,10-3-2,2017,0.0,560500.0,2017-05-01,2017-10-24,0.0
C1,10-3-2,2018,0.0,454800.0,2018-05-01,2018-10-19,0.0
C1,10-3-2,2019,0.0,656481.0,2019-05-01,2019-10-18,0.0
C1,10-3-2,2020,0.0,752597.0,2020-05-01,2020-08-17,0.0
C1,10-3-2,2021,0.0,219283.0,2021-05-01,2021-08-29,0.0
C1,10-3-2,2022,11000.0,290017.0,2022-05-01,2022-10-26,0.037928811069695915
C1,10-3-3,2015,0.0,967500.0,2015-05-02,2015-09-14,0.0
C1,10-3-3,2016,0.0,1171300.0,2016-05-06,2016-10-29,0.0
C1,10-3-3,2017,0.0,1148746.0,2017-05-01,2017-10-05,0.0
C1,10-3-3,2018,0.0,1089346.0,2018-05-01,2018-08-01,0.0
C1,10-3-3,2019,0.0,1407267.0,2019-05-01,2019-09-10,0.0
C1,10-3-3,2020,0.0,1271617.0,2020-05-01,2020-07-27,0.0
C1,10-3-3,2021,0.0,1354467.0,2021-05-01,2021-08-15,0.0
C1,10-3-3,2022,0.0,1268217.0,2022-05-01,2022-06-30,0.0
C1,10-3-4,2015,16400.0,1569700.0,2015-05-01,2015-09-16,0.010447856278269734
C1,10-3-4,2016,0.0,1872000.0,2016-05-01,2016-10-30,0.0
C1,10-3-4,2017,0.0,1118900.0,2017-05-01,2017-10-02,0.0
C1,10-3-4,2018,0.0,945600.0,2018-05-01,2018-08-31,0.0
