Loss,Payout,Set
195.99583,1.1501056,Train
194.24376,0.0,Train
337.2736,112.2838,Train
323.07404,108.12689,Train
214.78204,0.12356497,Train
237.48166,51.53422,Train
269.5245,83.445984,Train
170.059,0.0,Train
226.87245,57.11248,Train
227.75356,35.114113,Train
251.80275,73.570656,Train
237.96075,4.267861,Train
245.7276,50.81488,Train
257.78516,59.527283,Train
227.91039,9.478116,Train
205.10326,0.0,Train
155.0823,0.0697837,Train
171.18106,0.15214117,Train
245.58151,81.47499,Train
227.38919,21.878252,Train
140.20988,0.0,Train
150.52629,0.0,Train
167.91034,0.6174121,Train
150.84529,0.0,Train
291.91803,104.074425,Train
123.55889,0.38167983,Train
201.39,45.975872,Train
313.89093,91.56566,Train
196.4742,24.736156,Train
340.1217,108.83832,Train
296.08984,67.4553,Train
132.95035,0.08400126,Train
296.77853,93.01228,Train
195.18782,28.220358,Train
184.56894,0.0,Train
210.66986,27.517094,Train
258.73215,113.58791,Train
222.244,108.35935,Train
278.15555,115.78148,Train
268.00418,111.650925,Train
239.59662,108.36287,Train
249.26942,107.711464,Train
224.2318,114.757614,Train
237.27452,111.11449,Train
258.17395,113.84541,Train
275.68268,112.673035,Train
276.36444,110.209854,Train
257.02963,112.67716,Train
238.67824,110.79838,Train
257.27963,110.296,Train
223.49033,109.382385,Train
235.31027,109.1048,Train
187.54904,86.12312,Train
221.0246,97.415985,Train
347.80353,113.967606,Train
190.79004,112.528244,Train
197.82736,109.74309,Train
236.76978,112.779724,Train
195.32146,95.53832,Train
143.71889,76.914474,Train
235.16858,105.259476,Train
201.93678,112.82837,Train
158.51823,103.15056,Train
220.43672,106.62714,Train
210.60352,98.0611,Train
412.14252,118.77824,Train
150.72057,93.773636,Train
299.78204,108.667946,Train
209.22107,110.25175,Train
345.76987,110.62355,Train
255.15965,48.600166,Train
244.07072,50.766483,Train
308.99564,104.18113,Train
346.23343,110.64024,Train
250.42685,92.21613,Train
305.81375,98.401794,Train
302.4258,109.94722,Train
229.73134,55.256428,Train
275.6563,85.02128,Train
262.15952,86.68083,Train
302.63846,91.46529,Train
249.32144,81.46806,Train
287.70847,88.85727,Train
292.49393,95.87437,Train
241.35762,56.607666,Train
249.79953,65.39659,Train
223.18253,10.876322,Train
256.5938,68.70321,Train
351.65103,110.64272,Train
245.00908,58.376324,Train
227.55428,65.16698,Train
199.37363,36.952824,Train
220.27122,49.422478,Train
164.93259,0.5039902,Train
362.26813,108.10433,Train
222.55855,62.611748,Train
293.55133,87.137634,Train
361.30466,109.02333,Train
234.30963,84.35834,Train
377.08148,109.9293,Train
201.22595,45.834373,Train
288.0139,102.03457,Train
268.62448,94.85607,Train
221.16986,62.299934,Train
213.77861,58.43352,Train
228.70891,78.7605,Train
297.61353,99.9109,Train
282.64447,98.534256,Train
202.67772,57.609974,Train
213.53139,74.7517,Train
253.59686,84.55419,Train
223.48274,64.6374,Train
225.17453,71.55051,Train
261.8979,81.86366,Train
204.25746,92.58261,Train
213.40125,72.123886,Train
219.32924,58.620453,Train
280.8684,93.97083,Train
216.43913,75.60791,Train
197.54144,68.731544,Train
177.0267,63.614662,Train
189.81848,47.621147,Train
246.9968,94.1232,Train
