Loss,Payout,Set
296.14258,129.52399,Train
183.62074,13.794197,Train
162.16656,0.0,Train
441.78003,154.85771,Train
248.96112,52.794746,Train
140.20988,0.0,Train
150.52629,0.0,Train
167.91034,0.0,Train
370.86203,135.96384,Train
370.88138,132.47575,Train
244.96837,75.31541,Train
255.62302,79.17171,Train
150.84529,0.0,Train
270.13522,91.49804,Train
175.99281,24.72569,Train
291.91803,132.43423,Train
208.41092,32.866875,Train
236.97144,100.655014,Train
251.59961,64.91041,Train
290.7954,121.156845,Train
123.55889,1.1105907,Train
201.39,42.488094,Train
358.25436,151.445,Train
186.65042,125.25832,Train
176.15575,95.02957,Train
358.27036,150.89804,Train
246.49422,138.82545,Train
197.82736,113.58958,Train
236.76978,150.83382,Train
195.32146,96.68858,Train
307.9824,145.86974,Train
238.75261,123.826645,Train
211.6321,154.6699,Train
345.62085,155.85385,Train
143.71889,79.11866,Train
312.92618,154.6952,Train
111.242744,126.01434,Train
235.16858,146.5513,Train
226.20367,128.91486,Train
266.34805,147.26494,Train
268.10168,154.41475,Train
269.9646,154.4498,Train
201.93678,137.41618,Train
158.51823,95.58045,Train
355.63086,141.7752,Train
201.05908,44.832195,Train
204.06554,25.883835,Train
490.6502,143.97139,Train
346.81314,143.74545,Train
227.55428,71.50774,Train
199.37363,42.887012,Train
220.27122,48.48848,Train
437.24704,142.1197,Train
237.80109,86.48778,Train
307.93335,123.53825,Train
318.64386,141.1433,Train
164.93259,2.8763561,Train
186.29953,86.01238,Train
253.2447,85.058975,Train
362.26813,144.74883,Train
296.36975,107.20286,Train
314.54962,114.1791,Train
290.8077,124.37018,Train
361.644,135.66031,Train
222.55855,55.524986,Train
293.55133,80.11249,Train
219.78311,79.40808,Train
201.48543,36.80143,Train
179.71931,11.352649,Train
283.9848,138.20099,Train
248.28185,86.75929,Train
230.11047,41.756676,Train
190.97069,49.61816,Train
253.36247,0.0,Train
445.28583,149.66832,Train
199.74078,72.577286,Train
234.22731,92.75008,Train
405.24542,142.52359,Train
247.2951,103.76581,Train
362.37637,139.02945,Train
155.48921,0.0,Train
365.13364,140.84602,Train
287.80963,119.30426,Train
256.0172,126.43313,Train
185.75636,74.8022,Train
227.5271,92.25136,Train
265.8294,119.51351,Train
251.66331,114.680824,Train
227.31447,113.23921,Train
128.7466,0.62969947,Train
173.75134,1.15765,Train
477.82867,149.41446,Train
225.4786,53.700306,Train
190.20113,0.0,Train
165.49625,0.0,Train
221.36397,0.0,Train
361.3043,132.58669,Train
256.3172,88.547104,Train
217.90271,57.590355,Train
267.06082,72.40435,Train
179.7915,0.0,Train
267.59482,74.71517,Train
187.4707,0.0,Train
331.4192,136.82239,Train
265.44028,12.171048,Train
287.03397,91.85861,Train
210.70024,69.70231,Train
267.43912,104.10484,Train
173.75058,4.0059757,Train
213.13466,38.133568,Train
181.21585,41.214207,Train
107.478035,0.0,Train
124.80148,0.0,Train
271.6862,138.14601,Train
145.63214,45.160328,Train
138.63936,0.04883198,Train
145.70782,3.1168482,Train
163.33755,0.0,Train
398.02853,150.90306,Train
244.28078,76.82311,Train
213.09427,41.93645,Train
206.46902,123.29427,Train
154.40504,3.632666,Train
203.90231,104.725296,Train
95.96084,0.0,Train
243.58063,131.82982,Train
170.76166,58.005756,Train
245.00395,90.12749,Train
144.30751,15.393148,Train
229.17232,79.16627,Train
195.09839,41.7397,Train
140.08571,37.14565,Train
305.19717,138.50414,Train
161.01865,28.253845,Train
181.42116,0.0,Train
380.40472,151.75528,Train
285.4693,127.448,Train
218.61491,0.0,Train
186.84157,40.220554,Train
204.14925,15.115117,Train
284.53796,133.59738,Train
239.00772,91.43572,Train
249.55852,122.058266,Train
239.19034,114.41626,Train
155.4032,0.0,Train
264.19708,82.02357,Train
208.57202,35.396553,Train
286.02798,135.25438,Train
216.56497,42.407417,Train
287.183,104.2797,Train
252.88206,111.79458,Train
320.16217,123.85286,Train
261.5233,56.90531,Train
220.46547,78.082886,Train
150.70113,45.875492,Train
108.793976,7.7678843,Train
105.46739,21.364828,Train
249.22137,136.36041,Train
190.05594,76.972496,Train
67.971054,17.063456,Train
124.46674,29.20502,Train
118.043,0.0,Train
409.19983,148.08762,Train
164.93721,57.86846,Train
148.25517,62.293903,Train
184.1537,131.86673,Train
153.6328,35.755478,Train
256.19247,119.546715,Train
89.3327,0.0,Train
234.0535,126.78133,Train
161.85487,44.417736,Train
198.2368,96.8311,Train
129.69931,1.472737,Train
127.742386,34.974865,Train
178.36603,74.63582,Train
134.57024,61.45158,Train
197.73169,91.13889,Train
96.35019,0.0,Train
93.0259,0.0,Train
285.75882,144.00314,Train
160.04898,28.637522,Train
90.39633,0.0,Train
76.8009,0.0,Train
129.76268,0.0,Train
322.78168,135.3046,Train
165.8579,66.09462,Train
194.49132,41.602074,Train
156.68196,29.552496,Train
111.92982,0.0,Train
168.73488,21.881214,Train
89.09717,0.0,Train
265.01666,130.32431,Train
199.49338,7.5841165,Train
263.52728,76.80552,Train
198.11842,62.893555,Train
178.26678,49.05843,Train
144.47235,4.0250525,Train
163.23512,32.49966,Train
306.3696,125.725136,Train
134.70682,0.0,Train
103.08227,0.0,Train
302.49597,139.43393,Train
172.94795,23.714027,Train
88.93817,0.0,Train
130.96666,0.0,Train
103.03339,0.0,Train
351.63837,140.21298,Train
180.28162,31.078415,Train
180.46312,20.556782,Train
362.68286,127.11647,Train
86.44088,0.0,Train
191.73715,28.178446,Train
129.07167,0.0,Train
342.94446,131.40382,Train
192.85547,85.044136,Train
224.80476,63.24516,Train
232.2923,81.505646,Train
148.8181,17.75182,Train
229.88216,37.795216,Train
209.48445,37.859142,Train
183.55734,113.96786,Train
68.669106,0.0,Train
62.3183,0.0,Train
280.0049,144.52426,Train
144.22894,87.204185,Train
64.49039,0.0,Train
44.289253,0.0,Train
83.62554,0.0,Train
308.49924,147.27731,Train
116.91038,58.209007,Train
145.85892,58.614105,Train
160.84488,109.46464,Train
42.86827,0.0,Train
117.42908,13.373529,Train
62.527298,2.6175113,Train
235.16295,134.74303,Train
162.836,39.583748,Train
178.0465,92.40057,Train
186.29439,85.35236,Train
194.57971,86.99358,Train
101.40245,8.300052,Train
148.2626,38.54953,Train
195.01369,108.32438,Train
202.1009,1.7694772,Train
135.75407,1.2695585,Train
405.4732,142.2709,Train
202.75832,54.69685,Train
161.10938,37.037178,Train
88.0264,2.0982413,Train
95.509384,0.0,Train
274.55832,144.43643,Train
166.67323,2.2813573,Train
184.85411,85.60219,Train
262.60095,134.28036,Train
63.91373,0.0,Train
155.79248,48.653374,Train
153.23721,8.355586,Train
213.74788,116.83771,Train
305.82452,126.0052,Train
257.96713,117.797745,Train
245.17569,115.319046,Train
305.95023,137.96489,Train
181.29071,26.397366,Train
172.19716,40.293133,Train
414.85187,147.36649,Train
218.33632,65.52485,Train
175.91283,43.5888,Train
511.58142,152.011,Train
318.84207,140.47752,Train
238.19478,89.28369,Train
234.63957,79.93691,Train
175.17642,45.72886,Train
399.30536,150.15842,Train
266.52634,123.09065,Train
340.33942,137.16145,Train
417.74454,155.58957,Train
267.74173,94.5572,Train
229.83101,91.62924,Train
342.51236,107.51847,Train
346.78577,150.03903,Train
372.15125,134.8903,Train
334.6088,125.40676,Train
335.6584,133.54393,Train
340.30008,144.36734,Train
222.53384,97.867805,Train
216.85966,81.38137,Train
369.909,148.92114,Train
187.52396,41.402622,Train
169.7443,38.89034,Train
404.07,148.39786,Train
348.0011,147.51314,Train
204.53758,89.314095,Train
201.17944,58.221912,Train
173.42668,32.852776,Train
352.2793,136.05453,Train
261.7373,102.53148,Train
272.8007,129.33871,Train
255.96945,143.14804,Train
158.74359,39.4985,Train
250.62311,91.64791,Train
237.60802,81.970894,Train
291.1983,151.37785,Train
323.89395,137.7395,Train
335.695,129.4505,Train
267.10144,130.34785,Train
286.11325,142.66698,Train
203.73044,104.18681,Train
226.453,78.16008,Train
230.24983,121.93712,Train
198.49915,7.372767,Train
159.82657,10.252483,Train
436.2321,149.21585,Train
243.71573,83.01428,Train
208.77748,69.72976,Train
156.41733,4.436103,Train
121.63527,1.4858106,Train
335.43134,149.99875,Train
167.8055,53.50703,Train
266.25775,113.19334,Train
322.78812,136.09956,Train
106.39661,4.59272,Train
170.08319,74.69469,Train
237.34787,39.55514,Train
287.19067,129.63148,Train
340.61157,141.79935,Train
331.11057,129.58215,Train
269.18768,130.17848,Train
315.8429,151.48714,Train
229.57622,49.10924,Train
216.88763,63.902172,Train
260.5669,113.8292,Train
211.48897,1.6977823,Train
172.9577,4.78581,Train
386.4731,143.8882,Train
250.03517,85.95211,Train
190.64389,40.15989,Train
124.29928,0.0,Train
138.50133,0.0,Train
324.25003,140.51912,Train
209.04541,6.2298574,Train
202.38744,79.16397,Train
297.27612,138.20042,Train
112.211494,0.0,Train
224.69351,33.844532,Train
137.72218,35.30283,Train
257.29755,127.3184,Train
359.41953,139.71986,Train
290.0882,122.771194,Train
241.80353,122.33858,Train
361.56552,145.94812,Train
225.87416,38.380215,Train
205.72948,59.162853,Train
153.27383,24.133698,Train
131.78134,7.423529,Train
120.829926,0.0,Train
256.91962,139.22185,Train
179.55038,95.36912,Train
112.72226,0.0,Train
157.93523,10.283932,Train
154.18929,0.0,Train
321.98444,147.0389,Train
171.32068,43.622948,Train
209.69801,74.70404,Train
262.11642,140.67712,Train
206.07596,78.13843,Train
265.57657,128.85374,Train
104.618286,0.0,Train
262.20108,137.98672,Train
230.82498,85.865234,Train
223.98996,122.46433,Train
126.196045,35.577816,Train
192.94322,56.79602,Train
193.23149,111.980125,Train
246.06084,116.55607,Train
284.71704,121.52712,Train
144.96284,0.0,Train
89.25618,0.0,Train
282.09705,140.0198,Train
149.48546,30.944763,Train
114.9214,0.0,Train
76.904884,0.0,Train
87.935905,0.0,Train
330.01447,139.6857,Train
159.14056,18.434174,Train
166.8142,22.668587,Train
199.03535,98.88824,Train
119.30406,0.0,Train
179.6203,28.56303,Train
61.48408,0.0,Train
272.3954,142.83939,Train
126.35425,36.51723,Train
179.86064,85.629715,Train
184.41457,45.887856,Train
129.51602,11.271798,Train
162.16502,33.034386,Train
177.36156,45.92445,Train
301.27994,116.046524,Train
136.62656,0.0,Train
122.516884,0.0,Train
311.4509,143.83156,Train
206.42865,62.628456,Train
146.95009,0.0,Train
87.515236,0.48920932,Train
66.62409,0.0,Train
332.77664,151.66733,Train
189.47293,20.059107,Train
186.2129,36.802334,Train
305.49658,124.69281,Train
102.82399,0.0,Train
173.19508,9.785747,Train
124.6099,0.0,Train
286.06842,119.35819,Train
244.57065,115.749146,Train
255.61658,97.62709,Train
287.7062,104.57355,Train
242.83957,107.338974,Train
229.51662,26.421152,Train
146.23738,20.834543,Train
262.54984,99.16434,Train
201.9146,24.59502,Train
190.32245,2.4438448,Train
357.27338,130.00545,Train
324.76743,125.46378,Train
253.80453,86.424904,Train
273.88474,71.586716,Train
217.00804,0.0,Train
324.67444,133.2251,Train
225.88391,74.36841,Train
249.63647,68.80139,Train
388.93213,150.94478,Train
290.27087,96.46422,Train
279.1527,113.18205,Train
208.57764,0.0,Train
355.04565,132.31055,Train
319.55676,93.8959,Train
284.11096,99.16497,Train
196.20824,64.51901,Train
283.3486,98.50978,Train
325.03207,91.29403,Train
307.25864,98.47691,Train
283.14615,109.3452,Train
136.06458,0.0,Train
101.0402,0.0,Train
279.57303,131.13927,Train
153.66307,58.611687,Train
101.3103,0.0,Train
112.01474,2.0223358,Train
94.776375,0.0,Train
280.5952,141.32004,Train
137.47125,0.83358896,Train
172.90448,37.118374,Train
215.39493,89.14833,Train
89.94256,0.0,Train
136.0474,1.860802,Train
122.709435,0.0,Train
256.42868,118.29524,Train
260.7051,113.17131,Train
244.03876,108.123276,Train
265.9296,105.57616,Train
179.37764,110.0827,Train
215.38287,45.136005,Train
174.44531,2.5498586,Train
381.59933,155.7482,Train
261.50583,104.714554,Train
232.47365,70.06594,Train
466.00278,151.46669,Train
297.09323,152.4213,Train
275.24503,119.94145,Train
256.9581,123.98329,Train
231.73253,79.52716,Train
364.06827,147.54916,Train
268.96533,114.60869,Train
317.42374,139.64711,Train
404.44342,150.55725,Train
197.52446,44.337406,Train
232.16681,105.252464,Train
277.37048,107.357895,Train
371.63547,150.62552,Train
241.96179,126.290634,Train
353.84943,156.50595,Train
315.2984,129.48174,Train
315.30865,143.18246,Train
280.38028,107.97373,Train
291.01318,91.07142,Train
230.4321,107.28921,Train
164.18852,2.7526329,Train
147.03061,0.0,Train
430.95837,143.91472,Train
326.47183,104.78645,Train
173.07097,24.958965,Train
117.75577,0.7818028,Train
111.526245,6.495394,Train
339.88242,137.38907,Train
190.32425,81.165535,Train
215.85176,107.305824,Train
272.96497,142.35425,Train
162.16382,11.28939,Train
208.94836,61.05136,Train
192.81859,71.66325,Train
250.27449,139.99394,Train
304.31607,132.72235,Train
305.94333,121.45284,Train
209.65627,121.730774,Train
358.45486,143.68837,Train
220.33916,71.83144,Train
211.80913,71.63231,Train
371.1663,126.77767,Train
164.21783,0.0,Train
118.32354,0.0,Train
352.48343,132.18065,Train
236.69746,33.987736,Train
117.465675,0.0,Train
211.78806,0.0,Train
176.66461,0.0,Train
495.09534,148.70834,Train
187.0802,13.137026,Train
201.11926,27.2477,Train
428.7125,142.60246,Train
148.85988,0.0,Train
233.06143,77.65991,Train
142.31715,0.0,Train
342.12704,138.85071,Train
219.99112,51.704384,Train
234.40935,84.23549,Train
262.88174,54.13839,Train
193.40833,28.264542,Train
256.98907,40.369465,Train
229.62396,34.62173,Train
422.18213,145.40129,Train
298.57773,106.73918,Train
276.5531,85.36844,Train
492.60822,152.78993,Train
362.2431,146.76033,Train
315.95776,112.92576,Train
322.25217,124.88214,Train
279.6263,80.6733,Train
328.08023,143.7493,Train
275.11392,121.753296,Train
334.22736,149.0743,Train
417.92053,154.34349,Train
270.69348,123.857704,Train
270.5462,119.45021,Train
291.47867,133.36621,Train
466.4909,156.52664,Train
354.5829,156.09573,Train
424.75464,157.05515,Train
407.50613,154.48788,Train
421.8374,145.91173,Train
299.74844,121.79619,Train
268.73923,92.607315,Train
255.47449,84.24727,Train
171.00862,0.0,Train
149.61426,0.0,Train
369.7914,142.74782,Train
177.04004,23.438137,Train
169.86017,0.0,Train
96.25181,0.0,Train
232.71495,0.0,Train
414.74957,144.07904,Train
313.3557,108.65944,Train
215.53336,33.122765,Train
226.2825,50.61384,Train
139.10313,0.0,Train
247.99529,33.105957,Train
157.45892,0.0,Train
308.49405,128.89798,Train
200.6007,27.73935,Train
257.27884,76.00736,Train
223.02847,53.06941,Train
174.84961,13.084816,Train
200.24225,3.0205731,Train
190.70639,45.112953,Train
331.01968,141.32858,Train
208.1657,120.88535,Train
151.88757,93.22465,Train
319.6853,140.61728,Train
207.5589,126.136765,Train
197.00836,108.46843,Train
176.03369,133.8511,Train
134.13487,88.1547,Train
256.81192,137.11057,Train
183.56483,112.93776,Train
253.8936,143.85365,Train
317.29825,149.73703,Train
93.77874,63.31953,Train
220.3351,109.19633,Train
196.46733,111.5768,Train
340.6754,149.20375,Train
222.45937,128.90996,Train
289.81918,153.24503,Train
308.25485,149.34604,Train
295.2664,150.91454,Train
