Loss,Payout,Set
195.99583,0.0,Train
233.95634,6.4394684,Train
243.9845,63.7219,Train
215.5803,10.484333,Train
194.24376,0.0,Train
228.97485,53.71944,Train
337.2736,113.33883,Train
256.63998,32.940674,Train
323.07404,104.9702,Train
193.57571,0.0,Train
232.14505,73.99384,Train
214.78204,0.0,Train
242.98666,5.5767636,Train
208.25894,1.4345418,Train
208.59886,40.57003,Train
230.00644,0.0,Train
237.48166,20.68172,Train
269.5245,74.390976,Train
193.13504,28.772442,Train
326.8132,104.80412,Train
170.059,0.2900134,Train
226.87245,11.720713,Train
227.75356,30.150656,Train
214.7023,39.8899,Train
222.7187,2.746743,Train
251.80275,54.74297,Train
277.45444,75.10637,Train
254.17377,78.85707,Train
237.96075,0.0,Train
242.81538,65.13215,Train
205.73767,1.321332,Train
245.7276,30.67648,Train
257.78516,48.332207,Train
227.91039,2.5826678,Train
205.10326,0.0,Train
196.36377,0.0,Train
219.19194,31.327982,Train
175.58775,0.0,Train
230.05121,28.033606,Train
155.0823,0.5927366,Train
171.18106,0.0,Train
257.34747,4.2779036,Train
245.58151,85.54396,Train
163.88321,0.0,Train
166.25255,10.914828,Train
200.18953,27.830639,Train
258.69418,59.400635,Train
219.26645,7.40278,Train
260.40637,77.95439,Train
347.11395,103.67326,Train
227.38919,0.19245705,Train
142.73206,0.0,Train
296.14258,87.85994,Train
183.62074,2.465815,Train
162.16656,0.20476167,Train
441.78003,119.46664,Train
248.96112,51.987404,Train
140.20988,0.0,Train
150.52629,0.0,Train
167.91034,2.1526437,Train
370.86203,101.23618,Train
370.88138,89.40793,Train
244.96837,78.960785,Train
255.62302,87.78194,Train
258.73215,115.8633,Train
238.94621,104.46898,Train
271.76953,111.15176,Train
220.70215,108.87179,Train
222.244,111.03904,Train
206.39514,102.80217,Train
278.15555,116.361855,Train
245.02522,112.91825,Train
268.00418,106.64242,Train
221.09239,111.24426,Train
226.78987,107.74357,Train
239.59662,110.71141,Train
228.01265,108.71016,Train
223.53793,109.630066,Train
201.6725,94.90611,Train
253.41634,112.468796,Train
249.26942,112.24736,Train
224.2318,113.17317,Train
244.80344,112.29307,Train
272.48434,114.32439,Train
237.27452,111.337364,Train
258.17395,112.99165,Train
275.68268,109.79956,Train
261.80066,114.573715,Train
272.52792,111.14032,Train
276.36444,114.08978,Train
269.81024,112.445145,Train
277.3653,110.73855,Train
257.02963,112.49992,Train
285.80322,111.91111,Train
279.6861,117.12895,Train
238.67824,108.406815,Train
257.27963,106.49766,Train
223.49033,88.83031,Train
235.31027,113.04427,Train
215.73949,95.59675,Train
234.77797,111.7939,Train
267.92572,109.27568,Train
266.18274,106.6777,Train
187.54904,91.572105,Train
221.0246,95.28416,Train
202.10944,112.686295,Train
347.80353,114.91984,Train
192.6069,110.29488,Train
188.01955,89.35866,Train
194.04146,108.22408,Train
273.67264,107.57713,Train
248.41307,103.506516,Train
219.76279,97.94391,Train
184.22177,106.91974,Train
190.79004,110.23885,Train
155.46756,81.35333,Train
358.25436,115.79906,Train
186.65042,107.63468,Train
176.15575,98.94868,Train
358.27036,118.72081,Train
246.49422,109.32316,Train
197.82736,101.04263,Train
236.76978,107.43428,Train
195.32146,113.338745,Train
307.9824,115.87126,Train
238.75261,108.09023,Train
211.6321,108.69186,Train
345.62085,115.68701,Train
255.15965,37.864647,Train
268.02008,85.680954,Train
305.45874,98.615036,Train
269.47562,88.78724,Train
244.07072,74.754715,Train
327.24408,108.18292,Train
308.99564,108.78269,Train
283.8254,99.63318,Train
346.23343,107.48466,Train
268.71967,93.79747,Train
271.78415,100.95858,Train
250.42685,98.20955,Train
278.14777,88.64443,Train
263.94693,100.757454,Train
260.3243,76.16774,Train
302.2799,97.912155,Train
305.81375,102.86843,Train
302.4258,108.237,Train
239.61609,74.09019,Train
316.8846,108.98729,Train
229.73134,39.78983,Train
275.6563,84.54392,Train
262.15952,80.78512,Train
259.24094,94.245316,Train
273.90057,71.026855,Train
302.63846,106.61571,Train
401.45456,111.879005,Train
265.84888,94.360405,Train
249.32144,63.170757,Train
295.87222,100.01012,Train
248.00122,76.61045,Train
287.70847,89.69993,Train
292.49393,100.22545,Train
241.35762,29.684757,Train
249.79953,47.00624,Train
240.81967,34.914696,Train
357.91806,100.69849,Train
258.09464,33.98193,Train
308.8495,98.10765,Train
223.18253,1.8740826,Train
256.5938,51.28178,Train
255.08331,63.324364,Train
351.65103,109.10283,Train
269.797,54.968914,Train
230.0212,46.36028,Train
302.3236,57.21575,Train
308.20425,100.3047,Train
223.16312,37.00834,Train
351.7002,101.04423,Train
249.31552,87.85153,Train
245.00908,46.04751,Train
212.78085,7.824861,Train
355.63086,106.39298,Train
201.05908,31.153702,Train
204.06554,2.197648,Train
490.6502,112.88344,Train
346.81314,107.23047,Train
227.55428,54.16799,Train
199.37363,22.383457,Train
220.27122,45.133823,Train
437.24704,110.876816,Train
237.80109,80.43009,Train
307.93335,104.89309,Train
318.64386,110.78972,Train
213.77861,64.872665,Train
232.33882,72.88017,Train
219.4306,73.79087,Train
220.55397,79.69222,Train
228.70891,79.07744,Train
