Loss,Payout,Set
195.99583,0.0,Train
233.95634,0.0,Train
243.9845,7.842902,Train
215.5803,0.0,Train
194.24376,0.0,Train
228.97485,0.0,Train
337.2736,43.08087,Train
256.63998,0.0,Train
323.07404,56.77793,Train
193.57571,0.0,Train
232.14505,12.72012,Train
214.78204,0.0,Train
242.98666,0.0,Train
208.25894,0.0,Train
208.59886,0.0,Train
230.00644,0.0,Train
237.48166,0.0,Train
269.5245,0.0,Train
193.13504,0.0,Train
326.8132,17.490763,Train
170.059,0.0,Train
226.87245,0.0,Train
227.75356,0.0,Train
214.7023,0.0,Train
222.7187,0.0,Train
251.80275,0.06779061,Train
277.45444,11.4510975,Train
254.17377,3.2533317,Train
237.96075,0.0,Train
242.81538,2.3547094,Train
205.73767,0.0,Train
245.7276,0.0,Train
257.78516,0.0,Train
227.91039,0.0,Train
205.10326,0.0,Train
196.36377,0.0,Train
219.19194,0.0,Train
175.58775,0.0,Train
230.05121,0.0,Train
155.0823,0.0,Train
171.18106,0.0,Train
257.34747,0.0,Train
245.58151,0.0,Train
163.88321,0.0,Train
166.25255,0.0,Train
200.18953,0.0,Train
258.69418,0.0,Train
219.26645,0.0,Train
260.40637,5.3133163,Train
347.11395,0.0,Train
227.38919,0.0,Train
142.73206,0.0,Train
296.14258,8.38693,Train
183.62074,0.0,Train
162.16656,0.0,Train
441.78003,108.004234,Train
248.96112,0.16256262,Train
140.20988,0.0,Train
150.52629,0.0,Train
167.91034,0.0,Train
370.86203,71.862274,Train
370.88138,3.7667537,Train
244.96837,0.0,Train
255.62302,1.7680538,Train
258.73215,57.398323,Train
238.94621,42.639854,Train
271.76953,89.36602,Train
220.70215,24.626144,Train
222.244,60.963623,Train
206.39514,39.612587,Train
278.15555,93.93158,Train
245.02522,62.031055,Train
268.00418,116.09828,Train
221.09239,55.49472,Train
226.78987,78.992325,Train
239.59662,62.02141,Train
228.01265,25.15221,Train
223.53793,50.643227,Train
201.6725,46.08212,Train
253.41634,83.37389,Train
249.26942,93.14875,Train
224.2318,73.98776,Train
244.80344,48.749535,Train
272.48434,86.65651,Train
237.27452,79.6957,Train
258.17395,63.806183,Train
275.68268,46.695263,Train
261.80066,62.811054,Train
272.52792,63.868744,Train
276.36444,91.177345,Train
269.81024,141.2672,Train
277.3653,94.2594,Train
257.02963,47.006016,Train
285.80322,112.48656,Train
279.6861,48.197086,Train
238.67824,46.723812,Train
257.27963,56.927406,Train
223.49033,6.517825,Train
235.31027,50.843792,Train
215.73949,8.866181,Train
234.77797,57.188057,Train
267.92572,61.618664,Train
266.18274,26.17867,Train
187.54904,3.3026607,Train
221.0246,55.676624,Train
202.10944,46.572876,Train
347.80353,79.60534,Train
192.6069,9.4104395,Train
188.01955,15.692522,Train
194.04146,79.58452,Train
273.67264,38.523567,Train
248.41307,8.656844,Train
219.76279,7.5447793,Train
184.22177,18.77768,Train
190.79004,24.841915,Train
155.46756,11.70724,Train
358.25436,120.40891,Train
186.65042,12.499697,Train
176.15575,0.30590233,Train
358.27036,186.70087,Train
246.49422,60.943554,Train
197.82736,59.233875,Train
236.76978,38.85186,Train
195.32146,58.01761,Train
307.9824,92.0898,Train
238.75261,57.90559,Train
211.6321,66.32508,Train
345.62085,109.81771,Train
255.15965,0.0,Train
268.02008,8.647156,Train
305.45874,63.822834,Train
269.47562,28.511112,Train
244.07072,10.533598,Train
327.24408,58.44287,Train
308.99564,58.903393,Train
283.8254,28.14421,Train
346.23343,119.10342,Train
268.71967,26.671387,Train
271.78415,82.90404,Train
250.42685,24.109362,Train
278.14777,10.888902,Train
263.94693,65.92043,Train
260.3243,1.9914911,Train
302.2799,36.32621,Train
305.81375,41.57536,Train
302.4258,37.473045,Train
239.61609,0.0,Train
316.8846,43.94155,Train
229.73134,1.2416018,Train
275.6563,0.18333445,Train
262.15952,0.0,Train
259.24094,2.6420627,Train
273.90057,0.13148353,Train
302.63846,45.833748,Train
401.45456,79.22302,Train
265.84888,36.152134,Train
249.32144,0.0,Train
295.87222,29.131826,Train
248.00122,0.0,Train
287.70847,17.16671,Train
292.49393,16.978682,Train
241.35762,0.0,Train
249.79953,0.18979482,Train
240.81967,0.0,Train
357.91806,16.498297,Train
258.09464,4.71622,Train
308.8495,12.112387,Train
223.18253,0.0,Train
256.5938,0.0,Train
255.08331,0.0,Train
351.65103,24.098167,Train
269.797,0.0,Train
230.0212,0.421027,Train
302.3236,5.088355,Train
308.20425,12.026339,Train
223.16312,0.16145661,Train
351.7002,3.0154998,Train
249.31552,0.0,Train
245.00908,0.0,Train
212.78085,0.0,Train
355.63086,54.957283,Train
201.05908,0.0,Train
204.06554,0.0,Train
490.6502,133.91866,Train
346.81314,38.112324,Train
227.55428,0.0,Train
199.37363,0.0,Train
220.27122,1.4519393,Train
437.24704,93.42879,Train
237.80109,17.499527,Train
307.93335,30.548761,Train
318.64386,65.1622,Train
213.77861,0.62947273,Train
232.33882,0.0,Train
219.4306,0.0,Train
220.55397,0.0,Train
228.70891,0.0,Train
261.39542,0.0,Train
297.61353,2.362461,Train
249.86322,1.8271625,Train
282.64447,4.800725,Train
255.9573,3.883725,Train
236.30173,0.0,Train
202.67772,0.0,Train
214.5853,0.0,Train
198.52446,0.0,Train
217.4952,0.0,Train
194.4975,0.410007,Train
213.53139,1.6139866,Train
253.59686,0.0,Train
248.19391,0.0,Train
260.32254,3.0565543,Train
223.48274,10.788217,Train
225.17453,0.0,Train
261.8979,0.0,Train
260.15283,0.0,Train
195.43936,0.0,Train
204.25746,0.0,Train
213.10715,0.0,Train
256.9884,3.097548,Train
213.40125,0.0,Train
246.84567,0.100567244,Train
241.82167,4.8716745,Train
219.32924,0.40914282,Train
280.8684,0.108020686,Train
216.43913,9.926686,Train
197.54144,0.0,Train
210.17534,0.0,Train
198.3408,0.0,Train
221.53786,0.0,Train
230.7665,2.408118,Train
177.0267,0.0,Train
189.81848,0.0,Train
188.64186,0.0,Train
246.9968,0.0,Train
203.88333,0.0,Train
181.80144,0.0,Train
240.25111,0.0,Train
365.23236,3.39218,Train
217.24521,2.3844829,Train
237.28964,13.965288,Train
201.36563,0.0,Train
200.4732,0.0,Train
185.61237,3.1966224,Train
219.78311,0.07821777,Train
201.48543,0.0,Train
179.71931,0.0,Train
283.9848,50.520653,Train
248.28185,5.025771,Train
230.11047,8.808756,Train
190.97069,0.0,Train
253.36247,0.0,Train
445.28583,87.19014,Train
199.74078,3.6971536,Train
234.22731,0.0,Train
405.24542,27.509485,Train
199.38103,0.0,Train
226.53816,0.0,Train
264.26788,7.7810297,Train
214.5702,0.0,Train
199.94511,0.0,Train
241.39262,0.0,Train
349.41275,42.248848,Train
272.00543,0.0,Train
334.67075,53.378258,Train
218.90865,0.0,Train
257.21915,22.32228,Train
215.10223,0.0,Train
253.55792,0.0,Train
215.0862,0.0,Train
236.18707,0.0,Train
218.86055,0.0,Train
240.10663,0.0,Train
278.9253,0.0,Train
212.81656,0.0,Train
325.28043,21.780209,Train
185.81688,0.0,Train
235.42593,0.0,Train
236.10759,0.0,Train
222.86183,0.0,Train
255.18867,0.0,Train
270.08813,2.5706048,Train
281.56015,25.141197,Train
265.1048,6.9315844,Train
245.22202,0.0,Train
256.91183,20.79723,Train
