Loss,Payout,Set
227.38919,0.0,Train
142.73206,0.0,Train
296.14258,117.48082,Train
183.62074,0.2606047,Train
162.16656,1.4049381,Train
441.78003,153.52666,Train
248.96112,64.52322,Train
140.20988,0.0,Train
150.52629,0.0,Train
167.91034,2.8384795,Train
370.86203,124.97522,Train
370.88138,93.61348,Train
244.96837,64.06601,Train
255.62302,80.69772,Train
150.84529,0.67278737,Train
270.13522,72.03234,Train
175.99281,9.799029,Train
291.91803,111.201065,Train
208.41092,45.223145,Train
236.97144,79.95224,Train
251.59961,56.9951,Train
290.7954,77.142075,Train
123.55889,15.080516,Train
201.39,42.285057,Train
190.79004,102.534096,Train
155.46756,61.157207,Train
358.25436,137.61694,Train
186.65042,103.67393,Train
176.15575,78.72627,Train
358.27036,137.01302,Train
246.49422,131.91788,Train
197.82736,101.29819,Train
236.76978,131.16034,Train
195.32146,91.982346,Train
307.9824,132.71394,Train
238.75261,104.52983,Train
211.6321,139.00986,Train
345.62085,136.5912,Train
143.71889,64.26903,Train
312.92618,140.31503,Train
111.242744,103.79643,Train
235.16858,130.21452,Train
226.20367,120.94608,Train
266.34805,136.48915,Train
268.10168,133.67415,Train
269.9646,138.40991,Train
201.93678,124.58568,Train
158.51823,93.93141,Train
245.00908,54.725494,Train
212.78085,10.5385065,Train
355.63086,127.06046,Train
201.05908,28.384024,Train
204.06554,1.9801598,Train
490.6502,136.05305,Train
346.81314,131.35323,Train
227.55428,62.928333,Train
199.37363,26.392954,Train
220.27122,33.196598,Train
437.24704,129.01912,Train
237.80109,75.992065,Train
307.93335,100.68604,Train
318.64386,121.92885,Train
164.93259,8.469581,Train
186.29953,69.73012,Train
253.2447,68.648056,Train
362.26813,133.29921,Train
296.36975,90.04639,Train
314.54962,91.84562,Train
290.8077,109.59535,Train
361.644,103.06039,Train
222.55855,36.608444,Train
293.55133,64.114685,Train
200.4732,11.462665,Train
185.61237,20.135853,Train
219.78311,93.14142,Train
201.48543,62.562603,Train
179.71931,37.90934,Train
283.9848,136.65077,Train
248.28185,83.52941,Train
230.11047,56.04616,Train
190.97069,40.479008,Train
253.36247,3.6937377,Train
445.28583,149.95956,Train
199.74078,88.86724,Train
234.22731,82.806854,Train
405.24542,141.19762,Train
247.2951,105.7115,Train
362.37637,138.56712,Train
155.48921,0.0,Train
365.13364,138.66565,Train
287.80963,120.97179,Train
256.0172,122.503075,Train
185.75636,61.35435,Train
227.5271,76.314255,Train
265.8294,106.96973,Train
251.66331,96.87004,Train
211.16797,0.0,Train
175.45493,0.0,Train
227.31447,96.683044,Train
128.7466,0.0,Train
173.75134,0.0,Train
477.82867,143.42592,Train
225.4786,42.250412,Train
190.20113,0.0,Train
165.49625,0.0,Train
221.36397,19.632013,Train
361.3043,126.36224,Train
256.3172,62.387207,Train
217.90271,56.101707,Train
267.06082,83.597244,Train
179.7915,0.0,Train
267.59482,40.714985,Train
187.4707,0.0,Train
331.4192,120.11371,Train
265.44028,29.493427,Train
287.03397,78.53007,Train
210.70024,50.78916,Train
267.43912,76.3059,Train
173.75058,7.5732727,Train
213.13466,39.19119,Train
153.87524,3.4105415,Train
125.51492,0.0,Train
181.21585,46.726856,Train
107.478035,0.0,Train
124.80148,0.0,Train
271.6862,136.61563,Train
145.63214,55.91145,Train
138.63936,0.0,Train
145.70782,0.15009144,Train
163.33755,3.405524,Train
398.02853,148.70868,Train
244.28078,98.10149,Train
213.09427,29.79044,Train
206.46902,125.84304,Train
154.40504,11.519723,Train
203.90231,100.05564,Train
95.96084,0.0,Train
243.58063,128.05594,Train
170.76166,67.58521,Train
245.00395,84.71409,Train
144.30751,5.3281507,Train
229.17232,61.920727,Train
195.09839,44.044533,Train
140.08571,15.878019,Train
215.7973,26.67632,Train
214.95671,40.185722,Train
305.19717,130.8983,Train
161.01865,17.646933,Train
181.42116,0.68631303,Train
380.40472,145.12924,Train
285.4693,124.38904,Train
218.61491,0.0,Train
186.84157,20.492853,Train
204.14925,22.11604,Train
284.53796,122.722374,Train
239.00772,63.689415,Train
249.55852,99.47113,Train
239.19034,105.33083,Train
155.4032,0.46865264,Train
264.19708,71.67531,Train
208.57202,39.94992,Train
286.02798,122.548035,Train
216.56497,35.43036,Train
287.183,88.60469,Train
252.88206,95.90654,Train
320.16217,95.37892,Train
261.5233,51.168682,Train
220.46547,64.90721,Train
122.75714,8.884829,Train
105.18885,7.9528427,Train
150.70113,63.218616,Train
108.793976,12.507434,Train
105.46739,53.527973,Train
249.22137,140.20007,Train
190.05594,80.81277,Train
67.971054,34.85134,Train
124.46674,35.170464,Train
118.043,10.852699,Train
409.19983,148.817,Train
164.93721,90.43255,Train
148.25517,60.767628,Train
184.1537,137.61154,Train
153.6328,36.95855,Train
256.19247,116.972435,Train
89.3327,0.0,Train
234.0535,117.61281,Train
161.85487,63.683525,Train
198.2368,94.10728,Train
129.69931,2.4304662,Train
127.742386,21.127983,Train
178.36603,63.800697,Train
134.57024,53.29951,Train
166.16632,0.0,Train
117.1704,0.0,Train
197.73169,94.64614,Train
96.35019,0.0,Train
93.0259,0.0,Train
285.75882,133.47696,Train
160.04898,33.429638,Train
90.39633,0.0,Train
76.8009,0.0,Train
129.76268,5.123615,Train
322.78168,128.89679,Train
165.8579,49.880337,Train
194.49132,43.471413,Train
156.68196,70.45567,Train
111.92982,0.0,Train
168.73488,10.82419,Train
89.09717,0.0,Train
265.01666,116.113754,Train
199.49338,26.537954,Train
263.52728,68.08337,Train
198.11842,54.53643,Train
178.26678,34.513115,Train
144.47235,0.87279147,Train
163.23512,31.01098,Train
117.809975,0.0,Train
86.07066,0.0,Train
306.3696,99.7242,Train
134.70682,0.0,Train
103.08227,0.0,Train
302.49597,131.0385,Train
172.94795,17.402327,Train
88.93817,0.0,Train
130.96666,0.0,Train
103.03339,0.0,Train
351.63837,135.60965,Train
180.28162,51.210716,Train
180.46312,17.84745,Train
362.68286,109.92786,Train
86.44088,0.0,Train
191.73715,28.994146,Train
129.07167,0.0,Train
342.94446,120.66707,Train
192.85547,80.46719,Train
224.80476,58.74165,Train
232.2923,52.33674,Train
148.8181,29.95045,Train
229.88216,9.137669,Train
209.48445,11.208866,Train
161.44604,5.597771,Train
74.48299,0.0,Train
183.55734,100.45422,Train
68.669106,0.0,Train
62.3183,0.0,Train
280.0049,135.12564,Train
144.22894,95.36006,Train
64.49039,0.0,Train
44.289253,0.0,Train
83.62554,4.6153393,Train
308.49924,139.78795,Train
116.91038,53.296333,Train
145.85892,56.67025,Train
160.84488,115.34495,Train
42.86827,0.0,Train
117.42908,32.98066,Train
62.527298,13.713834,Train
235.16295,125.81163,Train
162.836,55.86129,Train
178.0465,82.59523,Train
186.29439,83.419624,Train
194.57971,83.103806,Train
101.40245,6.013854,Train
148.2626,25.748383,Train
128.53716,20.264427,Train
152.99245,0.0,Train
195.01369,93.59154,Train
202.1009,0.0,Train
135.75407,0.0,Train
405.4732,128.80618,Train
202.75832,40.679245,Train
161.10938,21.424288,Train
88.0264,0.96316546,Train
95.509384,0.44978786,Train
274.55832,132.23007,Train
166.67323,10.1902685,Train
184.85411,62.072193,Train
262.60095,114.502975,Train
63.91373,0.0,Train
155.79248,46.687893,Train
153.23721,15.435196,Train
213.74788,105.10834,Train
305.82452,118.03093,Train
257.96713,100.165085,Train
245.17569,102.57754,Train
305.95023,106.55168,Train
181.29071,1.5270412,Train
172.19716,6.1685815,Train
234.1592,91.45661,Train
191.4595,5.4760213,Train
414.85187,129.9671,Train
218.33632,57.747272,Train
175.91283,22.788115,Train
511.58142,141.37881,Train
318.84207,126.91052,Train
238.19478,74.477646,Train
234.63957,64.177956,Train
175.17642,27.106344,Train
399.30536,136.28717,Train
266.52634,102.33815,Train
340.33942,115.94563,Train
417.74454,134.39774,Train
267.74173,76.92162,Train
229.83101,70.92112,Train
342.51236,86.45857,Train
346.78577,136.9824,Train
372.15125,119.79122,Train
334.6088,104.94944,Train
335.6584,115.95742,Train
340.30008,118.42582,Train
222.53384,65.44377,Train
216.85966,73.75999,Train
213.49524,76.236374,Train
163.89943,16.333948,Train
369.909,131.78946,Train
187.52396,28.55101,Train
169.7443,14.891375,Train
404.07,138.6264,Train
348.0011,133.07394,Train
204.53758,66.22811,Train
201.17944,49.005844,Train
173.42668,10.070095,Train
352.2793,118.90221,Train
261.7373,86.588196,Train
272.8007,102.6909,Train
255.96945,119.321556,Train
158.74359,33.15728,Train
250.62311,67.20445,Train
237.60802,60.16726,Train
291.1983,136.61504,Train
323.89395,120.842186,Train
335.695,107.54995,Train
267.10144,110.34375,Train
286.11325,111.21057,Train
203.73044,76.647446,Train
226.453,57.00772,Train
178.4855,22.954123,Train
167.57861,0.0,Train
230.24983,100.39016,Train
198.49915,6.677905,Train
159.82657,0.0,Train
436.2321,138.21999,Train
243.71573,51.936237,Train
208.77748,55.448006,Train
156.41733,1.7363207,Train
121.63527,0.83704776,Train
335.43134,135.16943,Train
167.8055,54.075493,Train
266.25775,85.4879,Train
322.78812,110.60232,Train
106.39661,5.3487077,Train
170.08319,65.91573,Train
237.34787,22.064411,Train
287.19067,115.66781,Train
340.61157,131.23225,Train
331.11057,115.41353,Train
269.18768,114.2995,Train
315.8429,122.94084,Train
229.57622,2.4967408,Train
216.88763,29.97167,Train
162.86272,19.280918,Train
145.19147,0.0,Train
260.5669,97.62569,Train
211.48897,0.45999855,Train
172.9577,0.09642534,Train
386.4731,131.6083,Train
250.03517,70.634415,Train
190.64389,28.148157,Train
124.29928,0.0,Train
138.50133,1.4973352,Train
324.25003,130.15387,Train
209.04541,14.283732,Train
202.38744,61.888958,Train
297.27612,118.35964,Train
112.211494,0.0,Train
224.69351,24.765158,Train
137.72218,38.28192,Train
257.29755,118.28984,Train
359.41953,127.001175,Train
290.0882,105.41313,Train
241.80353,104.1981,Train
361.56552,109.24005,Train
225.87416,18.048122,Train
205.72948,42.51303,Train
150.88213,18.052475,Train
129.30743,1.43794,Train
153.27383,39.59748,Train
131.78134,27.20646,Train
120.829926,0.0,Train
256.91962,137.50229,Train
179.55038,91.50661,Train
112.72226,0.24472594,Train
157.93523,5.458706,Train
154.18929,2.4493568,Train
321.98444,147.64653,Train
171.32068,77.8838,Train
209.69801,58.37572,Train
262.11642,137.4804,Train
206.07596,84.50349,Train
265.57657,123.6165,Train
104.618286,0.33004737,Train
262.20108,136.5588,Train
230.82498,92.7437,Train
223.98996,119.12543,Train
126.196045,25.62384,Train
192.94322,56.747974,Train
193.23149,96.157524,Train
246.06084,101.44248,Train
116.36806,0.0,Train
92.01878,0.0,Train
284.71704,99.038475,Train
144.96284,0.0,Train
89.25618,0.0,Train
282.09705,132.04185,Train
149.48546,29.106075,Train
114.9214,0.0,Train
76.904884,0.0,Train
87.935905,0.0,Train
330.01447,136.62398,Train
159.14056,20.134556,Train
166.8142,22.156963,Train
199.03535,101.21419,Train
119.30406,0.0,Train
179.6203,22.408566,Train
61.48408,0.0,Train
272.3954,136.6239,Train
126.35425,42.873672,Train
179.86064,79.3574,Train
184.41457,38.73769,Train
129.51602,17.737072,Train
162.16502,8.862079,Train
177.36156,29.238316,Train
151.21785,0.0,Train
112.47705,0.0,Train
301.27994,97.056404,Train
136.62656,0.0,Train
122.516884,0.0,Train
311.4509,133.67282,Train
206.42865,57.827126,Train
146.95009,0.0,Train
87.515236,0.0,Train
66.62409,0.0,Train
332.77664,146.41812,Train
189.47293,31.530666,Train
186.2129,35.99544,Train
305.49658,115.26461,Train
102.82399,0.0,Train
173.19508,15.176669,Train
124.6099,1.428989,Train
286.06842,105.870544,Train
244.57065,91.58724,Train
255.61658,85.40419,Train
287.7062,81.99866,Train
242.83957,84.1447,Train
229.51662,7.732962,Train
146.23738,0.42444196,Train
240.44957,55.623688,Train
193.72815,41.19162,Train
262.54984,97.65518,Train
201.9146,28.073673,Train
190.32245,22.813747,Train
357.27338,124.935135,Train
324.76743,126.60238,Train
253.80453,69.41039,Train
273.88474,52.56507,Train
217.00804,3.8666253,Train
324.67444,128.63087,Train
225.88391,77.59512,Train
249.63647,45.068962,Train
388.93213,147.33311,Train
290.27087,90.51528,Train
279.1527,109.020775,Train
208.57764,6.4353952,Train
355.04565,127.40698,Train
319.55676,67.26421,Train
284.11096,95.004166,Train
196.20824,60.32788,Train
283.3486,74.78655,Train
325.03207,80.54289,Train
307.25864,83.22626,Train
122.480865,0.0,Train
108.284904,0.0,Train
283.14615,87.57449,Train
136.06458,0.0,Train
101.0402,0.0,Train
279.57303,118.43345,Train
153.66307,49.98329,Train
101.3103,0.8060277,Train
112.01474,0.44334382,Train
94.776375,0.0,Train
280.5952,129.62999,Train
137.47125,4.5118237,Train
172.90448,24.52928,Train
215.39493,86.82696,Train
89.94256,0.0,Train
136.0474,12.017488,Train
122.709435,0.0,Train
256.42868,105.63719,Train
260.7051,102.838905,Train
244.03876,96.79773,Train
265.9296,81.73447,Train
179.37764,90.64251,Train
215.38287,32.673393,Train
174.44531,0.0,Train
303.47034,98.03082,Train
232.25417,10.108401,Train
381.59933,140.86702,Train
261.50583,82.58112,Train
232.47365,59.13508,Train
466.00278,142.26065,Train
297.09323,141.75238,Train
275.24503,106.52641,Train
256.9581,107.72056,Train
231.73253,63.23921,Train
364.06827,131.83437,Train
268.96533,90.84878,Train
317.42374,117.830154,Train
404.44342,132.32013,Train
197.52446,48.302353,Train
232.16681,92.294846,Train
277.37048,88.69725,Train
371.63547,138.99239,Train
241.96179,111.34578,Train
353.84943,144.48863,Train
315.2984,112.222,Train
315.30865,122.453575,Train
280.38028,95.41795,Train
291.01318,82.20509,Train
146.1763,39.015793,Train
97.26136,0.0,Train
230.4321,103.69808,Train
164.18852,2.7215102,Train
147.03061,0.0,Train
430.95837,134.7218,Train
326.47183,91.1682,Train
173.07097,25.693918,Train
117.75577,1.4614637,Train
111.526245,3.639956,Train
339.88242,126.693504,Train
190.32425,79.02492,Train
215.85176,87.12302,Train
272.96497,120.61448,Train
162.16382,8.1146755,Train
208.94836,55.69689,Train
192.81859,61.132507,Train
250.27449,130.25648,Train
304.31607,116.92881,Train
305.94333,99.91618,Train
209.65627,99.739456,Train
358.45486,110.995384,Train
220.33916,46.290924,Train
211.80913,55.193554,Train
162.22572,0.0,Train
140.66893,0.0,Train
371.1663,101.250534,Train
164.21783,0.0,Train
118.32354,0.0,Train
352.48343,121.962326,Train
236.69746,13.877007,Train
117.465675,0.0,Train
211.78806,0.0,Train
176.66461,0.0,Train
495.09534,146.28362,Train
187.0802,33.882862,Train
201.11926,9.6288,Train
428.7125,125.88369,Train
148.85988,0.0,Train
233.06143,68.14968,Train
142.31715,0.0,Train
342.12704,129.41486,Train
219.99112,54.772266,Train
234.40935,73.51578,Train
262.88174,15.8358555,Train
193.40833,17.874924,Train
256.98907,4.63611,Train
229.62396,5.185163,Train
382.6302,101.16098,Train
262.36627,59.847973,Train
422.18213,128.62357,Train
298.57773,81.825935,Train
276.5531,65.543686,Train
492.60822,141.58403,Train
362.2431,130.37529,Train
315.95776,94.82182,Train
322.25217,105.03505,Train
279.6263,61.468536,Train
328.08023,128.55617,Train
275.11392,97.42699,Train
334.22736,122.01536,Train
417.92053,137.80704,Train
270.69348,93.775894,Train
270.5462,98.31631,Train
291.47867,109.75388,Train
466.4909,142.10161,Train
354.5829,141.58069,Train
424.75464,140.62479,Train
407.50613,136.48004,Train
421.8374,120.587036,Train
299.74844,102.40287,Train
268.73923,85.66684,Train
221.62071,0.0,Train
147.51186,0.0,Train
255.47449,79.18878,Train
171.00862,0.0,Train
149.61426,0.0,Train
369.7914,139.02158,Train
177.04004,29.94772,Train
169.86017,0.0,Train
96.25181,0.0,Train
232.71495,7.9810305,Train
414.74957,139.21355,Train
313.3557,79.66157,Train
215.53336,26.026325,Train
226.2825,82.62929,Train
139.10313,0.0,Train
247.99529,8.312079,Train
157.45892,0.0,Train
308.49405,120.60091,Train
200.6007,39.543015,Train
257.27884,67.24985,Train
223.02847,39.85575,Train
174.84961,5.541313,Train
200.24225,0.0,Train
190.70639,47.644905,Train
296.95526,107.684875,Train
159.94954,56.486866,Train
331.01968,122.22539,Train
208.1657,98.767914,Train
151.88757,78.541336,Train
319.6853,123.01184,Train
207.5589,113.79054,Train
197.00836,91.02269,Train
176.03369,114.56576,Train
134.13487,67.31154,Train
256.81192,121.492714,Train
183.56483,88.263794,Train
253.8936,118.14435,Train
317.29825,133.6794,Train
93.77874,66.54516,Train
220.3351,87.86852,Train
196.46733,94.341034,Train
340.6754,131.2088,Train
222.45937,117.07029,Train
289.81918,143.44656,Train
308.25485,127.44161,Train
295.2664,129.85191,Train
173.85379,113.182816,Train
189.01706,95.90501,Train
190.25111,14.030828,Train
105.92504,0.0,Train
322.67197,119.10072,Train
147.4919,0.0,Train
150.88484,0.0,Train
360.8508,139.4325,Train
210.38976,80.48144,Train
154.50174,0.0,Train
91.686714,0.0,Train
133.9447,5.2792253,Train
284.7757,124.48572,Train
204.6797,25.499947,Train
194.65672,67.88993,Train
167.20674,78.80887,Train
122.32978,0.0,Train
193.02582,51.974976,Train
130.79488,10.859054,Train
261.13693,115.30453,Train
178.052,24.294239,Train
235.04007,86.64126,Train
246.60117,81.799904,Train
268.73526,86.05052,Train
140.44235,27.228779,Train
194.22247,37.451626,Train
186.6194,23.874264,Train
123.16004,0.0,Train
259.25784,102.60207,Train
139.91278,26.518707,Train
122.12488,0.6909554,Train
331.8941,131.51823,Train
205.7205,58.196697,Train
149.60405,2.837994,Train
146.04472,8.408407,Train
212.54256,0.0,Train
457.59753,146.45428,Train
125.20967,86.676216,Train
205.87894,23.514109,Train
426.60538,150.0459,Train
125.88894,26.62797,Train
196.22966,98.44866,Train
63.627525,0.0,Train
291.58255,129.41556,Train
236.09471,80.29552,Train
261.16403,96.33074,Train
198.79048,23.937344,Train
251.97409,56.4882,Train
200.21484,52.71224,Train
232.51274,47.118725,Train
345.60175,107.3619,Train
229.35666,46.265568,Train
330.20267,123.89406,Train
256.1397,74.536896,Train
231.16785,60.053253,Train
465.28705,146.3806,Train
296.9973,132.39354,Train
247.79866,92.040726,Train
237.19107,95.42733,Train
205.67455,63.185863,Train
317.74908,127.79588,Train
230.41472,106.850876,Train
342.6714,128.19414,Train
385.01917,143.61337,Train
217.45798,57.918274,Train
203.98787,111.2927,Train
243.10884,108.04158,Train
362.82086,139.26945,Train
230.62396,113.6241,Train
315.51813,144.35313,Train
330.5034,137.99045,Train
317.57968,139.46286,Train
248.74706,116.97322,Train
250.00551,89.1593,Train
173.44489,0.0,Train
71.73696,0.0,Train
215.10692,88.27085,Train
131.05475,0.0,Train
99.58045,0.0,Train
372.68405,140.31313,Train
173.36551,27.255615,Train
103.624855,0.0,Train
110.96208,0.0,Train
205.87718,14.174051,Train
384.87018,131.5383,Train
350.44104,98.75604,Train
200.58978,60.543816,Train
211.8164,105.84017,Train
139.12091,0.0,Train
266.0033,28.637253,Train
98.963554,0.0,Train
271.50168,122.25928,Train
181.6177,10.256735,Train
193.31161,68.23131,Train
226.08339,70.30763,Train
234.43304,64.34352,Train
155.36058,10.412209,Train
174.366,16.182545,Train
110.59705,0.0,Train
86.060646,0.0,Train
166.59027,12.641169,Train
121.18595,0.0,Train
117.847664,0.0,Train
237.07542,135.66885,Train
118.36922,40.97136,Train
90.72906,6.0548944,Train
80.65493,0.0,Train
112.64685,8.88051,Train
340.7048,137.9479,Train
351.82883,108.890076,Train
181.01886,39.440285,Train
185.27493,109.96312,Train
133.59706,0.0,Train
225.48523,30.734121,Train
61.939438,0.0,Train
262.4597,105.29759,Train
144.54597,39.54381,Train
212.1983,66.18624,Train
188.91667,28.52709,Train
179.70108,35.275368,Train
202.05154,35.442238,Train
154.46803,21.610859,Train
150.37607,2.3600469,Train
108.044754,0.0,Train
156.78445,31.37063,Train
104.09515,1.2695712,Train
128.47685,1.0698552,Train
317.42957,139.97556,Train
191.4533,54.43109,Train
181.048,10.586875,Train
128.71375,0.0,Train
177.95047,1.3078873,Train
402.2582,144.76712,Train
269.63696,115.38075,Train
207.08672,45.864338,Train
235.60747,113.38435,Train
148.69923,0.53491956,Train
222.86201,90.69111,Train
97.59579,0.0,Train
241.90057,107.79668,Train
197.27635,64.18022,Train
261.22314,82.52116,Train
153.74095,10.422798,Train
210.82976,32.212425,Train
201.48956,49.854134,Train
174.72038,38.707214,Train
199.69504,1.7068027,Train
160.62917,0.0,Train
338.60416,111.226906,Train
187.62006,0.0,Train
131.17682,0.0,Train
319.77448,123.51627,Train
235.413,8.825769,Train
133.5924,0.0,Train
227.8127,0.0,Train
171.57387,0.0,Train
444.37592,147.86398,Train
181.71884,46.170345,Train
223.60266,14.104487,Train
440.52734,132.43178,Train
160.49294,1.699482,Train
286.4994,68.12623,Train
132.54672,0.0,Train
356.63495,130.81241,Train
234.26404,59.9269,Train
241.43402,86.290825,Train
248.64488,16.684334,Train
178.89662,0.5887093,Train
235.18925,0.0,Train
197.02275,4.35174,Train
289.90472,110.00613,Train
208.2625,66.13881,Train
438.21097,141.99997,Train
276.25018,97.44231,Train
226.38011,68.543076,Train
372.60077,135.57701,Train
305.41214,140.95515,Train
273.31424,100.912865,Train
290.30704,121.94376,Train
216.3906,66.48567,Train
345.56485,138.08904,Train
250.82983,101.39228,Train
289.18555,121.79488,Train
397.632,141.04929,Train
282.16913,71.64515,Train
303.29703,109.3282,Train
272.01562,98.28609,Train
394.82495,132.55028,Train
325.22498,139.33957,Train
385.21576,146.25987,Train
368.29724,136.5089,Train
421.46945,128.34831,Train
226.23239,113.04203,Train
220.08606,84.24309,Train
194.53894,54.377922,Train
162.62254,0.0,Train
270.76404,108.779686,Train
207.46338,11.461996,Train
179.22061,10.754965,Train
480.03574,145.1734,Train
262.90872,74.81749,Train
210.33958,35.126827,Train
154.32834,8.689781,Train
133.37495,1.572664,Train
360.97946,136.60326,Train
