Loss,Payout,Set
370.86203,103.30975,Train
370.88138,0.0,Train
244.96837,0.0,Train
255.62302,21.811632,Train
150.84529,0.0,Train
270.13522,0.0,Train
175.99281,0.11603352,Train
291.91803,1.0558965,Train
208.41092,0.0,Train
236.97144,5.788706,Train
251.59961,0.0,Train
290.7954,0.0,Train
123.55889,0.0,Train
201.39,0.0,Train
230.28876,5.7687917,Train
150.75517,0.0,Train
307.9824,55.508533,Train
238.75261,23.378103,Train
211.6321,86.5722,Train
345.62085,97.65995,Train
143.71889,0.0,Train
312.92618,107.8337,Train
111.242744,15.806656,Train
235.16858,90.973526,Train
226.20367,56.416145,Train
266.34805,93.98604,Train
268.10168,46.60664,Train
269.9646,136.82231,Train
201.93678,57.46571,Train
158.51823,1.1842499,Train
395.20895,165.65114,Train
201.50894,35.916645,Train
437.24704,87.902145,Train
237.80109,0.0,Train
307.93335,20.40997,Train
318.64386,79.30424,Train
164.93259,0.0,Train
186.29953,0.57841665,Train
253.2447,2.6585815,Train
362.26813,78.05477,Train
296.36975,25.000338,Train
314.54962,33.40853,Train
290.8077,18.382504,Train
361.644,42.191357,Train
222.55855,0.0,Train
293.55133,0.0,Train
403.1223,125.141014,Train
285.27155,36.08093,Train
445.28583,140.37352,Train
199.74078,4.8201365,Train
234.22731,0.0,Train
405.24542,62.109222,Train
247.2951,10.931239,Train
362.37637,8.9642515,Train
155.48921,0.0,Train
365.13364,39.354958,Train
287.80963,3.0218494,Train
256.0172,4.487075,Train
185.75636,0.0,Train
227.5271,0.2341619,Train
265.8294,0.0,Train
251.66331,3.7545044,Train
304.02878,16.401478,Train
244.42584,9.923162,Train
361.3043,107.97135,Train
256.3172,0.0,Train
217.90271,0.0,Train
267.06082,27.653233,Train
179.7915,0.0,Train
267.59482,0.0,Train
187.4707,0.0,Train
331.4192,0.4926096,Train
265.44028,0.0,Train
287.03397,0.16569547,Train
210.70024,0.0,Train
267.43912,1.2077041,Train
173.75058,0.0,Train
213.13466,0.0,Train
277.0913,15.436048,Train
159.12057,0.0,Train
398.02853,142.24146,Train
244.28078,3.5527358,Train
213.09427,0.0,Train
206.46902,44.631218,Train
154.40504,0.0,Train
203.90231,4.574008,Train
95.96084,0.0,Train
243.58063,43.359486,Train
170.76166,2.470806,Train
245.00395,8.33312,Train
144.30751,0.0,Train
229.17232,0.0,Train
195.09839,0.0,Train
140.08571,0.0,Train
169.1343,13.626501,Train
135.24413,3.6469274,Train
284.53796,86.78243,Train
239.00772,0.0,Train
249.55852,19.645016,Train
239.19034,58.005486,Train
155.4032,0.0,Train
264.19708,0.0,Train
208.57202,0.85281104,Train
286.02798,52.417854,Train
216.56497,0.0,Train
287.183,21.877686,Train
252.88206,18.93371,Train
320.16217,52.487682,Train
261.5233,0.0,Train
220.46547,0.0,Train
385.98865,98.08871,Train
236.5929,25.898691,Train
409.19983,120.62744,Train
164.93721,6.203557,Train
148.25517,0.0,Train
184.1537,32.53017,Train
153.6328,0.85047483,Train
256.19247,1.5218362,Train
89.3327,0.0,Train
234.0535,26.230417,Train
161.85487,0.0,Train
198.2368,2.4109888,Train
129.69931,0.0,Train
127.742386,0.0,Train
178.36603,0.0,Train
134.57024,0.070956476,Train
97.85502,9.46861,Train
124.22036,5.4351606,Train
322.78168,104.67256,Train
165.8579,0.0,Train
194.49132,0.0,Train
156.68196,11.512508,Train
111.92982,0.0,Train
168.73488,0.0,Train
89.09717,0.0,Train
265.01666,2.3880866,Train
199.49338,0.0,Train
263.52728,0.0,Train
198.11842,0.0,Train
178.26678,0.0,Train
144.47235,0.0,Train
163.23512,0.0,Train
210.05511,2.0663407,Train
102.93232,0.0,Train
351.63837,108.28194,Train
180.28162,0.0,Train
180.46312,0.0,Train
362.68286,37.510944,Train
86.44088,0.0,Train
191.73715,0.0,Train
129.07167,0.0,Train
342.94446,21.570442,Train
192.85547,0.13198642,Train
224.80476,0.0,Train
232.2923,0.28651315,Train
148.8181,0.0,Train
229.88216,0.0,Train
209.48445,0.0,Train
255.62502,0.818618,Train
112.80384,0.0,Train
308.49924,117.517395,Train
116.91038,0.0,Train
145.85892,1.3290505,Train
160.84488,59.783928,Train
42.86827,0.0,Train
117.42908,0.0,Train
62.527298,0.0,Train
235.16295,38.34683,Train
162.836,0.51539093,Train
178.0465,0.086895786,Train
186.29439,3.2508938,Train
194.57971,6.8393545,Train
101.40245,0.0,Train
148.2626,0.0,Train
251.16019,45.163097,Train
74.09519,0.0,Train
274.55832,99.975876,Train
166.67323,0.0,Train
184.85411,0.6866324,Train
262.60095,52.012306,Train
63.91373,0.0,Train
155.79248,0.0,Train
153.23721,0.0,Train
213.74788,52.191143,Train
305.82452,33.321663,Train
257.96713,28.64423,Train
245.17569,28.177654,Train
305.95023,52.76883,Train
181.29071,0.0,Train
172.19716,0.0,Train
306.6696,114.24718,Train
196.20796,6.8210363,Train
399.30536,108.72154,Train
266.52634,11.229372,Train
340.33942,54.085052,Train
417.74454,98.27983,Train
267.74173,0.0,Train
229.83101,0.37889862,Train
342.51236,28.294683,Train
346.78577,97.98283,Train
372.15125,51.428204,Train
334.6088,39.31463,Train
335.6584,23.537807,Train
340.30008,77.57492,Train
222.53384,0.0,Train
216.85966,0.5411733,Train
487.77756,159.58792,Train
293.2875,48.481346,Train
352.2793,72.24437,Train
261.7373,5.7262344,Train
272.8007,24.380434,Train
255.96945,73.79382,Train
158.74359,0.0,Train
250.62311,0.0,Train
237.60802,0.53551775,Train
291.1983,57.815155,Train
323.89395,41.352932,Train
335.695,39.86508,Train
267.10144,21.024433,Train
286.11325,58.39563,Train
203.73044,0.0,Train
226.453,0.0,Train
347.28094,116.51361,Train
279.21426,20.674505,Train
335.43134,104.08087,Train
167.8055,0.0,Train
266.25775,11.412389,Train
322.78812,51.067562,Train
106.39661,0.0,Train
170.08319,0.0,Train
237.34787,0.0,Train
287.19067,51.69117,Train
340.61157,37.025597,Train
331.11057,34.475533,Train
269.18768,33.636635,Train
315.8429,53.806355,Train
229.57622,0.0,Train
216.88763,0.0,Train
375.77716,102.70182,Train
233.7448,1.3399899,Train
324.25003,99.93831,Train
209.04541,0.0,Train
202.38744,0.77849025,Train
297.27612,53.549675,Train
112.211494,0.0,Train
224.69351,0.0,Train
137.72218,0.0,Train
257.29755,52.593254,Train
359.41953,30.626842,Train
290.0882,22.689888,Train
241.80353,20.49195,Train
361.56552,53.478638,Train
225.87416,0.0,Train
205.72948,0.0,Train
297.63144,111.02248,Train
197.08008,1.1332681,Train
321.98444,126.12572,Train
171.32068,0.11966385,Train
209.69801,0.0,Train
262.11642,52.999493,Train
206.07596,6.020186,Train
265.57657,4.6419644,Train
104.618286,0.0,Train
262.20108,31.119339,Train
230.82498,0.0,Train
223.98996,3.3401253,Train
126.196045,0.0,Train
192.94322,0.0,Train
193.23149,0.0,Train
246.06084,4.3441358,Train
256.9313,42.454384,Train
169.84283,6.2826223,Train
330.01447,126.252785,Train
159.14056,0.0,Train
166.8142,0.0,Train
199.03535,27.814648,Train
119.30406,0.0,Train
179.6203,0.0,Train
61.48408,0.0,Train
272.3954,32.915108,Train
126.35425,0.0,Train
179.86064,0.0,Train
184.41457,0.0,Train
129.51602,0.0,Train
162.16502,0.0,Train
177.36156,0.0,Train
273.10562,1.287708,Train
113.39725,0.0,Train
332.77664,114.20177,Train
189.47293,0.0,Train
186.2129,0.041265287,Train
305.49658,45.31739,Train
102.82399,0.0,Train
173.19508,0.0,Train
124.6099,0.0,Train
286.06842,50.193005,Train
244.57065,13.191974,Train
255.61658,0.0,Train
287.7062,13.046625,Train
242.83957,4.800313,Train
229.51662,0.0,Train
146.23738,0.0,Train
280.00186,45.30828,Train
137.31003,0.0,Train
324.67444,131.51187,Train
225.88391,1.9259514,Train
249.63647,0.0,Train
388.93213,70.225876,Train
290.27087,7.1671486,Train
279.1527,10.339284,Train
208.57764,0.0,Train
355.04565,59.26954,Train
319.55676,0.0,Train
284.11096,5.6289105,Train
196.20824,0.0,Train
283.3486,7.2757072,Train
325.03207,0.0,Train
307.25864,5.357486,Train
450.52826,43.80338,Train
250.84099,0.9117979,Train
280.5952,81.640915,Train
137.47125,0.0,Train
172.90448,0.0,Train
215.39493,10.152948,Train
89.94256,0.0,Train
136.0474,0.0,Train
122.709435,0.0,Train
256.42868,13.080014,Train
260.7051,0.0,Train
244.03876,0.0,Train
265.9296,0.26233155,Train
179.37764,9.569814,Train
215.38287,0.0,Train
174.44531,0.0,Train
256.06497,57.185387,Train
159.2418,0.0,Train
364.06827,99.81452,Train
268.96533,2.4154792,Train
317.42374,53.46891,Train
404.44342,108.66197,Train
197.52446,0.0,Train
232.16681,34.954556,Train
277.37048,18.193254,Train
371.63547,118.995995,Train
241.96179,59.34953,Train
353.84943,63.468376,Train
315.2984,38.710243,Train
315.30865,96.4022,Train
280.38028,0.16749513,Train
291.01318,0.3518861,Train
466.20743,181.05524,Train
413.963,75.49336,Train
339.88242,93.79642,Train
190.32425,0.0,Train
215.85176,5.2880373,Train
272.96497,63.182343,Train
162.16382,0.0,Train
208.94836,0.0,Train
192.81859,0.21927068,Train
250.27449,63.44967,Train
304.31607,27.312977,Train
305.94333,16.686455,Train
209.65627,10.783644,Train
358.45486,44.186363,Train
220.33916,0.0,Train
211.80913,0.0,Train
364.36478,123.56384,Train
195.00609,10.223176,Train
495.09534,129.47806,Train
187.0802,0.0,Train
201.11926,0.0,Train
428.7125,40.60583,Train
148.85988,0.0,Train
233.06143,0.1300756,Train
142.31715,0.0,Train
342.12704,18.849361,Train
219.99112,0.0,Train
234.40935,0.0,Train
262.88174,0.0,Train
193.40833,0.0,Train
256.98907,0.0,Train
229.62396,0.0,Train
226.81303,0.0,Train
161.05627,0.0,Train
328.08023,83.124725,Train
275.11392,18.272144,Train
334.22736,51.335987,Train
417.92053,117.96968,Train
270.69348,0.0,Train
270.5462,9.727881,Train
291.47867,25.964275,Train
466.4909,141.47493,Train
354.5829,71.5854,Train
424.75464,58.741688,Train
407.50613,78.13816,Train
421.8374,115.12172,Train
299.74844,2.8228054,Train
268.73923,0.52565324,Train
573.80975,216.31259,Train
486.96005,77.73621,Train
414.74957,130.62038,Train
313.3557,0.30838192,Train
215.53336,0.0,Train
226.2825,13.696016,Train
139.10313,0.0,Train
247.99529,0.0,Train
157.45892,0.0,Train
308.49405,9.533765,Train
200.6007,0.0,Train
257.27884,0.0,Train
223.02847,0.0,Train
174.84961,0.0,Train
200.24225,0.0,Train
190.70639,0.0,Train
191.74203,1.0908372,Train
164.84917,0.0,Train
256.81192,54.552742,Train
183.56483,15.843204,Train
253.8936,63.87084,Train
317.29825,125.5728,Train
93.77874,0.24583682,Train
220.3351,50.605286,Train
196.46733,2.2140956,Train
340.6754,107.90523,Train
222.45937,50.47097,Train
289.81918,77.09649,Train
308.25485,53.70852,Train
295.2664,116.28566,Train
173.85379,28.980927,Train
189.01706,1.5058248,Train
424.7562,190.8183,Train
275.57117,59.189888,Train
284.7757,97.52956,Train
204.6797,0.0,Train
194.65672,2.7749279,Train
167.20674,25.301872,Train
122.32978,0.0,Train
193.02582,0.0,Train
130.79488,0.0,Train
261.13693,20.222654,Train
178.052,0.0,Train
235.04007,5.0551534,Train
246.60117,3.4474194,Train
268.73526,21.98913,Train
140.44235,0.0,Train
194.22247,0.0,Train
300.5756,48.89278,Train
165.50172,0.0,Train
457.59753,145.59564,Train
125.20967,1.0698066,Train
205.87894,0.0,Train
426.60538,70.10181,Train
125.88894,0.0,Train
196.22966,2.538405,Train
63.627525,0.0,Train
291.58255,29.13593,Train
236.09471,0.0,Train
261.16403,1.9908047,Train
198.79048,0.0,Train
251.97409,0.0,Train
200.21484,0.0,Train
232.51274,0.0,Train
289.3678,48.4769,Train
143.27998,0.0,Train
317.74908,75.90355,Train
230.41472,10.328914,Train
342.6714,75.26096,Train
385.01917,119.27433,Train
217.45798,1.3420506,Train
203.98787,36.426155,Train
243.10884,16.560642,Train
362.82086,104.7285,Train
230.62396,38.011024,Train
315.51813,54.06369,Train
330.5034,80.08713,Train
317.57968,111.40492,Train
248.74706,13.366374,Train
250.00551,0.4527537,Train
492.855,176.2197,Train
438.2956,60.871346,Train
384.87018,120.100464,Train
350.44104,2.22015,Train
200.58978,0.0,Train
211.8164,38.01974,Train
139.12091,0.0,Train
266.0033,0.0,Train
98.963554,0.0,Train
271.50168,0.25749594,Train
181.6177,0.0,Train
193.31161,0.0,Train
226.08339,6.676974,Train
234.43304,0.0,Train
155.36058,0.0,Train
174.366,0.0,Train
182.9493,24.35373,Train
135.61047,0.0,Train
340.7048,116.29266,Train
351.82883,2.1729772,Train
181.01886,0.0,Train
185.27493,27.192303,Train
133.59706,0.0,Train
225.48523,0.0,Train
61.939438,0.0,Train
262.4597,1.1177316,Train
144.54597,0.0,Train
212.1983,0.0,Train
188.91667,0.0,Train
179.70108,0.0,Train
202.05154,0.0,Train
154.46803,0.0,Train
148.95056,0.0,Train
150.49915,0.0,Train
402.2582,137.82451,Train
269.63696,1.6948197,Train
207.08672,0.0,Train
235.60747,38.83866,Train
148.69923,0.0,Train
222.86201,1.0972863,Train
97.59579,0.0,Train
241.90057,33.271545,Train
197.27635,0.1357536,Train
261.22314,2.8985112,Train
153.74095,0.0,Train
210.82976,0.0,Train
201.48956,0.0,Train
174.72038,0.0,Train
144.5222,0.85854185,Train
145.89503,0.0,Train
444.37592,126.40253,Train
181.71884,0.0,Train
223.60266,0.0,Train
440.52734,43.631493,Train
160.49294,0.0,Train
286.4994,0.0,Train
132.54672,0.0,Train
356.63495,26.52064,Train
234.26404,0.0,Train
241.43402,0.0,Train
248.64488,0.0,Train
178.89662,0.0,Train
235.18925,0.0,Train
197.02275,0.0,Train
207.89714,0.0,Train
211.81241,0.0,Train
345.56485,93.587296,Train
250.82983,17.153141,Train
289.18555,48.143036,Train
397.632,115.05052,Train
282.16913,0.0,Train
303.29703,21.749687,Train
272.01562,6.1295414,Train
394.82495,104.67285,Train
325.22498,65.305145,Train
385.21576,57.71623,Train
368.29724,60.00294,Train
421.46945,114.78884,Train
226.23239,2.232504,Train
220.08606,0.012400573,Train
490.53043,187.08728,Train
302.56555,80.20659,Train
360.97946,98.959236,Train
224.64185,0.0,Train
266.8621,6.4820504,Train
421.14023,63.64497,Train
144.97626,0.0,Train
236.37015,0.0,Train
191.32191,0.0,Train
307.33157,65.541336,Train
342.89908,43.69467,Train
294.52448,30.649761,Train
284.70776,25.242382,Train
376.44894,66.51085,Train
244.24797,0.0,Train
220.60487,0.0,Train
393.01968,137.02655,Train
236.49234,20.244703,Train
382.80618,91.7408,Train
312.39957,8.195819,Train
403.07135,43.753273,Train
455.32156,86.10963,Train
315.15018,0.0,Train
297.5572,0.3621196,Train
311.54263,1.717179,Train
455.10648,117.57373,Train
364.24875,45.152924,Train
402.96942,39.20455,Train
354.2685,73.50023,Train
403.646,84.52815,Train
267.6019,0.24862543,Train
268.13623,0.0,Train
496.24896,155.5068,Train
479.4401,55.63036,Train
