Loss,Payout,Set
251.80275,79.81831,Train
277.45444,96.14271,Train
254.17377,91.889496,Train
237.96075,4.4719353,Train
242.81538,76.68114,Train
205.73767,11.828372,Train
245.7276,60.07749,Train
257.78516,64.39081,Train
227.91039,32.016563,Train
205.10326,0.0,Train
196.36377,0.0,Train
219.19194,54.272514,Train
175.58775,0.60311574,Train
230.05121,45.578087,Train
155.0823,3.6921375,Train
171.18106,0.0,Train
257.34747,24.182537,Train
245.58151,108.95968,Train
163.88321,0.0,Train
166.25255,12.078684,Train
200.18953,17.883818,Train
258.69418,107.95613,Train
219.26645,29.48223,Train
260.40637,94.10239,Train
347.11395,124.70441,Train
227.38919,0.0,Train
142.73206,0.0,Train
296.14258,123.3939,Train
183.62074,21.75953,Train
162.16656,0.0,Train
441.78003,143.91812,Train
248.96112,72.48003,Train
140.20988,0.0,Train
150.52629,0.0,Train
167.91034,25.784195,Train
370.86203,127.334854,Train
370.88138,117.78817,Train
244.96837,112.98546,Train
255.62302,103.216896,Train
150.84529,0.26685125,Train
270.13522,76.65432,Train
175.99281,14.825821,Train
291.91803,125.352005,Train
208.41092,32.782627,Train
276.36444,128.53604,Train
269.81024,128.06084,Train
277.3653,126.67729,Train
257.02963,129.17009,Train
285.80322,126.74231,Train
279.6861,135.54343,Train
238.67824,120.399216,Train
257.27963,124.10443,Train
223.49033,110.42196,Train
235.31027,122.045555,Train
215.73949,107.80894,Train
234.77797,126.48881,Train
267.92572,120.65529,Train
266.18274,119.10995,Train
187.54904,78.71583,Train
221.0246,102.648026,Train
202.10944,128.48116,Train
347.80353,129.05751,Train
192.6069,121.86971,Train
188.01955,90.48223,Train
194.04146,113.30505,Train
273.67264,129.13274,Train
248.41307,113.867775,Train
219.76279,119.5695,Train
184.22177,108.176575,Train
190.79004,117.68419,Train
155.46756,75.32015,Train
358.25436,134.50827,Train
186.65042,116.139465,Train
176.15575,101.51429,Train
358.27036,138.82101,Train
246.49422,113.75912,Train
197.82736,110.90987,Train
236.76978,118.0542,Train
195.32146,108.05347,Train
307.9824,133.63535,Train
238.75261,121.13336,Train
211.6321,126.875595,Train
345.62085,134.32986,Train
143.71889,86.47658,Train
312.92618,134.64554,Train
111.242744,103.35559,Train
235.16858,119.97215,Train
226.20367,110.55074,Train
302.63846,121.12927,Train
401.45456,132.03978,Train
265.84888,103.2202,Train
249.32144,103.770615,Train
295.87222,113.735756,Train
248.00122,85.05685,Train
287.70847,107.68571,Train
292.49393,119.442276,Train
241.35762,65.338615,Train
249.79953,72.71956,Train
240.81967,49.22215,Train
357.91806,112.7744,Train
258.09464,43.825043,Train
308.8495,119.46262,Train
223.18253,4.6446114,Train
256.5938,83.15817,Train
255.08331,77.98603,Train
351.65103,127.349815,Train
269.797,61.22936,Train
230.0212,47.252884,Train
302.3236,60.431652,Train
308.20425,117.348434,Train
223.16312,42.530727,Train
351.7002,120.65764,Train
249.31552,105.66183,Train
245.00908,69.168686,Train
212.78085,23.858833,Train
355.63086,128.62463,Train
201.05908,53.206024,Train
204.06554,9.939691,Train
490.6502,136.8086,Train
346.81314,130.67145,Train
227.55428,61.035973,Train
199.37363,35.88884,Train
220.27122,53.92686,Train
437.24704,133.9505,Train
237.80109,94.38752,Train
307.93335,118.9808,Train
318.64386,130.2233,Train
164.93259,32.518192,Train
186.29953,93.22285,Train
253.2447,78.42679,Train
362.26813,126.62959,Train
296.36975,105.43651,Train
204.25746,104.10915,Train
213.10715,68.150375,Train
256.9884,101.041756,Train
213.40125,74.90524,Train
246.84567,74.1109,Train
241.82167,105.303,Train
219.32924,74.66448,Train
280.8684,116.41394,Train
216.43913,105.916794,Train
197.54144,83.94855,Train
210.17534,107.351036,Train
198.3408,70.37358,Train
221.53786,82.90321,Train
230.7665,83.26666,Train
177.0267,72.79248,Train
189.81848,58.756695,Train
188.64186,57.778076,Train
246.9968,111.02013,Train
203.88333,72.814705,Train
181.80144,59.24936,Train
240.25111,90.2439,Train
365.23236,124.60388,Train
217.24521,70.8106,Train
237.28964,112.09172,Train
201.36563,13.406107,Train
200.4732,36.075455,Train
185.61237,35.84896,Train
219.78311,83.751854,Train
201.48543,41.542274,Train
179.71931,31.776886,Train
283.9848,129.09872,Train
248.28185,93.05979,Train
230.11047,57.028847,Train
190.97069,68.36125,Train
253.36247,51.649403,Train
445.28583,134.03262,Train
199.74078,114.90499,Train
234.22731,99.99551,Train
405.24542,127.071556,Train
247.2951,118.089615,Train
362.37637,126.38826,Train
155.48921,17.319098,Train
365.13364,128.73325,Train
287.80963,116.260666,Train
270.08813,85.9546,Train
281.56015,101.92018,Train
265.1048,87.071396,Train
245.22202,4.8494163,Train
256.91183,94.57481,Train
223.17427,26.567698,Train
270.00928,96.1798,Train
274.9169,56.54827,Train
262.39713,14.875812,Train
228.94992,0.0,Train
195.57533,0.0,Train
249.77333,77.27077,Train
241.04393,32.78814,Train
235.88713,56.477955,Train
157.30292,1.2057154,Train
197.7913,0.0,Train
241.85228,23.379772,Train
289.48587,112.94027,Train
207.69203,0.9322232,Train
199.47081,7.115274,Train
205.32217,5.553738,Train
288.24615,106.476585,Train
213.7427,21.635149,Train
254.81186,88.24582,Train
288.9536,113.79677,Train
211.16797,0.0,Train
175.45493,0.0,Train
227.31447,113.72001,Train
128.7466,1.383048,Train
173.75134,0.0,Train
477.82867,136.10205,Train
225.4786,81.86703,Train
190.20113,0.0,Train
165.49625,0.0,Train
221.36397,58.577354,Train
361.3043,124.52097,Train
256.3172,97.8791,Train
217.90271,74.71675,Train
267.06082,101.163605,Train
179.7915,0.0,Train
267.59482,67.73808,Train
187.4707,0.007474059,Train
331.4192,128.44559,Train
265.44028,31.247696,Train
186.29193,69.15732,Train
187.90018,60.446808,Train
189.56969,84.56962,Train
163.30045,6.782689,Train
172.09247,25.275417,Train
166.94576,43.864445,Train
175.86029,49.453995,Train
181.33607,65.19304,Train
158.87312,37.67267,Train
157.47144,0.4158319,Train
156.131,37.39635,Train
179.3518,27.059216,Train
136.13388,9.9223585,Train
145.47722,17.591423,Train
123.38181,0.28911448,Train
167.84766,34.688522,Train
110.874756,11.439901,Train
270.96313,105.14115,Train
130.11273,6.8266363,Train
139.82361,11.822919,Train
142.59575,3.7334952,Train
239.92912,105.71503,Train
109.82378,8.937606,Train
