Loss,Payout,Set
255.15715,51.06424,Train
208.29929,53.45473,Train
217.13188,52.565063,Train
179.1049,31.402304,Train
155.81839,11.209009,Train
147.62231,0.0,Train
231.5167,52.828987,Train
162.85152,2.1124997,Train
181.02678,47.01444,Train
207.99251,29.334543,Train
146.79866,27.222912,Train
162.99527,0.0,Train
147.73233,54.044502,Train
138.80983,0.0,Train
146.37778,3.4726644,Train
170.43617,0.0,Train
277.48502,54.889942,Train
264.5243,49.3325,Train
174.60403,0.0,Train
183.77422,5.0327597,Train
152.73485,0.44498533,Train
123.485916,4.260998,Train
167.77744,44.162678,Train
201.9594,49.634438,Train
137.13182,0.0,Train
273.59467,54.27901,Train
126.94798,9.650225,Train
155.69174,0.0,Train
112.37594,0.0,Train
113.55058,0.0,Train
288.0157,50.521015,Train
179.37122,0.0,Train
148.1172,27.435598,Train
275.80365,56.649456,Train
98.68052,0.0,Train
218.04784,17.88059,Train
136.55562,8.620871,Train
188.80383,55.633125,Train
217.6425,53.153687,Train
150.97162,50.902496,Train
155.81088,19.003689,Train
187.92929,42.25682,Train
164.4429,12.523461,Train
149.05174,12.055952,Train
158.90579,0.0,Train
124.705055,4.5295835,Train
196.24954,22.191998,Train
111.73924,0.0,Train
137.52415,4.011778,Train
139.55429,15.16702,Train
132.17964,17.408634,Train
163.0002,0.0,Train
166.91599,44.515194,Train
139.72697,4.320585,Train
122.383194,0.0,Train
157.23462,0.40709597,Train
257.58127,54.250072,Train
209.92313,6.1438503,Train
176.66022,2.967033,Train
154.29251,0.7594966,Train
166.97002,0.0,Train
108.992744,0.0,Train
128.41069,9.307943,Train
152.42384,25.512829,Train
99.132225,0.0,Train
260.08582,53.203285,Train
138.28462,19.803127,Train
114.52865,25.416739,Train
103.417885,0.0,Train
129.45235,1.6160059,Train
220.28201,52.449085,Train
171.50691,34.58453,Train
126.627014,13.026256,Train
227.04233,55.87835,Train
87.75288,0.0,Train
197.70863,52.782784,Train
120.459595,20.262836,Train
162.25578,49.560104,Train
191.4972,50.454807,Train
143.4338,52.44735,Train
206.22498,48.615524,Train
