Loss,Payout,Set
255.15715,0.0,Train
208.29929,0.19282216,Train
217.13188,0.0,Train
179.1049,0.0,Train
155.81839,0.0,Train
147.62231,0.0,Train
231.5167,0.0,Train
162.85152,0.0,Train
181.02678,0.0,Train
207.99251,0.0,Train
146.79866,0.0,Train
162.99527,0.0,Train
147.73233,0.0,Train
138.80983,0.0,Train
146.37778,0.0,Train
170.43617,0.0,Train
277.48502,48.020348,Train
264.5243,0.0,Train
174.60403,0.0,Train
183.77422,0.0,Train
152.73485,0.0,Train
123.485916,0.0,Train
167.77744,0.0,Train
201.9594,0.0,Train
137.13182,0.0,Train
273.59467,105.81749,Train
126.94798,0.0,Train
155.69174,0.0,Train
112.37594,0.0,Train
113.55058,0.0,Train
288.0157,64.98239,Train
179.37122,0.0,Train
148.1172,0.0,Train
275.80365,49.01801,Train
98.68052,0.0,Train
218.04784,0.0,Train
136.55562,0.0,Train
188.80383,3.7328296,Train
217.6425,9.217356,Train
150.97162,22.655575,Train
155.81088,0.0,Train
187.92929,0.0,Train
164.4429,0.0,Train
149.05174,0.0,Train
158.90579,0.0,Train
124.705055,0.0,Train
196.24954,0.0,Train
111.73924,0.0,Train
137.52415,0.0,Train
139.55429,0.0,Train
132.17964,0.0,Train
163.0002,0.0,Train
166.91599,0.0,Train
139.72697,0.0,Train
122.383194,0.0,Train
157.23462,0.0,Train
257.58127,45.44039,Train
209.92313,0.0,Train
176.66022,0.0,Train
154.29251,0.0,Train
166.97002,0.0,Train
108.992744,0.0,Train
128.41069,0.0,Train
152.42384,0.0,Train
99.132225,0.0,Train
260.08582,76.31955,Train
138.28462,0.0,Train
114.52865,0.0,Train
103.417885,0.0,Train
129.45235,0.0,Train
220.28201,54.020428,Train
171.50691,0.0,Train
126.627014,0.0,Train
227.04233,51.512665,Train
87.75288,0.0,Train
197.70863,0.44739246,Train
120.459595,0.0,Train
162.25578,22.981888,Train
191.4972,0.40499392,Train
143.4338,14.186246,Train
206.22498,0.0,Train
209.49347,4.8168554,Train
207.19597,0.0,Train
170.28246,0.0,Train
147.40294,0.0,Train
96.55742,0.0,Train
216.19589,0.0,Train
90.16837,0.0,Train
145.12485,0.0,Train
139.91531,0.0,Train
164.48976,0.0,Train
96.34823,0.0,Train
253.29068,0.0,Train
151.26712,0.0,Train
158.47757,0.0,Train
147.87201,0.0,Train
202.75044,43.56344,Train
221.61288,0.0,Train
118.00931,0.0,Train
148.13974,0.0,Train
123.704155,0.0,Train
167.20258,0.0,Train
251.33498,0.0,Train
195.8514,0.0,Train
103.651794,0.0,Train
351.6862,120.03609,Train
107.65459,0.0,Train
97.80698,0.0,Train
93.59337,0.0,Train
102.01375,0.0,Train
304.71814,94.179306,Train
125.956505,0.0,Train
140.77887,0.0,Train
262.03525,76.52992,Train
67.9756,0.0,Train
133.64996,0.0,Train
168.55832,0.0,Train
217.50067,21.437412,Train
225.17702,31.995047,Train
234.28735,55.35792,Train
116.377914,0.0,Train
142.14116,0.0,Train
87.07786,0.0,Train
