Loss,Payout,Set
169.81029,18.40524,Train
207.94797,31.918133,Train
188.37608,36.41172,Train
202.09465,33.785347,Train
195.20367,35.575798,Train
211.10313,35.78992,Train
171.74304,35.802494,Train
187.3734,35.891197,Train
220.5442,35.848213,Train
238.70544,36.104362,Train
255.15715,34.28087,Train
208.29929,36.39134,Train
217.13188,34.041416,Train
179.1049,17.401987,Train
155.81839,1.5106461,Train
147.62231,0.0,Train
231.5167,34.952568,Train
162.85152,3.6536765,Train
181.02678,33.88536,Train
207.99251,23.140192,Train
146.79866,20.452261,Train
162.99527,0.0,Train
147.73233,34.969856,Train
138.80983,0.0,Train
146.37778,3.686929,Train
170.43617,0.0,Train
277.48502,36.08436,Train
264.5243,33.21032,Train
174.60403,0.0,Train
183.77422,13.143972,Train
152.73485,2.1351526,Train
123.485916,4.1898875,Train
167.77744,34.842487,Train
201.9594,32.69038,Train
137.13182,0.0,Train
273.59467,38.013607,Train
126.94798,6.464526,Train
155.69174,3.6493485,Train
112.37594,0.0,Train
113.55058,0.0,Train
288.0157,35.375084,Train
179.37122,0.0,Train
148.1172,9.146683,Train
275.80365,37.345314,Train
98.68052,0.89976853,Train
218.04784,6.668727,Train
136.55562,7.4268174,Train
188.80383,37.55928,Train
137.41376,2.4363325,Train
178.87999,31.861319,Train
159.14145,24.876995,Train
202.44812,22.176533,Train
159.00002,14.666377,Train
181.04712,32.245533,Train
150.98944,27.165436,Train
167.87697,30.70131,Train
161.70973,14.411772,Train
196.5377,28.69463,Train
155.81088,17.78504,Train
187.92929,27.857357,Train
164.4429,15.45033,Train
149.05174,4.4294453,Train
158.90579,1.9898634,Train
124.705055,2.3550775,Train
196.24954,22.367935,Train
111.73924,0.64143145,Train
137.52415,6.344568,Train
139.55429,10.719698,Train
132.17964,19.191366,Train
163.0002,0.0,Train
166.91599,31.723745,Train
139.72697,2.6282778,Train
122.383194,2.4224977,Train
157.23462,1.6812721,Train
257.58127,34.49709,Train
209.92313,3.5737567,Train
176.66022,2.2826183,Train
154.29251,3.8119652,Train
166.97002,0.0,Train
108.992744,0.0,Train
128.41069,13.151759,Train
152.42384,23.105938,Train
99.132225,0.0,Train
260.08582,37.45739,Train
138.28462,8.139691,Train
114.52865,7.8507576,Train
103.417885,0.0,Train
129.45235,1.0468153,Train
220.28201,33.54355,Train
171.50691,21.300701,Train
126.627014,11.56935,Train
227.04233,36.73186,Train
87.75288,0.0,Train
197.70863,33.916252,Train
120.459595,8.736895,Train
162.25578,31.954157,Train
157.90977,3.500908,Train
187.0883,32.687008,Train
189.00084,34.322563,Train
183.94737,34.56997,Train
230.3779,34.29644,Train
198.09242,34.45233,Train
263.49094,33.261936,Train
200.82346,32.703926,Train
179.48996,31.733105,Train
189.34047,34.27974,Train
206.22498,32.277428,Train
209.49347,34.341797,Train
207.19597,32.751167,Train
170.28246,22.753485,Train
147.40294,1.3993943,Train
96.55742,0.0,Train
216.19589,30.848078,Train
90.16837,0.0,Train
145.12485,29.629135,Train
139.91531,1.5203297,Train
164.48976,20.26961,Train
96.34823,0.0,Train
253.29068,35.74429,Train
151.26712,0.0,Train
158.47757,0.0,Train
147.87201,1.6234694,Train
202.75044,34.743706,Train
221.61288,24.99268,Train
118.00931,0.0,Train
148.13974,8.723843,Train
123.704155,0.05778396,Train
167.20258,0.61747885,Train
251.33498,34.192078,Train
195.8514,27.34583,Train
103.651794,0.0,Train
351.6862,37.68315,Train
107.65459,0.79784507,Train
97.80698,0.0,Train
93.59337,0.0,Train
102.01375,0.0,Train
304.71814,35.556515,Train
125.956505,0.0,Train
140.77887,1.991896,Train
262.03525,36.407066,Train
67.9756,0.0,Train
133.64996,0.733328,Train
168.55832,0.0,Train
217.50067,35.051155,Train
124.986534,16.72524,Train
143.86505,30.592724,Train
154.71703,25.721302,Train
144.2425,27.952534,Train
178.59142,31.922165,Train
166.76382,33.37947,Train
121.7097,23.063004,Train
169.42905,32.764267,Train
104.121864,22.049944,Train
134.73816,26.857397,Train
116.377914,21.352774,Train
142.14116,34.261543,Train
87.07786,16.993664,Train
114.98804,12.803236,Train
68.02169,0.1500158,Train
70.77881,0.0,Train
89.3094,30.866922,Train
55.013474,0.0,Train
139.391,25.073858,Train
95.692024,3.718988,Train
92.96651,5.412204,Train
39.16446,1.2856914,Train
146.03589,30.253748,Train
30.680788,0.0,Train
44.499157,1.7133678,Train
48.891003,7.7183022,Train
160.40631,31.4661,Train
70.69511,33.43034,Train
87.057365,0.0,Train
124.7931,1.9331067,Train
74.7023,7.1973295,Train
58.584976,3.9528947,Train
222.39113,33.294502,Train
86.270744,9.556738,Train
17.723833,0.0,Train
304.1004,36.67292,Train
130.25043,18.405287,Train
78.92394,0.0,Train
166.22092,0.47298115,Train
