Loss,Payout,Set
206.69168,0.0,Train
218.40822,0.0,Train
224.59619,0.0,Train
204.60559,0.0,Train
190.98645,0.0,Train
169.38873,0.0,Train
208.76247,0.0,Train
202.70763,0.0,Train
182.37422,0.0,Train
204.81227,0.0,Train
189.17175,0.0,Train
173.60266,0.0,Train
199.75502,0.0,Train
160.17882,0.0,Train
123.82405,0.0,Train
146.69072,0.0,Train
316.27884,0.0,Train
296.58838,0.0,Train
178.26936,0.0,Train
359.2718,0.0,Train
177.74565,0.0,Train
145.39095,0.0,Train
239.10768,0.0,Train
135.84587,0.0,Train
208.00548,0.0,Train
301.58655,36.274063,Train
237.73903,0.0,Train
137.56296,0.0,Train
142.80833,0.0,Train
149.17514,0.0,Train
304.0134,39.656372,Train
152.32306,0.0,Train
216.30418,0.0,Train
183.75674,0.0,Train
143.23074,0.0,Train
371.57617,118.32326,Train
119.09306,0.0,Train
357.38138,48.14436,Train
242.59113,1.7201884,Train
249.32231,0.0,Train
173.81728,0.0,Train
167.45082,1.2151108,Train
191.95642,0.0,Train
149.68407,0.0,Train
173.98378,0.0,Train
151.10553,0.0,Train
222.79933,0.0,Train
180.81519,0.0,Train
139.25308,0.0,Train
183.51305,0.0,Train
140.69505,0.0,Train
109.14911,0.0,Train
132.27522,0.0,Train
123.97338,0.0,Train
98.59359,0.0,Train
107.93586,0.0,Train
185.60017,49.016663,Train
157.63654,2.0292144,Train
200.09496,0.7197959,Train
97.725426,0.0,Train
106.02795,0.0,Train
91.65251,0.0,Train
131.59914,0.0,Train
93.91781,0.0,Train
138.90854,0.0,Train
169.27132,125.78654,Train
165.40614,0.0,Train
165.81302,0.0,Train
88.59195,0.0,Train
104.54293,0.0,Train
357.16595,142.87805,Train
168.16104,0.7952434,Train
138.82819,0.0,Train
146.66736,5.860055,Train
165.4286,0.0,Train
334.7619,179.9996,Train
121.26723,0.0,Train
231.94463,80.339035,Train
205.84407,0.0,Train
183.66556,0.0,Train
268.01294,0.0,Train
288.0559,0.0,Train
313.05264,38.585476,Train
265.65317,0.0,Train
277.10745,3.2988625,Train
242.41551,0.0,Train
281.27734,0.3462284,Train
263.14294,0.0,Train
230.36232,0.0,Train
299.48547,0.0,Train
249.3124,0.0,Train
236.64308,0.0,Train
315.02756,0.0,Train
246.1158,0.0,Train
179.35782,0.0,Train
227.1036,0.0,Train
313.40317,47.075394,Train
302.80652,0.0,Train
256.21362,1.5973141,Train
358.4245,0.0,Train
259.43915,0.0,Train
175.20758,0.0,Train
283.8798,0.0,Train
216.90576,0.0,Train
301.8855,0.0,Train
538.46906,165.4236,Train
298.75632,0.0,Train
197.6974,0.0,Train
188.74223,0.0,Train
244.59085,0.0,Train
459.39325,188.7141,Train
351.5494,107.34342,Train
286.80933,0.0,Train
338.32306,50.20499,Train
249.89053,0.0,Train
441.8618,195.1668,Train
202.68681,0.0,Train
442.3656,97.30815,Train
272.2482,0.0,Train
253.73453,0.0,Train
139.43347,0.0,Train
151.40295,0.0,Train
153.32407,0.0,Train
113.69681,0.0,Train
111.27119,0.0,Train
112.44719,0.0,Train
146.27483,0.0,Train
120.3541,0.0,Train
140.38501,0.0,Train
156.66754,0.0,Train
154.1517,0.0,Train
88.037506,0.0,Train
178.12494,0.0,Train
116.063995,0.0,Train
69.85469,0.0,Train
97.24701,0.0,Train
250.74097,9.759456,Train
223.73656,0.0,Train
204.88377,0.0,Train
264.53262,0.0,Train
112.533104,0.0,Train
75.78522,0.0,Train
186.13896,0.0,Train
106.19434,0.0,Train
125.051346,0.0,Train
210.51,47.515648,Train
175.67026,0.0,Train
81.43216,0.0,Train
104.54569,0.0,Train
86.11086,0.0,Train
239.97766,98.248245,Train
106.596085,1.1642243,Train
149.36615,0.0,Train
122.23784,0.0,Train
77.71117,0.0,Train
318.18613,164.48581,Train
79.61271,0.0,Train
203.04092,35.63363,Train
163.47078,0.0,Train
181.75226,0.0,Train
148.60124,0.0,Train
160.56918,0.0,Train
197.80424,0.0,Train
136.40639,0.0,Train
137.37563,0.0,Train
140.86197,0.0,Train
155.96541,0.0,Train
139.28595,0.0,Train
131.77357,0.0,Train
118.37832,0.0,Train
114.85015,0.0,Train
123.28908,0.0,Train
159.09511,0.0,Train
117.96823,0.0,Train
85.30846,0.0,Train
146.16577,0.0,Train
166.8402,24.25359,Train
196.33171,0.0,Train
202.09033,0.0,Train
238.71603,0.0,Train
115.80885,0.0,Train
74.51876,0.0,Train
180.29576,0.0,Train
115.339874,0.0,Train
125.351074,0.0,Train
251.97937,135.82889,Train
152.22478,0.0,Train
187.28728,0.0,Train
119.86687,0.0,Train
113.763565,0.0,Train
402.77734,133.63004,Train
235.10825,3.3909786,Train
195.95622,0.0,Train
298.6213,26.537222,Train
138.8535,0.0,Train
342.4528,154.58368,Train
143.61916,0.0,Train
241.65263,33.96593,Train
186.10321,0.0,Train
157.22089,0.0,Train
151.0091,0.0,Train
167.15862,0.0,Train
207.86923,0.0,Train
148.89098,0.0,Train
144.92381,0.0,Train
138.21776,0.0,Train
170.07281,0.0,Train
140.73897,0.0,Train
126.51624,0.0,Train
115.15462,0.0,Train
119.954094,0.0,Train
159.46468,0.0,Train
150.38638,0.0,Train
136.81918,0.0,Train
93.913086,0.0,Train
134.0181,0.0,Train
168.93422,3.297074,Train
179.76144,1.283279,Train
198.69978,0.45307502,Train
143.14923,0.0,Train
119.159775,0.0,Train
58.48143,0.0,Train
134.71419,0.0,Train
89.90806,0.0,Train
111.66303,0.0,Train
178.62912,145.96506,Train
201.2063,0.0,Train
124.7946,0.0,Train
80.644005,0.0,Train
94.30451,0.0,Train
342.52612,115.92958,Train
283.85886,0.0,Train
178.70268,0.0,Train
234.25761,0.0,Train
83.723656,0.0,Train
380.5508,141.64127,Train
113.58906,0.0,Train
199.13843,68.62457,Train
191.6489,0.0,Train
183.52046,0.0,Train
156.20744,0.0,Train
164.4629,0.0,Train
182.58098,15.061786,Train
136.71165,0.0,Train
126.954926,0.0,Train
127.76081,0.0,Train
113.2293,0.0,Train
153.01039,0.0,Train
121.80409,0.0,Train
107.460396,0.0,Train
83.72931,0.0,Train
95.760826,0.0,Train
114.85495,0.0,Train
103.21168,0.0,Train
13.931008,0.0,Train
69.612946,0.0,Train
148.45749,11.896008,Train
142.66464,2.1226854,Train
153.73439,0.0,Train
400.06674,0.0,Train
101.16172,0.0,Train
34.719288,0.0,Train
121.98946,0.0,Train
118.32224,0.0,Train
101.067635,0.0,Train
168.57562,51.869,Train
142.69623,0.0,Train
134.37943,0.0,Train
72.57523,0.0,Train
86.783646,0.0,Train
290.40466,95.15333,Train
144.78828,22.512533,Train
193.13452,0.0,Train
184.49336,0.9984931,Train
50.614796,0.0,Train
337.49884,104.958755,Train
60.595493,0.0,Train
122.20475,6.053009,Train
133.47661,0.0,Train
139.21107,0.0,Train
107.96472,0.0,Train
130.3309,0.0,Train
170.62402,0.0,Train
123.8441,0.0,Train
140.84111,0.0,Train
101.21507,0.0,Train
162.81596,0.0,Train
117.74382,0.0,Train
107.398605,0.0,Train
90.48034,0.0,Train
87.639015,0.0,Train
110.774635,0.0,Train
104.9372,0.0,Train
104.07671,0.0,Train
60.94317,0.0,Train
98.03657,0.0,Train
132.0569,26.413467,Train
157.40419,0.0,Train
168.12842,0.0,Train
80.2296,0.0,Train
66.25771,0.0,Train
42.21278,0.0,Train
76.694786,0.0,Train
42.303734,0.0,Train
86.389626,0.0,Train
131.95247,58.789436,Train
133.84225,0.0,Train
62.658978,0.0,Train
53.502647,0.0,Train
78.37326,0.0,Train
321.0208,94.49878,Train
228.09532,6.1231923,Train
115.99677,0.0,Train
133.47516,0.325362,Train
54.430496,0.0,Train
328.96277,127.9532,Train
87.672,0.0,Train
172.30817,36.83805,Train
138.02127,0.0,Train
131.81134,0.0,Train
138.66,0.0,Train
163.98248,5.8727612,Train
211.0645,0.0,Train
140.95604,0.0,Train
168.55713,0.0,Train
116.06774,0.0,Train
153.93788,0.0,Train
131.31757,0.0,Train
123.80679,0.0,Train
102.355545,0.0,Train
115.26383,0.0,Train
122.63165,0.0,Train
130.40901,0.0,Train
120.745895,0.0,Train
72.64232,0.0,Train
123.64828,0.0,Train
148.46378,21.694656,Train
145.6888,0.0,Train
155.57335,0.0,Train
131.91745,0.0,Train
90.821075,0.0,Train
32.984238,0.0,Train
89.30694,0.0,Train
72.53917,0.0,Train
91.18093,0.0,Train
201.93224,127.96394,Train
146.14307,0.0,Train
158.31343,0.0,Train
65.543335,0.0,Train
87.63277,0.0,Train
326.43173,189.03098,Train
199.89024,54.20228,Train
138.50829,0.0,Train
180.43585,36.093826,Train
91.52296,0.0,Train
360.0196,177.12704,Train
108.12578,0.0,Train
241.99149,81.17262,Train
150.86673,0.0,Train
179.1515,0.0,Train
186.29279,0.0,Train
172.40778,1.3188568,Train
162.08548,0.0,Train
134.3259,0.0,Train
158.42902,0.0,Train
151.09483,0.0,Train
151.87337,0.0,Train
224.11461,0.0,Train
156.76855,0.0,Train
132.5352,0.0,Train
105.56457,0.0,Train
114.35663,0.0,Train
183.4114,0.0,Train
114.278885,0.0,Train
69.70907,0.0,Train
99.05196,0.0,Train
179.55756,53.656178,Train
160.02586,0.64205724,Train
255.35687,1.1869733,Train
101.9006,0.0,Train
81.857025,0.0,Train
83.22616,0.0,Train
115.108,0.0,Train
93.50255,0.0,Train
117.8098,0.0,Train
276.92975,131.1764,Train
224.71243,2.6691513,Train
112.3578,0.0,Train
122.21589,0.0,Train
130.03668,0.0,Train
201.62016,189.06563,Train
