Loss,Payout,Set
236.21303,20.11127,Train
219.2008,0.0,Train
174.26001,0.0,Train
185.39066,6.1011014,Train
187.49274,0.0,Train
192.46626,0.2775837,Train
222.71121,8.550494,Train
244.62761,57.900677,Train
182.26546,0.0,Train
312.12473,68.31353,Train
182.35544,0.92605126,Train
232.9076,58.18698,Train
224.38118,63.38087,Train
273.3262,66.66398,Train
201.24268,27.540308,Train
248.58058,68.4405,Train
265.1899,62.810608,Train
275.92072,70.195694,Train
246.82292,64.10607,Train
245.79659,43.653877,Train
206.69168,3.536529,Train
218.40822,56.56663,Train
224.59619,40.789486,Train
204.60559,2.312048,Train
190.98645,1.3685124,Train
169.38873,0.0,Train
208.76247,5.9967823,Train
202.70763,20.1211,Train
182.37422,0.0,Train
204.81227,0.0,Train
189.17175,0.0,Train
173.60266,0.0,Train
199.75502,7.99757,Train
160.17882,0.0,Train
123.82405,0.0,Train
146.69072,0.0,Train
316.27884,69.37398,Train
296.58838,52.814125,Train
178.26936,63.03359,Train
359.2718,72.50711,Train
177.74565,0.0,Train
145.39095,0.0,Train
239.10768,0.42029595,Train
135.84587,0.0,Train
208.00548,17.822275,Train
301.58655,74.54023,Train
237.73903,38.61535,Train
137.56296,0.0,Train
142.80833,0.0,Train
149.17514,12.102069,Train
304.0134,65.420876,Train
152.32306,60.567078,Train
216.30418,36.070435,Train
183.75674,61.48197,Train
143.23074,0.0,Train
371.57617,69.77092,Train
151.77711,50.94187,Train
121.91963,28.770884,Train
120.13421,1.0436741,Train
152.37083,43.23353,Train
118.5295,0.0,Train
96.66023,32.523827,Train
148.01302,35.44776,Train
198.73784,63.012207,Train
136.83472,0.94431365,Train
219.55365,66.41181,Train
144.84464,3.712368,Train
160.15767,59.10617,Train
206.34276,62.103382,Train
194.4999,71.157936,Train
152.27908,15.035106,Train
171.73032,59.68512,Train
159.0536,64.137375,Train
192.99895,64.05284,Train
137.41634,66.90169,Train
180.25578,63.695366,Train
173.81728,42.283375,Train
167.45082,57.82287,Train
191.95642,65.8408,Train
149.68407,26.638464,Train
173.98378,30.602152,Train
151.10553,1.7282474,Train
222.79933,43.375767,Train
180.81519,40.83432,Train
139.25308,9.109849,Train
183.51305,15.997919,Train
140.69505,24.178144,Train
109.14911,20.722412,Train
132.27522,47.294796,Train
123.97338,0.0,Train
98.59359,0.0,Train
107.93586,0.0,Train
185.60017,70.872665,Train
157.63654,60.582558,Train
200.09496,60.570026,Train
97.725426,72.36986,Train
106.02795,0.0,Train
91.65251,0.0,Train
131.59914,26.88953,Train
93.91781,0.0,Train
138.90854,9.524838,Train
169.27132,73.95212,Train
165.40614,56.629448,Train
165.81302,0.0,Train
88.59195,0.0,Train
104.54293,32.03715,Train
357.16595,73.905655,Train
168.16104,62.268364,Train
138.82819,50.398937,Train
146.66736,67.57658,Train
165.4286,0.0,Train
334.7619,72.832565,Train
268.69604,39.679707,Train
278.56357,28.435251,Train
240.88483,24.47417,Train
285.15988,43.773136,Train
226.2387,30.68338,Train
268.87128,49.74893,Train
287.40765,52.55448,Train
328.0478,65.79878,Train
269.6917,35.09503,Train
361.5394,68.66701,Train
254.64084,41.544594,Train
291.29608,66.3567,Train
295.45508,63.889416,Train
340.61786,67.92738,Train
279.0844,51.29051,Train
327.50473,63.350502,Train
343.42883,54.566917,Train
323.7067,71.43728,Train
300.18835,68.40226,Train
301.57376,51.978706,Train
268.01294,55.078846,Train
288.0559,62.945812,Train
313.05264,64.93211,Train
265.65317,47.009216,Train
277.10745,56.484283,Train
242.41551,9.937255,Train
281.27734,48.584915,Train
263.14294,40.213646,Train
230.36232,15.126795,Train
299.48547,22.090084,Train
249.3124,8.021803,Train
236.64308,15.173569,Train
315.02756,46.80184,Train
246.1158,4.2760153,Train
179.35782,2.7688673,Train
227.1036,27.528774,Train
313.40317,66.780426,Train
302.80652,66.7711,Train
256.21362,65.39971,Train
358.4245,72.96282,Train
259.43915,9.773868,Train
175.20758,0.97614574,Train
283.8798,44.091225,Train
216.90576,27.104984,Train
301.8855,28.852375,Train
538.46906,75.6588,Train
298.75632,63.129456,Train
197.6974,13.473631,Train
188.74223,17.751797,Train
244.59085,42.586002,Train
459.39325,75.764175,Train
351.5494,69.96489,Train
286.80933,52.854256,Train
338.32306,67.75821,Train
249.89053,13.127123,Train
441.8618,70.927734,Train
188.43645,31.187689,Train
139.9233,1.3221099,Train
104.11178,1.1670878,Train
115.65189,17.023514,Train
94.39364,0.0,Train
114.18702,1.6749086,Train
124.982025,21.679846,Train
174.37866,64.16703,Train
111.17694,0.0,Train
245.12685,69.41124,Train
112.82838,1.0711553,Train
183.98155,54.867207,Train
161.43634,62.029835,Train
172.94278,63.90577,Train
110.00083,5.2265377,Train
175.61053,56.89582,Train
210.17184,59.411552,Train
218.58481,65.50421,Train
212.74939,67.78329,Train
181.11562,45.462074,Train
139.43347,18.072857,Train
151.40295,56.608673,Train
153.32407,49.391487,Train
113.69681,3.695951,Train
111.27119,2.1560636,Train
112.44719,0.0,Train
146.27483,35.06123,Train
120.3541,31.465057,Train
140.38501,0.0,Train
156.66754,9.414662,Train
154.1517,0.0,Train
88.037506,0.0,Train
178.12494,19.693645,Train
116.063995,0.0,Train
69.85469,0.0,Train
97.24701,0.0,Train
250.74097,69.50654,Train
223.73656,58.248676,Train
204.88377,59.151466,Train
264.53262,73.41441,Train
112.533104,0.0,Train
75.78522,0.0,Train
186.13896,2.7428672,Train
106.19434,0.0,Train
125.051346,10.523001,Train
210.51,73.375656,Train
175.67026,49.57717,Train
81.43216,0.0,Train
104.54569,0.0,Train
86.11086,1.5529039,Train
239.97766,67.50083,Train
106.596085,69.82487,Train
149.36615,46.31819,Train
122.23784,66.322136,Train
77.71117,0.0,Train
318.18613,70.667435,Train
138.58282,11.430798,Train
113.508804,0.0,Train
154.3019,0.07069048,Train
158.41208,0.19719724,Train
