Loss,Payout,Set
206.69168,6.226152,Train
218.40822,61.70575,Train
224.59619,38.262985,Train
204.60559,19.840952,Train
190.98645,4.100262,Train
169.38873,0.0,Train
208.76247,12.322315,Train
202.70763,27.960627,Train
182.37422,0.0,Train
204.81227,0.0,Train
189.17175,0.0,Train
173.60266,0.0,Train
199.75502,23.806044,Train
160.17882,0.0,Train
123.82405,0.0,Train
146.69072,3.8026657,Train
316.27884,93.60744,Train
296.58838,70.4781,Train
178.26936,63.796623,Train
359.2718,90.804886,Train
177.74565,0.0,Train
145.39095,0.0,Train
239.10768,24.05363,Train
135.84587,0.0,Train
208.00548,16.772573,Train
301.58655,94.466965,Train
237.73903,26.786676,Train
137.56296,0.0,Train
142.80833,0.0,Train
149.17514,32.04934,Train
304.0134,82.50899,Train
152.32306,66.01076,Train
216.30418,61.26433,Train
183.75674,70.6835,Train
143.23074,0.0,Train
371.57617,94.47971,Train
119.09306,0.0,Train
357.38138,92.60035,Train
242.59113,59.017082,Train
249.32231,36.852764,Train
173.81728,53.205933,Train
167.45082,62.892986,Train
191.95642,83.656265,Train
149.68407,39.50797,Train
173.98378,43.867897,Train
151.10553,18.77821,Train
222.79933,58.565437,Train
180.81519,47.160805,Train
139.25308,28.388866,Train
183.51305,0.0,Train
140.69505,34.337807,Train
109.14911,38.17163,Train
132.27522,50.36051,Train
123.97338,0.0,Train
98.59359,0.0,Train
107.93586,0.0,Train
185.60017,90.05817,Train
157.63654,80.47445,Train
200.09496,64.628265,Train
97.725426,90.27981,Train
106.02795,17.028397,Train
91.65251,0.0,Train
131.59914,46.41485,Train
93.91781,0.0,Train
138.90854,11.735605,Train
169.27132,92.037186,Train
165.40614,69.29537,Train
165.81302,0.0,Train
88.59195,0.0,Train
104.54293,41.50147,Train
357.16595,90.417435,Train
168.16104,84.57459,Train
138.82819,63.39028,Train
146.66736,84.359055,Train
165.4286,0.0,Train
334.7619,96.0818,Train
121.26723,0.0,Train
231.94463,92.1752,Train
205.84407,61.432716,Train
183.66556,52.896008,Train
268.01294,64.786896,Train
288.0559,68.70219,Train
313.05264,87.00474,Train
265.65317,52.95928,Train
277.10745,62.695183,Train
242.41551,18.615162,Train
281.27734,65.81917,Train
263.14294,44.598686,Train
230.36232,31.37472,Train
299.48547,0.0,Train
249.3124,0.0,Train
236.64308,15.559021,Train
315.02756,53.943623,Train
246.1158,0.0,Train
179.35782,6.943222,Train
227.1036,24.710499,Train
313.40317,85.35414,Train
302.80652,73.6146,Train
256.21362,72.167046,Train
358.4245,90.90286,Train
259.43915,4.451806,Train
175.20758,0.0,Train
283.8798,56.91026,Train
216.90576,10.735705,Train
301.8855,35.037163,Train
538.46906,95.31692,Train
298.75632,60.34845,Train
197.6974,5.373396,Train
188.74223,14.336932,Train
244.59085,48.915627,Train
459.39325,95.284004,Train
351.5494,89.6356,Train
286.80933,59.203552,Train
338.32306,83.32138,Train
249.89053,6.5069075,Train
441.8618,93.42911,Train
202.68681,0.0,Train
442.3656,92.93707,Train
272.2482,61.40984,Train
253.73453,57.111153,Train
139.43347,23.398073,Train
151.40295,64.92018,Train
153.32407,47.617714,Train
113.69681,0.24026807,Train
111.27119,3.521717,Train
112.44719,6.962879,Train
146.27483,45.589676,Train
120.3541,39.15794,Train
140.38501,0.0,Train
156.66754,0.0,Train
154.1517,0.0,Train
88.037506,2.3583035,Train
178.12494,21.100117,Train
116.063995,0.0,Train
69.85469,0.0,Train
97.24701,0.0,Train
250.74097,84.699875,Train
223.73656,69.68031,Train
204.88377,58.553272,Train
264.53262,91.75146,Train
112.533104,0.0,Train
75.78522,0.0,Train
186.13896,25.83053,Train
106.19434,0.0,Train
125.051346,2.1649156,Train
210.51,92.605865,Train
175.67026,51.365875,Train
81.43216,0.0,Train
104.54569,0.0,Train
86.11086,10.001467,Train
239.97766,84.295364,Train
106.596085,85.174706,Train
149.36615,60.87306,Train
122.23784,80.13478,Train
77.71117,0.0,Train
318.18613,94.96005,Train
79.61271,0.0,Train
203.04092,87.62357,Train
163.47078,62.85249,Train
181.75226,45.26307,Train
148.60124,23.35445,Train
160.56918,63.653637,Train
197.80424,78.44344,Train
136.40639,22.383419,Train
137.37563,17.595465,Train
140.86197,3.2806041,Train
155.96541,40.115276,Train
139.28595,25.11938,Train
131.77357,3.771296,Train
118.37832,0.0,Train
114.85015,0.0,Train
123.28908,12.987796,Train
159.09511,21.5784,Train
117.96823,0.0,Train
85.30846,0.0,Train
146.16577,0.0,Train
166.8402,84.63191,Train
196.33171,71.53202,Train
202.09033,62.548767,Train
238.71603,90.80671,Train
115.80885,0.0,Train
74.51876,0.0,Train
180.29576,38.687294,Train
115.339874,0.0,Train
125.351074,1.057044,Train
251.97937,93.24441,Train
152.22478,45.476357,Train
187.28728,0.0,Train
119.86687,0.0,Train
113.763565,4.814594,Train
402.77734,92.303215,Train
235.10825,73.889084,Train
195.95622,29.81864,Train
298.6213,84.47046,Train
138.8535,0.0,Train
342.4528,93.46309,Train
143.61916,0.0,Train
241.65263,89.760574,Train
186.10321,30.935337,Train
157.22089,46.029503,Train
151.0091,46.891815,Train
167.15862,62.243156,Train
207.86923,57.424694,Train
148.89098,0.0,Train
144.92381,5.300532,Train
138.21776,4.5339804,Train
170.07281,29.149998,Train
140.73897,0.5307946,Train
126.51624,0.8553527,Train
115.15462,0.0,Train
119.954094,18.208424,Train
159.46468,23.36528,Train
150.38638,25.463934,Train
136.81918,0.0,Train
93.913086,0.0,Train
134.0181,0.0,Train
168.93422,81.779205,Train
179.76144,75.50783,Train
198.69978,61.711006,Train
143.14923,90.321945,Train
119.159775,0.0,Train
58.48143,0.0,Train
134.71419,36.845467,Train
89.90806,0.0,Train
111.66303,1.6658903,Train
178.62912,94.270874,Train
201.2063,60.573616,Train
124.7946,0.0,Train
80.644005,0.0,Train
94.30451,2.7675827,Train
342.52612,86.05285,Train
283.85886,80.38395,Train
178.70268,27.976904,Train
234.25761,73.371735,Train
83.723656,0.0,Train
380.5508,93.20463,Train
113.58906,0.0,Train
199.13843,86.47783,Train
191.6489,50.498024,Train
183.52046,44.691776,Train
