Loss,Payout,Set
657.9742,0.0,Train
656.74347,0.06632676,Train
544.0163,0.0,Train
726.76953,0.0,Train
764.4602,90.059616,Train
706.67633,138.04456,Train
605.8065,0.0,Train
712.9912,0.0,Train
823.8726,70.40523,Train
836.1991,58.813305,Train
1170.2528,228.3105,Train
747.43097,37.151,Train
874.3976,92.425735,Train
801.1842,0.0,Train
617.72797,0.0,Train
665.0257,0.0,Train
675.2063,0.0,Train
695.8589,3.5729873,Train
809.4968,40.476143,Train
887.91364,127.55192,Train
663.2776,0.0,Train
1116.8484,231.14787,Train
667.3299,0.0,Train
837.45544,114.57969,Train
807.7794,147.0413,Train
962.6741,199.23975,Train
733.00464,8.086828,Train
878.0411,156.36353,Train
925.01935,186.65794,Train
952.7595,216.95549,Train
864.912,205.20947,Train
859.5482,108.30172,Train
749.4204,52.085167,Train
780.9179,72.03108,Train
796.5084,101.24204,Train
743.57477,5.541068,Train
708.90826,3.117445,Train
655.7193,0.0,Train
753.53894,23.059942,Train
738.75903,8.67117,Train
691.00037,0.0,Train
743.5963,0.0,Train
708.1417,1.1313995,Train
674.1791,0.0,Train
732.24225,35.902905,Train
647.84564,0.0,Train
573.3255,0.0,Train
623.3341,0.0,Train
967.6873,209.53764,Train
924.4237,167.89273,Train
690.75,124.291115,Train
1037.4067,220.00188,Train
691.2882,0.0,Train
632.3795,0.0,Train
803.8794,82.059906,Train
618.87555,0.0,Train
747.0169,0.0,Train
907.5649,216.99336,Train
796.7068,25.145126,Train
629.2689,0.0,Train
639.5434,0.0,Train
651.28455,0.0,Train
896.9408,195.78221,Train
658.7593,22.37259,Train
757.5816,19.320438,Train
708.2479,13.631912,Train
646.65186,0.0,Train
655.1962,35.450207,Train
624.89124,0.0,Train
734.3948,0.0,Train
733.0417,139.39883,Train
836.8062,126.46735,Train
651.2569,81.60719,Train
661.13293,23.61998,Train
915.2035,142.20956,Train
924.7459,170.74136,Train
1242.0798,231.27226,Train
755.6849,80.469574,Train
1051.7648,180.51974,Train
753.4312,8.398974,Train
641.00323,0.49784285,Train
786.41394,53.235462,Train
679.9476,0.0,Train
685.14386,0.0,Train
748.6975,64.028824,Train
846.15656,165.7595,Train
692.3055,0.0,Train
1091.7437,235.54317,Train
659.8626,12.10615,Train
846.2677,179.39029,Train
739.56494,135.2958,Train
1038.1002,227.18137,Train
737.75323,52.59838,Train
845.0364,163.47623,Train
1015.62274,220.29109,Train
1030.3219,224.85074,Train
838.9286,221.90608,Train
863.9299,146.46843,Train
746.02374,79.24028,Train
794.4749,128.79083,Train
826.01575,154.34262,Train
772.94037,82.4892,Train
704.8668,84.59813,Train
697.622,0.0,Train
794.8493,63.84028,Train
753.0859,35.234962,Train
623.2397,0.0,Train
748.99634,0.0,Train
618.89233,8.427137,Train
667.4428,1.4518669,Train
778.82605,98.664604,Train
640.70026,0.0,Train
580.4845,0.0,Train
631.3158,11.157443,Train
1066.4309,230.45715,Train
965.3871,214.34695,Train
667.6502,39.18442,Train
958.4271,226.82759,Train
733.96094,0.0,Train
608.3112,0.0,Train
867.04614,110.98161,Train
615.21844,0.0,Train
779.80084,0.0,Train
1005.31604,223.85722,Train
952.3375,215.89021,Train
628.81366,5.6772523,Train
679.3684,0.0,Train
655.98926,5.4033685,Train
961.02783,216.09334,Train
766.61456,119.341965,Train
726.5356,73.13889,Train
661.31274,97.298225,Train
595.31604,0.0,Train
840.4776,104.10193,Train
580.1665,0.0,Train
530.5596,0.0,Train
659.74384,86.859314,Train
806.1406,141.46999,Train
546.64545,0.0,Train
745.4434,65.582504,Train
701.15063,71.85893,Train
