Loss,Payout,Set
244.09697,0.0,Train
315.82257,70.47328,Train
289.61026,65.95672,Train
238.26003,0.0,Train
183.82187,2.4724376,Train
234.4458,16.016123,Train
331.33182,95.354706,Train
348.82993,88.20034,Train
392.9901,95.250565,Train
326.6124,66.18231,Train
272.89673,53.320854,Train
207.69318,16.96157,Train
394.2017,98.85335,Train
263.3223,0.0,Train
289.655,10.91472,Train
481.94977,98.62351,Train
407.9566,79.56281,Train
187.02556,13.214643,Train
236.35658,0.0,Train
277.34967,13.032988,Train
494.80487,85.032524,Train
301.07214,54.028084,Train
298.15152,42.259262,Train
294.94296,82.17892,Train
277.09647,0.0,Train
439.2121,89.04297,Train
251.38979,0.0,Train
359.37955,97.56738,Train
263.03143,18.934465,Train
295.89536,53.21026,Train
344.9214,79.603546,Train
447.5595,94.81563,Train
167.21646,0.0,Train
120.87406,54.825714,Train
157.92036,79.210045,Train
111.05538,0.0,Train
88.779106,0.0,Train
136.59154,0.09029744,Train
303.1427,95.561195,Train
266.43256,90.35615,Train
205.31111,95.3897,Train
329.77838,43.260067,Train
193.93439,34.982906,Train
119.07909,0.15432262,Train
211.61249,95.3198,Train
111.034615,0.0,Train
198.14545,4.7181253,Train
316.145,94.249374,Train
204.98325,86.09165,Train
188.0602,3.9164042,Train
82.67587,0.0,Train
154.48026,0.0,Train
284.47336,90.25224,Train
404.40515,47.360767,Train
208.72566,41.798138,Train
167.4849,96.747,Train
87.48283,0.0,Train
329.21948,92.465706,Train
121.99483,0.0,Train
287.2589,95.430084,Train
195.36168,0.0,Train
199.80316,54.245502,Train
203.28336,67.88977,Train
244.65227,90.287224,Train
187.11127,0.0,Train
284.51044,56.407215,Train
302.16626,56.005054,Train
197.37872,0.0,Train
269.39783,0.0,Train
197.97356,0.0,Train
350.60596,86.89798,Train
352.79498,87.28961,Train
408.59064,93.810265,Train
237.99295,51.44206,Train
237.5519,1.1570934,Train
275.66748,0.2688684,Train
390.48972,96.48462,Train
171.4686,0.0,Train
192.60413,0.7213041,Train
448.99628,97.99983,Train
317.29507,94.99336,Train
181.80054,5.7530947,Train
183.56262,0.0,Train
181.88135,0.0,Train
375.5567,96.20934,Train
249.73872,28.077509,Train
272.7274,29.532486,Train
282.4727,81.65672,Train
181.32462,0.0,Train
275.1832,79.892365,Train
391.1484,0.0,Train
318.87027,91.39313,Train
220.39879,0.0,Train
