Loss,Payout,Set
295.00558,0.0,Train
274.06036,0.0,Train
337.5272,0.0,Train
297.45612,0.0,Train
289.64713,0.0,Train
268.95023,0.0,Train
329.1654,4.223619,Train
303.6927,0.0,Train
301.73203,0.0,Train
320.13345,0.0,Train
244.09697,0.0,Train
315.82257,4.007222,Train
289.61026,0.0,Train
238.26003,0.0,Train
183.82187,0.0,Train
234.4458,0.0,Train
331.33182,60.760143,Train
348.82993,23.296621,Train
392.9901,58.795586,Train
326.6124,0.0,Train
272.89673,0.0,Train
207.69318,0.0,Train
394.2017,75.46885,Train
263.3223,0.0,Train
289.655,0.0,Train
481.94977,128.86041,Train
407.9566,20.2795,Train
187.02556,0.0,Train
236.35658,0.0,Train
277.34967,0.0,Train
494.80487,86.475784,Train
301.07214,0.0,Train
298.15152,0.0,Train
294.94296,0.8630117,Train
277.09647,0.0,Train
439.2121,80.2823,Train
251.38979,0.0,Train
359.37955,31.8164,Train
263.03143,0.0,Train
295.89536,0.58758175,Train
164.76958,0.0,Train
187.54007,0.0,Train
203.04927,0.0,Train
195.19719,0.0,Train
176.9338,0.0,Train
156.65915,0.0,Train
189.67319,7.855306,Train
164.32594,0.0,Train
178.26741,0.0,Train
154.14758,0.0,Train
167.21646,0.0,Train
120.87406,0.0,Train
157.92036,0.8474695,Train
111.05538,0.0,Train
88.779106,0.0,Train
136.59154,0.0,Train
303.1427,24.19831,Train
266.43256,27.075647,Train
205.31111,69.63201,Train
329.77838,0.0,Train
193.93439,0.0,Train
119.07909,0.0,Train
211.61249,108.58248,Train
111.034615,0.0,Train
198.14545,0.0,Train
316.145,106.811,Train
204.98325,8.983997,Train
188.0602,0.0,Train
82.67587,0.0,Train
154.48026,0.0,Train
284.47336,19.4726,Train
404.40515,0.0,Train
208.72566,0.0,Train
167.4849,29.45466,Train
87.48283,0.0,Train
329.21948,70.47254,Train
121.99483,0.0,Train
287.2589,60.459766,Train
195.36168,0.0,Train
199.80316,0.52122116,Train
254.33484,0.0,Train
284.6676,0.0,Train
274.107,0.0,Train
226.50304,0.0,Train
261.55573,0.0,Train
391.51505,0.0,Train
373.131,2.424822,Train
197.3036,0.0,Train
311.68286,0.0,Train
225.56874,0.0,Train
187.11127,0.0,Train
284.51044,0.0,Train
302.16626,0.90289897,Train
197.37872,0.0,Train
269.39783,0.0,Train
197.97356,0.0,Train
350.60596,32.140594,Train
352.79498,13.24013,Train
408.59064,49.932304,Train
237.99295,0.0,Train
237.5519,0.0,Train
275.66748,0.0,Train
390.48972,119.301674,Train
171.4686,0.0,Train
192.60413,0.0,Train
448.99628,118.81465,Train
317.29507,19.298239,Train
181.80054,0.0,Train
183.56262,0.0,Train
181.88135,0.0,Train
