Loss,Payout,Set
272.89673,42.59862,Train
207.69318,0.0,Train
394.2017,110.69765,Train
263.3223,0.0,Train
289.655,0.0,Train
481.94977,110.805885,Train
407.9566,97.158264,Train
187.02556,10.77294,Train
236.35658,0.0,Train
277.34967,11.257799,Train
494.80487,97.616974,Train
301.07214,76.6877,Train
298.15152,52.028137,Train
294.94296,51.18146,Train
277.09647,10.390592,Train
439.2121,101.14414,Train
251.38979,0.0,Train
359.37955,98.80255,Train
263.03143,0.0,Train
295.89536,75.801926,Train
344.9214,68.52008,Train
447.5595,106.77512,Train
147.7597,0.0,Train
257.172,47.27451,Train
193.93439,29.786404,Train
119.07909,0.0,Train
211.61249,107.381546,Train
111.034615,0.0,Train
198.14545,0.0,Train
316.145,107.17627,Train
204.98325,92.703766,Train
188.0602,2.8744135,Train
82.67587,0.0,Train
154.48026,0.0,Train
284.47336,100.41101,Train
404.40515,73.57906,Train
208.72566,64.39201,Train
167.4849,106.42149,Train
87.48283,0.0,Train
329.21948,107.86289,Train
121.99483,47.612305,Train
287.2589,107.75138,Train
195.36168,0.0,Train
199.80316,69.123245,Train
203.28336,62.429424,Train
244.65227,101.70245,Train
192.30989,0.0,Train
179.25621,48.155807,Train
237.5519,12.918358,Train
275.66748,0.0,Train
390.48972,105.58276,Train
171.4686,2.2429283,Train
192.60413,0.0,Train
448.99628,107.457825,Train
317.29507,96.83305,Train
181.80054,6.3555694,Train
183.56262,0.0,Train
181.88135,0.0,Train
375.5567,105.46183,Train
249.73872,33.243034,Train
272.7274,55.68476,Train
282.4727,94.113594,Train
181.32462,0.0,Train
275.1832,72.95862,Train
391.1484,24.8264,Train
318.87027,100.96238,Train
220.39879,0.0,Train
337.23392,68.91562,Train
279.8257,42.483162,Train
463.97415,105.00075,Train
196.67923,0.0,Train
242.69093,3.2749114,Train
277.74152,44.621815,Train
204.85452,0.0,Train
457.19666,107.43315,Train
186.36794,0.0,Train
149.06833,0.0,Train
296.29788,107.36421,Train
277.35654,97.46339,Train
198.29433,4.857238,Train
156.41124,0.0,Train
131.0573,0.5604519,Train
251.03247,109.0546,Train
181.3868,68.54498,Train
196.17023,20.461498,Train
320.5828,99.279205,Train
122.02451,0.0,Train
286.14536,103.129395,Train
216.19531,2.035669,Train
285.6244,104.18868,Train
157.73264,0.0,Train
162.91998,29.839453,Train
192.68646,45.127007,Train
339.4321,108.10228,Train
149.55684,0.0,Train
141.06071,1.3974799,Train
370.10446,67.33204,Train
217.74278,2.0289185,Train
464.10843,111.06523,Train
259.05145,0.0,Train
266.52185,0.0,Train
458.5196,109.961914,Train
361.4947,99.32814,Train
326.49713,8.869808,Train
268.82693,0.0,Train
266.1841,0.0,Train
306.66867,101.97191,Train
263.93054,10.415907,Train
319.6198,45.58529,Train
465.6864,98.70335,Train
182.73038,0.0,Train
402.4517,105.72986,Train
304.45038,41.84469,Train
364.72644,100.373436,Train
214.02983,0.0,Train
290.2106,71.44847,Train
339.5187,91.282585,Train
379.4542,101.65065,Train
250.06703,0.0,Train
226.10722,17.232935,Train
292.32498,27.766964,Train
233.01889,0.9954361,Train
479.69302,107.47219,Train
231.19743,0.0,Train
275.03207,0.0,Train
458.24698,109.562485,Train
349.6421,82.57209,Train
302.7175,0.86532193,Train
231.72313,0.0,Train
234.65901,0.0,Train
275.12515,95.51497,Train
278.5715,27.722485,Train
265.99814,18.770784,Train
407.15503,98.92977,Train
175.64215,0.0,Train
343.90952,83.18596,Train
266.90714,0.0,Train
363.23502,102.40117,Train
214.64311,0.0,Train
379.38147,72.75527,Train
336.3001,61.250214,Train
457.79895,102.34879,Train
248.97806,0.0,Train
270.5374,0.0,Train
256.39932,42.06629,Train
193.26477,0.0,Train
325.85193,110.288414,Train
183.76077,0.0,Train
205.19136,0.0,Train
387.34366,111.46195,Train
272.76767,106.3994,Train
192.56339,2.052149,Train
127.13083,0.0,Train
209.81999,0.13986348,Train
346.13086,109.91597,Train
360.36343,81.92351,Train
259.51776,68.23738,Train
272.49377,99.146355,Train
152.5415,0.0,Train
318.61096,106.721825,Train
177.10211,47.25176,Train
344.365,106.08162,Train
141.04959,0.65516055,Train
251.7559,85.699615,Train
230.93393,100.16236,Train
295.58368,108.06748,Train
183.90514,0.0,Train
250.79831,77.648155,Train
71.892494,0.5209588,Train
153.89604,0.0,Train
245.47505,108.64046,Train
108.62951,0.0,Train
78.3094,0.0,Train
260.21475,105.53129,Train
158.04553,15.824809,Train
180.25177,1.5670856,Train
107.38345,3.1734848,Train
70.69058,0.0,Train
117.07316,107.25832,Train
116.331184,1.297354,Train
136.71465,15.88251,Train
148.47356,94.034386,Train
58.85792,0.0,Train
133.51773,103.65493,Train
114.85298,20.689734,Train
135.51369,97.14598,Train
109.749825,1.6802003,Train
140.46141,82.408646,Train
227.64845,68.054855,Train
204.01094,100.193054,Train
159.84886,0.0,Train
153.26224,8.599503,Train
290.58353,51.022026,Train
232.23846,0.0,Train
424.92444,110.47451,Train
227.09146,0.0,Train
272.93954,0.0,Train
457.46866,106.72953,Train
400.92883,99.131935,Train
213.22003,0.0,Train
237.3423,0.0,Train
252.4456,0.0,Train
416.02997,106.72489,Train
333.64536,73.17659,Train
324.1418,73.17692,Train
369.3193,105.49194,Train
210.17786,0.0,Train
369.61746,104.917336,Train
298.4881,57.087013,Train
406.2898,109.68123,Train
229.97252,0.42898542,Train
347.3863,63.3229,Train
268.88113,9.676029,Train
363.357,103.10181,Train
227.61392,0.0,Train
268.3519,18.07981,Train
224.83784,36.27735,Train
283.97717,0.0,Train
428.23065,110.12932,Train
275.74832,0.0,Train
242.68013,0.0,Train
379.77612,108.63551,Train
320.2363,86.51631,Train
219.46062,0.0,Train
200.29912,0.0,Train
216.90178,0.0,Train
332.61862,93.90904,Train
248.89963,69.43308,Train
268.1448,54.629486,Train
299.70413,99.97038,Train
144.77765,0.0,Train
326.26532,108.58616,Train
320.91718,46.88914,Train
346.0832,97.76158,Train
207.51337,0.0,Train
319.60773,64.62761,Train
284.06622,38.700294,Train
438.98892,104.134445,Train
204.42578,0.0,Train
263.9268,8.576576,Train
257.69565,10.299899,Train
204.64388,0.0,Train
384.39227,100.78017,Train
240.09085,0.0,Train
221.48958,0.0,Train
410.83847,106.62349,Train
222.58751,2.5752196,Train
256.98672,3.473035,Train
335.5361,0.0,Train
251.03563,12.958511,Train
319.53534,102.23155,Train
284.1352,53.36599,Train
264.53522,0.7404791,Train
376.9354,106.975876,Train
183.48573,0.0,Train
287.93625,54.628803,Train
226.8869,2.0455756,Train
289.43774,108.02228,Train
255.08873,0.0,Train
299.18988,15.205637,Train
313.24118,42.5277,Train
287.79266,98.07723,Train
270.4443,0.0,Train
197.1461,11.733489,Train
227.70432,5.4044366,Train
146.58257,0.0,Train
394.52115,110.54918,Train
176.32005,0.0,Train
231.5293,0.0,Train
388.64886,107.10471,Train
283.32877,15.805219,Train
160.21902,0.09272786,Train
146.36958,7.5207686,Train
192.78049,0.0,Train
339.3517,105.60779,Train
246.23329,28.443325,Train
276.02518,57.65194,Train
278.92743,91.54417,Train
143.98999,0.0,Train
352.4629,104.186806,Train
212.0461,8.084986,Train
311.08966,104.837685,Train
136.14355,0.0,Train
286.40778,71.97592,Train
286.93234,42.662823,Train
279.81723,102.46132,Train
171.26244,0.0,Train
217.46799,11.052643,Train
349.2117,56.75313,Train
256.29984,0.0,Train
515.8894,109.58107,Train
232.33044,0.0,Train
257.17294,0.0,Train
509.21692,111.78721,Train
379.46234,101.582855,Train
333.75925,20.091595,Train
273.7576,0.0,Train
284.8574,0.0,Train
300.90866,106.46389,Train
270.1114,33.755875,Train
324.0656,71.41752,Train
510.02124,99.97695,Train
211.62837,0.0,Train
469.08694,106.86428,Train
328.297,34.162624,Train
439.2085,107.70923,Train
194.22144,0.0,Train
344.43585,80.4714,Train
348.05176,79.2631,Train
418.9191,107.42262,Train
292.7879,0.0,Train
289.90817,65.044846,Train
234.92148,13.65448,Train
158.7221,0.0,Train
352.8099,108.490234,Train
153.93488,0.0,Train
204.69704,0.0,Train
430.19638,106.76878,Train
329.23288,103.632034,Train
208.75659,0.0,Train
151.36748,0.0,Train
200.11552,0.0,Train
411.70078,101.2528,Train
292.2732,74.74065,Train
254.8328,63.10686,Train
317.22958,100.27904,Train
155.36354,0.0,Train
401.68466,108.635315,Train
270.093,55.501324,Train
386.3885,105.68125,Train
139.12119,0.0,Train
220.94104,83.2519,Train
227.2481,67.30434,Train
340.0423,105.78084,Train
182.37372,0.0,Train
274.34232,41.666958,Train
261.0744,58.562267,Train
221.75197,0.0,Train
452.00613,111.067215,Train
252.53683,0.0,Train
263.14413,0.0,Train
378.47797,102.7924,Train
321.3384,102.49282,Train
295.07538,0.0,Train
241.58894,0.0,Train
248.37907,0.0,Train
334.34576,106.17406,Train
278.639,85.707504,Train
292.65884,77.88454,Train
302.90524,106.85869,Train
156.07822,0.0,Train
424.42773,110.86107,Train
241.70384,47.560562,Train
369.15652,111.00774,Train
232.08575,0.0,Train
305.09155,77.71726,Train
376.42392,92.87038,Train
428.58286,105.85708,Train
280.26837,0.0,Train
