Loss,Payout,Set
523.0519,0.0,Train
657.8841,0.0,Train
848.405,99.82231,Train
642.3151,0.0,Train
863.20465,32.447372,Train
918.5524,255.97461,Train
765.49164,67.80368,Train
657.38837,0.0,Train
838.7118,239.30154,Train
1372.6819,370.74945,Train
972.704,166.07983,Train
1279.9926,345.70493,Train
680.18616,0.0,Train
855.69635,134.91145,Train
780.7678,0.0,Train
901.41833,130.37639,Train
757.70953,4.7874365,Train
761.4487,70.80638,Train
847.2909,66.85823,Train
875.8793,143.30057,Train
994.44025,249.66753,Train
713.63275,43.095238,Train
1190.7041,336.99396,Train
639.9485,3.8954577,Train
836.8656,104.06089,Train
839.96106,135.5709,Train
797.90204,124.22129,Train
824.2212,129.77402,Train
914.37915,245.8789,Train
990.1765,285.9886,Train
918.167,191.936,Train
869.6338,77.61925,Train
882.68066,161.1795,Train
779.182,79.2792,Train
888.65436,151.6108,Train
919.50903,174.63437,Train
840.22473,19.017672,Train
782.1325,23.846485,Train
761.4233,26.127087,Train
818.5668,87.7721,Train
714.59094,0.0,Train
844.54517,140.1935,Train
672.05865,0.0,Train
711.4099,18.812956,Train
904.0199,41.541664,Train
877.09216,153.12875,Train
702.5499,0.0,Train
709.85583,86.20445,Train
781.48737,62.302776,Train
899.80164,181.67473,Train
820.7342,71.34432,Train
900.4279,243.25777,Train
1063.8004,267.99567,Train
836.12024,85.66586,Train
680.76794,2.5907056,Train
959.44946,268.52594,Train
758.0562,0.0,Train
721.8958,0.0,Train
1201.1359,341.65186,Train
870.9872,158.64584,Train
690.70404,0.0,Train
709.6307,0.0,Train
739.20874,44.46272,Train
1058.8708,293.74994,Train
1054.9514,210.35738,Train
860.0326,130.2438,Train
875.2625,195.14543,Train
519.1308,0.0,Train
787.31793,23.670683,Train
894.4356,207.74686,Train
742.76025,6.151145,Train
844.0368,117.26843,Train
776.9346,162.93198,Train
783.8594,80.26631,Train
823.9252,115.8513,Train
974.7262,237.59286,Train
1131.6711,312.33212,Train
914.9302,168.20581,Train
1049.6659,305.10925,Train
933.9639,85.60759,Train
852.7809,73.95645,Train
722.4931,42.003624,Train
769.6455,133.57779,Train
712.5572,28.97691,Train
782.4967,60.40218,Train
704.1685,60.10412,Train
770.99506,125.85641,Train
903.31146,201.13173,Train
883.95654,162.77829,Train
920.1339,277.6704,Train
805.6998,169.80716,Train
811.01843,142.79532,Train
917.7101,204.4802,Train
910.51526,148.5275,Train
729.0967,8.959257,Train
754.9666,171.24835,Train
779.81696,54.36317,Train
894.5651,212.17062,Train
782.19525,131.48239,Train
866.20746,100.14848,Train
852.99774,167.19763,Train
798.56683,68.619095,Train
943.13824,176.86557,Train
792.73346,141.73483,Train
750.67285,72.89717,Train
779.9,106.32487,Train
754.9762,136.74013,Train
805.5498,107.234924,Train
825.0946,123.33445,Train
714.7135,72.1147,Train
742.36847,64.00557,Train
741.40155,77.54765,Train
856.31866,194.87468,Train
773.2423,31.651754,Train
732.5227,25.25184,Train
842.039,157.62093,Train
1068.8792,303.25693,Train
800.1922,77.77467,Train
835.7798,162.71326,Train
773.3549,58.39992,Train
772.58374,57.454773,Train
748.4216,46.621128,Train
805.94617,97.94886,Train
776.4363,18.794476,Train
742.2761,85.82879,Train
907.8174,282.4005,Train
851.0809,145.10555,Train
822.83655,113.36167,Train
763.8086,87.48754,Train
857.3289,50.118214,Train
1137.8374,331.5867,Train
778.9036,184.97462,Train
828.5784,160.10028,Train
1068.4517,251.55501,Train
349.9317,0.0,Train
641.0989,0.0,Train
875.9067,106.223595,Train
597.94135,0.0,Train
762.3201,18.403728,Train
978.8258,261.51434,Train
700.1054,50.454468,Train
624.65295,0.0,Train
848.64856,262.97003,Train
