Loss,Payout,Set
523.0519,0.0,Train
657.8841,0.0,Train
848.405,0.0,Train
642.3151,0.0,Train
863.20465,0.0,Train
918.5524,172.40085,Train
765.49164,0.0,Train
657.38837,0.0,Train
838.7118,87.22003,Train
1372.6819,561.76294,Train
972.704,0.0,Train
1279.9926,381.84323,Train
680.18616,0.0,Train
855.69635,3.0745862,Train
780.7678,0.0,Train
901.41833,1.7040222,Train
757.70953,0.0,Train
761.4487,0.0,Train
847.2909,0.0,Train
875.8793,10.59198,Train
994.44025,105.43844,Train
713.63275,0.0,Train
1190.7041,271.68903,Train
639.9485,0.0,Train
836.8656,0.0,Train
839.96106,0.0,Train
797.90204,0.0,Train
824.2212,0.0,Train
914.37915,52.779896,Train
990.1765,133.8498,Train
918.167,57.16976,Train
869.6338,0.0,Train
882.68066,3.3549304,Train
779.182,0.0,Train
888.65436,0.0,Train
919.50903,1.7874454,Train
840.22473,0.0,Train
782.1325,0.0,Train
761.4233,0.0,Train
818.5668,0.0,Train
714.59094,0.0,Train
844.54517,0.0,Train
672.05865,0.0,Train
711.4099,0.0,Train
904.0199,0.0,Train
877.09216,3.826332,Train
702.5499,0.0,Train
709.85583,0.07481406,Train
781.48737,0.0,Train
899.80164,33.838608,Train
820.7342,44.55529,Train
900.4279,114.88908,Train
1063.8004,92.73295,Train
836.12024,0.0,Train
680.76794,0.0,Train
959.44946,128.7707,Train
758.0562,0.0,Train
721.8958,0.0,Train
1201.1359,341.75812,Train
870.9872,0.0,Train
690.70404,0.0,Train
709.6307,0.0,Train
739.20874,0.0,Train
1058.8708,246.72969,Train
1054.9514,97.32973,Train
860.0326,0.0,Train
875.2625,12.03961,Train
519.1308,0.0,Train
787.31793,0.0,Train
894.4356,0.0,Train
742.76025,0.0,Train
844.0368,0.0,Train
776.9346,5.0647564,Train
783.8594,0.0,Train
823.9252,4.8405275,Train
974.7262,63.83662,Train
1131.6711,212.24307,Train
914.9302,17.232191,Train
1049.6659,150.86496,Train
933.9639,17.773579,Train
852.7809,0.0,Train
722.4931,0.0,Train
769.6455,0.0,Train
712.5572,0.0,Train
782.4967,0.0,Train
704.1685,0.0,Train
770.99506,10.561296,Train
903.31146,2.8883762,Train
883.95654,5.8226075,Train
920.1339,111.77893,Train
805.6998,55.666748,Train
811.01843,2.3544645,Train
917.7101,11.98778,Train
910.51526,2.4969249,Train
729.0967,0.0,Train
754.9666,0.0,Train
779.81696,0.0,Train
894.5651,92.52231,Train
782.19525,0.0,Train
866.20746,0.0,Train
852.99774,15.946396,Train
798.56683,0.0,Train
943.13824,21.547178,Train
792.73346,0.0,Train
750.67285,0.0,Train
779.9,0.0,Train
754.9762,0.0,Train
805.5498,0.0,Train
825.0946,0.0,Train
714.7135,0.0,Train
742.36847,0.0,Train
741.40155,0.0,Train
856.31866,55.720135,Train
773.2423,0.0,Train
732.5227,0.0,Train
842.039,9.388945,Train
1068.8792,123.99717,Train
800.1922,0.9220662,Train
835.7798,39.880333,Train
773.3549,0.0,Train
772.58374,0.0,Train
748.4216,0.0,Train
805.94617,0.1780187,Train
776.4363,0.0,Train
742.2761,0.0,Train
907.8174,124.116516,Train
851.0809,0.0,Train
822.83655,9.558049,Train
763.8086,0.0,Train
857.3289,0.0,Train
1137.8374,315.60913,Train
778.9036,12.842682,Train
828.5784,0.0,Train
1068.4517,128.04471,Train
349.9317,0.0,Train
641.0989,0.0,Train
875.9067,0.0,Train
597.94135,0.0,Train
762.3201,0.0,Train
978.8258,165.46109,Train
700.1054,0.0,Train
624.65295,0.0,Train
848.64856,142.49582,Train
1404.0869,526.80066,Train
1002.0581,36.12912,Train
1304.8287,365.52338,Train
741.0112,0.0,Train
