Loss,Payout,Set
523.0519,0.0,Train
657.8841,0.0,Train
848.405,99.44092,Train
642.3151,0.0,Train
863.20465,49.686012,Train
918.5524,261.1911,Train
765.49164,72.75258,Train
657.38837,0.0,Train
838.7118,243.44597,Train
1372.6819,372.62152,Train
972.704,168.87082,Train
1279.9926,348.19647,Train
680.18616,0.0,Train
855.69635,141.97641,Train
780.7678,0.0,Train
901.41833,128.96225,Train
757.70953,2.3898911,Train
761.4487,76.80623,Train
847.2909,66.51699,Train
875.8793,138.57028,Train
994.44025,249.27742,Train
713.63275,42.509796,Train
1190.7041,338.1187,Train
639.9485,4.7666364,Train
836.8656,106.74744,Train
839.96106,145.5794,Train
797.90204,122.8683,Train
824.2212,130.66888,Train
914.37915,240.28609,Train
990.1765,282.33148,Train
918.167,194.74564,Train
869.6338,77.7539,Train
882.68066,161.89339,Train
779.182,78.70654,Train
888.65436,151.22975,Train
919.50903,167.12544,Train
840.22473,26.243896,Train
782.1325,29.993984,Train
761.4233,23.965046,Train
818.5668,97.06981,Train
714.59094,0.0,Train
844.54517,140.11014,Train
672.05865,0.33704478,Train
711.4099,22.532818,Train
904.0199,52.139393,Train
877.09216,153.60992,Train
702.5499,0.0,Train
709.85583,97.22785,Train
781.48737,65.66016,Train
899.80164,176.32207,Train
820.7342,84.71957,Train
900.4279,240.08731,Train
1063.8004,273.91162,Train
836.12024,91.1273,Train
680.76794,9.682989,Train
959.44946,261.37338,Train
758.0562,0.0,Train
721.8958,0.89352053,Train
1201.1359,345.6529,Train
870.9872,162.46033,Train
690.70404,0.0,Train
709.6307,0.0,Train
739.20874,47.086845,Train
1058.8708,293.25732,Train
1054.9514,212.88477,Train
860.0326,145.97946,Train
875.2625,197.92516,Train
519.1308,0.0,Train
787.31793,29.336914,Train
894.4356,210.64697,Train
742.76025,3.1028497,Train
844.0368,111.81427,Train
776.9346,158.66946,Train
783.8594,78.0118,Train
823.9252,107.49011,Train
974.7262,242.86018,Train
1131.6711,310.4378,Train
914.9302,170.1268,Train
1049.6659,303.17484,Train
933.9639,90.26581,Train
852.7809,72.0327,Train
722.4931,47.813316,Train
769.6455,138.11746,Train
712.5572,36.35241,Train
782.4967,61.264458,Train
704.1685,59.642097,Train
770.99506,133.03986,Train
903.31146,199.93065,Train
883.95654,162.3465,Train
920.1339,274.65012,Train
805.6998,174.964,Train
811.01843,146.39201,Train
917.7101,203.1224,Train
910.51526,151.8705,Train
729.0967,7.919974,Train
754.9666,171.97575,Train
779.81696,44.162346,Train
894.5651,213.02898,Train
782.19525,135.54628,Train
866.20746,93.87847,Train
852.99774,175.27448,Train
798.56683,67.331924,Train
943.13824,180.64981,Train
792.73346,147.54874,Train
750.67285,69.730545,Train
779.9,114.59934,Train
754.9762,143.103,Train
805.5498,107.093765,Train
825.0946,128.72427,Train
714.7135,73.2054,Train
742.36847,65.325584,Train
741.40155,79.73082,Train
856.31866,198.89066,Train
773.2423,25.055187,Train
732.5227,25.42069,Train
842.039,163.44078,Train
1068.8792,301.18036,Train
800.1922,80.10257,Train
835.7798,162.05267,Train
773.3549,59.601513,Train
772.58374,46.561073,Train
748.4216,52.055626,Train
805.94617,90.40117,Train
776.4363,18.473324,Train
742.2761,90.26338,Train
907.8174,285.1021,Train
851.0809,140.91602,Train
822.83655,111.181725,Train
763.8086,84.97429,Train
857.3289,47.486225,Train
1137.8374,331.53485,Train
778.9036,193.33395,Train
828.5784,159.09717,Train
1068.4517,252.77422,Train
349.9317,0.0,Train
641.0989,0.0,Train
875.9067,104.0363,Train
597.94135,0.0,Train
762.3201,32.067215,Train
978.8258,261.32855,Train
700.1054,54.295433,Train
624.65295,0.0,Train
