Loss,Payout,Set
523.0519,0.0,Train
657.8841,0.0,Train
848.405,17.063923,Train
642.3151,0.0,Train
863.20465,7.5847654,Train
918.5524,187.08365,Train
765.49164,0.73584723,Train
657.38837,0.0,Train
838.7118,182.46019,Train
1372.6819,318.0705,Train
972.704,116.11111,Train
1279.9926,300.7101,Train
680.18616,0.0,Train
855.69635,109.43523,Train
780.7678,0.0,Train
901.41833,75.04334,Train
757.70953,0.0,Train
761.4487,45.0744,Train
847.2909,17.999332,Train
875.8793,78.23,Train
994.44025,171.01419,Train
713.63275,4.2855873,Train
1190.7041,292.83994,Train
639.9485,0.0,Train
836.8656,30.590633,Train
839.96106,100.5737,Train
797.90204,50.25463,Train
824.2212,100.14244,Train
914.37915,194.66815,Train
990.1765,215.57353,Train
918.167,146.92476,Train
869.6338,2.6052165,Train
882.68066,108.44651,Train
779.182,5.6578126,Train
888.65436,93.31994,Train
919.50903,115.95671,Train
840.22473,0.0,Train
782.1325,0.56370795,Train
761.4233,0.0,Train
818.5668,29.547201,Train
714.59094,0.0,Train
844.54517,79.78966,Train
672.05865,0.0,Train
711.4099,0.0,Train
904.0199,2.436302,Train
877.09216,63.743633,Train
702.5499,0.0,Train
709.85583,44.028717,Train
781.48737,41.141254,Train
899.80164,106.9458,Train
820.7342,65.44857,Train
900.4279,184.35022,Train
1063.8004,190.02951,Train
836.12024,40.755898,Train
680.76794,5.101391,Train
959.44946,198.442,Train
758.0562,0.0,Train
721.8958,0.0,Train
1201.1359,310.32635,Train
870.9872,79.67858,Train
690.70404,0.0,Train
709.6307,0.0,Train
739.20874,0.7895019,Train
1058.8708,246.46127,Train
1054.9514,157.27393,Train
860.0326,80.913345,Train
875.2625,157.77332,Train
519.1308,0.0,Train
787.31793,0.0,Train
894.4356,91.205376,Train
742.76025,1.8268839,Train
844.0368,59.226055,Train
776.9346,83.718155,Train
783.8594,5.5566463,Train
823.9252,50.211475,Train
974.7262,161.41754,Train
1131.6711,257.651,Train
914.9302,130.62207,Train
1049.6659,264.50278,Train
933.9639,80.47191,Train
852.7809,28.121933,Train
722.4931,13.605209,Train
769.6455,56.702564,Train
712.5572,7.6492386,Train
782.4967,20.521631,Train
704.1685,26.249384,Train
770.99506,109.17275,Train
903.31146,126.91714,Train
883.95654,98.6321,Train
920.1339,244.06003,Train
805.6998,104.60576,Train
811.01843,89.43996,Train
917.7101,157.48096,Train
910.51526,68.05107,Train
729.0967,0.0,Train
754.9666,119.66911,Train
779.81696,0.0,Train
894.5651,173.06207,Train
782.19525,53.69342,Train
866.20746,11.704569,Train
852.99774,115.74961,Train
798.56683,0.0,Train
943.13824,132.68204,Train
792.73346,44.807186,Train
750.67285,35.945045,Train
779.9,65.265656,Train
754.9762,72.443054,Train
805.5498,42.547455,Train
825.0946,77.291336,Train
714.7135,6.1606727,Train
742.36847,4.6951,Train
741.40155,36.67281,Train
856.31866,156.22385,Train
773.2423,0.0,Train
732.5227,0.0,Train
842.039,121.738235,Train
1068.8792,236.32877,Train
800.1922,48.5567,Train
835.7798,127.822105,Train
773.3549,6.1564384,Train
772.58374,3.413155,Train
748.4216,2.0003324,Train
805.94617,36.688515,Train
776.4363,0.0,Train
742.2761,15.327593,Train
907.8174,242.00195,Train
851.0809,65.70871,Train
822.83655,86.572426,Train
763.8086,16.40569,Train
857.3289,0.0,Train
1137.8374,295.62738,Train
778.9036,157.98099,Train
828.5784,23.492489,Train
1068.4517,209.67485,Train
349.9317,0.0,Train
641.0989,0.0,Train
875.9067,24.934372,Train
597.94135,0.0,Train
762.3201,3.5192628,Train
978.8258,194.22745,Train
700.1054,0.0,Train
624.65295,0.0,Train
848.64856,211.10886,Train
