Loss,Payout,Premium,Wealth,Utility
643.871,0.000,0.001,-255.271,-963.415
933.629,0.001,0.001,-545.029,-9784.410
941.542,0.001,0.001,-552.943,-10423.918
814.525,0.001,0.001,-425.925,-3773.327
787.821,0.000,0.001,-399.222,-3047.536
793.691,0.000,0.001,-405.092,-3194.061
999.324,0.001,0.001,-610.724,-16549.456
952.451,0.002,0.001,-563.851,-11374.406
1187.141,0.001,0.001,-798.540,-74357.225
901.366,0.002,0.001,-512.766,-7558.597
727.784,0.001,0.001,-339.184,-1885.197
899.597,0.001,0.001,-510.997,-7452.389
781.585,0.001,0.001,-392.985,-2899.207
794.196,0.001,0.001,-405.596,-3206.975
783.784,0.001,0.001,-395.184,-2950.662
752.548,0.001,0.001,-363.948,-2298.236
1002.438,0.000,0.001,-613.839,-16966.958
782.432,0.000,0.001,-393.834,-2918.962
751.077,0.000,0.001,-362.477,-2271.356
811.030,0.000,0.001,-422.431,-3669.328
900.682,0.000,0.001,-512.083,-7517.433
775.030,0.001,0.001,-386.430,-2751.096
792.456,0.000,0.001,-403.857,-3162.657
809.143,0.000,0.001,-420.545,-3614.363
774.744,0.000,0.001,-386.145,-2744.824
747.691,0.000,0.001,-359.092,-2210.665
768.914,0.000,0.001,-380.315,-2619.742
803.851,0.000,0.001,-415.252,-3464.511
796.734,0.000,0.001,-408.135,-3272.785
677.112,0.000,0.001,-288.513,-1256.914
902.121,0.001,0.001,-513.522,-7604.430
898.433,0.000,0.001,-509.834,-7383.369
849.596,0.001,0.001,-460.996,-4995.446
859.147,0.000,0.001,-470.548,-5392.153
848.503,0.000,0.001,-459.904,-4952.004
1005.589,0.001,0.001,-616.989,-17399.940
983.532,0.002,0.001,-594.931,-14585.207
1143.675,0.002,0.001,-755.074,-52517.850
812.788,0.001,0.001,-424.189,-3721.281
746.836,0.001,0.001,-358.237,-2195.595
901.470,0.001,0.001,-512.870,-7564.907
819.358,0.001,0.001,-430.758,-3922.076
806.069,0.001,0.001,-417.470,-3526.532
818.434,0.001,0.001,-429.834,-3893.201
691.647,0.001,0.001,-303.047,-1411.898
910.421,0.001,0.001,-521.821,-8126.472
745.868,0.000,0.001,-357.269,-2178.655
687.010,0.001,0.001,-298.411,-1360.487
681.709,0.000,0.001,-293.111,-1304.008
782.958,0.000,0.001,-394.359,-2931.255
828.346,0.002,0.001,-439.746,-4214.471
796.296,0.001,0.001,-407.696,-3261.312
924.817,0.001,0.001,-536.217,-9118.425
781.931,0.000,0.001,-393.332,-2907.267
753.745,0.001,0.001,-365.146,-2320.365
760.181,0.000,0.001,-371.582,-2442.971
743.892,0.001,0.001,-355.292,-2144.471
712.483,0.001,0.001,-323.883,-1667.996
726.734,0.000,0.001,-338.135,-1869.441
667.567,0.000,0.001,-278.969,-1164.518
789.105,0.000,0.001,-400.506,-3079.001
707.846,0.000,0.001,-319.247,-1607.267
710.888,0.000,0.001,-322.290,-1646.867
730.069,0.000,0.001,-341.470,-1919.989
724.944,0.000,0.001,-336.345,-1842.862
732.592,0.001,0.001,-343.992,-1959.121
768.300,0.001,0.001,-379.701,-2606.906
875.027,0.000,0.001,-486.428,-6122.565
727.007,0.000,0.001,-338.408,-1873.524
750.459,0.000,0.001,-361.860,-2260.162
