Loss,Payout,Premium,Wealth,Utility
643.871,67.383,99.993,-287.881,-1250.579
933.629,135.899,99.993,-509.124,-7341.537
941.542,76.011,99.993,-576.924,-12628.477
814.525,127.622,99.993,-398.297,-3025.064
787.821,16.037,99.993,-483.177,-5965.372
793.691,66.612,99.993,-438.472,-4171.754
999.324,121.415,99.993,-589.303,-13943.075
952.451,139.768,99.993,-524.076,-8274.429
1187.141,134.632,99.993,-763.902,-56360.924
901.366,156.548,99.993,-456.212,-4807.866
727.784,102.717,99.993,-336.460,-1844.558
899.597,109.701,99.993,-501.289,-6895.516
781.585,127.493,99.993,-365.485,-2326.674
794.196,112.856,99.993,-392.733,-2893.382
783.784,135.710,99.993,-359.468,-2217.321
752.548,110.672,99.993,-353.269,-2110.047
1002.438,48.858,99.993,-664.973,-25542.466
782.432,11.726,99.993,-482.100,-5914.192
751.077,71.796,99.993,-390.674,-2846.106
811.030,19.124,99.993,-503.299,-7007.304
900.682,51.624,99.993,-560.451,-11069.243
775.030,130.250,99.993,-356.174,-2159.656
792.456,63.119,99.993,-440.730,-4247.786
809.143,24.620,99.993,-495.917,-6605.420
774.744,70.699,99.993,-415.438,-3469.683
747.691,56.824,99.993,-402.260,-3122.525
768.914,75.373,99.993,-404.934,-3190.032
803.851,67.668,99.993,-447.576,-4486.920
796.734,41.829,99.993,-466.298,-5211.909
677.112,59.854,99.993,-328.651,-1732.844
902.121,90.547,99.993,-522.968,-8201.361
898.433,34.562,99.993,-575.264,-12461.829
849.596,117.213,99.993,-443.776,-4352.574
859.147,4.117,99.993,-566.424,-11610.949
848.503,35.000,99.993,-524.896,-8328.879
1005.589,124.959,99.993,-592.023,-14249.822
983.532,141.573,99.993,-553.352,-10458.049
1143.675,162.241,99.993,-692.827,-31918.195
812.788,89.341,99.993,-434.841,-4052.304
746.836,84.595,99.993,-373.635,-2483.420
901.470,95.945,99.993,-516.918,-7813.876
819.358,125.641,99.993,-405.110,-3194.522
806.069,100.083,99.993,-417.380,-3523.992
818.434,118.670,99.993,-411.157,-3352.874
691.647,98.161,99.993,-304.879,-1432.738
910.421,115.942,99.993,-505.872,-7153.016
745.868,54.081,99.993,-403.180,-3145.577
687.010,110.653,99.993,-287.750,-1249.273
681.709,19.751,99.993,-373.351,-2477.798
782.958,64.297,99.993,-430.055,-3900.074
828.346,138.818,99.993,-400.921,-3089.256
796.296,78.219,99.993,-429.471,-3881.892
924.817,101.162,99.993,-535.049,-9033.560
781.931,54.995,99.993,-438.329,-4166.979
753.745,81.623,99.993,-383.516,-2687.699
760.181,62.163,99.993,-409.412,-3306.375
743.892,128.112,99.993,-327.173,-1712.485
712.483,100.513,99.993,-323.363,-1661.077
726.734,56.795,99.993,-381.332,-2641.151
667.567,45.067,99.993,-333.893,-1807.067
789.105,33.318,99.993,-467.180,-5248.810
707.846,16.362,99.993,-402.877,-3137.966
710.888,54.086,99.993,-368.196,-2377.686
730.069,27.551,99.993,-413.912,-3427.569
724.944,53.338,99.993,-382.999,-2676.609
