Loss,Payout,Premium,Wealth,Utility
643.871,69.316,99.995,-285.950,-1231.405
933.629,129.149,99.995,-515.875,-7748.964
941.542,76.851,99.995,-576.087,-12544.108
814.525,121.921,99.995,-403.999,-3166.262
787.821,24.477,99.995,-474.738,-5575.971
793.691,68.643,99.995,-436.443,-4104.584
999.324,116.501,99.995,-594.219,-14502.338
952.451,132.528,99.995,-531.318,-8767.956
1187.141,128.043,99.995,-770.493,-59412.370
901.366,147.182,99.995,-465.580,-5182.039
727.784,100.173,99.995,-339.007,-1882.519
899.597,106.271,99.995,-504.721,-7087.432
781.585,121.809,99.995,-371.171,-2434.957
794.196,109.027,99.995,-396.565,-2983.437
783.784,128.984,99.995,-366.195,-2339.925
752.548,107.119,99.995,-356.824,-2170.910
1002.438,53.139,99.995,-660.694,-24682.905
782.432,20.713,99.995,-473.115,-5504.023
751.077,73.170,99.995,-389.302,-2815.035
811.030,27.173,99.995,-495.252,-6570.417
900.682,55.554,99.995,-556.523,-10726.778
775.030,124.216,99.995,-362.209,-2266.491
792.456,65.593,99.995,-438.258,-4164.618
809.143,31.973,99.995,-488.566,-6228.197
774.744,72.212,99.995,-413.927,-3427.991
747.691,60.095,99.995,-398.991,-3041.912
768.914,76.294,99.995,-404.015,-3166.671
803.851,69.565,99.995,-445.681,-4419.405
796.734,47.001,99.995,-461.129,-5000.754
677.112,62.742,99.995,-325.765,-1693.302
902.121,89.544,99.995,-523.972,-8267.507
898.433,40.655,99.995,-569.173,-11869.187
849.596,112.832,99.995,-448.160,-4507.916
859.147,14.067,99.995,-556.475,-10722.649
848.503,41.037,99.995,-518.861,-7936.309
1005.589,119.596,99.995,-597.388,-14874.737
983.532,134.105,99.995,-560.822,-11102.115
1143.675,152.153,99.995,-702.917,-34601.367
812.788,88.491,99.995,-435.692,-4079.995
746.836,84.347,99.995,-373.885,-2488.388
901.470,94.259,99.995,-518.606,-7920.126
819.358,120.192,99.995,-410.561,-3336.924
806.069,97.872,99.995,-419.592,-3586.925
818.434,114.104,99.995,-415.725,-3477.669
691.647,96.194,99.995,-306.848,-1455.486
910.421,111.722,99.995,-510.094,-7398.765
745.868,57.700,99.995,-399.563,-3055.860
687.010,107.103,99.995,-291.303,-1285.283
681.709,27.720,99.995,-365.384,-2324.792
782.958,66.621,99.995,-427.732,-3828.282
828.346,131.698,99.995,-408.043,-3270.361
796.296,78.779,99.995,-428.912,-3864.596
924.817,98.814,99.995,-537.398,-9204.947
781.931,58.498,99.995,-434.828,-4051.883
753.745,81.751,99.995,-383.389,-2684.974
760.181,64.757,99.995,-406.819,-3238.497
743.892,122.349,99.995,-332.938,-1793.308
712.483,98.247,99.995,-325.631,-1691.478
726.734,60.070,99.995,-378.059,-2572.891
667.567,49.829,99.995,-329.134,-1739.557
