Loss,Payout,Premium,Wealth,Utility
643.871,169.212,199.954,-286.012,-1232.018
933.629,229.167,199.954,-515.816,-7745.285
941.542,176.763,199.954,-576.134,-12548.822
814.525,221.924,199.954,-403.954,-3165.130
787.821,124.282,199.954,-474.892,-5582.821
793.691,168.538,199.954,-436.507,-4106.675
999.324,216.493,199.954,-594.185,-14498.434
952.451,232.553,199.954,-531.252,-8763.310
1187.141,228.058,199.954,-770.436,-59385.225
901.366,247.236,199.954,-465.484,-5178.059
727.784,200.132,199.954,-339.006,-1882.512
899.597,206.243,199.954,-504.708,-7086.703
781.585,221.812,199.954,-371.127,-2434.092
794.196,209.004,199.954,-396.546,-2982.997
783.784,229.002,199.954,-366.136,-2338.820
752.548,207.093,199.954,-356.809,-2170.657
1002.438,153.002,199.954,-660.789,-24701.708
782.432,120.510,199.954,-473.276,-5511.122
751.077,173.074,199.954,-389.356,-2816.262
811.030,126.983,199.954,-495.400,-6578.200
900.682,155.423,199.954,-556.613,-10734.528
775.030,224.224,199.954,-362.160,-2265.596
792.456,165.481,199.954,-438.328,-4166.947
809.143,131.793,199.954,-488.704,-6235.088
774.744,172.114,199.954,-413.983,-3429.539
747.691,159.973,199.954,-399.072,-3043.885
768.914,176.204,199.954,-404.063,-3167.890
803.851,169.462,199.954,-445.743,-4421.590
796.734,146.851,199.954,-461.236,-5005.064
677.112,162.624,199.954,-325.841,-1694.328
902.121,189.482,199.954,-523.993,-8268.906
898.433,140.492,199.954,-569.294,-11880.641
849.596,212.816,199.954,-448.133,-4506.971
859.147,113.851,199.954,-556.650,-10737.639
848.503,140.876,199.954,-518.981,-7943.918
1005.589,219.594,199.954,-597.348,-14869.984
983.532,234.133,199.954,-560.753,-11095.948
1143.675,252.218,199.954,-702.811,-34571.995
812.788,188.426,199.954,-435.715,-4080.755
746.836,184.274,199.954,-373.916,-2489.020
901.470,194.206,199.954,-518.618,-7920.859
819.358,220.191,199.954,-410.520,-3335.825
806.069,197.827,199.954,-419.596,-3587.047
818.434,214.091,199.954,-415.697,-3476.868
691.647,196.145,199.954,-306.855,-1455.575
910.421,211.704,199.954,-510.070,-7397.349
745.868,157.573,199.954,-399.649,-3057.961
687.010,207.076,199.954,-291.288,-1285.133
681.709,127.532,199.954,-365.531,-2327.525
782.958,166.512,199.954,-427.800,-3830.358
828.346,231.721,199.954,-407.978,-3268.673
796.296,178.694,199.954,-428.955,-3865.927
924.817,198.771,199.954,-537.400,-9205.117
781.931,158.372,199.954,-434.912,-4054.617
753.745,181.673,199.954,-383.426,-2685.769
760.181,164.644,199.954,-406.890,-3240.352
743.892,222.353,199.954,-332.892,-1792.655
712.483,198.202,199.954,-325.634,-1691.524
726.734,159.948,199.954,-378.140,-2574.561
667.567,149.685,199.954,-329.236,-1740.976
789.105,139.403,199.954,-461.055,-4997.798
707.846,124.567,199.954,-394.633,-2937.686
710.888,157.577,199.954,-364.666,-2311.469
730.069,134.357,199.954,-407.066,-3244.893
724.944,156.923,199.954,-379.375,-2600.124
732.592,220.590,199.954,-323.356,-1660.977
768.300,176.933,199.954,-402.721,-3134.052
875.027,157.352,199.954,-529.028,-8608.783
727.007,166.021,199.954,-372.339,-2457.819
750.459,173.870,199.954,-387.943,-2784.589
731.017,122.082,199.954,-420.289,-3606.970
