Loss,Payout,Premium,Wealth,Utility
643.871,26.716,49.955,-290.569,-1277.763
933.629,109.817,49.955,-497.226,-6674.999
941.542,37.181,49.955,-577.776,-12714.775
814.525,99.778,49.955,-388.161,-2789.463
787.821,0.000,49.955,-461.235,-5004.998
793.691,25.781,49.955,-441.324,-4268.036
999.324,92.250,49.955,-580.489,-12993.778
952.451,114.510,49.955,-511.355,-7473.783
1187.141,108.280,49.955,-752.275,-51354.623
901.366,134.862,49.955,-439.919,-4220.310
727.784,69.572,49.955,-331.626,-1774.590
899.597,78.042,49.955,-494.969,-6555.520
781.585,99.622,49.955,-355.377,-2145.936
794.196,81.869,49.955,-385.741,-2735.978
783.784,109.588,49.955,-347.610,-2016.659
752.548,79.220,49.955,-346.742,-2002.693
1002.438,4.247,49.955,-671.605,-26934.156
782.432,0.000,49.955,-455.847,-4793.840
751.077,32.068,49.955,-392.423,-2886.201
811.030,0.000,49.955,-484.444,-6026.173
900.682,7.602,49.955,-566.494,-11617.498
775.030,102.966,49.955,-345.479,-1982.562
792.456,21.544,49.955,-444.326,-4371.750
809.143,0.000,49.955,-482.558,-5935.905
774.744,30.738,49.955,-417.420,-3525.139
747.691,13.909,49.955,-407.196,-3248.290
768.914,36.407,49.955,-405.921,-3215.323
803.851,27.062,49.955,-450.203,-4582.228
796.734,0.000,49.955,-470.148,-5374.927
677.112,17.584,49.955,-332.941,-1793.358
902.121,54.811,49.955,-520.725,-8055.510
898.433,0.000,49.955,-571.847,-12125.781
849.596,87.154,49.955,-435.856,-4085.362
859.147,0.000,49.955,-532.561,-8855.587
848.503,0.000,49.955,-521.917,-8132.726
1005.589,96.548,49.955,-582.455,-13199.731
983.532,116.699,49.955,-540.246,-9417.120
1143.675,141.767,49.955,-675.322,-27747.224
812.788,53.348,49.955,-432.855,-3988.422
746.836,47.592,49.955,-372.659,-2464.105
901.470,61.358,49.955,-513.526,-7604.677
819.358,97.376,49.955,-395.396,-2955.675
806.069,66.377,49.955,-413.106,-3405.562
818.434,88.921,49.955,-402.928,-3139.236
691.647,64.046,49.955,-301.015,-1389.127
910.421,85.612,49.955,-498.223,-6728.425
745.868,10.582,49.955,-408.700,-3287.591
687.010,79.197,49.955,-281.227,-1185.751
681.709,0.000,49.955,-355.123,-2141.585
782.958,22.973,49.955,-433.400,-4005.849
828.346,113.358,49.955,-388.403,-2794.854
796.296,39.858,49.955,-429.852,-3893.754
924.817,67.685,49.955,-530.546,-8713.948
781.931,11.691,49.955,-443.654,-4348.333
753.745,43.987,49.955,-383.173,-2680.329
760.181,20.384,49.955,-413.211,-3408.413
743.892,100.372,49.955,-316.934,-1577.794
712.483,66.898,49.955,-318.999,-1604.080
726.734,13.874,49.955,-386.274,-2747.660
667.567,0.000,49.955,-340.982,-1912.500
789.105,0.000,49.955,-462.519,-5056.674
707.846,0.000,49.955,-381.260,-2639.631
710.888,10.588,49.955,-373.715,-2485.012
730.069,0.000,49.955,-403.483,-3153.216
724.944,9.681,49.955,-388.677,-2800.990
732.592,97.929,49.955,-308.078,-1469.881
768.300,37.417,49.955,-404.298,-3173.830
875.027,10.277,49.955,-538.164,-9261.531
727.007,22.293,49.955,-378.129,-2574.324
750.459,33.172,49.955,-390.702,-2846.732
731.017,0.000,49.955,-404.431,-3177.227
641.671,60.403,49.955,-254.682,-958.883
631.518,51.354,49.955,-253.578,-950.453
716.234,78.830,49.955,-310.819,-1502.468
661.772,23.650,49.955,-311.536,-1511.111
900.526,63.395,49.955,-510.545,-7425.497
842.889,7.337,49.955,-508.967,-7332.316
694.127,91.672,49.955,-275.869,-1135.995
700.488,14.382,49.955,-359.520,-2218.257
761.694,5.643,49.955,-429.465,-3881.712
900.394,77.472,49.955,-496.337,-6627.679
847.802,100.049,49.955,-421.168,-3632.423
1048.765,135.394,49.955,-586.785,-13665.054
789.982,30.940,49.955,-432.456,-3975.730
709.617,36.340,49.955,-346.692,-2001.893
814.080,51.708,49.955,-435.786,-4083.053
750.219,88.988,49.955,-334.645,-1817.970
786.144,65.806,49.955,-393.753,-2917.079
693.834,35.422,49.955,-331.826,-1777.428
728.100,30.319,49.955,-371.196,-2435.432
806.760,33.089,49.955,-447.085,-4469.325
750.499,32.833,49.955,-391.080,-2855.361
727.500,82.933,49.955,-317.981,-1591.068
783.768,0.403,49.955,-456.779,-4829.719
737.676,24.278,49.955,-386.812,-2759.512
825.198,94.093,49.955,-404.520,-3179.470
853.388,86.299,49.955,-440.503,-4240.091
1067.701,154.463,49.955,-586.652,-13650.514
853.041,0.000,49.955,-526.455,-8433.382
682.930,35.201,49.955,-321.143,-1631.833
790.174,23.299,49.955,-440.290,-4232.846
723.519,96.946,49.955,-299.988,-1377.765
744.065,51.489,49.955,-365.991,-2336.101
701.534,33.503,49.955,-341.446,-1919.613
697.114,27.949,49.955,-342.580,-1937.107
735.635,74.252,49.955,-334.796,-1820.170
781.298,0.000,49.955,-454.712,-4750.536
706.181,86.686,49.955,-292.909,-1301.907
715.684,0.000,49.955,-389.098,-2810.447
763.903,53.435,49.955,-383.881,-2695.572
872.495,105.742,49.955,-440.168,-4228.716
888.105,101.633,49.955,-459.887,-4951.311
991.189,183.162,49.955,-481.441,-5883.110
735.080,31.777,49.955,-376.718,-2545.432
677.783,24.958,49.955,-326.240,-1699.739
788.853,27.016,49.955,-435.251,-4065.612
748.424,81.532,49.955,-340.305,-1902.182
697.261,60.629,49.955,-310.046,-1493.206
660.934,31.083,49.955,-303.265,-1414.367
793.843,15.746,49.955,-451.511,-4630.409
971.207,112.101,49.955,-532.520,-8852.677
920.124,17.376,49.955,-576.162,-12551.670
959.146,109.662,49.955,-522.898,-8196.793
926.698,27.375,49.955,-572.737,-12212.408
891.374,96.635,49.955,-468.153,-5289.816
893.655,131.045,49.955,-436.025,-4090.862
999.180,158.248,49.955,-514.346,-7654.735
893.354,36.085,49.955,-530.683,-8723.522
829.700,50.803,49.955,-452.311,-4660.151
994.118,66.827,49.955,-600.705,-15274.693
918.758,125.916,49.955,-466.256,-5210.123
1050.729,80.338,49.955,-643.805,-21563.417
813.534,101.049,49.955,-385.900,-2739.446
719.175,55.048,49.955,-337.541,-1860.579
882.519,101.923,49.955,-454.011,-4723.941
932.155,38.670,49.955,-566.899,-11655.183
916.530,120.170,49.955,-469.774,-5358.870
797.489,51.638,49.955,-419.265,-3577.546
809.548,33.702,49.955,-449.260,-4547.770
822.511,83.582,49.955,-412.343,-3384.814
987.482,76.590,49.955,-584.306,-13396.710
1358.966,186.244,49.955,-846.136,-108814.599
857.914,91.985,49.955,-439.343,-4200.920
754.256,44.210,49.955,-383.460,-2686.503
878.841,57.672,49.955,-494.583,-6535.337
915.353,123.740,49.955,-465.027,-5159.165
915.501,62.544,49.955,-526.371,-8427.751
829.284,104.009,49.955,-398.689,-3034.582
711.278,30.840,49.955,-353.853,-2119.922
861.635,66.259,49.955,-468.789,-5316.810
792.395,0.000,49.955,-465.810,-5191.568
