Loss,Payout,Premium,Wealth,Utility
643.871,166.848,199.952,-288.374,-1255.524
933.629,236.428,199.952,-508.553,-7308.102
941.542,175.610,199.952,-577.284,-12664.839
814.525,228.022,199.952,-397.855,-3014.385
787.821,114.705,199.952,-484.467,-6027.288
793.691,166.065,199.952,-438.978,-4188.654
999.324,221.719,199.952,-588.957,-13904.573
952.451,240.357,199.952,-523.446,-8232.788
1187.141,235.141,199.952,-763.351,-56113.081
901.366,257.398,199.952,-455.321,-4773.709
727.784,202.731,199.952,-336.405,-1843.742
899.597,209.823,199.952,-501.125,-6886.489
781.585,227.892,199.952,-365.045,-2318.498
794.196,213.027,199.952,-392.521,-2888.461
783.784,236.236,199.952,-358.900,-2207.275
752.548,210.810,199.952,-353.090,-2107.031
1002.438,148.035,199.952,-665.754,-25702.566
782.432,110.327,199.952,-483.457,-5978.778
751.077,171.329,199.952,-391.099,-2855.796
811.030,117.840,199.952,-504.542,-7077.319
900.682,150.845,199.952,-561.190,-11134.798
775.030,230.691,199.952,-355.691,-2151.329
792.456,162.518,199.952,-441.290,-4266.845
809.143,123.421,199.952,-497.074,-6666.867
774.744,170.216,199.952,-415.880,-3481.970
747.691,156.125,199.952,-402.918,-3138.989
768.914,174.963,199.952,-405.303,-3199.471
803.851,167.138,199.952,-448.065,-4504.506
796.734,140.897,199.952,-467.189,-5249.159
677.112,159.203,199.952,-329.261,-1741.325
902.121,190.372,199.952,-523.101,-8210.137
898.433,133.518,199.952,-576.267,-12562.230
849.596,217.452,199.952,-443.496,-4342.821
859.147,102.599,199.952,-567.900,-11748.847
848.503,133.962,199.952,-525.893,-8395.525
1005.589,225.318,199.952,-591.623,-14204.217
983.532,242.190,199.952,-552.693,-10403.086
1143.675,263.179,199.952,-691.848,-31669.029
812.788,189.147,199.952,-434.993,-4057.248
746.836,184.327,199.952,-373.861,-2487.916
901.470,195.854,199.952,-516.968,-7816.993
819.358,226.011,199.952,-404.699,-3184.028
806.069,200.056,199.952,-417.365,-3523.586
818.434,218.932,199.952,-410.854,-3344.755
691.647,198.105,199.952,-304.894,-1432.915
910.421,216.162,199.952,-505.611,-7138.115
745.868,153.340,199.952,-403.880,-3163.240
687.010,210.790,199.952,-287.572,-1247.490
681.709,118.477,199.952,-374.585,-2502.361
782.958,163.714,199.952,-430.596,-3917.000
828.346,239.392,199.952,-400.306,-3074.072
796.296,177.852,199.952,-429.796,-3892.002
924.817,201.152,199.952,-535.017,-9031.309
781.931,154.268,199.952,-439.015,-4189.902
753.745,181.309,199.952,-383.788,-2693.560
760.181,161.547,199.952,-409.986,-3321.605
743.892,228.520,199.952,-326.724,-1706.336
712.483,200.492,199.952,-323.342,-1660.797
726.734,156.096,199.952,-381.990,-2655.086
667.567,144.186,199.952,-334.733,-1819.250
789.105,132.254,199.952,-468.203,-5291.916
707.846,115.035,199.952,-404.163,-3170.408
710.888,153.344,199.952,-368.896,-2391.036
730.069,126.397,199.952,-415.024,-3458.194
724.944,152.586,199.952,-383.710,-2691.887
732.592,226.474,199.952,-317.470,-1584.583
768.300,175.808,199.952,-403.844,-3162.336
875.027,153.084,199.952,-533.294,-8907.683
727.007,163.145,199.952,-375.214,-2514.998
750.459,172.254,199.952,-389.557,-2820.792
731.017,112.152,199.952,-430.217,-3905.152
641.671,195.054,199.952,-257.969,-984.429
631.518,187.478,199.952,-255.392,-964.349
716.234,210.482,199.952,-317.104,-1579.941
661.772,164.282,199.952,-308.842,-1478.899
900.526,197.559,199.952,-514.319,-7653.069
842.889,150.622,199.952,-503.619,-7025.236
694.127,221.235,199.952,-284.243,-1214.708
700.488,156.521,199.952,-355.319,-2144.935
761.694,149.204,199.952,-423.841,-3710.955
900.394,209.345,199.952,-502.401,-6957.119
847.802,228.249,199.952,-430.905,-3926.698
1048.765,257.843,199.952,-602.274,-15467.629
789.982,170.385,199.952,-430.949,-3928.075
709.617,174.906,199.952,-346.063,-1991.849
814.080,187.774,199.952,-437.658,-4144.655
750.219,218.988,199.952,-342.583,-1937.159
786.144,199.578,199.952,-397.919,-3015.930
693.834,174.138,199.952,-331.048,-1766.399
728.100,169.865,199.952,-369.587,-2404.295
806.760,172.184,199.952,-445.927,-4428.124
750.499,171.970,199.952,-389.881,-2828.095
727.500,213.919,199.952,-324.933,-1682.072
783.768,144.817,199.952,-450.303,-4585.872
737.676,164.807,199.952,-384.221,-2702.896
825.198,223.263,199.952,-413.288,-3410.509
853.388,216.737,199.952,-448.003,-4502.291
1067.701,273.810,199.952,-605.244,-15839.504
853.041,123.951,199.952,-540.441,-9431.832
682.930,173.952,199.952,-320.329,-1621.239
790.174,163.987,199.952,-437.539,-4140.720
723.519,225.651,199.952,-309.221,-1483.379
744.065,187.591,199.952,-367.827,-2370.671
701.534,172.531,199.952,-340.355,-1902.941
697.114,167.881,199.952,-340.586,-1906.451
735.635,206.650,199.952,-340.336,-1902.655
781.298,129.730,199.952,-462.920,-5072.943
706.181,217.061,199.952,-300.472,-1383.111
715.684,140.065,199.952,-386.971,-2763.025
763.903,189.220,199.952,-386.034,-2742.401
872.495,233.016,199.952,-450.831,-4605.302
888.105,229.575,199.952,-469.882,-5363.484
991.189,297.839,199.952,-504.702,-7086.364
735.080,171.086,199.952,-375.347,-2517.662
677.783,165.376,199.952,-323.759,-1666.339
788.853,167.100,199.952,-433.105,-3996.416
748.424,212.745,199.952,-347.030,-2007.316
697.261,195.244,199.952,-313.369,-1533.439
660.934,170.505,199.952,-301.781,-1397.674
793.843,157.663,199.952,-447.531,-4485.316
971.207,238.340,199.952,-544.219,-9721.180
920.124,159.028,199.952,-572.448,-12184.193
959.146,236.299,199.952,-534.200,-8972.427
926.698,167.401,199.952,-570.649,-12010.172
891.374,225.391,199.952,-477.335,-5693.014
893.655,254.202,199.952,-450.805,-4604.351
999.180,276.979,199.952,-533.553,-8926.112
893.354,174.693,199.952,-530.013,-8676.882
829.700,187.016,199.952,-454.036,-4724.892
994.118,200.433,199.952,-605.037,-15813.324
918.758,249.908,199.952,-480.202,-5825.089
1050.729,211.746,199.952,-650.335,-22719.884
813.534,229.086,199.952,-395.800,-2965.236
719.175,190.570,199.952,-339.956,-1896.880
882.519,229.818,199.952,-464.053,-5119.119
932.155,176.858,199.952,-566.650,-11631.942
916.530,245.096,199.952,-482.786,-5946.746
797.489,187.716,199.952,-421.125,-3631.194
809.548,172.698,199.952,-448.202,-4509.444
822.511,214.462,199.952,-419.401,-3581.437
987.482,208.608,199.952,-590.227,-14046.495
1358.966,300.420,199.952,-869.898,-131596.981
857.914,221.497,199.952,-447.768,-4493.833
754.256,181.496,199.952,-384.112,-2700.550
878.841,192.767,199.952,-497.425,-6685.636
915.353,248.086,199.952,-478.619,-5751.798
915.501,196.847,199.952,-530.006,-8676.426
829.284,231.565,199.952,-409.071,-3297.379
711.278,170.301,199.952,-352.329,-2094.239
861.635,199.958,199.952,-473.029,-5500.229
792.395,136.965,199.952,-466.782,-5232.117
749.100,239.001,199.952,-321.451,-1635.852
802.114,161.634,199.952,-451.832,-4642.330
783.367,233.930,199.952,-360.789,-2240.883
830.821,223.956,199.952,-418.217,-3547.695
897.339,212.137,199.952,-496.553,-6639.144
1139.666,258.936,199.952,-692.082,-31728.361
798.215,172.448,199.952,-437.119,-4126.835
694.865,169.396,199.952,-336.821,-1849.888
791.897,194.529,199.952,-408.720,-3288.130
738.210,191.379,199.952,-358.183,-2194.642
656.034,186.449,199.952,-280.937,-1183.004
729.398,165.286,199.952,-375.463,-2520.011
910.983,206.859,199.952,-515.476,-7724.274
898.802,204.575,199.952,-505.579,-7136.297
899.422,207.150,199.952,-503.625,-7025.562
810.855,205.464,199.952,-416.742,-3506.066
876.842,216.942,199.952,-471.251,-5422.564
912.594,232.544,199.952,-491.402,-6371.107
916.338,239.187,199.952,-488.503,-6225.075
1343.565,291.144,199.952,-863.772,-125303.182
896.219,178.780,199.952,-528.791,-8592.438
791.210,175.451,199.952,-427.111,-3809.308
949.494,186.962,199.952,-573.884,-12325.056
863.649,209.413,199.952,-465.588,-5182.362
796.034,202.775,199.952,-404.612,-3181.811
725.814,173.234,199.952,-363.932,-2297.951
875.420,116.895,199.952,-569.877,-11936.182
741.010,147.350,199.952,-405.012,-3192.034
686.257,167.217,199.952,-330.392,-1757.159
727.949,129.291,199.952,-410.010,-3322.232
846.817,136.576,199.952,-521.593,-8111.671
779.820,231.903,199.952,-359.269,-2213.796
775.518,139.156,199.952,-447.714,-4491.876
876.400,178.431,199.952,-509.321,-7353.108
755.475,102.771,199.952,-464.056,-5119.231
763.155,183.102,199.952,-391.405,-2862.790
812.426,169.622,199.952,-454.155,-4729.411
703.182,168.212,199.952,-346.322,-1995.973
753.151,131.960,199.952,-432.543,-3978.489
810.034,135.913,199.952,-485.473,-6075.988
719.992,164.688,199.952,-366.657,-2348.583
808.292,204.084,199.952,-415.560,-3473.069
751.943,174.544,199.952,-388.751,-2802.647
725.210,192.713,199.952,-343.848,-1956.869
766.595,145.303,199.952,-432.644,-3981.706
740.450,164.347,199.952,-387.455,-2773.741
853.706,211.669,199.952,-453.389,-4700.512
798.601,256.335,199.952,-353.618,-2115.940
969.800,283.630,199.952,-497.523,-6690.836
664.026,193.325,199.952,-282.052,-1193.605
721.859,187.451,199.952,-345.761,-1987.033
706.986,198.954,199.952,-319.384,-1609.022
763.716,179.689,199.952,-395.379,-2955.279
