Loss,Payout,Premium,Wealth,Utility
643.871,0.003,0.008,-255.277,-963.461
933.629,0.012,0.008,-545.027,-9784.263
941.542,0.004,0.008,-552.948,-10424.335
814.525,0.011,0.008,-425.924,-3773.299
787.821,0.000,0.008,-399.230,-3047.746
793.691,0.003,0.008,-405.098,-3194.217
999.324,0.010,0.008,-610.724,-16549.428
952.451,0.012,0.008,-563.849,-11374.195
1187.141,0.012,0.008,-798.539,-74356.194
901.366,0.015,0.008,-512.762,-7558.340
727.784,0.008,0.008,-339.186,-1885.226
899.597,0.009,0.008,-510.998,-7452.457
781.585,0.011,0.008,-392.984,-2899.186
794.196,0.009,0.008,-405.597,-3206.995
783.784,0.012,0.008,-395.182,-2950.618
752.548,0.009,0.008,-363.949,-2298.255
1002.438,0.001,0.008,-613.847,-16968.060
782.432,0.000,0.008,-393.842,-2919.163
751.077,0.004,0.008,-362.483,-2271.456
811.030,0.000,0.008,-422.440,-3669.581
900.682,0.001,0.008,-512.091,-7517.902
775.030,0.011,0.008,-386.429,-2751.069
792.456,0.002,0.008,-403.863,-3162.821
809.143,0.000,0.008,-420.553,-3614.613
774.744,0.003,0.008,-386.150,-2744.947
747.691,0.002,0.008,-359.099,-2210.792
768.914,0.004,0.008,-380.320,-2619.848
803.851,0.003,0.008,-415.258,-3464.677
796.734,0.000,0.008,-408.144,-3273.011
677.112,0.002,0.008,-288.519,-1256.983
902.121,0.006,0.008,-513.525,-7604.632
898.433,0.000,0.008,-509.843,-7383.879
849.596,0.010,0.008,-460.996,-4995.456
859.147,0.000,0.008,-470.557,-5392.525
848.503,0.000,0.008,-459.913,-4952.346
1005.589,0.011,0.008,-616.988,-17399.853
983.532,0.013,0.008,-594.929,-14584.912
1143.675,0.015,0.008,-755.069,-52515.789
812.788,0.006,0.008,-424.192,-3721.385
746.836,0.005,0.008,-358.241,-2195.666
901.470,0.007,0.008,-512.873,-7565.072
819.358,0.011,0.008,-430.757,-3922.054
806.069,0.007,0.008,-417.472,-3526.595
818.434,0.010,0.008,-429.834,-3893.204
691.647,0.007,0.008,-303.050,-1411.926
910.421,0.009,0.008,-521.821,-8126.499
745.868,0.001,0.008,-357.276,-2178.786
687.010,0.009,0.008,-298.412,-1360.498
681.709,0.000,0.008,-293.119,-1304.098
782.958,0.003,0.008,-394.365,-2931.404
828.346,0.012,0.008,-439.743,-4214.396
796.296,0.004,0.008,-407.701,-3261.436
924.817,0.007,0.008,-536.219,-9118.579
781.931,0.001,0.008,-393.339,-2907.440
753.745,0.005,0.008,-365.150,-2320.446
760.181,0.002,0.008,-371.589,-2443.100
743.892,0.011,0.008,-355.291,-2144.454
712.483,0.007,0.008,-323.885,-1668.025
726.734,0.002,0.008,-338.142,-1869.549
667.567,0.000,0.008,-278.977,-1164.598
789.105,0.000,0.008,-400.514,-3079.213
707.846,0.000,0.008,-319.256,-1607.378
710.888,0.001,0.008,-322.297,-1646.966
730.069,0.000,0.008,-341.479,-1920.121
724.944,0.001,0.008,-336.353,-1842.974
732.592,0.011,0.008,-343.991,-1959.109
768.300,0.004,0.008,-379.706,-2607.010
875.027,0.001,0.008,-486.435,-6122.935
727.007,0.003,0.008,-338.414,-1873.621
750.459,0.004,0.008,-361.865,-2260.259
731.017,0.000,0.008,-342.427,-1934.742
641.671,0.007,0.008,-253.074,-946.630
631.518,0.006,0.008,-242.922,-872.788
716.234,0.009,0.008,-327.635,-1718.826
661.772,0.003,0.008,-273.179,-1111.813
900.526,0.007,0.008,-511.928,-7508.128
842.889,0.001,0.008,-454.298,-4734.820
694.127,0.010,0.008,-305.526,-1440.182
700.488,0.002,0.008,-311.896,-1515.470
761.694,0.001,0.008,-373.103,-2472.877
900.394,0.008,0.008,-511.796,-7500.160
847.802,0.011,0.008,-459.201,-4924.221
1048.765,0.015,0.008,-660.160,-24577.722
789.982,0.003,0.008,-401.388,-3100.816
709.617,0.004,0.008,-321.023,-1630.265
814.080,0.006,0.008,-425.484,-3760.034
750.219,0.010,0.008,-361.619,-2255.822
786.144,0.007,0.008,-397.547,-3006.977
693.834,0.004,0.008,-305.240,-1436.887
728.100,0.003,0.008,-339.507,-1890.066
806.760,0.004,0.008,-418.166,-3546.231
750.499,0.004,0.008,-361.905,-2260.976
727.500,0.009,0.008,-338.901,-1880.927
783.768,0.000,0.008,-395.177,-2950.509
737.676,0.003,0.008,-349.083,-2040.556
825.198,0.010,0.008,-436.598,-4109.669
853.388,0.009,0.008,-464.789,-5149.334
1067.701,0.017,0.008,-679.094,-28597.344
853.041,0.000,0.008,-464.451,-5135.428
682.930,0.004,0.008,-294.335,-1316.849
790.174,0.003,0.008,-401.582,-3105.613
723.519,0.011,0.008,-334.919,-1821.952
744.065,0.006,0.008,-355.470,-2147.523
701.534,0.004,0.008,-312.940,-1528.184
697.114,0.003,0.008,-308.521,-1475.100
735.635,0.008,0.008,-347.036,-2007.418
781.298,0.000,0.008,-392.708,-2892.794
706.181,0.009,0.008,-317.581,-1585.987
715.684,0.000,0.008,-327.094,-1711.395
