Loss,Payout,Premium,Wealth,Utility
643.871,0.001,0.002,-255.272,-963.419
933.629,0.002,0.002,-545.029,-9784.398
941.542,0.001,0.002,-552.943,-10423.952
814.525,0.002,0.002,-425.925,-3773.325
787.821,0.000,0.002,-399.223,-3047.553
793.691,0.001,0.002,-405.092,-3194.074
999.324,0.002,0.002,-610.724,-16549.454
952.451,0.002,0.002,-563.851,-11374.389
1187.141,0.002,0.002,-798.540,-74357.142
901.366,0.003,0.002,-512.766,-7558.576
727.784,0.001,0.002,-339.184,-1885.200
899.597,0.002,0.002,-510.997,-7452.395
781.585,0.002,0.002,-392.985,-2899.205
794.196,0.002,0.002,-405.596,-3206.977
783.784,0.002,0.002,-395.184,-2950.658
752.548,0.002,0.002,-363.948,-2298.238
1002.438,0.000,0.002,-613.839,-16967.047
782.432,0.000,0.002,-393.834,-2918.978
751.077,0.001,0.002,-362.478,-2271.364
811.030,0.000,0.002,-422.432,-3669.348
900.682,0.000,0.002,-512.084,-7517.471
775.030,0.002,0.002,-386.430,-2751.094
792.456,0.000,0.002,-403.857,-3162.670
809.143,0.000,0.002,-420.545,-3614.383
774.744,0.001,0.002,-386.145,-2744.834
747.691,0.000,0.002,-359.092,-2210.675
768.914,0.001,0.002,-380.315,-2619.751
803.851,0.001,0.002,-415.252,-3464.525
796.734,0.000,0.002,-408.136,-3272.803
677.112,0.000,0.002,-288.513,-1256.920
902.121,0.001,0.002,-513.522,-7604.446
898.433,0.000,0.002,-509.835,-7383.410
849.596,0.002,0.002,-460.996,-4995.446
859.147,0.000,0.002,-470.549,-5392.183
848.503,0.000,0.002,-459.905,-4952.032
1005.589,0.002,0.002,-616.988,-17399.933
983.532,0.002,0.002,-594.931,-14585.184
1143.675,0.003,0.002,-755.074,-52517.683
812.788,0.001,0.002,-424.189,-3721.290
746.836,0.001,0.002,-358.237,-2195.601
901.470,0.001,0.002,-512.870,-7564.921
819.358,0.002,0.002,-430.758,-3922.074
806.069,0.001,0.002,-417.470,-3526.537
818.434,0.002,0.002,-429.834,-3893.201
691.647,0.001,0.002,-303.047,-1411.901
910.421,0.002,0.002,-521.821,-8126.474
745.868,0.000,0.002,-357.269,-2178.665
687.010,0.002,0.002,-298.411,-1360.488
681.709,0.000,0.002,-293.111,-1304.015
782.958,0.001,0.002,-394.360,-2931.267
828.346,0.002,0.002,-439.746,-4214.465
796.296,0.001,0.002,-407.697,-3261.322
924.817,0.001,0.002,-536.217,-9118.437
781.931,0.000,0.002,-393.332,-2907.281
753.745,0.001,0.002,-365.146,-2320.372
760.181,0.000,0.002,-371.583,-2442.982
743.892,0.002,0.002,-355.292,-2144.469
712.483,0.001,0.002,-323.883,-1667.999
726.734,0.000,0.002,-338.136,-1869.450
667.567,0.000,0.002,-278.969,-1164.525
789.105,0.000,0.002,-400.507,-3079.018
707.846,0.000,0.002,-319.248,-1607.276
710.888,0.000,0.002,-322.290,-1646.875
730.069,0.000,0.002,-341.471,-1919.999
724.944,0.000,0.002,-336.346,-1842.871
732.592,0.002,0.002,-343.992,-1959.120
768.300,0.001,0.002,-379.701,-2606.915
875.027,0.000,0.002,-486.428,-6122.595
727.007,0.000,0.002,-338.408,-1873.532
750.459,0.001,0.002,-361.860,-2260.170
731.017,0.000,0.002,-342.419,-1934.619
641.671,0.001,0.002,-253.072,-946.610
631.518,0.001,0.002,-242.919,-872.765
716.234,0.002,0.002,-327.634,-1718.812
661.772,0.001,0.002,-273.173,-1111.762
900.526,0.001,0.002,-511.926,-7507.989
842.889,0.000,0.002,-454.291,-4734.547
694.127,0.002,0.002,-305.527,-1440.184
700.488,0.000,0.002,-311.889,-1515.391
761.694,0.000,0.002,-373.096,-2472.732
900.394,0.002,0.002,-511.795,-7500.095
847.802,0.002,0.002,-459.202,-4924.256
1048.765,0.003,0.002,-660.164,-24578.500
789.982,0.001,0.002,-401.383,-3100.689
