Loss,Payout,Premium,Wealth,Utility
643.871,266.727,299.831,-288.374,-1255.524
933.629,336.307,299.831,-508.553,-7308.102
941.542,275.489,299.831,-577.284,-12664.839
814.525,327.901,299.831,-397.855,-3014.385
787.821,214.584,299.831,-484.467,-6027.288
793.691,265.944,299.831,-438.978,-4188.654
999.324,321.598,299.831,-588.957,-13904.573
952.451,340.236,299.831,-523.446,-8232.788
1187.141,335.020,299.831,-763.351,-56113.081
901.366,357.277,299.831,-455.321,-4773.709
727.784,302.610,299.831,-336.405,-1843.742
899.597,309.703,299.831,-501.125,-6886.489
781.585,327.771,299.831,-365.045,-2318.498
794.196,312.906,299.831,-392.521,-2888.461
783.784,336.115,299.831,-358.900,-2207.275
752.548,310.689,299.831,-353.090,-2107.031
1002.438,247.915,299.831,-665.754,-25702.566
782.432,210.206,299.831,-483.457,-5978.778
751.077,271.209,299.831,-391.099,-2855.796
811.030,217.719,299.831,-504.542,-7077.319
900.682,250.724,299.831,-561.190,-11134.798
775.030,330.570,299.831,-355.691,-2151.329
792.456,262.397,299.831,-441.290,-4266.845
809.143,223.301,299.831,-497.074,-6666.866
774.744,270.095,299.831,-415.880,-3481.970
747.691,256.004,299.831,-402.918,-3138.989
768.914,274.842,299.831,-405.303,-3199.471
803.851,267.017,299.831,-448.065,-4504.506
796.734,240.776,299.831,-467.189,-5249.159
677.112,259.082,299.831,-329.261,-1741.325
902.121,290.251,299.831,-523.101,-8210.137
898.433,233.397,299.831,-576.267,-12562.230
849.596,317.331,299.831,-443.496,-4342.821
859.147,202.479,299.831,-567.900,-11748.847
848.503,233.842,299.831,-525.893,-8395.525
1005.589,325.197,299.831,-591.623,-14204.217
983.532,342.070,299.831,-552.693,-10403.086
1143.675,363.058,299.831,-691.848,-31669.030
812.788,289.026,299.831,-434.993,-4057.248
746.836,284.206,299.831,-373.861,-2487.916
901.470,295.733,299.831,-516.968,-7816.993
819.358,325.890,299.831,-404.699,-3184.028
806.069,299.935,299.831,-417.365,-3523.586
818.434,318.811,299.831,-410.854,-3344.755
