Loss,Payout,Premium,Wealth,Utility
643.871,269.189,299.931,-286.012,-1232.018
933.629,329.144,299.931,-515.816,-7745.285
941.542,276.740,299.931,-576.134,-12548.822
814.525,321.901,299.931,-403.954,-3165.130
787.821,224.260,299.931,-474.892,-5582.821
793.691,268.515,299.931,-436.507,-4106.675
999.324,316.470,299.931,-594.185,-14498.434
952.451,332.530,299.931,-531.252,-8763.310
1187.141,328.036,299.931,-770.436,-59385.225
901.366,347.213,299.931,-465.484,-5178.059
727.784,300.109,299.931,-339.006,-1882.512
899.597,306.220,299.931,-504.708,-7086.703
781.585,321.789,299.931,-371.127,-2434.092
794.196,308.981,299.931,-396.546,-2982.997
783.784,328.979,299.931,-366.136,-2338.820
752.548,307.070,299.931,-356.809,-2170.657
1002.438,252.979,299.931,-660.789,-24701.708
782.432,220.487,299.931,-473.276,-5511.122
751.077,273.051,299.931,-389.356,-2816.262
811.030,226.961,299.931,-495.400,-6578.200
900.682,255.400,299.931,-556.613,-10734.528
775.030,324.201,299.931,-362.160,-2265.596
792.456,265.459,299.931,-438.328,-4166.947
809.143,231.770,299.931,-488.704,-6235.088
774.744,272.091,299.931,-413.983,-3429.539
747.691,259.950,299.931,-399.072,-3043.885
768.914,276.181,299.931,-404.063,-3167.890
803.851,269.439,299.931,-445.743,-4421.590
796.734,246.829,299.931,-461.236,-5005.064
677.112,262.602,299.931,-325.841,-1694.328
902.121,289.459,299.931,-523.993,-8268.906
898.433,240.470,299.931,-569.294,-11880.641
849.596,312.793,299.931,-448.133,-4506.971
859.147,213.828,299.931,-556.650,-10737.639
848.503,240.853,299.931,-518.981,-7943.918
1005.589,319.571,299.931,-597.348,-14869.984
983.532,334.110,299.931,-560.753,-11095.948
1143.675,352.195,299.931,-702.811,-34571.995
812.788,288.404,299.931,-435.715,-4080.755
746.836,284.251,299.931,-373.916,-2489.020
901.470,294.183,299.931,-518.618,-7920.859
819.358,320.169,299.931,-410.520,-3335.825
806.069,297.804,299.931,-419.596,-3587.047
818.434,314.068,299.931,-415.697,-3476.868
691.647,296.122,299.931,-306.855,-1455.575
910.421,311.681,299.931,-510.070,-7397.349
745.868,257.550,299.931,-399.649,-3057.961
687.010,307.053,299.931,-291.288,-1285.133
681.709,227.509,299.931,-365.531,-2327.525
782.958,266.489,299.931,-427.800,-3830.358
828.346,331.699,299.931,-407.978,-3268.673
796.296,278.671,299.931,-428.955,-3865.927
924.817,298.748,299.931,-537.400,-9205.117
781.931,258.349,299.931,-434.912,-4054.617
753.745,281.650,299.931,-383.426,-2685.769
760.181,264.622,299.931,-406.890,-3240.352
743.892,322.330,299.931,-332.892,-1792.655
712.483,298.180,299.931,-325.634,-1691.524
726.734,259.925,299.931,-378.140,-2574.561
667.567,249.662,299.931,-329.236,-1740.976
789.105,239.381,299.931,-461.055,-4997.798
707.846,224.544,299.931,-394.633,-2937.686
710.888,257.554,299.931,-364.666,-2311.469
730.069,234.334,299.931,-407.066,-3244.893
724.944,256.900,299.931,-379.375,-2600.124
732.592,320.567,299.931,-323.356,-1660.977
768.300,276.910,299.931,-402.721,-3134.052
875.027,257.330,299.931,-529.028,-8608.783
727.007,265.998,299.931,-372.339,-2457.819
750.459,273.847,299.931,-387.943,-2784.589
731.017,222.059,299.931,-420.289,-3606.970
641.671,293.494,299.931,-259.508,-996.628
631.518,286.965,299.931,-255.884,-968.146
716.234,306.788,299.931,-320.777,-1627.061
661.772,266.978,299.931,-306.125,-1447.095
900.526,295.652,299.931,-516.204,-7769.402
842.889,255.208,299.931,-499.012,-6771.030
694.127,316.053,299.931,-289.404,-1265.911
700.488,260.291,299.931,-351.528,-2080.859
761.694,253.986,299.931,-419.038,-3571.067
900.394,305.808,299.931,-505.917,-7155.601
847.802,322.097,299.931,-437.036,-4124.102
1048.765,347.597,299.931,-612.499,-16786.063
789.982,272.237,299.931,-429.076,-3869.651
709.617,276.133,299.931,-344.815,-1972.065
814.080,287.221,299.931,-438.190,-4162.340
750.219,314.117,299.931,-347.433,-2013.800
786.144,297.392,299.931,-400.084,-3068.623
693.834,275.471,299.931,-329.694,-1747.369
728.100,271.789,299.931,-367.642,-2367.171
806.760,273.788,299.931,-444.303,-4370.957
750.499,273.603,299.931,-388.227,-2790.922
727.500,309.749,299.931,-329.082,-1738.837
783.768,250.206,299.931,-444.893,-4391.628
737.676,267.431,299.931,-381.576,-2646.308
825.198,317.800,299.931,-418.729,-3562.250
853.388,312.177,299.931,-452.542,-4668.770
1067.701,361.355,299.931,-617.677,-17496.063
853.041,232.226,299.931,-532.145,-8826.154
682.930,275.311,299.931,-318.949,-1603.443
790.174,266.724,299.931,-434.781,-4050.355
723.519,319.858,299.931,-314.992,-1553.479
744.065,287.063,299.931,-368.334,-2380.304
701.534,274.086,299.931,-338.779,-1879.094
697.114,270.079,299.931,-338.366,-1872.897
735.635,303.486,299.931,-343.480,-1951.108
781.298,237.206,299.931,-455.423,-4777.631
706.181,312.456,299.931,-305.056,-1434.767
715.684,246.111,299.931,-380.904,-2632.113
763.903,288.467,299.931,-386.767,-2758.515
872.495,326.204,299.931,-457.622,-4862.403
888.105,323.240,299.931,-476.197,-5641.392
991.189,382.060,299.931,-520.459,-8038.424
735.080,272.841,299.931,-373.570,-2482.138
677.783,267.921,299.931,-321.193,-1632.481
788.853,269.406,299.931,-430.777,-3922.686
748.424,308.738,299.931,-351.017,-2072.366
697.261,293.657,299.931,-314.935,-1552.765
660.934,272.340,299.931,-299.925,-1377.068
793.843,261.275,299.931,-443.898,-4356.832
971.207,330.792,299.931,-551.746,-10324.539
920.124,262.451,299.931,-569.003,-11853.062
959.146,329.033,299.931,-541.444,-9507.809
926.698,269.665,299.931,-568.363,-11792.524
891.374,319.634,299.931,-483.071,-5960.334
893.655,344.459,299.931,-460.527,-4976.721
999.180,364.086,299.931,-546.425,-9894.279
893.354,275.949,299.931,-528.736,-8588.676
829.700,286.568,299.931,-454.463,-4741.076
994.118,298.129,299.931,-607.320,-16104.844
918.758,340.759,299.931,-489.329,-6266.338
1050.729,307.876,299.931,-654.183,-23430.216
813.534,322.818,299.931,-402.047,-3117.192
719.175,289.630,299.931,-340.876,-1910.878
882.519,323.449,299.931,-470.401,-5385.813
932.155,277.814,299.931,-565.672,-11541.306
916.530,336.614,299.931,-491.247,-6363.240
797.489,287.170,299.931,-421.650,-3646.453
809.548,274.230,299.931,-446.649,-4453.756
822.511,310.217,299.931,-423.625,-3704.529
987.482,305.172,299.931,-593.641,-14435.439
1358.966,384.284,299.931,-886.013,-149704.057
857.914,316.279,299.931,-452.966,-4684.614
754.256,281.811,299.931,-383.776,-2693.298
878.841,291.523,299.931,-498.648,-6751.366
915.353,339.189,299.931,-487.494,-6175.030
915.501,295.038,299.931,-531.794,-8801.374
829.284,324.954,299.931,-415.661,-3475.877
711.278,272.165,299.931,-350.444,-2062.899
861.635,297.719,299.931,-475.247,-5598.679
792.395,243.440,299.931,-460.286,-4967.153
749.100,331.361,299.931,-329.069,-1738.654
802.114,264.697,299.931,-448.749,-4529.207
783.367,326.992,299.931,-367.706,-2368.379
830.821,318.398,299.931,-423.755,-3708.386
897.339,308.214,299.931,-500.456,-6849.684
1139.666,348.539,299.931,-702.458,-34474.503
798.215,274.014,299.931,-435.531,-4074.744
694.865,271.385,299.931,-334.811,-1820.381
791.897,293.042,299.931,-410.187,-3326.940
738.210,290.327,299.931,-359.213,-2212.817
656.034,286.079,299.931,-281.286,-1186.311
729.398,267.844,299.931,-372.885,-2468.562
910.983,303.665,299.931,-518.648,-7922.807
898.802,301.698,299.931,-508.436,-7301.243
899.422,303.916,299.931,-506.837,-7208.458
810.855,302.464,299.931,-419.721,-3590.637
876.842,312.354,299.931,-475.818,-5624.350
912.594,325.797,299.931,-498.127,-6723.274
916.338,331.522,299.931,-496.148,-6617.643
1343.565,376.292,299.931,-878.604,-141088.610
896.219,279.471,299.931,-528.079,-8543.645
791.210,276.602,299.931,-425.939,-3773.746
949.494,286.521,299.931,-574.304,-12366.525
863.649,305.866,299.931,-469.113,-5330.608
796.034,300.146,299.931,-407.219,-3248.875
725.814,274.692,299.931,-362.453,-2270.920
875.420,226.147,299.931,-560.605,-11082.806
741.010,252.388,299.931,-399.953,-3065.410
686.257,269.507,299.931,-328.081,-1724.965
727.949,236.828,299.931,-402.452,-3127.317
846.817,243.105,299.931,-515.043,-7697.564
779.820,325.245,299.931,-365.905,-2334.508
775.518,245.328,299.931,-441.521,-4274.748
876.400,279.170,299.931,-508.560,-7308.530
755.475,213.976,299.931,-452.830,-4679.516
763.155,283.195,299.931,-391.291,-2860.180
812.426,271.580,299.931,-452.177,-4655.136
703.182,270.365,299.931,-344.148,-1961.563
753.151,239.128,299.931,-425.354,-3756.148
810.034,242.533,299.931,-478.832,-5761.575
719.992,267.328,299.931,-363.995,-2299.109
808.292,301.274,299.931,-418.348,-3551.414
751.943,275.821,299.931,-387.453,-2773.699
725.210,291.477,299.931,-345.064,-1975.990
766.595,250.624,299.931,-427.301,-3815.104
740.450,267.034,299.931,-384.746,-2714.288
853.706,307.810,299.931,-457.227,-4847.061
798.601,346.298,299.931,-363.634,-2292.470
969.800,369.817,299.931,-511.315,-7471.344
664.026,292.004,299.931,-283.353,-1206.085
721.859,286.942,299.931,-346.248,-1994.798
706.986,296.854,299.931,-321.462,-1636.005
763.716,280.254,299.931,-394.793,-2941.452
688.584,262.663,299.931,-337.252,-1856.273
720.321,238.901,299.931,-392.751,-2893.794
848.851,321.537,299.931,-438.645,-4177.516
796.074,246.910,299.931,-460.495,-4975.476
740.663,319.638,299.931,-332.356,-1784.977
820.871,254.356,299.931,-477.846,-5716.313
778.292,279.295,299.931,-410.328,-3330.703
810.723,323.438,299.931,-398.615,-3032.785
891.850,325.309,299.931,-477.872,-5717.497
1102.572,379.167,299.931,-634.736,-20054.282
781.452,262.818,299.931,-429.965,-3897.276
654.352,305.640,299.931,-260.042,-1000.898
718.071,265.319,299.931,-364.083,-2300.720
728.750,306.180,299.931,-333.900,-1807.166
725.763,289.510,299.931,-347.584,-2016.239
615.084,274.827,299.931,-251.588,-935.441
689.482,262.875,299.931,-337.938,-1866.496
815.516,320.645,299.931,-406.201,-3222.532
795.694,233.690,299.931,-473.335,-5513.729
748.295,294.518,299.931,-365.108,-2319.672
809.334,255.166,299.931,-465.500,-5178.704
817.925,293.221,299.931,-436.035,-4091.205
844.523,329.576,299.931,-426.278,-3784.011
886.148,315.631,299.931,-481.848,-5902.282
1111.507,303.973,299.931,-718.865,-39309.969
782.125,270.313,299.931,-423.143,-3690.269
735.242,264.842,299.931,-381.731,-2649.590
822.105,249.179,299.931,-484.256,-6017.119
782.429,294.293,299.931,-399.467,-3053.523
744.828,293.039,299.931,-363.120,-2283.061
730.234,267.949,299.931,-373.616,-2483.047
730.929,266.659,299.931,-375.601,-2522.793
966.006,331.959,299.931,-545.378,-9811.790
864.641,247.733,299.931,-528.239,-8554.604
841.285,328.319,299.931,-424.297,-3724.501
777.924,263.288,299.931,-425.967,-3774.586
817.101,292.827,299.931,-435.605,-4077.152
851.575,326.847,299.931,-436.059,-4091.978
877.656,337.923,299.931,-451.064,-4613.889
1311.635,374.484,299.931,-848.483,-110876.673
825.358,337.824,299.931,-398.865,-3038.846
746.050,280.734,299.931,-376.648,-2544.004
936.461,313.829,299.931,-533.962,-8955.406
891.178,338.003,299.931,-464.506,-5137.707
805.383,286.556,299.931,-430.157,-3903.278
652.884,321.801,299.931,-242.414,-869.244
730.728,270.943,299.931,-371.116,-2433.877
823.291,296.606,299.931,-438.016,-4156.550
791.155,260.618,299.931,-441.867,-4286.618
723.703,271.581,299.931,-363.453,-2289.161
781.162,244.038,299.931,-448.455,-4518.582
762.719,256.010,299.931,-418.040,-3542.652
919.304,321.226,299.931,-509.408,-7358.275
951.619,290.933,299.931,-572.017,-12142.286
1235.089,333.221,299.931,-813.199,-83609.004
865.351,235.949,299.931,-540.732,-9453.791
736.550,276.899,299.931,-370.982,-2431.274
892.091,269.379,299.931,-534.043,-8961.179
744.331,265.930,299.931,-389.731,-2824.719
723.530,260.742,299.931,-374.119,-2493.059
770.134,241.820,299.931,-439.645,-4211.087
865.497,295.909,299.931,-480.920,-5858.623
967.448,327.625,299.931,-551.154,-10275.819
920.719,255.436,299.931,-576.614,-12597.158
1001.637,306.524,299.931,-606.444,-15992.298
890.039,285.204,299.931,-516.165,-7766.973
871.550,298.683,299.931,-484.197,-6014.275
1031.688,311.761,299.931,-631.258,-19504.013
1019.867,339.659,299.931,-591.539,-14194.704
1359.960,394.949,299.931,-876.343,-138559.602
852.622,311.300,299.931,-452.653,-4672.912
877.701,292.469,299.931,-496.563,-6639.671
927.400,307.698,299.931,-531.033,-8747.948
1058.341,334.121,299.931,-635.550,-20185.372
917.763,301.579,299.931,-527.515,-8505.219
931.834,317.017,299.931,-526.148,-8412.708
681.766,257.495,299.931,-335.602,-1831.933
929.068,304.807,299.931,-535.592,-9072.934
812.659,251.181,299.931,-472.809,-5490.552
716.037,318.285,299.931,-309.083,-1481.744
698.800,223.069,299.931,-387.061,-2765.024
781.388,272.957,299.931,-419.762,-3591.796
940.761,325.913,299.931,-526.179,-8414.783
892.782,301.380,299.931,-502.733,-6975.638
1040.576,357.028,299.931,-594.878,-14579.021
833.264,298.104,299.931,-446.491,-4448.144
743.079,275.336,299.931,-379.074,-2593.862
854.229,286.910,299.931,-478.650,-5753.220
774.273,334.030,299.931,-351.574,-2081.629
771.429,308.279,299.931,-374.481,-2500.280
713.084,263.886,299.931,-360.529,-2236.227
765.453,328.803,299.931,-347.981,-2022.645
857.740,337.788,299.931,-431.283,-3938.585
833.889,284.735,299.931,-460.485,-4975.073
