Loss,Payout,Premium,Wealth,Utility
671.727,69.968,99.995,-313.154,-1530.799
962.933,128.805,99.995,-545.523,-9823.143
971.048,74.933,99.995,-607.511,-16129.431
843.765,121.606,99.995,-433.554,-4010.794
817.187,22.731,99.995,-505.851,-7151.837
823.292,67.621,99.995,-467.066,-5244.028
1029.652,115.790,99.995,-625.257,-18589.845
982.828,134.620,99.995,-559.603,-10994.330
1218.118,128.894,99.995,-800.618,-75603.770
931.992,147.523,99.995,-495.864,-6602.657
758.375,100.776,99.995,-368.994,-2392.910
930.578,106.277,99.995,-535.696,-9080.478
812.672,120.588,99.995,-403.480,-3153.135
825.501,107.862,99.995,-429.034,-3868.366
815.298,129.784,99.995,-396.909,-2991.676
785.483,108.408,99.995,-388.470,-2796.364
1034.817,51.388,99.995,-694.825,-32432.369
815.119,18.524,99.995,-507.991,-7275.298
783.717,72.970,99.995,-422.141,-3660.826
843.485,27.275,99.995,-527.605,-8511.300
932.930,56.670,99.995,-587.656,-13760.513
807.341,123.036,99.995,-395.700,-2962.866
824.650,64.297,99.995,-471.749,-5444.192
841.133,30.449,99.995,-522.079,-8143.259
806.659,72.445,99.995,-445.608,-4416.846
779.517,59.330,99.995,-431.582,-3948.031
800.630,75.659,99.995,-436.366,-4102.052
835.461,68.436,99.995,-478.421,-5742.662
828.248,47.106,99.995,-492.537,-6429.221
708.432,63.040,99.995,-356.787,-2170.276
933.506,89.663,99.995,-555.238,-10617.073
929.828,40.196,99.995,-601.027,-15314.051
880.992,113.393,99.995,-478.994,-5769.067
890.556,12.520,99.995,-589.432,-13957.435
879.921,41.629,99.995,-549.687,-10155.923
1037.039,118.982,99.995,-629.452,-19224.327
1014.988,134.996,99.995,-591.387,-14177.502
1175.156,153.490,99.995,-733.061,-44037.652
844.247,87.428,99.995,-468.214,-5292.400
778.302,84.914,99.995,-404.783,-3186.182
932.955,94.260,99.995,-550.091,-10188.755
850.850,121.501,99.995,-440.745,-4248.286
837.572,98.221,99.995,-450.746,-4602.170
849.948,115.224,99.995,-446.119,-4434.932
721.575,95.770,99.995,-337.200,-1855.514
