Loss,Payout,Premium,Wealth,Utility
671.727,0.008,0.020,-283.144,-1204.069
962.933,0.029,0.020,-574.327,-12368.809
971.048,0.010,0.020,-582.463,-13200.633
843.765,0.027,0.020,-455.162,-4767.662
817.187,0.000,0.020,-428.612,-3855.308
823.292,0.007,0.020,-434.710,-4048.048
1029.652,0.025,0.020,-641.052,-21093.735
982.828,0.032,0.020,-594.220,-14502.513
1218.118,0.030,0.020,-829.512,-95264.533
931.992,0.036,0.020,-543.380,-9656.193
758.375,0.019,0.020,-369.780,-2408.001
930.578,0.021,0.020,-541.982,-9548.762
812.672,0.026,0.020,-424.070,-3717.755
825.501,0.022,0.020,-436.904,-4119.732
815.298,0.030,0.020,-426.693,-3796.576
785.483,0.022,0.020,-396.885,-2991.099
1034.817,0.001,0.020,-646.241,-21987.735
815.119,0.000,0.020,-426.544,-3792.057
783.717,0.009,0.020,-395.132,-2949.441
843.485,0.000,0.020,-454.909,-4758.026
932.930,0.003,0.020,-544.352,-9731.540
807.341,0.027,0.020,-418.738,-3562.488
824.650,0.006,0.020,-436.069,-4092.318
841.133,0.000,0.020,-452.558,-4669.344
806.659,0.009,0.020,-418.074,-3543.639
779.517,0.004,0.020,-390.938,-2852.118
800.630,0.010,0.020,-412.045,-3376.767
835.461,0.007,0.020,-446.878,-4461.948
828.248,0.000,0.020,-439.673,-4212.004
708.432,0.005,0.020,-319.851,-1615.054
933.506,0.015,0.020,-544.916,-9775.558
929.828,0.000,0.020,-541.252,-9493.202
880.992,0.024,0.020,-492.393,-6421.819
890.556,0.000,0.020,-501.981,-6933.766
879.921,0.000,0.020,-491.346,-6368.252
1037.039,0.026,0.020,-648.438,-22377.597
1014.988,0.032,0.020,-626.380,-18757.636
1175.156,0.039,0.020,-786.541,-67551.507
844.247,0.014,0.020,-455.657,-4786.583
778.302,0.013,0.020,-389.713,-2824.308
932.955,0.017,0.020,-544.363,-9732.426
850.850,0.027,0.020,-462.248,-5045.730
837.572,0.018,0.020,-448.979,-4537.547
849.948,0.024,0.020,-461.348,-5009.533
721.575,0.017,0.020,-332.982,-1793.940
940.876,0.023,0.020,-552.277,-10368.508
776.122,0.002,0.020,-387.544,-2775.726
717.280,0.021,0.020,-328.683,-1733.295
712.087,0.000,0.020,-323.512,-1663.048
813.582,0.007,0.020,-425.000,-3745.517
859.123,0.030,0.020,-470.517,-5390.793
827.134,0.010,0.020,-438.549,-4174.302
955.863,0.018,0.020,-567.269,-11689.710
812.955,0.003,0.020,-424.377,-3726.882
784.852,0.012,0.020,-396.265,-2976.292
791.394,0.006,0.020,-402.812,-3136.338
775.201,0.027,0.020,-386.598,-2754.798
743.890,0.018,0.020,-355.297,-2144.555
758.248,0.004,0.020,-369.668,-2405.857
698.139,0.000,0.020,-309.564,-1487.455
819.881,0.000,0.020,-431.305,-3939.296
738.604,0.000,0.020,-350.029,-2056.054
741.718,0.003,0.020,-353.139,-2107.859
760.981,0.000,0.020,-372.405,-2459.111
755.917,0.003,0.020,-367.338,-2361.422
763.633,0.026,0.020,-375.032,-2511.325
799.423,0.011,0.020,-410.837,-3344.277
906.258,0.003,0.020,-517.680,-7861.639
758.230,0.006,0.020,-369.648,-2405.468
781.749,0.009,0.020,-393.164,-2903.368
762.360,0.000,0.020,-373.784,-2486.392
673.058,0.017,0.020,-284.466,-1216.872
662.968,0.014,0.020,-274.379,-1122.537
747.748,0.022,0.020,-359.151,-2211.707
691.354,0.007,0.020,-302.771,-1408.788
930.776,0.017,0.020,-542.183,-9564.169
873.124,0.002,0.020,-484.547,-6031.115
724.198,0.025,0.020,-335.597,-1831.869
730.705,0.004,0.020,-342.126,-1930.087
792.137,0.002,0.020,-403.559,-3155.139
931.144,0.021,0.020,-542.547,-9592.060
878.588,0.027,0.020,-489.985,-6299.321
1079.856,0.037,0.020,-691.244,-31516.532
820.932,0.008,0.020,-432.349,-3972.316
740.629,0.010,0.020,-352.044,-2089.462
845.269,0.014,0.020,-456.680,-4825.893
781.497,0.024,0.020,-392.898,-2897.183
817.547,0.017,0.020,-428.954,-3865.872
725.348,0.010,0.020,-336.763,-1849.026
757.423,0.008,0.020,-368.839,-2389.953
836.452,0.009,0.020,-447.868,-4497.397
780.189,0.009,0.020,-391.605,-2867.379
757.289,0.023,0.020,-368.691,-2387.117
813.831,0.000,0.020,-425.256,-3753.182
767.797,0.006,0.020,-379.216,-2596.808
855.621,0.026,0.020,-467.020,-5242.074
883.989,0.024,0.020,-495.389,-6577.602
1098.702,0.042,0.020,-710.084,-36643.268
883.902,0.000,0.020,-495.326,-6574.307
713.779,0.010,0.020,-325.193,-1685.570
821.257,0.007,0.020,-432.675,-3982.696
754.718,0.026,0.020,-366.116,-2338.454
775.426,0.014,0.020,-386.836,-2760.050
733.048,0.009,0.020,-344.463,-1966.517
725.998,0.008,0.020,-337.415,-1858.697
764.827,0.021,0.020,-376.231,-2535.541
810.802,0.000,0.020,-422.226,-3663.319
735.653,0.024,0.020,-347.054,-2007.697
745.365,0.000,0.020,-356.790,-2170.325
793.873,0.014,0.020,-405.283,-3198.942
902.846,0.029,0.020,-514.241,-7648.333
918.628,0.028,0.020,-530.025,-8677.688
1022.003,0.050,0.020,-633.377,-19837.480
765.703,0.008,0.020,-377.119,-2553.612
708.529,0.007,0.020,-319.947,-1616.287
819.871,0.008,0.020,-431.288,-3938.741
779.588,0.022,0.020,-390.990,-2853.313
728.588,0.016,0.020,-339.996,-1897.486
692.448,0.009,0.020,-303.864,-1421.154
824.393,0.005,0.020,-435.813,-4083.932
1002.064,0.030,0.020,-613.458,-16915.334
950.976,0.005,0.020,-562.395,-11242.680
990.100,0.030,0.020,-601.495,-15371.525
957.675,0.008,0.020,-569.092,-11861.452
922.378,0.027,0.020,-533.776,-8942.053
924.721,0.036,0.020,-536.109,-9110.557
1030.375,0.042,0.020,-641.757,-21212.967
924.594,0.010,0.020,-536.009,-9103.250
860.973,0.014,0.020,-472.383,-5471.890
1025.498,0.018,0.020,-636.904,-20405.253
950.169,0.035,0.020,-561.559,-11167.751
1082.204,0.022,0.020,-693.607,-32117.912
845.048,0.027,0.020,-456.445,-4816.846
752.846,0.016,0.020,-364.255,-2303.883
915.596,0.027,0.020,-526.993,-8469.731
964.984,0.011,0.020,-576.397,-12575.322
949.277,0.033,0.020,-560.669,-11088.494
830.355,0.014,0.020,-441.765,-4283.112
842.250,0.009,0.020,-453.665,-4710.901
855.055,0.022,0.020,-466.457,-5218.519
1019.667,0.021,0.020,-631.070,-19474.798
1390.617,0.050,0.020,-1001.991,-378601.672
890.027,0.025,0.020,-501.426,-6903.082
786.327,0.013,0.020,-397.739,-3011.585
910.698,0.016,0.020,-522.106,-8145.033
947.081,0.034,0.020,-558.471,-10895.266
947.121,0.017,0.020,-558.529,-10900.314
860.798,0.028,0.020,-472.194,-5463.634
743.148,0.009,0.020,-354.563,-2132.010
893.418,0.017,0.020,-504.825,-7093.337
824.190,0.000,0.020,-435.614,-4077.449
780.890,0.030,0.020,-392.285,-2883.014
833.865,0.005,0.020,-445.284,-4405.390
815.102,0.029,0.020,-426.497,-3790.637
862.521,0.026,0.020,-473.919,-5539.548
929.000,0.022,0.020,-540.402,-9428.826
1171.254,0.037,0.020,-782.641,-65476.120
829.854,0.009,0.020,-441.270,-4266.179
726.496,0.008,0.020,-337.912,-1866.108
823.489,0.016,0.020,-434.897,-4054.131
769.752,0.015,0.020,-381.162,-2637.550
687.548,0.013,0.020,-298.959,-1366.470
760.488,0.007,0.020,-371.905,-2449.288
942.203,0.020,0.020,-553.607,-10479.424
930.043,0.019,0.020,-541.448,-9508.098
930.689,0.021,0.020,-542.093,-9557.251
