Loss,Payout,Premium,Wealth,Utility
671.727,2.202,5.215,-287.183,-1243.613
962.933,7.766,5.215,-572.824,-12220.979
971.048,2.672,5.215,-586.035,-13583.259
843.765,7.086,5.215,-454.337,-4736.304
817.187,0.000,5.215,-434.846,-4052.454
823.292,1.980,5.215,-438.970,-4188.398
1029.652,6.536,5.215,-640.775,-21047.034
982.828,8.316,5.215,-592.170,-14266.524
1218.118,7.775,5.215,-828.001,-94119.610
931.992,9.537,5.215,-540.114,-9407.149
758.375,5.116,5.215,-370.917,-2430.010
930.578,5.636,5.215,-542.601,-9596.169
812.672,6.989,5.215,-423.341,-3696.138
825.501,5.786,5.215,-437.374,-4135.245
815.298,7.859,5.215,-425.097,-3748.434
785.483,5.838,5.215,-397.304,-3001.127
1034.817,0.445,5.215,-652.030,-23030.083
815.119,0.000,5.215,-432.778,-3985.969
783.717,2.486,5.215,-398.889,-3039.423
843.485,0.000,5.215,-461.143,-5001.334
932.930,0.945,5.215,-549.644,-10152.380
807.341,7.221,5.215,-417.778,-3535.245
824.650,1.666,5.215,-440.643,-4244.822
841.133,0.000,5.215,-458.791,-4908.117
806.659,2.437,5.215,-421.880,-3653.194
779.517,1.196,5.215,-395.979,-2969.499
800.630,2.741,5.215,-415.548,-3472.741
835.461,2.057,5.215,-451.062,-4613.814
828.248,0.040,5.215,-445.866,-4425.959
708.432,1.547,5.215,-324.543,-1676.827
933.506,4.065,5.215,-547.100,-9947.862
929.828,0.000,5.215,-547.486,-9978.650
880.992,6.309,5.215,-492.342,-6419.186
890.556,0.000,5.215,-508.215,-7288.333
879.921,0.000,5.215,-497.580,-6693.901
1037.039,6.838,5.215,-647.860,-22274.416
1014.988,8.352,5.215,-624.294,-18447.186
1175.156,10.101,5.215,-782.713,-65514.022
844.247,3.854,5.215,-458.052,-4879.163
778.302,3.616,5.215,-392.345,-2884.395
932.955,4.500,5.215,-546.114,-9869.725
850.850,7.076,5.215,-461.433,-5012.940
837.572,4.874,5.215,-450.356,-4587.843
849.948,6.482,5.215,-461.124,-5000.577
721.575,4.642,5.215,-334.591,-1817.179
940.876,6.147,5.215,-552.387,-10377.682
776.122,0.840,5.215,-392.941,-2898.186
717.280,5.646,5.215,-329.293,-1741.766
712.087,0.000,5.215,-329.746,-1748.090
813.582,1.902,5.215,-429.339,-3877.806
859.123,7.997,5.215,-468.784,-5316.600
827.134,2.852,5.215,-441.941,-4289.137
955.863,4.947,5.215,-568.574,-11812.401
812.955,0.895,5.215,-429.719,-3889.603
784.852,3.249,5.215,-399.261,-3048.501
791.394,1.717,5.215,-407.335,-3251.905
775.201,7.151,5.215,-385.709,-2735.262
743.890,4.788,5.215,-356.761,-2169.824
758.248,1.258,5.215,-374.648,-2503.639
698.139,0.267,5.215,-315.531,-1560.184
819.881,0.000,5.215,-437.539,-4140.737
738.604,0.000,5.215,-356.263,-2161.193
741.718,0.997,5.215,-358.379,-2198.100
760.981,0.000,5.215,-378.639,-2584.861
755.917,0.927,5.215,-372.648,-2463.891
763.633,6.951,5.215,-374.341,-2497.488
799.423,3.032,5.215,-414.049,-3431.346
906.258,1.030,5.215,-522.886,-8196.016
758.230,1.750,5.215,-374.138,-2493.447
781.749,2.597,5.215,-396.810,-2989.301
762.360,0.000,5.215,-380.018,-2613.537
673.058,4.551,5.215,-286.166,-1233.537
662.968,3.751,5.215,-276.876,-1145.186
747.748,5.784,5.215,-359.622,-2220.063
691.354,1.948,5.215,-307.064,-1458.006
930.776,4.585,5.215,-543.849,-9692.476
873.124,0.735,5.215,-490.048,-6302.451
724.198,6.591,5.215,-335.265,-1827.001
730.705,1.209,5.215,-347.154,-2009.315
792.137,0.727,5.215,-409.068,-3297.302
931.144,5.615,5.215,-543.187,-9641.301
878.588,7.245,5.215,-489.002,-6249.960
1079.856,9.590,5.215,-687.925,-30690.559
820.932,2.246,5.215,-436.345,-4101.357
740.629,2.803,5.215,-355.485,-2147.786
845.269,3.856,5.215,-459.072,-4919.128
781.497,6.405,5.215,-392.751,-2893.778
817.547,4.684,5.215,-430.521,-3914.639
725.348,2.763,5.215,-340.243,-1901.236
757.423,2.328,5.215,-372.754,-2465.982
836.452,2.587,5.215,-451.523,-4630.874
780.189,2.474,5.215,-395.374,-2955.153
757.289,6.027,5.215,-368.921,-2391.516
813.831,0.230,5.215,-431.260,-3937.851
767.797,1.799,5.215,-383.656,-2690.720
855.621,6.826,5.215,-466.454,-5218.385
883.989,6.403,5.215,-495.244,-6569.991
1098.702,11.059,5.215,-705.302,-35267.824
883.902,0.000,5.215,-501.560,-6910.493
713.779,2.767,5.215,-328.670,-1733.118
821.257,1.910,5.215,-437.006,-4123.108
754.718,6.913,5.215,-365.463,-2326.264
775.426,3.861,5.215,-389.223,-2813.259
733.048,2.604,5.215,-348.103,-2024.617
725.998,2.222,5.215,-341.435,-1919.448
764.827,5.528,5.215,-376.958,-2550.334
810.802,0.000,5.215,-428.460,-3850.648
735.653,6.342,5.215,-346.969,-2006.343
745.365,0.000,5.215,-363.024,-2281.307
793.873,3.856,5.215,-407.675,-3260.750
902.846,7.710,5.215,-512.794,-7560.299
918.628,7.444,5.215,-528.843,-8596.044
1022.003,13.076,5.215,-626.585,-18788.423
765.703,2.367,5.215,-380.994,-2634.018
708.529,2.013,5.215,-324.175,-1671.897
819.871,2.167,5.215,-435.363,-4069.256
779.588,5.858,5.215,-391.388,-2862.407
728.588,4.302,5.215,-341.944,-1927.280
692.448,2.447,5.215,-307.659,-1464.967
824.393,1.462,5.215,-440.589,-4243.005
1002.064,8.002,5.215,-611.720,-16681.825
950.976,1.546,5.215,-567.088,-11672.822
990.100,7.832,5.215,-599.926,-15179.840
957.675,2.157,5.215,-573.177,-12255.449
922.378,7.039,5.215,-532.997,-8886.538
924.721,9.329,5.215,-533.050,-8890.307
1030.375,11.085,5.215,-636.948,-20412.427
924.594,2.679,5.215,-539.573,-9366.554
860.973,3.777,5.215,-474.854,-5581.118
1025.498,4.894,5.215,-638.262,-20628.184
950.169,9.102,5.215,-558.726,-10917.476
1082.204,5.735,5.215,-694.127,-32251.859
845.048,7.228,5.215,-455.479,-4779.743
752.846,4.197,5.215,-366.307,-2342.019
915.596,7.223,5.215,-526.030,-8404.791
964.984,2.968,5.215,-579.674,-12909.354
949.277,8.564,5.215,-558.372,-10886.579
830.355,3.777,5.215,-444.236,-4368.618
842.250,2.619,5.215,-457.289,-4849.484
855.055,5.904,5.215,-466.809,-5233.253
1019.667,5.487,5.215,-631.838,-19594.761
1390.617,13.092,5.215,-995.183,-358533.761
890.027,6.559,5.215,-501.126,-6886.506
786.327,3.477,5.215,-400.508,-3079.051
910.698,4.320,5.215,-524.037,-8271.800
947.081,8.838,5.215,-555.901,-10673.558
947.121,4.465,5.215,-560.315,-11057.175
860.798,7.398,5.215,-471.059,-5414.212
743.148,2.501,5.215,-358.305,-2196.793
893.418,4.678,5.215,-506.398,-7183.162
824.190,0.000,5.215,-441.848,-4285.955
780.890,7.935,5.215,-390.614,-2844.730
833.865,1.574,5.215,-449.949,-4572.918
815.102,7.704,5.215,-425.056,-3747.190
862.521,6.832,5.215,-473.347,-5514.263
929.000,5.938,5.215,-540.720,-9452.856
1171.254,9.776,5.215,-779.136,-63665.972
829.854,2.470,5.215,-445.043,-4396.916
726.496,2.379,5.215,-341.775,-1924.679
823.489,4.354,5.215,-436.793,-4116.082
769.752,4.040,5.215,-383.370,-2684.564
687.548,3.668,5.215,-301.538,-1394.960
760.488,2.069,5.215,-376.077,-2532.419
942.203,5.403,5.215,-554.458,-10550.991
930.043,5.119,5.215,-542.582,-9594.767
930.689,5.511,5.215,-542.836,-9614.277
842.113,5.239,5.215,-454.532,-4743.671
908.151,6.304,5.215,-519.505,-7977.299
943.939,7.713,5.215,-553.884,-10502.650
947.707,8.129,5.215,-557.237,-10788.219
1375.049,12.511,5.215,-980.197,-318026.926
927.628,2.979,5.215,-542.307,-9573.687
822.626,2.925,5.215,-437.360,-4134.800
980.952,3.763,5.215,-594.848,-14575.539
895.142,5.521,5.215,-507.279,-7233.963
827.548,5.016,5.215,-440.190,-4229.482
756.846,2.668,5.215,-371.837,-2447.949
906.575,0.000,5.215,-524.234,-8284.845
772.118,0.357,5.215,-389.420,-2817.687
717.371,2.201,5.215,-332.829,-1791.739
759.118,0.000,5.215,-376.777,-2546.630
878.070,0.000,5.215,-495.728,-6595.479
811.076,7.320,5.215,-421.415,-3639.615
806.805,0.000,5.215,-424.463,-3729.468
907.748,3.005,5.215,-522.402,-8164.297
786.822,0.000,5.215,-404.481,-3178.487
794.537,3.423,5.215,-408.772,-3289.503
843.847,2.302,5.215,-459.204,-4924.324
734.624,2.285,5.215,-349.998,-2055.543
784.632,0.000,5.215,-402.290,-3123.263
841.548,0.000,5.215,-459.206,-4924.439
750.170,1.972,5.215,-365.857,-2333.599
838.715,5.091,5.215,-451.282,-4621.952
782.369,2.663,5.215,-397.365,-3002.594
755.694,4.291,5.215,-369.062,-2394.210
797.228,0.329,5.215,-414.558,-3445.330
771.145,1.921,5.215,-386.882,-2761.065
884.607,5.900,5.215,-496.366,-6629.194
829.533,9.404,5.215,-437.787,-4148.938
1000.943,11.847,5.215,-606.754,-16032.092
695.146,4.162,5.215,-308.642,-1476.531
753.100,3.759,5.215,-366.999,-2355.024
738.315,4.741,5.215,-351.232,-2075.937
795.145,3.070,5.215,-409.733,-3314.887
720.098,1.535,5.215,-336.221,-1841.038
750.893,0.000,5.215,-368.551,-2384.448
879.640,7.017,5.215,-490.282,-6314.276
826.865,0.000,5.215,-444.523,-4378.670
771.461,7.015,5.215,-382.105,-2657.530
851.807,0.634,5.215,-468.832,-5318.605
809.253,3.178,5.215,-423.733,-3707.751
841.769,7.315,5.215,-452.112,-4652.726
923.005,7.695,5.215,-532.969,-8884.500
1133.890,12.667,5.215,-738.881,-46136.658
812.663,1.405,5.215,-428.917,-3864.729
685.579,5.524,5.215,-297.714,-1352.927
749.387,1.780,5.215,-365.266,-2322.589
760.134,5.692,5.215,-372.101,-2453.127
757.212,4.086,5.215,-370.785,-2427.436
646.598,2.695,5.215,-261.561,-1013.136
719.730,1.576,5.215,-335.812,-1835.021
846.046,6.804,5.215,-456.900,-4834.398
826.276,0.000,5.215,-443.934,-4358.088
778.898,4.624,5.215,-391.933,-2874.911
840.092,0.713,5.215,-457.037,-4839.708
848.770,4.296,5.215,-462.132,-5041.057
875.468,7.879,5.215,-485.247,-6064.998
917.198,6.693,5.215,-528.163,-8549.398
1142.776,5.388,5.215,-755.046,-52506.058
813.252,2.161,5.215,-428.749,-3859.544
766.427,1.916,5.215,-382.169,-2658.901
853.401,0.271,5.215,-470.788,-5402.513
813.790,4.534,5.215,-426.914,-3803.316
776.262,4.326,5.215,-389.595,-2821.631
761.748,2.018,5.215,-377.389,-2559.135
763.422,1.943,5.215,-379.137,-2595.181
998.143,8.001,5.215,-607.800,-16166.771
896.845,0.123,5.215,-514.380,-7656.848
873.456,7.746,5.215,-483.368,-5974.514
810.095,1.510,5.215,-426.243,-3782.953
849.174,4.442,5.215,-462.390,-5051.483
883.560,7.778,5.215,-493.440,-6475.843
909.565,8.814,5.215,-518.409,-7907.667
1343.242,12.333,5.215,-948.568,-246929.369
857.179,8.588,5.215,-466.249,-5209.843
777.840,3.301,5.215,-392.197,-2881.001
968.128,6.314,5.215,-579.472,-12888.496
922.802,8.721,5.215,-531.739,-8797.559
836.960,3.711,5.215,-450.907,-4608.098
684.398,7.162,5.215,-294.894,-1322.747
762.673,2.287,5.215,-378.044,-2572.589
855.162,4.842,5.215,-467.978,-5282.406
823.021,1.312,5.215,-439.367,-4201.716
755.577,2.408,5.215,-370.827,-2428.268
812.984,0.000,5.215,-430.642,-3918.448
794.522,0.850,5.215,-411.330,-3357.508
951.021,7.143,5.215,-561.536,-11165.692
983.303,4.339,5.215,-596.622,-14783.877
1266.671,8.249,5.215,-876.080,-138268.357
897.009,0.000,5.215,-514.668,-7674.484
768.206,2.692,5.215,-383.172,-2680.314
923.690,2.257,5.215,-539.091,-9330.500
775.917,1.836,5.215,-391.739,-2870.451
755.081,1.208,5.215,-371.531,-2441.980
801.648,0.000,5.215,-419.306,-3578.738
894.736,4.790,5.215,-507.604,-7252.843
997.213,7.621,5.215,-607.250,-16095.809
950.481,0.916,5.215,-567.223,-11685.467
1031.787,5.755,5.215,-643.690,-21543.668
920.031,3.532,5.215,-534.157,-8969.367
901.659,4.979,5.215,-514.339,-7654.310
1062.291,6.193,5.215,-673.755,-27401.620
1050.567,8.897,5.215,-659.329,-24414.859
1391.298,14.158,5.215,-994.799,-357433.054
883.351,5.997,5.215,-495.013,-6557.825
908.617,4.421,5.215,-521.854,-8128.628
958.504,5.839,5.215,-570.324,-11978.911
1089.648,8.440,5.215,-698.866,-33498.057
949.140,5.179,5.215,-561.620,-11173.202
963.348,6.709,5.215,-574.297,-12365.813
708.610,1.056,5.215,-325.212,-1685.825
957.611,5.537,5.215,-569.732,-11922.323
840.863,0.198,5.215,-458.323,-4889.757
744.093,6.795,5.215,-354.956,-2138.716
727.114,0.000,5.215,-344.773,-1971.394
810.341,2.508,5.215,-425.492,-3760.274
970.530,7.416,5.215,-580.772,-13023.186
922.641,5.266,5.215,-535.033,-9032.411
1071.035,10.618,5.215,-678.076,-28365.277
863.488,4.695,5.215,-476.451,-5652.879
773.422,2.690,5.215,-388.390,-2794.579
885.001,3.754,5.215,-498.905,-6765.268
805.232,8.172,5.215,-414.718,-3449.752
802.665,5.797,5.215,-414.527,-3444.486
744.598,1.636,5.215,-360.620,-2237.865
794.605,8.017,5.215,-404.247,-3172.549
887.349,8.563,5.215,-496.444,-6633.365
863.580,3.795,5.215,-477.443,-5697.943
894.504,9.246,5.215,-502.916,-6985.857
863.382,9.562,5.215,-471.479,-5432.440
865.425,3.601,5.215,-479.482,-5791.656
948.491,10.925,5.215,-555.225,-10615.919
945.437,9.123,5.215,-553.973,-10510.144
1213.772,14.395,5.215,-817.036,-86215.202
795.704,2.472,5.215,-410.890,-3345.721
810.537,2.190,5.215,-426.005,-3775.753
894.552,5.981,5.215,-506.229,-7173.473
932.883,7.895,5.215,-542.647,-9599.722
831.620,8.217,5.215,-441.062,-4259.072
913.298,6.610,5.215,-524.347,-8292.355
743.397,1.384,5.215,-359.672,-2220.942
935.517,8.092,5.215,-545.083,-9788.622
939.730,0.000,5.215,-557.388,-10801.276
854.018,7.578,5.215,-464.099,-5120.997
871.491,2.081,5.215,-487.068,-6153.991
829.010,5.745,5.215,-440.924,-4254.377
875.433,4.768,5.215,-488.323,-6216.122
895.549,9.179,5.215,-504.029,-7048.309
1114.419,10.628,5.215,-721.449,-40131.179
879.934,7.512,5.215,-490.080,-6304.087
772.527,2.922,5.215,-387.263,-2769.487
958.777,5.370,5.215,-571.066,-12050.284
835.360,9.084,5.215,-443.935,-4358.094
796.598,6.565,5.215,-407.692,-3261.186
782.398,5.190,5.215,-394.867,-2943.187
769.880,5.309,5.215,-382.229,-2660.170
994.977,4.604,5.215,-608.031,-16196.684
803.678,2.304,5.215,-419.032,-3570.898
752.629,2.547,5.215,-367.741,-2369.037
751.388,0.000,5.215,-369.047,-2393.916
837.494,1.820,5.215,-453.333,-4698.394
885.280,5.659,5.215,-497.279,-6677.806
907.896,1.289,5.215,-524.265,-8286.912
1123.382,3.391,5.215,-737.649,-45684.175
787.290,0.140,5.215,-404.808,-3186.827
749.525,3.735,5.215,-363.448,-2289.061
909.358,1.915,5.215,-525.101,-8342.561
743.793,5.353,5.215,-356.098,-2158.354
767.224,0.000,5.215,-384.882,-2717.245
804.098,0.000,5.215,-421.756,-3649.574
682.376,2.445,5.215,-297.590,-1351.588
909.433,5.989,5.215,-521.102,-8079.859
876.729,0.000,5.215,-494.387,-6525.095
759.165,5.457,5.215,-371.366,-2438.754
741.818,0.000,5.215,-359.477,-2217.479
796.558,0.351,5.215,-413.866,-3426.321
1049.891,7.666,5.215,-659.883,-24523.344
986.934,7.086,5.215,-597.506,-14888.785
996.581,11.232,5.215,-603.007,-15558.617
837.942,4.721,5.215,-450.880,-4607.088
699.324,2.472,5.215,-314.511,-1547.505
849.887,4.335,5.215,-463.210,-5084.729
760.740,5.090,5.215,-373.308,-2476.940
716.682,3.936,5.215,-330.404,-1757.320
689.298,4.077,5.215,-302.880,-1410.010
721.287,0.861,5.215,-338.084,-1868.679
858.277,7.331,5.215,-468.604,-5308.945
842.781,0.000,5.215,-460.439,-4973.233
754.520,6.479,5.215,-365.700,-2330.669
708.949,0.000,5.215,-326.608,-1704.752
819.059,0.210,5.215,-436.508,-4106.700
946.478,5.618,5.215,-558.518,-10899.359
893.813,5.823,5.215,-505.648,-7140.229
890.470,8.245,5.215,-499.884,-6818.434
848.718,6.706,5.215,-459.671,-4942.763
739.837,1.424,5.215,-356.071,-2157.882
808.459,2.072,5.215,-424.046,-3717.027
763.527,3.425,5.215,-377.760,-2566.753
713.468,6.644,5.215,-324.483,-1676.015
761.048,3.330,5.215,-375.376,-2518.265
721.287,1.633,5.215,-337.312,-1857.176
978.194,5.378,5.215,-590.475,-14074.379
804.654,0.000,5.215,-422.313,-3665.848
741.357,5.696,5.215,-353.320,-2110.914
771.835,0.000,5.215,-389.494,-2819.358
789.729,0.148,5.215,-407.240,-3249.421
889.703,6.660,5.215,-500.702,-6863.179
838.118,1.968,5.215,-453.808,-4716.283
977.346,3.422,5.215,-591.582,-14199.597
818.074,2.799,5.215,-432.933,-3990.937
791.395,3.366,5.215,-405.687,-3209.303
804.424,2.130,5.215,-419.952,-3597.261
760.782,6.143,5.215,-372.297,-2456.984
736.063,4.839,5.215,-348.882,-2037.285
739.348,1.472,5.215,-355.534,-2148.636
739.959,3.465,5.215,-354.152,-2125.014
820.011,1.746,5.215,-435.923,-4087.541
816.757,0.634,5.215,-433.781,-4018.103
793.574,3.256,5.215,-407.976,-3268.622
814.589,0.374,5.215,-431.873,-3957.226
811.657,0.000,5.215,-429.315,-3877.073
948.979,5.284,5.215,-561.353,-11149.379
916.314,2.934,5.215,-531.038,-8748.352
1109.640,2.620,5.215,-724.678,-41181.207
859.070,0.735,5.215,-475.994,-5632.244
823.653,1.164,5.215,-440.148,-4228.057
1060.190,1.520,5.215,-676.329,-27971.559
813.559,5.575,5.215,-425.642,-3764.810
802.731,1.252,5.215,-419.137,-3573.903
821.598,0.538,5.215,-438.719,-4179.994
873.115,5.014,5.215,-485.759,-6089.886
892.974,6.619,5.215,-504.013,-7047.444
899.409,3.335,5.215,-513.732,-7617.257
918.359,5.487,5.215,-530.530,-8712.848
895.402,3.518,5.215,-509.542,-7366.151
889.596,3.231,5.215,-504.024,-7048.023
1048.363,8.081,5.215,-657.940,-24145.115
1042.348,6.662,5.215,-653.344,-23273.334
1361.936,12.650,5.215,-966.944,-286034.408
851.424,2.378,5.215,-466.705,-5228.883
875.335,4.982,5.215,-488.012,-6200.639
1013.339,8.243,5.215,-622.754,-18221.329
914.620,5.278,5.215,-527.000,-8470.235
939.898,7.446,5.215,-550.111,-10190.388
761.000,0.797,5.215,-377.861,-2568.815
1005.889,8.049,5.215,-615.498,-17193.712
910.024,0.825,5.215,-526.858,-8460.599
898.170,8.850,5.215,-506.979,-7216.637
866.665,1.251,5.215,-483.072,-5960.401
919.034,3.429,5.215,-533.263,-8905.423
951.306,6.568,5.215,-562.397,-11242.878
946.621,8.013,5.215,-556.267,-10704.807
1398.062,12.441,5.215,-1003.279,-382524.063
942.981,2.471,5.215,-558.169,-10868.940
823.605,3.443,5.215,-437.820,-4150.041
942.965,2.193,5.215,-558.430,-10891.696
913.735,9.042,5.215,-522.351,-8161.017
871.475,5.401,5.215,-483.733,-5991.981
787.648,7.154,5.215,-398.152,-3021.575
860.013,3.082,5.215,-474.590,-5569.341
979.352,7.997,5.215,-589.013,-13910.793
1009.610,3.965,5.215,-623.303,-18301.516
1110.066,7.331,5.215,-720.393,-39793.548
968.592,4.298,5.215,-581.953,-13146.803
945.169,3.384,5.215,-559.444,-10980.349
1012.137,5.811,5.215,-623.984,-18401.490
1069.951,6.103,5.215,-681.506,-29154.422
927.874,3.045,5.215,-542.487,-9587.445
891.650,2.561,5.215,-506.747,-7203.253
1047.460,5.540,5.215,-659.579,-24463.619
1067.706,8.728,5.215,-676.636,-28040.387
1052.894,3.606,5.215,-666.946,-25948.856
943.398,6.849,5.215,-554.208,-10529.915
754.926,0.839,5.215,-371.745,-2446.159
816.031,0.000,5.215,-433.689,-4015.142
821.770,0.000,5.215,-439.429,-4203.801
750.042,0.242,5.215,-367.459,-2363.704
853.080,1.517,5.215,-469.221,-5335.217
850.375,0.000,5.215,-468.034,-5284.760
816.977,3.727,5.215,-430.908,-3926.792
845.790,0.507,5.215,-462.941,-5073.787
1137.773,0.460,5.215,-754.972,-52474.763
850.347,1.327,5.215,-466.679,-5227.794
830.842,1.643,5.215,-446.858,-4461.208
839.992,0.000,5.215,-457.651,-4863.526
770.951,4.695,5.215,-383.913,-2696.261
829.034,2.448,5.215,-444.245,-4368.924
775.748,3.890,5.215,-389.517,-2819.878
784.870,4.267,5.215,-398.261,-3024.205
1011.406,0.000,5.215,-629.064,-19164.703
786.881,0.000,5.215,-404.539,-3179.971
763.932,3.177,5.215,-378.413,-2580.182
765.292,0.000,5.215,-382.951,-2675.573
883.657,0.000,5.215,-501.315,-6896.956
821.212,6.946,5.215,-431.925,-3958.866
840.992,0.000,5.215,-458.650,-4902.560
978.737,2.706,5.215,-593.690,-14441.089
795.700,0.000,5.215,-413.358,-3412.428
826.581,3.883,5.215,-440.356,-4235.108
840.456,2.993,5.215,-455.121,-4766.107
752.287,2.274,5.215,-367.671,-2367.727
882.939,4.222,5.215,-496.375,-6629.719
844.698,0.876,5.215,-461.481,-5014.861
766.058,1.372,5.215,-382.344,-2662.630
947.204,5.209,5.215,-559.654,-10998.820
833.028,0.000,5.215,-450.686,-4599.973
793.519,4.514,5.215,-406.663,-3234.464
810.179,0.000,5.215,-427.837,-3831.502
861.498,0.000,5.215,-479.157,-5776.585
932.374,5.291,5.215,-544.742,-9761.977
925.223,5.252,5.215,-537.629,-9221.980
1060.159,3.819,5.215,-673.999,-27454.951
869.222,0.000,5.215,-486.881,-6144.795
868.643,4.001,5.215,-482.300,-5923.685
1172.454,3.000,5.215,-787.112,-67860.792
807.447,6.448,5.215,-418.658,-3560.216
814.057,1.095,5.215,-430.620,-3917.755
871.648,2.680,5.215,-486.626,-6132.289
676.544,0.882,5.215,-293.320,-1306.197
988.569,6.599,5.215,-599.628,-15143.705
809.208,1.834,5.215,-425.032,-3746.472
713.020,6.516,5.215,-324.163,-1671.730
700.449,0.000,5.215,-318.107,-1592.677
767.877,0.203,5.215,-385.332,-2727.026
880.873,7.468,5.215,-491.063,-6353.880
852.792,2.941,5.215,-467.509,-5262.636
895.269,6.188,5.215,-506.739,-7202.816
790.583,0.220,5.215,-408.021,-3269.781
762.196,1.508,5.215,-378.346,-2578.803
756.211,3.441,5.215,-370.429,-2420.532
704.052,3.279,5.215,-318.431,-1596.802
693.159,5.386,5.215,-305.431,-1439.084
714.848,1.407,5.215,-331.100,-1767.128
749.850,4.501,5.215,-363.007,-2281.005
927.456,5.572,5.215,-539.542,-9364.206
758.603,6.423,5.215,-369.838,-2409.124
752.768,4.436,5.215,-365.991,-2336.101
739.166,0.000,5.215,-356.824,-2170.920
785.223,0.811,5.215,-402.070,-3117.779
873.321,5.062,5.215,-485.917,-6097.589
826.592,3.596,5.215,-440.654,-4245.208
996.794,5.991,5.215,-608.461,-16252.532
809.203,0.000,5.215,-426.861,-3801.702
777.524,6.583,5.215,-388.599,-2799.257
858.143,2.778,5.215,-473.024,-5500.003
768.935,3.889,5.215,-382.705,-2670.318
762.602,1.542,5.215,-378.718,-2586.496
755.098,0.000,5.215,-372.756,-2466.032
735.746,0.000,5.215,-353.404,-2112.331
922.873,0.000,5.215,-540.531,-9438.587
743.475,0.000,5.215,-361.133,-2247.063
777.369,2.467,5.215,-392.560,-2889.378
786.689,0.000,5.215,-404.348,-3175.107
850.579,0.000,5.215,-468.237,-5293.363
837.224,8.386,5.215,-446.497,-4448.340
855.901,1.074,5.215,-472.486,-5476.391
971.700,2.131,5.215,-587.227,-13713.460
870.444,0.000,5.215,-488.103,-6205.154
840.409,2.550,5.215,-455.518,-4781.242
823.851,0.417,5.215,-441.092,-4260.121
787.302,4.872,5.215,-400.088,-3068.733
767.262,0.673,5.215,-384.248,-2703.480
786.948,0.798,5.215,-403.808,-3161.424
