Loss,Payout,Premium,Wealth,Utility
671.727,2.202,5.215,-287.183,-1243.614
962.933,7.767,5.215,-572.824,-12220.977
971.048,2.672,5.215,-586.035,-13583.264
843.765,7.086,5.215,-454.337,-4736.304
817.187,0.000,5.215,-434.846,-4052.457
823.292,1.980,5.215,-438.970,-4188.400
1029.652,6.536,5.215,-640.775,-21047.033
982.828,8.316,5.215,-592.170,-14266.521
1218.118,7.775,5.215,-828.001,-94119.595
931.992,9.537,5.215,-540.114,-9407.145
758.375,5.116,5.215,-370.917,-2430.010
930.578,5.636,5.215,-542.601,-9596.170
812.672,6.989,5.215,-423.341,-3696.138
825.501,5.786,5.215,-437.374,-4135.245
815.298,7.859,5.215,-425.097,-3748.433
785.483,5.838,5.215,-397.304,-3001.127
1034.817,0.445,5.215,-652.030,-23030.097
815.119,0.000,5.215,-432.778,-3985.972
783.717,2.486,5.215,-398.889,-3039.424
843.485,0.000,5.215,-461.143,-5001.337
932.930,0.945,5.215,-549.644,-10152.386
807.341,7.221,5.215,-417.778,-3535.245
824.650,1.666,5.215,-440.643,-4244.824
841.133,0.000,5.215,-458.792,-4908.120
806.659,2.437,5.215,-421.880,-3653.195
779.517,1.196,5.215,-395.979,-2969.500
800.630,2.741,5.215,-415.548,-3472.743
835.461,2.058,5.215,-451.062,-4613.816
828.248,0.040,5.215,-445.866,-4425.962
708.432,1.547,5.215,-324.543,-1676.828
933.506,4.065,5.215,-547.100,-9947.864
929.828,0.000,5.215,-547.486,-9978.656
880.992,6.309,5.215,-492.342,-6419.186
890.556,0.000,5.215,-508.215,-7288.338
879.921,0.000,5.215,-497.580,-6693.906
1037.039,6.838,5.215,-647.860,-22274.415
1014.988,8.352,5.215,-624.294,-18447.182
1175.156,10.101,5.215,-782.713,-65513.996
844.247,3.854,5.215,-458.052,-4879.165
778.302,3.616,5.215,-392.345,-2884.396
932.955,4.500,5.215,-546.114,-9869.727
850.850,7.076,5.215,-461.433,-5012.940
837.572,4.874,5.215,-450.356,-4587.844
849.948,6.482,5.215,-461.124,-5000.576
