Loss,Payout,Premium,Wealth,Utility
671.727,0.000,0.000,-283.127,-1203.909
962.933,0.000,0.000,-574.333,-12369.313
971.048,0.000,0.000,-582.448,-13199.070
843.765,0.000,0.000,-455.165,-4767.754
817.187,0.000,0.000,-428.587,-3854.556
823.292,0.000,0.000,-434.692,-4047.482
1029.652,0.000,0.000,-641.052,-21093.783
982.828,0.000,0.000,-594.228,-14503.353
1218.118,0.000,0.000,-829.518,-95268.440
931.992,0.000,0.000,-543.392,-9657.120
758.375,0.000,0.000,-369.775,-2407.899
930.578,0.000,0.000,-541.978,-9548.516
812.672,0.000,0.000,-424.072,-3717.816
825.501,0.000,0.000,-436.901,-4119.645
815.298,0.000,0.000,-426.698,-3796.742
785.483,0.000,0.000,-396.883,-2991.040
1034.817,0.000,0.000,-646.217,-21983.603
815.119,0.000,0.000,-426.519,-3791.318
783.717,0.000,0.000,-395.117,-2949.075
843.485,0.000,0.000,-454.885,-4757.098
932.930,0.000,0.000,-544.330,-9729.863
807.341,0.000,0.000,-418.741,-3562.572
824.650,0.000,0.000,-436.050,-4091.704
841.133,0.000,0.000,-452.533,-4668.433
806.659,0.000,0.000,-418.059,-3543.193
779.517,0.000,0.000,-390.917,-2851.649
800.630,0.000,0.000,-412.030,-3376.374
835.461,0.000,0.000,-446.861,-4461.334
828.248,0.000,0.000,-439.648,-4211.183
708.432,0.000,0.000,-319.832,-1614.806
933.506,0.000,0.000,-544.906,-9774.826
929.828,0.000,0.000,-541.228,-9491.351
880.992,0.000,0.000,-492.392,-6421.788
890.556,0.000,0.000,-501.956,-6932.414
879.921,0.000,0.000,-491.321,-6367.010
1037.039,0.000,0.000,-648.439,-22377.859
1014.988,0.000,0.000,-626.388,-18758.744
1175.156,0.000,0.000,-786.556,-67559.186
844.247,0.000,0.000,-455.647,-4786.193
778.302,0.000,0.000,-389.702,-2824.057
932.955,0.000,0.000,-544.355,-9731.830
850.850,0.000,0.000,-462.250,-5045.827
837.572,0.000,0.000,-448.972,-4537.322
849.948,0.000,0.000,-461.348,-5009.537
721.575,0.000,0.000,-332.975,-1793.838
940.876,0.000,0.000,-552.276,-10368.406
776.122,0.000,0.000,-387.522,-2775.238
717.280,0.000,0.000,-328.680,-1733.251
712.087,0.000,0.000,-323.487,-1662.724
813.582,0.000,0.000,-424.982,-3744.983
859.123,0.000,0.000,-470.523,-5391.051
827.134,0.000,0.000,-438.534,-4173.831
955.863,0.000,0.000,-567.263,-11689.156
812.955,0.000,0.000,-424.355,-3726.234
784.852,0.000,0.000,-396.252,-2975.993
791.394,0.000,0.000,-402.794,-3135.873
775.201,0.000,0.000,-386.601,-2754.857
743.890,0.000,0.000,-355.290,-2144.442
758.248,0.000,0.000,-369.648,-2405.466
698.139,0.000,0.000,-309.539,-1487.167
819.881,0.000,0.000,-431.281,-3938.527
738.604,0.000,0.000,-350.004,-2055.653
741.718,0.000,0.000,-353.118,-2107.499
760.981,0.000,0.000,-372.381,-2458.631
755.917,0.000,0.000,-367.317,-2361.014
763.633,0.000,0.000,-375.033,-2511.363
799.423,0.000,0.000,-410.823,-3343.919
906.258,0.000,0.000,-517.658,-7860.305
758.230,0.000,0.000,-369.630,-2405.114
781.749,0.000,0.000,-393.149,-2903.018
762.360,0.000,0.000,-373.760,-2485.908
673.058,0.000,0.000,-284.458,-1216.800
662.968,0.000,0.000,-274.368,-1122.442
747.748,0.000,0.000,-359.148,-2211.660
691.354,0.000,0.000,-302.754,-1408.590
930.776,0.000,0.000,-542.176,-9563.609
873.124,0.000,0.000,-484.524,-6030.036
724.198,0.000,0.000,-335.598,-1831.877
730.705,0.000,0.000,-342.105,-1929.770
792.137,0.000,0.000,-403.537,-3154.574
931.144,0.000,0.000,-542.544,-9591.806
878.588,0.000,0.000,-489.988,-6299.475
1079.856,0.000,0.000,-691.256,-31519.612
820.932,0.000,0.000,-432.332,-3971.793
740.629,0.000,0.000,-352.029,-2089.223
845.269,0.000,0.000,-456.669,-4825.500
781.497,0.000,0.000,-392.897,-2897.177
817.547,0.000,0.000,-428.947,-3865.658
725.348,0.000,0.000,-336.748,-1848.812
757.423,0.000,0.000,-368.823,-2389.644
836.452,0.000,0.000,-447.852,-4496.853
780.189,0.000,0.000,-391.589,-2867.022
757.289,0.000,0.000,-368.689,-2387.085
813.831,0.000,0.000,-425.231,-3752.451
767.797,0.000,0.000,-379.197,-2596.430
855.621,0.000,0.000,-467.021,-5242.134
883.989,0.000,0.000,-495.389,-6577.589
1098.702,0.000,0.000,-710.102,-36648.530
883.902,0.000,0.000,-495.302,-6573.025
713.779,0.000,0.000,-325.179,-1685.376
821.257,0.000,0.000,-432.657,-3982.130
754.718,0.000,0.000,-366.118,-2338.487
775.426,0.000,0.000,-386.826,-2759.825
733.048,0.000,0.000,-344.448,-1966.280
725.998,0.000,0.000,-337.398,-1858.451
764.827,0.000,0.000,-376.227,-2535.467
810.802,0.000,0.000,-422.202,-3662.605
735.653,0.000,0.000,-347.053,-2007.689
745.365,0.000,0.000,-356.765,-2169.902
793.873,0.000,0.000,-405.273,-3198.682
902.846,0.000,0.000,-514.246,-7648.632
918.628,0.000,0.000,-530.028,-8677.955
1022.003,0.000,0.000,-633.403,-19841.579
765.703,0.000,0.000,-377.103,-2553.285
708.529,0.000,0.000,-319.929,-1616.063
819.871,0.000,0.000,-431.271,-3938.213
779.588,0.000,0.000,-390.988,-2853.260
728.588,0.000,0.000,-339.988,-1897.358
692.448,0.000,0.000,-303.848,-1420.975
824.393,0.000,0.000,-435.793,-4083.294
1002.064,0.000,0.000,-613.464,-16916.148
950.976,0.000,0.000,-562.376,-11240.953
990.100,0.000,0.000,-601.500,-15372.183
957.675,0.000,0.000,-569.075,-11859.857
922.378,0.000,0.000,-533.778,-8942.214
924.721,0.000,0.000,-536.121,-9111.373
1030.375,0.000,0.000,-641.775,-21216.031
924.594,0.000,0.000,-535.994,-9102.174
860.973,0.000,0.000,-472.373,-5471.431
1025.498,0.000,0.000,-636.898,-20404.254
950.169,0.000,0.000,-561.569,-11168.672
1082.204,0.000,0.000,-693.604,-32117.183
845.048,0.000,0.000,-456.448,-4816.962
752.846,0.000,0.000,-364.246,-2303.720
915.596,0.000,0.000,-526.996,-8469.932
964.984,0.000,0.000,-576.384,-12573.949
949.277,0.000,0.000,-560.677,-11089.222
830.355,0.000,0.000,-441.755,-4282.753
842.250,0.000,0.000,-453.650,-4710.336
855.055,0.000,0.000,-466.455,-5218.428
1019.667,0.000,0.000,-631.067,-19474.205
1390.617,0.000,0.000,-1002.017,-378680.093
890.027,0.000,0.000,-501.427,-6903.103
786.327,0.000,0.000,-397.727,-3011.304
910.698,0.000,0.000,-522.098,-8144.488
947.081,0.000,0.000,-558.481,-10896.075
947.121,0.000,0.000,-558.521,-10899.634
860.798,0.000,0.000,-472.198,-5463.794
743.148,0.000,0.000,-354.548,-2131.747
893.418,0.000,0.000,-504.818,-7092.942
824.190,0.000,0.000,-435.590,-4076.654
780.890,0.000,0.000,-392.290,-2883.146
833.865,0.000,0.000,-445.265,-4404.717
815.102,0.000,0.000,-426.502,-3790.784
862.521,0.000,0.000,-473.921,-5539.612
929.000,0.000,0.000,-540.400,-9428.672
1171.254,0.000,0.000,-782.654,-65482.898
829.854,0.000,0.000,-441.254,-4265.647
726.496,0.000,0.000,-337.896,-1865.870
823.489,0.000,0.000,-434.889,-4053.864
769.752,0.000,0.000,-381.152,-2637.351
687.548,0.000,0.000,-298.948,-1366.351
760.488,0.000,0.000,-371.888,-2448.952
942.203,0.000,0.000,-553.603,-10479.077
930.043,0.000,0.000,-541.443,-9507.699
930.689,0.000,0.000,-542.089,-9556.967
842.113,0.000,0.000,-453.513,-4705.159
908.151,0.000,0.000,-519.551,-7980.209
943.939,0.000,0.000,-555.339,-10625.613
947.707,0.000,0.000,-559.107,-10950.853
1375.049,0.000,0.000,-986.449,-334338.428
927.628,0.000,0.000,-539.028,-9325.800
822.626,0.000,0.000,-434.026,-4025.981
980.952,0.000,0.000,-592.352,-14287.405
895.142,0.000,0.000,-506.542,-7191.434
827.548,0.000,0.000,-438.948,-4187.666
756.846,0.000,0.000,-368.246,-2378.629
906.575,0.000,0.000,-517.975,-7880.261
772.118,0.000,0.000,-383.518,-2687.753
717.371,0.000,0.000,-328.771,-1734.511
759.118,0.000,0.000,-370.518,-2422.268
878.070,0.000,0.000,-489.470,-6273.394
811.076,0.000,0.000,-422.476,-3670.651
806.805,0.000,0.000,-418.205,-3547.342
907.748,0.000,0.000,-519.148,-7954.517
786.822,0.000,0.000,-398.222,-3023.268
794.537,0.000,0.000,-405.937,-3215.732
843.847,0.000,0.000,-455.247,-4770.915
734.624,0.000,0.000,-346.024,-1991.229
784.632,0.000,0.000,-396.032,-2970.741
841.548,0.000,0.000,-452.948,-4683.958
750.170,0.000,0.000,-361.570,-2254.936
838.715,0.000,0.000,-450.115,-4578.982
782.369,0.000,0.000,-393.769,-2917.460
755.694,0.000,0.000,-367.094,-2356.817
797.228,0.000,0.000,-408.628,-3285.706
771.145,0.000,0.000,-382.545,-2666.907
884.607,0.000,0.000,-496.007,-6610.199
829.533,0.000,0.000,-440.933,-4254.688
1000.943,0.000,0.000,-612.343,-16765.189
