Loss,Payout,Premium,Wealth,Utility
671.727,0.018,0.045,-283.165,-1204.275
962.933,0.067,0.045,-574.321,-12368.162
971.048,0.022,0.045,-582.482,-13202.641
843.765,0.061,0.045,-455.159,-4767.542
817.187,0.000,0.045,-428.643,-3856.275
823.292,0.016,0.045,-434.732,-4048.777
1029.652,0.056,0.045,-641.052,-21093.673
982.828,0.072,0.045,-594.211,-14501.434
1218.118,0.067,0.045,-829.506,-95259.514
931.992,0.083,0.045,-543.365,-9655.002
758.375,0.044,0.045,-369.787,-2408.131
930.578,0.048,0.045,-541.986,-9549.079
812.672,0.060,0.045,-424.068,-3717.676
825.501,0.050,0.045,-436.907,-4119.844
815.298,0.068,0.045,-426.686,-3796.364
785.483,0.050,0.045,-396.888,-2991.174
1034.817,0.002,0.045,-646.271,-21993.046
815.119,0.000,0.045,-426.575,-3793.008
783.717,0.020,0.045,-395.152,-2949.912
843.485,0.000,0.045,-454.941,-4759.219
932.930,0.006,0.045,-544.379,-9733.695
807.341,0.063,0.045,-418.734,-3562.379
824.650,0.013,0.045,-436.093,-4093.105
841.133,0.000,0.045,-452.589,-4670.514
806.659,0.020,0.045,-418.095,-3544.211
779.517,0.009,0.045,-390.964,-2852.721
800.630,0.023,0.045,-412.064,-3377.271
835.461,0.016,0.045,-446.900,-4462.737
828.248,0.000,0.045,-439.704,-4213.060
708.432,0.012,0.045,-319.876,-1615.372
933.506,0.034,0.045,-544.928,-9776.498
929.828,0.000,0.045,-541.284,-9495.583
880.992,0.054,0.045,-492.394,-6421.858
890.556,0.000,0.045,-502.012,-6935.504
879.921,0.000,0.045,-491.377,-6369.849
1037.039,0.059,0.045,-648.436,-22377.260
1014.988,0.073,0.045,-626.371,-18756.214
1175.156,0.088,0.045,-786.523,-67541.642
844.247,0.032,0.045,-455.670,-4787.084
778.302,0.030,0.045,-389.727,-2824.631
932.955,0.038,0.045,-544.373,-9733.193
850.850,0.061,0.045,-462.245,-5045.606
837.572,0.042,0.045,-448.986,-4537.836
849.948,0.056,0.045,-461.348,-5009.529
721.575,0.039,0.045,-332.991,-1794.071
940.876,0.053,0.045,-552.278,-10368.639
776.122,0.006,0.045,-387.572,-2776.352
717.280,0.048,0.045,-328.687,-1733.352
712.087,0.000,0.045,-323.543,-1663.465
813.582,0.015,0.045,-425.023,-3746.203
859.123,0.069,0.045,-470.509,-5390.461
827.134,0.024,0.045,-438.567,-4174.907
955.863,0.042,0.045,-567.276,-11690.420
812.955,0.006,0.045,-424.405,-3727.715
784.852,0.027,0.045,-396.281,-2976.676
791.394,0.013,0.045,-402.836,-3136.935
775.201,0.062,0.045,-386.595,-2754.722
743.890,0.041,0.045,-355.305,-2144.699
758.248,0.009,0.045,-369.695,-2406.359
698.139,0.000,0.045,-309.595,-1487.825
819.881,0.000,0.045,-431.337,-3940.283
738.604,0.000,0.045,-350.060,-2056.570
741.718,0.007,0.045,-353.167,-2108.321
760.981,0.000,0.045,-372.437,-2459.728
755.917,0.006,0.045,-367.366,-2361.947
763.633,0.060,0.045,-375.029,-2511.276
799.423,0.025,0.045,-410.854,-3344.737
906.258,0.007,0.045,-517.707,-7863.353
758.230,0.014,0.045,-369.672,-2405.923
781.749,0.021,0.045,-393.184,-2903.819
762.360,0.000,0.045,-373.816,-2487.016
673.058,0.039,0.045,-284.475,-1216.966
662.968,0.032,0.045,-274.393,-1122.659
747.748,0.050,0.045,-359.154,-2211.767
691.354,0.015,0.045,-302.794,-1409.044
930.776,0.039,0.045,-542.193,-9564.890
873.124,0.005,0.045,-484.575,-6032.501
724.198,0.057,0.045,-335.597,-1831.860
730.705,0.009,0.045,-342.152,-1930.494
792.137,0.005,0.045,-403.588,-3155.865
931.144,0.048,0.045,-542.551,-9592.386
878.588,0.063,0.045,-489.981,-6299.123
1079.856,0.084,0.045,-691.229,-31512.575
820.932,0.018,0.045,-432.370,-3972.988
740.629,0.023,0.045,-352.062,-2089.769
845.269,0.032,0.045,-456.693,-4826.398
781.497,0.055,0.045,-392.898,-2897.189
817.547,0.040,0.045,-428.963,-3866.148
725.348,0.023,0.045,-336.781,-1849.301
757.423,0.019,0.045,-368.860,-2390.350
836.452,0.021,0.045,-447.887,-4498.096
780.189,0.020,0.045,-391.625,-2867.838
757.289,0.052,0.045,-368.693,-2387.159
813.831,0.000,0.045,-425.287,-3754.121
767.797,0.014,0.045,-379.239,-2597.294
855.621,0.059,0.045,-467.018,-5241.998
883.989,0.055,0.045,-495.389,-6577.617
1098.702,0.097,0.045,-710.061,-36636.509
883.902,0.000,0.045,-495.358,-6575.955
713.779,0.023,0.045,-325.212,-1685.820
821.257,0.015,0.045,-432.698,-3983.424
754.718,0.060,0.045,-366.114,-2338.412
775.426,0.033,0.045,-386.849,-2760.338
733.048,0.021,0.045,-344.483,-1966.822
725.998,0.018,0.045,-337.436,-1859.013
764.827,0.047,0.045,-376.236,-2535.636
810.802,0.000,0.045,-422.258,-3664.238
735.653,0.055,0.045,-347.054,-2007.706
745.365,0.000,0.045,-356.821,-2170.869
793.873,0.032,0.045,-405.296,-3199.277
902.846,0.067,0.045,-514.235,-7647.950
918.628,0.064,0.045,-530.020,-8677.347
1022.003,0.115,0.045,-633.344,-19832.215
765.703,0.019,0.045,-377.139,-2554.032
708.529,0.016,0.045,-319.969,-1616.576
819.871,0.017,0.045,-431.309,-3939.420
779.588,0.050,0.045,-390.993,-2853.383
728.588,0.036,0.045,-340.007,-1897.651
692.448,0.020,0.045,-303.884,-1421.383
824.393,0.011,0.045,-435.838,-4084.752
1002.064,0.069,0.045,-613.450,-16914.289
950.976,0.012,0.045,-562.420,-11244.899
990.100,0.068,0.045,-601.488,-15370.680
957.675,0.017,0.045,-569.114,-11863.502
922.378,0.061,0.045,-533.773,-8941.846
924.721,0.081,0.045,-536.095,-9109.509
1030.375,0.097,0.045,-641.734,-21209.031
924.594,0.022,0.045,-536.028,-9104.632
860.973,0.032,0.045,-472.397,-5472.480
1025.498,0.042,0.045,-636.912,-20406.537
950.169,0.079,0.045,-561.546,-11166.568
1082.204,0.049,0.045,-693.611,-32118.849
845.048,0.063,0.045,-456.441,-4816.698
752.846,0.036,0.045,-364.266,-2304.093
