Loss,Payout,Premium,Wealth,Utility
671.727,169.853,199.950,-313.224,-1531.657
962.933,228.828,199.950,-545.455,-9817.796
971.048,174.829,199.950,-607.569,-16136.972
843.765,221.612,199.950,-433.503,-4009.153
817.187,122.505,199.950,-506.032,-7162.200
823.292,167.500,199.950,-467.142,-5247.200
1029.652,215.783,199.950,-625.220,-18584.268
982.828,234.657,199.950,-559.521,-10987.145
1218.118,228.917,199.950,-800.550,-75562.488
931.992,247.590,199.950,-495.752,-6596.743
758.375,200.733,199.950,-368.992,-2392.867
930.578,206.248,199.950,-535.681,-9079.377
812.672,220.591,199.950,-403.431,-3151.905
825.501,207.836,199.950,-429.015,-3867.782
815.298,229.809,199.950,-396.839,-2989.992
785.483,208.383,199.950,-388.450,-2795.912
1034.817,151.229,199.950,-694.939,-32461.886
815.119,118.288,199.950,-508.182,-7286.416
783.717,172.862,199.950,-422.204,-3662.672
843.485,127.060,199.950,-527.775,-8522.906
932.930,156.523,199.950,-587.757,-13771.670
807.341,223.045,199.950,-395.645,-2961.574
824.650,164.168,199.950,-471.832,-5447.826
841.133,130.241,199.950,-522.242,-8153.876
806.659,172.336,199.950,-445.673,-4419.118
779.517,159.190,199.950,-431.677,-3951.035
800.630,175.558,199.950,-436.423,-4103.914
835.461,168.317,199.950,-478.494,-5746.049
828.248,146.938,199.950,-492.661,-6435.590
708.432,162.909,199.950,-356.873,-2171.776
933.506,189.595,199.950,-555.262,-10619.098
929.828,140.011,199.950,-601.167,-15331.211
880.992,213.380,199.950,-478.962,-5767.596
890.556,112.270,199.950,-589.637,-13980.342
879.921,141.448,199.950,-549.824,-10167.030
1037.039,218.982,199.950,-629.407,-19217.407
1014.988,235.033,199.950,-591.305,-14168.137
1175.156,253.571,199.950,-732.935,-43993.276
844.247,187.354,199.950,-468.243,-5293.631
778.302,184.834,199.950,-404.818,-3187.074
932.955,194.202,199.950,-550.104,-10189.819
850.850,221.507,199.950,-440.694,-4246.556
837.572,198.172,199.950,-450.750,-4602.308
849.948,215.215,199.950,-446.083,-4433.648
721.575,195.715,199.950,-337.210,-1855.655
940.876,211.658,199.950,-540.567,-9441.325
776.122,155.411,199.950,-432.062,-3963.205
717.280,206.351,199.950,-322.280,-1646.736
712.087,126.533,199.950,-396.904,-2991.547
813.582,166.667,199.950,-458.266,-4887.510
859.123,231.268,199.950,-439.205,-4196.273
827.134,176.738,199.950,-461.747,-5025.540
955.863,198.947,199.950,-568.266,-11783.313
812.955,155.993,199.950,-468.312,-5296.558
784.852,180.950,199.950,-415.253,-3464.537
791.394,164.705,199.950,-438.039,-4157.322
775.201,222.301,199.950,-364.250,-2303.801
