Loss,Payout,Premium,Wealth,Utility
671.727,9.583,24.907,-304.463,-2100.216
962.933,37.471,24.907,-567.781,-29230.837
971.048,11.936,24.907,-601.431,-40924.345
843.765,34.058,24.907,-452.025,-9185.869
817.187,0.000,24.907,-459.506,-9899.418
823.292,8.471,24.907,-457.140,-9667.965
1029.652,31.302,24.907,-640.669,-60588.720
982.828,40.227,24.907,-584.920,-34695.584
1218.118,37.513,24.907,-822.924,-374896.711
931.992,46.343,24.907,-527.969,-19630.808
758.375,24.185,24.907,-376.508,-4316.720
930.578,26.793,24.907,-546.104,-23534.264
812.672,33.576,24.907,-421.415,-6763.696
825.501,27.544,24.907,-440.276,-8167.590
815.298,37.935,24.907,-419.682,-6647.493
785.483,27.803,24.907,-399.999,-5459.759
1034.817,0.777,24.907,-676.360,-86575.042
815.119,0.000,24.907,-457.438,-9696.823
783.717,11.006,24.907,-415.029,-6345.254
843.485,0.000,24.907,-485.804,-12877.137
932.930,3.280,24.907,-571.969,-30481.024
807.341,34.736,24.907,-414.923,-6338.537
824.650,6.895,24.907,-460.074,-9955.814
841.133,0.000,24.907,-483.452,-12577.828
806.659,10.757,24.907,-438.220,-8001.402
779.517,4.541,24.907,-417.295,-6490.674
800.630,12.281,24.907,-430.669,-7419.416
835.461,8.857,24.907,-468.923,-10876.953
828.248,0.000,24.907,-470.567,-11057.242
708.432,6.300,24.907,-344.451,-3132.804
933.506,18.918,24.907,-556.907,-26219.005
929.828,0.000,24.907,-572.147,-30535.271
880.992,30.166,24.907,-493.145,-13858.076
890.556,0.000,24.907,-532.875,-20618.037
879.921,0.000,24.907,-522.240,-18537.928
1037.039,32.815,24.907,-646.543,-64254.289
1014.988,40.405,24.907,-616.902,-47771.684
1175.156,49.171,24.907,-768.304,-217120.793
844.247,17.859,24.907,-468.707,-10853.485
778.302,16.667,24.907,-403.954,-5680.000
932.955,21.097,24.907,-554.177,-25513.016
850.850,34.009,24.907,-459.161,-9865.283
837.572,22.975,24.907,-456.917,-9646.364
849.948,31.034,24.907,-461.234,-10071.906
721.575,21.813,24.907,-342.081,-3059.425
940.876,29.352,24.907,-553.843,-25427.805
776.122,2.754,24.907,-415.687,-6387.146
717.280,26.842,24.907,-332.757,-2787.060
712.087,0.000,24.907,-354.406,-3460.723
813.582,8.077,24.907,-447.825,-8808.004
859.123,38.624,24.907,-462.817,-10232.690
827.134,12.839,24.907,-456.615,-9617.270
955.863,23.341,24.907,-574.841,-31369.097
812.955,3.029,24.907,-452.245,-9206.056
784.852,14.831,24.907,-412.341,-6176.932
791.394,7.149,24.907,-426.564,-7121.031
775.201,34.384,24.907,-383.136,-4612.511
743.890,22.540,24.907,-363.669,-3796.597
758.248,4.851,24.907,-395.716,-5230.876
698.139,0.000,24.907,-340.458,-3010.173
819.881,0.000,24.907,-462.200,-10169.722
738.604,0.000,24.907,-380.923,-4511.584
741.718,3.541,24.907,-380.496,-4492.324
760.981,0.000,24.907,-403.300,-5642.980
755.917,3.191,24.907,-395.044,-5195.846
763.633,33.383,24.907,-372.569,-4149.994
799.423,13.742,24.907,-428.000,-7224.025
906.258,3.710,24.907,-544.868,-23245.033
758.230,7.314,24.907,-393.234,-5102.640
781.749,11.562,24.907,-412.506,-6187.131
762.360,0.000,24.907,-404.679,-5721.342
673.058,21.353,24.907,-294.024,-1892.042
662.968,17.344,24.907,-287.944,-1780.422
747.748,27.536,24.907,-362.531,-3753.634
691.354,8.309,24.907,-325.363,-2588.423
930.776,21.526,24.907,-551.568,-24856.007
873.124,2.229,24.907,-513.214,-16937.901
724.198,31.582,24.907,-334.935,-2848.424
730.705,4.605,24.907,-368.419,-3981.280
792.137,2.188,24.907,-432.268,-7539.004
931.144,26.687,24.907,-546.775,-23692.731
878.588,34.856,24.907,-486.052,-12909.076
1079.856,46.611,24.907,-675.564,-85888.849
820.932,9.801,24.907,-453.451,-9317.740
740.629,12.592,24.907,-370.356,-4059.159
845.269,17.873,24.907,-469.716,-10963.529
781.497,30.648,24.907,-393.169,-5099.296
817.547,22.024,24.907,-437.842,-7971.207
725.348,12.394,24.907,-355.273,-3490.834
757.423,10.211,24.907,-389.531,-4917.131
836.452,11.513,24.907,-467.259,-10697.405
780.189,10.943,24.907,-411.565,-6129.203
757.289,28.750,24.907,-370.858,-4079.592
813.831,0.000,24.907,-456.150,-9572.724
767.797,7.564,24.907,-402.553,-5600.975
855.621,32.757,24.907,-465.183,-10477.703
883.989,30.636,24.907,-495.672,-14212.621
1098.702,53.971,24.907,-687.049,-96342.519
883.902,0.000,24.907,-526.221,-19290.714
713.779,12.411,24.907,-343.686,-3108.928
821.257,8.116,24.907,-455.461,-9506.939
754.718,33.195,24.907,-363.842,-3803.165
775.426,17.898,24.907,-399.847,-5451.468
733.048,11.595,24.907,-363.772,-3800.522
725.998,9.679,24.907,-358.638,-3610.307
764.827,26.249,24.907,-380.897,-4510.400
810.802,0.000,24.907,-453.121,-9287.082
735.653,30.332,24.907,-347.640,-3234.311
745.365,0.000,24.907,-387.684,-4827.161
793.873,17.872,24.907,-418.320,-6557.529
902.846,37.189,24.907,-507.975,-16073.467
918.628,35.854,24.907,-525.094,-19074.504
1022.003,64.081,24.907,-600.241,-40440.068
765.703,10.409,24.907,-397.613,-5331.014
708.529,8.632,24.907,-342.216,-3063.562
819.871,9.404,24.907,-452.786,-9255.991
779.588,27.907,24.907,-394.000,-5141.868
728.588,20.109,24.907,-350.798,-3338.080
692.448,10.810,24.907,-323.957,-2552.268
824.393,5.874,24.907,-460.838,-10032.122
1002.064,38.651,24.907,-605.732,-42722.737
950.976,6.293,24.907,-587.002,-35425.481
990.100,37.801,24.907,-594.619,-38229.217
957.675,9.355,24.907,-590.639,-36737.609
922.378,33.825,24.907,-530.872,-20209.159
924.721,45.300,24.907,-521.739,-18445.288
1030.375,54.103,24.907,-618.590,-48585.152
924.594,11.974,24.907,-554.939,-25708.186
860.973,17.476,24.907,-485.815,-12878.596
1025.498,23.074,24.907,-644.743,-63108.041
950.169,44.164,24.907,-548.324,-24062.620
1082.204,27.290,24.907,-697.233,-106670.168
845.048,34.772,24.907,-452.595,-9238.405
752.846,19.582,24.907,-375.583,-4276.954
915.596,34.749,24.907,-523.165,-18710.204
964.984,13.419,24.907,-593.883,-37949.209
949.277,41.467,24.907,-550.129,-24500.823
830.355,17.475,24.907,-455.198,-9482.023
842.250,11.672,24.907,-472.897,-11317.854
855.055,28.135,24.907,-469.239,-10911.361
1019.667,26.046,24.907,-635.940,-57789.936
1390.617,64.163,24.907,-968.773,-1611862.901
890.027,31.420,24.907,-500.925,-14979.292
786.327,15.973,24.907,-412.672,-6197.455
910.698,20.194,24.907,-532.822,-20607.173
947.081,42.839,24.907,-546.561,-23641.913
947.121,20.921,24.907,-568.519,-29447.341
860.798,35.623,24.907,-467.494,-10722.590
743.148,11.081,24.907,-374.386,-4226.067
893.418,21.993,24.907,-513.743,-17027.822
824.190,0.000,24.907,-466.509,-10617.481
780.890,38.316,24.907,-384.893,-4694.301
833.865,6.433,24.907,-469.750,-10967.297
815.102,37.159,24.907,-420.262,-6686.138
862.521,32.786,24.907,-472.054,-11222.905
929.000,28.307,24.907,-543.011,-22817.540
1171.254,47.541,24.907,-766.032,-212242.798
829.854,10.923,24.907,-461.250,-10073.615
726.496,10.470,24.907,-358.345,-3599.743
823.489,20.370,24.907,-445.438,-8600.318
769.752,18.796,24.907,-393.275,-5104.732
687.548,16.930,24.907,-312.938,-2285.970
760.488,8.915,24.907,-393.892,-5136.302
942.203,25.627,24.907,-558.895,-26745.332
930.043,24.201,24.907,-548.161,-24023.337
930.689,26.166,24.907,-546.842,-23708.447
842.113,24.805,24.907,-459.627,-9911.364
908.151,30.140,24.907,-520.329,-18187.006
943.939,37.204,24.907,-549.053,-24238.597
947.707,39.286,24.907,-550.740,-24650.962
1375.049,61.248,24.907,-956.120,-1420286.361
927.628,13.476,24.907,-556.471,-26104.903
822.626,13.203,24.907,-451.742,-9159.937
980.952,17.403,24.907,-605.869,-42781.250
895.142,26.218,24.907,-511.243,-16607.281
827.548,23.687,24.907,-446.180,-8664.338
756.846,11.915,24.907,-387.250,-4806.236
