Loss,Payout,Premium,Wealth,Utility
671.727,0.013,0.032,-283.154,-1204.168
962.933,0.048,0.032,-574.324,-12368.499
971.048,0.015,0.032,-582.472,-13201.595
843.765,0.043,0.032,-455.161,-4767.604
817.187,0.000,0.032,-428.627,-3855.771
823.292,0.011,0.032,-434.720,-4048.397
1029.652,0.040,0.032,-641.052,-21093.705
982.828,0.051,0.032,-594.216,-14501.996
1218.118,0.048,0.032,-829.509,-95262.127
931.992,0.059,0.032,-543.373,-9655.622
758.375,0.031,0.032,-369.783,-2408.063
930.578,0.034,0.032,-541.984,-9548.914
812.672,0.043,0.032,-424.069,-3717.717
825.501,0.035,0.032,-436.905,-4119.786
815.298,0.048,0.032,-426.689,-3796.474
785.483,0.035,0.032,-396.887,-2991.135
1034.817,0.001,0.032,-646.255,-21990.280
815.119,0.000,0.032,-426.559,-3792.513
783.717,0.014,0.032,-395.142,-2949.667
843.485,0.000,0.032,-454.924,-4758.597
932.930,0.005,0.032,-544.365,-9732.573
807.341,0.044,0.032,-418.736,-3562.436
824.650,0.009,0.032,-436.081,-4092.695
841.133,0.000,0.032,-452.573,-4669.905
806.659,0.014,0.032,-418.084,-3543.913
779.517,0.006,0.032,-390.951,-2852.407
800.630,0.016,0.032,-412.054,-3377.008
835.461,0.012,0.032,-446.889,-4462.326
828.248,0.000,0.032,-439.688,-4212.510
708.432,0.008,0.032,-319.863,-1615.206
933.506,0.024,0.032,-544.922,-9776.008
929.828,0.000,0.032,-541.267,-9494.343
880.992,0.038,0.032,-492.393,-6421.838
890.556,0.000,0.032,-501.996,-6934.599
879.921,0.000,0.032,-491.361,-6369.017
1037.039,0.042,0.032,-648.437,-22377.435
1014.988,0.051,0.032,-626.376,-18756.954
1175.156,0.062,0.032,-786.533,-67546.779
844.247,0.023,0.032,-455.664,-4786.823
778.302,0.021,0.032,-389.720,-2824.463
932.955,0.027,0.032,-544.368,-9732.794
850.850,0.043,0.032,-462.247,-5045.670
837.572,0.029,0.032,-448.982,-4537.685
849.948,0.040,0.032,-461.348,-5009.531
721.575,0.028,0.032,-332.986,-1794.003
940.876,0.037,0.032,-552.278,-10368.571
776.122,0.004,0.032,-387.558,-2776.026
717.280,0.034,0.032,-328.685,-1733.323
712.087,0.000,0.032,-323.527,-1663.248
813.582,0.011,0.032,-425.011,-3745.846
859.123,0.049,0.032,-470.513,-5390.634
827.134,0.017,0.032,-438.557,-4174.592
955.863,0.030,0.032,-567.272,-11690.050
812.955,0.004,0.032,-424.390,-3727.281
784.852,0.019,0.032,-396.273,-2976.476
791.394,0.009,0.032,-402.824,-3136.624
775.201,0.044,0.032,-386.597,-2754.761
743.890,0.029,0.032,-355.301,-2144.624
758.248,0.007,0.032,-369.681,-2406.098
698.139,0.000,0.032,-309.578,-1487.632
819.881,0.000,0.032,-431.320,-3939.769
738.604,0.000,0.032,-350.044,-2056.301
741.718,0.005,0.032,-353.152,-2108.081
760.981,0.000,0.032,-372.420,-2459.406
755.917,0.004,0.032,-367.352,-2361.674
763.633,0.042,0.032,-375.030,-2511.302
799.423,0.018,0.032,-410.845,-3344.498
906.258,0.005,0.032,-517.693,-7862.460
758.230,0.010,0.032,-369.660,-2405.686
781.749,0.015,0.032,-393.173,-2903.584
