Loss,Payout,Premium,Wealth,Utility
671.727,269.815,299.912,-313.224,-1531.657
962.933,328.790,299.912,-545.455,-9817.796
971.048,274.791,299.912,-607.569,-16136.972
843.765,321.574,299.912,-433.503,-4009.153
817.187,222.467,299.912,-506.032,-7162.200
823.292,267.462,299.912,-467.142,-5247.200
1029.652,315.745,299.912,-625.220,-18584.268
982.828,334.619,299.912,-559.521,-10987.145
1218.118,328.880,299.912,-800.550,-75562.488
931.992,347.552,299.912,-495.752,-6596.743
758.375,300.695,299.912,-368.992,-2392.867
930.578,306.210,299.912,-535.681,-9079.377
812.672,320.553,299.912,-403.431,-3151.905
825.501,307.798,299.912,-429.015,-3867.782
815.298,329.771,299.912,-396.839,-2989.992
785.483,308.345,299.912,-388.450,-2795.912
1034.817,251.191,299.912,-694.939,-32461.886
815.119,218.250,299.912,-508.182,-7286.416
783.717,272.825,299.912,-422.204,-3662.672
843.485,227.022,299.912,-527.775,-8522.906
932.930,256.486,299.912,-587.757,-13771.670
807.341,323.008,299.912,-395.645,-2961.574
824.650,264.130,299.912,-471.832,-5447.826
841.133,230.204,299.912,-522.242,-8153.876
806.659,272.298,299.912,-445.673,-4419.118
779.517,259.152,299.912,-431.677,-3951.035
800.630,275.520,299.912,-436.423,-4103.914
835.461,268.279,299.912,-478.494,-5746.049
828.248,246.900,299.912,-492.661,-6435.590
708.432,262.871,299.912,-356.873,-2171.776
933.506,289.557,299.912,-555.262,-10619.098
929.828,239.974,299.912,-601.167,-15331.211
880.992,313.342,299.912,-478.962,-5767.596
890.556,212.232,299.912,-589.637,-13980.342
879.921,241.410,299.912,-549.824,-10167.030
1037.039,318.944,299.912,-629.407,-19217.407
1014.988,334.995,299.912,-591.305,-14168.137
1175.156,353.533,299.912,-732.935,-43993.276
844.247,287.316,299.912,-468.243,-5293.631
778.302,284.796,299.912,-404.818,-3187.074
932.955,294.164,299.912,-550.104,-10189.819
850.850,321.469,299.912,-440.694,-4246.556
837.572,298.135,299.912,-450.750,-4602.308
849.948,315.177,299.912,-446.083,-4433.648
721.575,295.677,299.912,-337.210,-1855.655
940.876,311.621,299.912,-540.567,-9441.325
776.122,255.373,299.912,-432.062,-3963.205
717.280,306.313,299.912,-322.280,-1646.736
712.087,226.496,299.912,-396.904,-2991.547
813.582,266.629,299.912,-458.266,-4887.510
859.123,331.230,299.912,-439.205,-4196.273
827.134,276.700,299.912,-461.747,-5025.540
955.863,298.909,299.912,-568.266,-11783.313
812.955,255.955,299.912,-468.312,-5296.558
784.852,280.912,299.912,-415.253,-3464.537
791.394,264.667,299.912,-438.039,-4157.322
775.201,322.263,299.912,-364.250,-2303.801
743.890,297.216,299.912,-357.987,-2191.208
758.248,259.807,299.912,-409.754,-3315.430
698.139,249.302,299.912,-360.150,-2229.455
819.881,238.731,299.912,-492.463,-6425.415
738.604,224.097,299.912,-425.820,-3770.150
741.718,257.038,299.912,-395.992,-2969.807
760.981,234.701,299.912,-437.592,-4142.476
755.917,256.297,299.912,-410.932,-3346.825
763.633,320.146,299.912,-354.799,-2136.041
799.423,278.611,299.912,-432.125,-3965.205
906.258,257.394,299.912,-560.177,-11044.948
758.230,265.017,299.912,-404.525,-3179.609
781.749,274.000,299.912,-419.061,-3571.717
762.360,220.726,299.912,-452.946,-4683.875
673.058,294.705,299.912,-289.665,-1268.558
662.968,286.227,299.912,-288.054,-1252.309
747.748,307.781,299.912,-351.279,-2076.727
691.354,267.121,299.912,-335.545,-1831.103
930.776,295.072,299.912,-547.016,-9941.211
873.124,254.263,299.912,-530.173,-8688.013
724.198,316.337,299.912,-319.174,-1606.323
730.705,259.288,299.912,-382.729,-2670.843
792.137,254.177,299.912,-449.273,-4548.237
931.144,305.986,299.912,-536.470,-9136.857
878.588,323.261,299.912,-466.640,-5226.176
1079.856,348.121,299.912,-643.048,-21433.194
820.932,270.275,299.912,-461.970,-5034.502
740.629,276.178,299.912,-375.763,-2526.073
845.269,287.345,299.912,-469.237,-5335.879
781.497,314.361,299.912,-378.449,-2580.925
817.547,296.123,299.912,-432.736,-3984.628
725.348,275.760,299.912,-360.900,-2242.879
757.423,271.143,299.912,-397.593,-3008.071
836.452,273.895,299.912,-473.869,-5537.330
780.189,272.691,299.912,-418.810,-3564.560
757.289,310.348,299.912,-358.253,-2195.885
813.831,248.911,299.912,-476.233,-5643.043
767.797,265.544,299.912,-413.565,-3418.088
855.621,318.822,299.912,-448.112,-4506.203
883.989,314.337,299.912,-480.964,-5860.714
1098.702,363.685,299.912,-646.329,-22003.238
883.902,231.072,299.912,-564.142,-11400.922
713.779,275.796,299.912,-349.295,-2044.022
821.257,266.711,299.912,-465.858,-5193.592
754.718,319.749,299.912,-346.282,-1995.334
775.426,287.399,299.912,-399.339,-3050.405
733.048,274.069,299.912,-370.292,-2417.880
725.998,270.018,299.912,-367.292,-2360.555
764.827,305.060,299.912,-371.080,-2433.178
810.802,234.692,299.912,-487.422,-6171.478
735.653,313.694,299.912,-333.272,-1798.102
745.365,243.909,299.912,-412.769,-3396.382
793.873,287.343,299.912,-417.842,-3537.052
902.846,328.196,299.912,-485.963,-6099.823
918.628,325.371,299.912,-504.570,-7078.906
1022.003,385.065,299.912,-548.250,-10039.826
765.703,271.562,299.912,-405.454,-3203.317
708.529,267.803,299.912,-352.038,-2089.377
819.871,269.437,299.912,-461.747,-5025.528
779.588,308.565,299.912,-382.335,-2662.435
728.588,292.074,299.912,-347.826,-2020.140
692.448,272.410,299.912,-331.350,-1770.676
824.393,261.972,299.912,-473.734,-5531.329
1002.064,331.287,299.912,-582.089,-13161.213
950.976,262.857,299.912,-599.431,-15119.828
990.100,329.488,299.912,-571.924,-12133.304
957.675,269.333,299.912,-599.654,-15146.827
922.378,321.080,299.912,-512.610,-7549.172
924.721,345.348,299.912,-490.685,-6334.679
1030.375,363.965,299.912,-577.722,-12709.347
924.594,274.871,299.912,-561.036,-11121.128
860.973,286.507,299.912,-485.778,-6090.800
1025.498,298.344,299.912,-638.466,-20661.827
950.169,342.945,299.912,-518.537,-7915.748
