Loss,Payout,Premium,Wealth,Utility
671.727,2.202,5.215,-287.183,-1243.613
962.933,7.766,5.215,-572.824,-12220.982
971.048,2.672,5.215,-586.035,-13583.253
843.765,7.086,5.215,-454.337,-4736.305
817.187,0.000,5.215,-434.845,-4052.451
823.292,1.980,5.215,-438.970,-4188.396
1029.652,6.536,5.215,-640.775,-21047.035
982.828,8.316,5.215,-592.170,-14266.528
1218.118,7.775,5.215,-828.001,-94119.629
931.992,9.536,5.215,-540.114,-9407.153
758.375,5.116,5.215,-370.917,-2430.009
930.578,5.636,5.215,-542.601,-9596.168
812.672,6.989,5.215,-423.341,-3696.138
825.501,5.786,5.215,-437.374,-4135.245
815.298,7.859,5.215,-425.097,-3748.435
785.483,5.837,5.215,-397.304,-3001.127
1034.817,0.445,5.215,-652.030,-23030.065
815.119,0.000,5.215,-432.778,-3985.966
783.717,2.486,5.215,-398.889,-3039.421
843.485,0.000,5.215,-461.143,-5001.329
932.930,0.945,5.215,-549.644,-10152.373
807.341,7.221,5.215,-417.778,-3535.246
824.650,1.666,5.215,-440.643,-4244.820
841.133,0.000,5.215,-458.791,-4908.113
806.659,2.437,5.215,-421.880,-3653.192
779.517,1.196,5.215,-395.979,-2969.497
800.630,2.741,5.215,-415.548,-3472.740
835.461,2.057,5.215,-451.062,-4613.811
828.248,0.040,5.215,-445.866,-4425.955
708.432,1.547,5.215,-324.543,-1676.826
933.506,4.065,5.215,-547.100,-9947.859
929.828,0.000,5.215,-547.486,-9978.642
880.992,6.309,5.215,-492.342,-6419.186
890.556,0.000,5.215,-508.214,-7288.327
879.921,0.000,5.215,-497.580,-6693.896
1037.039,6.837,5.215,-647.860,-22274.418
1014.988,8.352,5.215,-624.294,-18447.192
1175.156,10.101,5.215,-782.713,-65514.056
844.247,3.853,5.215,-458.052,-4879.162
778.302,3.616,5.215,-392.345,-2884.394
932.955,4.500,5.215,-546.114,-9869.723
850.850,7.076,5.215,-461.433,-5012.941
837.572,4.874,5.215,-450.356,-4587.842
849.948,6.482,5.215,-461.124,-5000.577
721.575,4.642,5.215,-334.591,-1817.179
940.876,6.146,5.215,-552.387,-10377.682
776.122,0.840,5.215,-392.941,-2898.184
717.280,5.646,5.215,-329.293,-1741.766
712.087,0.000,5.215,-329.746,-1748.089
813.582,1.902,5.215,-429.339,-3877.804
859.123,7.997,5.215,-468.784,-5316.602
827.134,2.852,5.215,-441.941,-4289.135
955.863,4.947,5.215,-568.574,-11812.399
812.955,0.895,5.215,-429.718,-3889.600
784.852,3.249,5.215,-399.261,-3048.499
791.394,1.717,5.215,-407.335,-3251.903
775.201,7.151,5.215,-385.709,-2735.263
743.890,4.787,5.215,-356.761,-2169.824
758.248,1.258,5.215,-374.648,-2503.637
698.139,0.267,5.215,-315.531,-1560.182
819.881,0.000,5.215,-437.539,-4140.733
738.604,0.000,5.215,-356.263,-2161.191
741.718,0.997,5.215,-358.379,-2198.099
760.981,0.000,5.215,-378.639,-2584.859
755.917,0.927,5.215,-372.648,-2463.889
763.633,6.951,5.215,-374.341,-2497.488
799.423,3.032,5.215,-414.049,-3431.344
906.258,1.030,5.215,-522.886,-8196.011
758.230,1.750,5.215,-374.138,-2493.446
781.749,2.597,5.215,-396.810,-2989.300
762.360,0.000,5.215,-380.018,-2613.535
673.058,4.551,5.215,-286.166,-1233.537
662.968,3.751,5.215,-276.876,-1145.186
747.748,5.784,5.215,-359.622,-2220.063
691.354,1.948,5.215,-307.064,-1458.006
930.776,4.585,5.215,-543.849,-9692.474
873.124,0.735,5.215,-490.047,-6302.446
724.198,6.591,5.215,-335.265,-1827.001
730.705,1.209,5.215,-347.154,-2009.314
792.137,0.727,5.215,-409.068,-3297.299
931.144,5.615,5.215,-543.187,-9641.300
878.588,7.245,5.215,-489.002,-6249.961
1079.856,9.590,5.215,-687.925,-30690.573
820.932,2.246,5.215,-436.345,-4101.355
740.629,2.803,5.215,-355.485,-2147.785
845.269,3.856,5.215,-459.072,-4919.126
781.497,6.405,5.215,-392.751,-2893.778
817.547,4.684,5.215,-430.521,-3914.638
725.348,2.763,5.215,-340.243,-1901.235
757.423,2.328,5.215,-372.754,-2465.981
836.452,2.587,5.215,-451.523,-4630.872
780.189,2.474,5.215,-395.374,-2955.152
757.289,6.026,5.215,-368.921,-2391.516
813.831,0.230,5.215,-431.259,-3937.847
767.797,1.799,5.215,-383.656,-2690.718
855.621,6.826,5.215,-466.454,-5218.385
883.989,6.403,5.215,-495.244,-6569.991
1098.702,11.058,5.215,-705.302,-35267.847
883.902,0.000,5.215,-501.560,-6910.487
713.779,2.767,5.215,-328.670,-1733.117
821.257,1.910,5.215,-437.006,-4123.105
754.718,6.913,5.215,-365.463,-2326.264
775.426,3.861,5.215,-389.223,-2813.258
733.048,2.604,5.215,-348.103,-2024.616
725.998,2.222,5.215,-341.435,-1919.447
764.827,5.527,5.215,-376.958,-2550.333
810.802,0.000,5.215,-428.460,-3850.644
735.653,6.342,5.215,-346.969,-2006.343
745.365,0.000,5.215,-363.024,-2281.305
793.873,3.856,5.215,-407.675,-3260.749
902.846,7.710,5.215,-512.794,-7560.301
918.628,7.444,5.215,-528.843,-8596.046
1022.003,13.076,5.215,-626.585,-18788.440
765.703,2.367,5.215,-380.994,-2634.017
708.529,2.013,5.215,-324.175,-1671.896
819.871,2.167,5.215,-435.363,-4069.254
779.588,5.858,5.215,-391.388,-2862.407
728.588,4.302,5.215,-341.944,-1927.280
692.448,2.447,5.215,-307.659,-1464.966
824.393,1.462,5.215,-440.589,-4243.002
1002.064,8.002,5.215,-611.720,-16681.828
950.976,1.546,5.215,-567.088,-11672.814
990.100,7.832,5.215,-599.926,-15179.844
957.675,2.157,5.215,-573.176,-12255.442
922.378,7.039,5.215,-532.997,-8886.539
924.721,9.328,5.215,-533.050,-8890.311
1030.375,11.085,5.215,-636.948,-20412.440
924.594,2.679,5.215,-539.573,-9366.550
860.973,3.777,5.215,-474.854,-5581.116
1025.498,4.894,5.215,-638.262,-20628.180
950.169,9.102,5.215,-558.726,-10917.480
1082.204,5.735,5.215,-694.127,-32251.857
845.048,7.228,5.215,-455.479,-4779.743
752.846,4.197,5.215,-366.307,-2342.018
915.596,7.223,5.215,-526.030,-8404.792
