Utility,CEW,Insurer Risk,Premium,Eval Name,Model,a,b,Params,Method,Market Loading
-9574.351,-930.916,0.000,0.000,,,,,"{'epsilon_p': 0.01, 'c_k': 0.15, 'subsidy': 0, 'w_0': 388.6, 'premium_ub': 300, 'risk_coef': 0.008, 'S': 1, 'market_loading': 1}",No Insurance,
-10970.573,-947.932,415.264,184.299,,,,,"{'epsilon_p': 0.01, 'c_k': 0.15, 'subsidy': 0, 'w_0': 388.6, 'premium_ub': 300, 'risk_coef': 0.008, 'S': 1, 'market_loading': 1}",Chen constrained,1.000
-10362.243,-940.801,293.756,120.366,,,,,"{'epsilon_p': 0.01, 'c_k': 0.15, 'subsidy': 0, 'w_0': 388.6, 'premium_ub': 300, 'risk_coef': 0.008, 'S': 1, 'market_loading': 1}",Chen unconstrained,1.000
-9574.351,-930.916,0.000,0.000,,,,,"{'epsilon_p': 0.01, 'c_k': 0.15, 'subsidy': 0, 'w_0': 388.6, 'premium_ub': 300, 'risk_coef': 0.008, 'S': 1, 'market_loading': 1}",No Insurance,
-10088.902,-937.460,327.436,165.951,,,,,"{'epsilon_p': 0.01, 'c_k': 0.13, 'subsidy': 0, 'w_0': 388.6, 'premium_ub': 300, 'risk_coef': 0.008, 'S': 1, 'market_loading': 1}",Chen constrained,1.000
-10179.548,-938.578,284.258,124.705,,,,,"{'epsilon_p': 0.01, 'c_k': 0.13, 'subsidy': 0, 'w_0': 388.6, 'premium_ub': 300, 'risk_coef': 0.008, 'S': 1, 'market_loading': 1}",Chen unconstrained,1.000
-8197.416,-911.508,348.015,55.354,,,,,"{'epsilon_p': 0.01, 'c_k': 0, 'subsidy': 0, 'w_0': 388.6, 'premium_ub': 300, 'risk_coef': 0.008, 'S': 1, 'market_loading': 1.2414}",Chen constrained,1.241
-7701.761,-903.711,348.900,51.572,,,,,"{'epsilon_p': 0.01, 'c_k': 0, 'subsidy': 0, 'w_0': 388.6, 'premium_ub': 300, 'risk_coef': 0.008, 'S': 1, 'market_loading': 1.2414}",Chen unconstrained,1.241
-7601.242,-902.069,201.679,99.993,catch22_SVR_QYE_ub100_KeI,catch22_SVR_QYE,2.000,1540.920,"{'epsilon_p': 0.01, 'c_k': 0.13, 'subsidy': 0, 'w_0': 388.6, 'premium_ub': 100, 'risk_coef': 0.008, 'S': 1, 'market_loading': 1, 'P': 1404.0}",,1.000
-7584.426,-901.792,303.230,199.952,catch22_SVR_QYE_ub200_kFm,catch22_SVR_QYE,2.030,1466.430,"{'epsilon_p': 0.01, 'c_k': 0.13, 'subsidy': 0, 'w_0': 388.6, 'premium_ub': 200, 'risk_coef': 0.008, 'S': 1, 'market_loading': 1, 'P': 1404.0}",,1.000
-7584.426,-901.792,403.109,299.831,catch22_SVR_QYE_ub300_HQr,catch22_SVR_QYE,2.030,1366.550,"{'epsilon_p': 0.01, 'c_k': 0.13, 'subsidy': 0, 'w_0': 388.6, 'premium_ub': 300, 'risk_coef': 0.008, 'S': 1, 'market_loading': 1, 'P': 1404.0}",,1.000
-7050.696,-892.671,189.600,49.955,catch22_SVR_QYE_ub100_jfT,catch22_SVR_QYE,2.430,1923.960,"{'epsilon_p': 0.01, 'c_k': 0, 'subsidy': 0, 'w_0': 388.6, 'premium_ub': 100, 'risk_coef': 0.008, 'S': 1, 'market_loading': 1.2414, 'P': 1404.0}",,1.241
-7050.696,-892.671,189.600,49.955,catch22_SVR_QYE_ub200_c6Q,catch22_SVR_QYE,2.430,1923.960,"{'epsilon_p': 0.01, 'c_k': 0, 'subsidy': 0, 'w_0': 388.6, 'premium_ub': 200, 'risk_coef': 0.008, 'S': 1, 'market_loading': 1.2414, 'P': 1404.0}",,1.241
-7050.696,-892.671,189.600,49.955,catch22_SVR_QYE_ub300_78F,catch22_SVR_QYE,2.430,1923.960,"{'epsilon_p': 0.01, 'c_k': 0, 'subsidy': 0, 'w_0': 388.6, 'premium_ub': 300, 'risk_coef': 0.008, 'S': 1, 'market_loading': 1.2414, 'P': 1404.0}",,1.241
-10011.227,-936.494,321.303,165.100,,,,,"{'epsilon_p': 0.01, 'c_k': 0.13, 'subsidy': 0, 'w_0': 388.6, 'premium_ub': 100, 'risk_coef': 0.008, 'S': 1, 'market_loading': 1}",Chen constrained,1.000
-10278.219,-939.784,319.013,165.823,,,,,"{'epsilon_p': 0.01, 'c_k': 0.13, 'subsidy': 0, 'w_0': 388.6, 'premium_ub': 100, 'risk_coef': 0.008, 'S': 1, 'market_loading': 1}",Chen unconstrained,1.000
