,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
0,5.08,5.34,0.26,5.34,5.25,5.15,0.10,5.25,4.20,4.23,0.03,0.00,2.48,8.90,6.54,4.17,4.38
1,6.88,6.51,0.37,6.88,6.80,6.86,0.06,6.86,5.75,5.91,0.16,0.05,4.13,7.27,3.34,6.43,6.32
2,6.85,6.53,0.32,6.85,6.86,6.69,0.17,6.86,5.73,5.72,0.01,0.05,4.03,7.17,3.35,6.25,6.35
3,5.25,5.47,0.22,5.47,5.52,5.47,0.05,5.52,4.51,4.60,0.10,0.00,2.58,8.38,5.93,4.67,4.59
4,5.43,6.17,0.74,6.17,5.58,6.08,0.50,6.08,4.66,5.16,0.50,0.00,4.62,9.63,5.24,5.01,5.23
5,5.24,6.92,1.68,6.92,5.05,7.01,1.97,7.01,4.35,5.98,1.63,0.07,3.54,8.00,4.63,4.54,6.40
6,7.03,5.05,1.98,7.03,7.32,5.23,2.09,7.32,6.01,4.28,1.73,0.06,2.91,7.43,4.66,6.48,4.37
7,7.42,6.42,0.99,7.42,7.12,6.55,0.57,7.12,6.08,5.74,0.34,0.10,3.00,6.09,3.24,6.49,6.06
8,5.56,6.99,1.43,6.99,5.50,7.02,1.52,7.02,4.57,6.05,1.48,0.05,3.03,7.57,4.69,4.62,6.03
9,7.00,5.03,1.97,7.00,6.84,5.21,1.62,6.84,5.78,4.36,1.42,0.06,3.30,8.00,4.87,6.33,4.51
10,6.92,5.41,1.52,6.92,7.04,5.38,1.66,7.04,5.83,4.58,1.25,0.03,3.09,7.92,4.99,5.97,4.61
11,7.15,4.86,2.29,7.15,7.36,5.52,1.83,7.36,6.25,4.34,1.91,0.03,4.14,8.46,4.53,6.52,4.53
12,5.54,7.00,1.46,7.00,5.59,7.05,1.46,7.05,4.75,5.98,1.24,0.03,3.49,7.70,4.39,4.90,6.40
13,4.93,4.70,0.23,4.93,5.29,4.83,0.46,5.29,4.26,4.09,0.17,0.00,3.48,9.88,6.57,4.49,4.29
14,6.57,5.59,0.98,6.57,6.60,5.65,0.94,6.60,5.50,4.75,0.76,0.06,3.66,8.00,4.52,6.04,4.85
15,5.23,5.52,0.29,5.52,5.44,5.62,0.17,5.62,4.57,4.50,0.07,0.01,3.22,9.33,6.28,4.55,4.52
16,4.73,6.97,2.25,6.97,5.00,7.21,2.22,7.21,4.16,6.01,1.85,0.02,3.20,8.00,4.96,4.17,6.30
17,5.59,7.10,1.51,7.10,5.84,6.83,0.99,6.83,4.88,5.92,1.04,0.03,3.34,7.82,4.65,4.76,6.27
18,4.32,5.79,1.47,5.79,4.87,5.61,0.74,5.61,3.84,4.76,0.92,0.00,2.90,9.43,6.68,3.85,4.76
19,7.00,6.19,0.81,7.00,7.17,6.48,0.69,7.17,6.29,5.53,0.76,0.02,4.29,7.40,3.32,6.57,5.96
20,6.99,5.22,1.77,6.99,6.93,5.22,1.71,6.93,5.93,4.41,1.53,0.08,3.37,7.81,4.61,6.45,4.45
21,6.60,6.88,0.29,6.88,6.99,7.07,0.08,7.07,5.80,6.19,0.38,0.05,2.84,6.15,3.46,6.27,6.22
22,4.59,5.38,0.79,5.38,4.70,5.79,1.09,5.79,3.80,4.70,0.90,0.00,3.32,9.86,6.70,3.93,4.70
23,6.46,7.03,0.57,7.03,6.82,6.70,0.12,6.82,5.82,5.79,0.02,0.01,2.64,5.99,3.48,6.13,6.12
24,5.58,4.90,0.69,5.58,5.56,5.18,0.38,5.56,4.70,4.32,0.38,0.00,3.72,9.68,6.15,4.84,4.26
25,6.17,6.84,0.67,6.84,6.37,6.99,0.62,6.99,5.36,6.01,0.65,0.06,4.38,7.90,3.74,5.64,6.45
26,6.90,5.89,1.01,6.90,6.89,5.87,1.02,6.89,5.80,4.95,0.85,0.07,3.68,8.00,4.50,6.24,5.17
27,7.13,5.13,2.01,7.13,7.06,5.33,1.73,7.06,6.09,4.22,1.87,0.01,3.50,7.91,4.59,6.45,4.31
28,6.15,6.79,0.64,6.79,6.16,6.85,0.69,6.85,5.16,5.88,0.72,0.00,2.94,7.03,4.24,5.43,5.88
29,4.88,5.85,0.97,5.85,5.23,6.09,0.86,6.09,4.32,5.07,0.75,0.00,3.73,9.24,5.69,4.51,5.12
30,4.68,4.83,0.15,4.83,5.14,5.36,0.22,5.36,4.18,4.47,0.29,0.00,2.58,8.76,6.30,4.38,4.58
31,5.15,5.37,0.22,5.37,5.35,5.41,0.07,5.41,4.44,4.54,0.10,0.00,2.98,8.65,5.82,4.70,4.63
32,7.14,5.23,1.90,7.14,7.21,5.32,1.89,7.21,6.20,4.39,1.81,0.05,3.20,7.67,4.64,6.52,4.50
33,4.80,5.36,0.56,5.36,4.72,5.45,0.72,5.45,4.11,4.71,0.60,0.00,3.50,9.86,6.54,4.24,4.64
34,5.58,5.22,0.37,5.58,5.36,5.28,0.08,5.36,4.43,4.43,0.00,0.02,3.22,8.81,5.75,4.88,4.61
35,4.86,7.50,2.64,7.50,5.09,7.38,2.29,7.38,4.29,6.23,1.94,0.10,3.42,8.00,4.75,4.32,6.47
36,5.12,5.10,0.02,5.12,5.36,5.43,0.07,5.43,4.32,4.62,0.30,0.00,3.28,9.34,6.23,4.52,4.62
37,5.75,4.69,1.06,5.75,6.04,4.96,1.09,6.04,5.00,4.15,0.86,0.00,3.47,9.39,6.09,5.09,4.16
38,5.17,6.22,1.05,6.22,5.43,6.35,0.92,6.35,4.63,5.47,0.84,0.00,2.96,8.00,5.19,4.81,5.76
39,5.18,5.23,0.04,5.23,5.24,5.34,0.10,5.34,4.35,4.51,0.16,0.00,2.92,8.96,6.18,4.64,4.50
40,4.45,5.13,0.68,5.13,5.16,5.55,0.39,5.55,4.33,4.79,0.46,0.00,3.40,9.27,6.04,4.41,5.01
41,5.45,7.04,1.60,7.04,5.86,7.33,1.47,7.33,4.91,6.05,1.14,0.01,3.52,7.69,4.34,4.93,6.45
42,5.19,5.83,0.64,5.83,5.33,5.94,0.61,5.94,4.56,5.09,0.53,0.00,3.20,8.57,5.54,4.56,5.30
43,4.72,5.47,0.74,5.47,5.18,5.57,0.39,5.57,4.33,4.78,0.45,0.00,3.27,9.34,6.23,4.40,4.79
44,5.61,5.86,0.25,5.86,5.96,6.11,0.16,6.11,4.81,5.12,0.31,0.00,3.16,8.10,5.10,5.09,5.28
45,5.44,6.93,1.49,6.93,5.39,6.91,1.52,6.91,4.48,5.93,1.45,0.03,3.54,7.75,4.39,4.53,6.26
46,4.86,5.92,1.06,5.92,5.09,5.93,0.84,5.93,4.26,5.22,0.96,0.01,2.72,8.16,5.57,4.43,5.15
47,4.92,6.25,1.32,6.25,5.21,6.50,1.29,6.50,4.25,5.42,1.18,0.01,4.11,9.61,5.70,4.21,5.57
48,4.94,5.43,0.49,5.43,5.33,5.50,0.17,5.50,4.42,4.68,0.26,0.00,2.35,8.29,6.06,4.45,4.63
49,5.15,7.01,1.87,7.01,5.20,7.12,1.91,7.12,4.31,6.24,1.92,0.07,2.55,7.08,4.67,4.39,6.42
50,5.03,6.83,1.81,6.83,5.32,6.95,1.63,6.95,4.44,5.93,1.49,0.02,3.34,8.00,4.83,4.61,6.37
51,6.18,5.37,0.80,6.18,6.16,5.46,0.70,6.16,5.26,4.44,0.82,0.00,3.89,8.98,5.28,5.49,4.57
52,4.53,4.95,0.41,4.95,4.79,5.23,0.44,5.23,4.00,4.37,0.37,0.00,3.35,9.78,6.59,4.02,4.66
53,5.59,6.49,0.89,6.49,5.70,6.60,0.90,6.60,4.92,5.61,0.70,0.01,3.87,8.00,4.32,5.06,6.06
54,4.78,5.52,0.73,5.52,5.37,5.53,0.15,5.53,4.56,4.53,0.03,0.00,3.15,9.23,6.24,4.45,4.46
55,5.78,6.36,0.57,6.36,5.91,6.54,0.63,6.54,4.99,5.56,0.57,0.04,3.39,7.92,4.71,5.15,5.85
56,5.21,5.40,0.19,5.40,5.44,5.38,0.06,5.44,4.51,4.64,0.13,0.00,2.56,8.86,6.42,4.36,4.76
57,4.71,5.37,0.66,5.37,5.05,5.53,0.47,5.53,4.07,4.58,0.51,0.00,3.73,9.46,5.91,4.26,4.71
58,5.04,6.65,1.62,6.65,5.31,6.90,1.59,6.90,4.30,5.70,1.40,0.00,4.01,8.76,4.95,4.44,6.19
59,5.04,4.77,0.27,5.04,5.46,5.03,0.43,5.46,4.43,4.09,0.34,0.00,2.20,8.81,6.71,4.42,4.23
60,6.80,4.82,1.99,6.80,6.87,4.90,1.97,6.87,5.95,4.07,1.88,0.02,3.02,7.96,5.09,6.18,4.31
61,5.25,5.09,0.16,5.25,5.08,5.31,0.24,5.31,4.18,4.61,0.43,0.00,2.46,8.53,6.20,4.37,4.74
62,7.36,4.37,2.99,7.36,7.23,4.62,2.61,7.23,6.08,3.75,2.32,0.04,2.67,8.00,5.46,6.48,3.94
63,5.77,5.33,0.43,5.77,5.62,5.23,0.39,5.62,4.52,4.37,0.14,0.00,4.04,9.99,6.15,4.59,4.32
64,6.76,6.72,0.04,6.76,7.09,6.81,0.28,7.09,6.00,5.70,0.29,0.07,3.96,7.05,3.29,6.46,6.10
65,4.94,4.80,0.15,4.94,5.27,4.96,0.32,5.27,4.47,4.08,0.39,0.00,2.84,9.05,6.35,4.59,4.21
66,7.15,5.25,1.89,7.15,6.90,5.10,1.80,6.90,5.93,4.40,1.52,0.09,3.20,8.00,4.96,6.53,4.44
67,7.16,4.55,2.61,7.16,6.89,4.74,2.15,6.89,6.07,3.87,2.20,0.05,2.76,7.89,5.26,6.31,3.90
