,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,SemiVar0,SemiVar1,Max SemiVar,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,s_1,s_2,p1,p2
0,57.99,51.80,6.19,57.99,44.58,47.80,3.22,47.80,325.73,64.03,325.73,0.88,23.37,55.99,36.12,3261.81,25.18,30.08,18.46,17.88
1,52.85,51.01,1.85,52.85,44.82,44.99,0.17,44.99,184.62,169.80,184.62,0.77,16.09,48.33,34.65,3224.14,27.50,27.02,18.20,18.25
2,56.15,47.33,8.83,56.15,44.54,43.96,0.58,44.54,152.87,42.84,152.87,0.20,30.17,66.17,40.53,3600.16,24.41,26.16,19.79,19.03
3,48.79,51.47,2.67,51.47,44.38,44.43,0.05,44.43,69.14,177.35,177.35,0.77,23.33,54.26,34.43,3092.78,28.71,27.58,16.20,17.74
4,60.06,49.01,11.05,60.06,48.76,42.01,6.75,48.76,241.61,88.75,241.61,0.26,19.46,52.79,36.25,3332.64,29.79,25.38,17.98,17.59
5,52.10,51.77,0.33,52.10,44.63,45.41,0.78,45.41,198.58,151.41,198.58,0.98,18.14,51.14,35.72,3299.75,26.94,28.37,17.74,17.67
6,59.07,54.08,4.98,59.07,46.92,44.12,2.81,46.92,286.02,167.29,286.02,1.00,17.22,47.02,32.39,2980.55,30.97,26.71,16.36,16.80
7,51.96,50.74,1.21,51.96,41.44,44.91,3.47,44.91,147.05,198.10,198.10,0.26,29.80,68.04,42.72,3824.57,17.42,28.63,23.89,17.71
8,48.26,49.73,1.48,49.73,43.85,45.22,1.37,45.22,167.05,62.40,167.05,0.24,21.38,57.37,39.19,3598.33,25.02,26.52,20.01,19.35
9,52.06,58.90,6.84,58.90,44.34,44.23,0.11,44.34,171.41,244.95,244.95,0.81,21.99,56.89,38.19,3489.49,25.45,24.00,19.74,21.04
10,54.10,51.70,2.41,54.10,44.61,44.41,0.20,44.61,164.02,105.93,164.02,0.38,23.89,54.24,33.93,3034.84,28.17,28.48,16.86,16.17
11,50.81,56.83,6.02,56.83,43.79,46.56,2.77,46.56,214.75,489.44,489.44,0.94,23.20,56.37,36.65,3317.16,24.34,28.51,20.54,18.43
12,56.04,51.56,4.48,56.04,46.28,43.31,2.97,46.28,583.03,185.62,583.03,0.95,18.91,49.91,33.84,3100.68,30.21,25.89,16.27,17.12
13,53.64,56.20,2.56,56.20,44.07,46.73,2.65,46.73,207.71,266.73,266.73,0.62,29.41,61.25,36.25,3184.21,25.93,29.05,19.10,17.09
14,54.75,47.90,6.86,54.75,44.22,44.03,0.19,44.22,291.57,90.95,291.57,0.28,26.97,58.24,35.32,3127.08,27.02,27.56,17.52,17.30
15,49.51,48.65,0.87,49.51,45.06,44.15,0.92,45.06,165.90,171.37,171.37,0.65,28.21,61.08,37.11,3287.71,26.74,27.37,18.05,17.47
16,51.16,50.91,0.25,51.16,44.08,44.52,0.44,44.52,129.93,168.39,168.39,0.97,18.94,49.54,33.44,3059.91,26.72,27.44,18.13,17.41
17,53.98,56.97,2.99,56.97,45.45,43.35,2.10,45.45,155.40,524.02,524.02,0.93,24.78,56.73,35.67,3194.76,27.35,25.28,19.26,18.83
18,49.66,58.93,9.27,58.93,44.73,44.45,0.28,44.73,97.53,492.19,492.19,1.00,27.45,59.95,36.62,3250.61,26.71,26.42,19.23,17.37
19,52.57,49.43,3.14,52.57,44.03,45.20,1.16,45.20,232.31,129.54,232.31,0.41,31.77,63.81,36.81,3204.16,25.94,28.20,18.76,17.31
20,54.20,53.89,0.30,54.20,42.30,46.04,3.74,46.04,369.82,156.18,369.82,0.97,29.99,60.90,35.40,3090.33,26.21,29.25,16.73,17.68
21,50.39,55.04,4.64,55.04,43.79,45.82,2.03,45.82,175.40,120.09,175.40,0.77,29.23,62.25,37.40,3301.79,26.02,27.92,17.75,18.62
22,51.20,49.00,2.20,51.20,43.17,45.63,2.46,45.63,218.07,48.91,218.07,0.48,33.02,63.78,35.71,3075.16,25.48,27.94,18.28,18.80
23,53.03,50.49,2.54,53.03,44.72,44.62,0.10,44.72,240.87,162.08,240.87,0.46,24.63,59.45,38.51,3481.55,25.54,25.96,20.43,18.56
24,53.12,55.38,2.26,55.38,44.56,45.31,0.75,45.31,153.64,132.50,153.64,0.60,26.37,62.08,39.66,3570.74,25.17,26.20,19.78,19.70
25,54.14,52.36,1.78,54.14,44.24,45.34,1.10,45.34,160.08,139.72,160.08,0.93,24.92,56.76,35.58,3184.14,27.15,26.94,17.83,18.71
26,51.67,50.81,0.85,51.67,43.65,47.29,3.63,47.29,274.88,83.51,274.88,0.24,20.86,53.65,35.92,3278.62,25.39,29.26,18.78,19.12
27,52.76,52.11,0.64,52.76,43.01,47.21,4.20,47.21,262.93,104.09,262.93,1.00,19.74,52.30,35.51,3255.33,24.51,29.51,19.50,18.72
28,48.39,48.68,0.29,48.68,44.59,44.90,0.30,44.90,75.33,126.74,126.74,0.99,29.41,60.50,35.50,3109.13,27.18,27.72,17.98,17.22
29,53.38,50.37,3.01,53.38,46.01,43.00,3.01,46.01,252.62,228.04,252.62,0.54,28.65,59.42,35.06,3076.68,28.64,25.19,18.04,18.12
30,48.57,51.14,2.57,51.14,42.48,45.52,3.04,45.52,154.84,139.07,154.84,1.00,27.96,60.86,37.09,3290.07,25.05,27.25,18.94,18.34
31,53.62,47.19,6.43,53.62,43.78,44.61,0.83,44.61,177.59,121.17,177.59,0.65,26.60,61.57,38.96,3496.64,24.62,26.14,19.18,18.62
32,54.63,48.74,5.89,54.63,43.62,44.34,0.72,44.34,255.41,119.41,255.41,0.24,24.61,57.28,36.36,3266.46,26.35,26.96,17.94,18.49
33,54.46,54.08,0.39,54.46,46.60,44.18,2.42,46.60,150.64,542.64,542.64,0.22,21.97,53.03,34.36,3106.14,29.22,26.75,17.56,18.19
34,55.61,53.13,2.48,55.61,45.04,43.97,1.06,45.04,242.99,155.95,242.99,1.00,27.47,59.44,36.09,3196.43,27.73,26.57,18.20,17.96
35,49.23,55.48,6.25,55.48,42.54,47.46,4.92,47.46,123.30,161.19,161.19,0.95,21.81,53.38,34.84,3156.35,24.46,29.23,18.77,18.96
36,48.80,58.59,9.80,58.59,45.27,44.13,1.14,45.27,35.45,212.82,212.82,1.00,22.52,55.18,36.03,3265.68,26.76,26.32,19.65,18.10
