,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
0,29.93,35.96,6.02,35.96,26.03,27.67,1.64,27.67,23.68,26.03,2.35,0.05,33.44,65.76,34.00,26.58,27.99
1,33.83,33.48,0.35,33.83,28.02,27.07,0.95,28.02,24.61,24.45,0.16,0.07,20.33,53.04,33.73,27.68,26.15
2,31.94,33.41,1.47,33.41,27.35,28.81,1.46,28.81,24.37,25.23,0.87,0.02,19.63,50.83,32.19,26.25,29.00
3,28.63,34.52,5.89,34.52,25.23,26.05,0.82,26.05,22.13,24.19,2.07,0.06,23.40,56.02,33.79,26.37,26.49
4,35.53,33.72,1.81,35.53,25.89,26.32,0.43,26.32,23.83,24.87,1.04,0.07,22.38,56.56,35.30,25.61,27.64
5,35.69,28.41,7.29,35.69,26.32,24.62,1.70,26.32,24.04,22.24,1.80,0.04,23.83,57.80,35.17,25.73,25.62
6,35.10,33.81,1.29,35.10,26.74,25.67,1.07,26.74,24.44,23.82,0.62,0.09,29.12,62.77,35.10,26.49,26.15
7,31.72,35.28,3.56,35.28,26.25,24.97,1.28,26.25,23.60,23.27,0.33,0.07,19.81,51.66,32.84,27.29,24.89
8,34.49,30.61,3.88,34.49,26.56,26.71,0.15,26.71,24.50,24.52,0.02,0.07,34.72,67.25,34.27,27.03,27.88
9,36.80,34.46,2.34,36.80,27.21,27.91,0.71,27.91,25.57,24.55,1.02,0.03,22.47,54.22,32.86,26.98,29.00
10,35.21,37.27,2.06,37.27,28.50,28.56,0.05,28.56,25.41,25.30,0.11,0.07,23.46,53.61,31.32,28.21,29.22
11,32.38,34.66,2.27,34.66,27.87,25.71,2.16,27.87,24.52,23.71,0.81,0.04,27.00,59.13,33.48,28.31,26.24
12,33.19,33.42,0.23,33.42,26.60,27.16,0.56,27.16,24.32,24.34,0.02,0.02,35.22,68.09,34.63,26.96,28.03
13,39.07,31.62,7.45,39.07,26.01,22.92,3.10,26.01,24.75,20.59,4.16,0.08,29.70,66.38,38.17,26.01,22.62
14,34.00,34.19,0.19,34.19,25.50,26.96,1.45,26.96,23.41,24.39,0.98,0.08,22.69,56.60,35.04,26.28,26.84
15,32.20,34.79,2.59,34.79,29.27,26.08,3.19,29.27,25.22,23.96,1.26,0.05,27.21,57.17,31.32,30.53,26.08
16,33.06,29.45,3.62,33.06,26.04,24.89,1.15,26.04,24.28,23.09,1.19,0.03,33.78,67.77,35.68,26.63,25.63
17,35.15,34.67,0.48,35.15,25.85,27.27,1.43,27.27,24.58,25.36,0.78,0.10,23.35,54.88,32.69,26.16,28.46
18,38.43,35.72,2.71,38.43,28.74,27.20,1.54,28.74,25.60,24.53,1.07,0.11,17.78,49.84,32.95,28.63,26.95
19,36.84,33.49,3.36,36.84,29.69,26.58,3.10,29.69,26.65,23.65,3.01,0.04,24.43,56.44,33.24,28.50,27.64
20,32.05,30.93,1.12,32.05,26.83,25.62,1.21,26.83,24.10,23.60,0.50,0.04,19.68,51.68,32.98,27.58,26.26
