,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,SemiVar0,SemiVar1,Max SemiVar,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,s_1,s_2,p1,p2
0,8.73,9.07,0.34,9.07,8.78,8.76,0.02,8.78,2.97,0.70,2.97,0.58,5.46,11.33,6.69,586.72,4.68,4.51,3.51,3.59
1,8.89,8.50,0.39,8.89,8.99,8.58,0.41,8.99,1.58,2.11,2.11,0.44,8.25,13.62,6.61,536.89,6.27,4.56,2.14,3.44
2,7.99,8.83,0.84,8.83,8.30,8.94,0.63,8.94,2.86,1.80,2.86,0.61,7.51,13.81,7.43,630.12,4.18,4.91,3.56,3.30
3,8.37,8.60,0.23,8.60,8.74,8.82,0.08,8.82,2.03,1.61,2.03,0.64,6.49,11.31,5.80,482.23,4.35,6.01,3.69,2.28
4,8.48,8.85,0.37,8.85,9.05,8.91,0.14,9.05,2.27,0.89,2.27,0.81,5.37,10.34,5.78,497.51,5.63,4.13,2.74,4.02
5,8.86,8.64,0.22,8.86,8.85,8.91,0.06,8.91,1.16,1.76,1.76,0.93,4.90,8.05,3.88,314.81,6.09,6.11,2.19,2.21
6,8.66,9.21,0.55,9.21,9.03,9.04,0.01,9.04,1.62,1.04,1.62,0.69,6.53,11.70,6.16,517.63,5.64,4.66,2.64,3.54
7,8.91,8.79,0.12,8.91,9.09,8.90,0.19,9.09,1.41,1.30,1.41,0.81,7.86,12.66,5.98,479.63,6.16,4.70,2.26,3.61
8,9.01,8.81,0.21,9.01,9.17,8.84,0.32,9.17,0.89,1.18,1.18,0.81,5.77,10.27,5.37,450.04,6.38,4.16,2.06,3.71
9,8.86,9.21,0.35,9.21,9.00,8.96,0.04,9.00,1.07,1.14,1.14,0.81,6.17,9.20,3.96,303.22,6.45,6.26,1.92,2.22
10,8.87,9.00,0.13,9.00,9.17,8.88,0.29,9.17,1.44,0.85,1.44,0.81,6.51,11.91,6.38,539.97,5.07,4.54,3.20,3.60
11,8.54,8.57,0.03,8.57,8.89,9.01,0.12,9.01,1.99,1.47,1.99,0.79,6.47,11.04,5.54,456.94,4.30,6.03,3.71,2.22
12,8.96,8.29,0.67,8.96,9.07,8.38,0.69,9.07,0.78,2.80,2.80,0.76,6.12,12.12,6.92,599.95,4.58,4.10,3.61,3.70
13,9.06,9.16,0.10,9.16,9.19,9.39,0.20,9.39,1.24,0.86,1.24,0.92,6.44,11.68,6.21,524.26,4.81,4.73,3.64,3.49
14,9.12,8.53,0.59,9.12,9.03,8.97,0.06,9.03,0.84,2.38,2.38,0.63,7.99,13.42,6.63,543.00,4.82,4.96,3.41,3.10
15,8.29,8.29,0.00,8.29,8.35,8.83,0.49,8.83,2.75,2.21,2.75,0.69,6.90,11.46,5.59,455.58,5.63,5.82,2.55,2.64
16,8.52,8.67,0.15,8.67,8.97,9.07,0.10,9.07,1.76,1.46,1.76,0.66,8.92,13.31,5.72,438.39,6.13,4.79,2.17,3.39
17,8.47,8.49,0.02,8.49,8.83,8.72,0.11,8.83,3.52,2.48,3.52,0.65,7.74,14.00,7.42,625.89,4.59,4.56,3.64,3.41
18,9.03,8.84,0.19,9.03,9.26,8.82,0.44,9.26,2.05,2.12,2.12,0.54,6.45,12.48,6.99,602.55,4.65,4.68,3.56,3.45
19,8.35,9.21,0.86,9.21,8.69,9.25,0.55,9.25,3.75,0.91,3.75,0.77,6.70,11.82,6.12,511.45,4.37,5.81,3.68,2.62
20,9.26,8.90,0.36,9.26,9.41,9.17,0.24,9.41,0.69,1.49,1.49,0.85,6.75,10.81,5.07,406.06,6.43,4.82,2.23,3.67
21,8.69,8.65,0.03,8.69,8.98,9.16,0.18,9.16,2.59,1.32,2.59,0.66,7.90,13.01,6.29,510.92,6.03,4.46,2.17,3.84
22,9.09,8.85,0.24,9.09,9.04,8.92,0.13,9.04,1.28,1.12,1.28,0.62,7.19,11.62,5.52,443.76,4.70,6.44,3.52,2.06
23,8.94,8.86,0.08,8.94,9.20,9.02,0.18,9.20,0.84,1.15,1.15,0.84,6.74,11.22,5.49,448.08,6.43,4.36,2.00,3.80
24,8.84,8.82,0.03,8.84,8.97,8.90,0.06,8.97,1.85,1.27,1.85,0.66,4.11,9.29,5.80,517.95,6.00,4.33,2.32,3.62
25,9.00,9.14,0.14,9.14,9.38,9.08,0.31,9.38,1.71,0.54,1.71,0.54,8.84,14.68,7.16,583.17,4.87,4.57,3.34,3.50
26,9.15,8.85,0.30,9.15,9.25,9.00,0.25,9.25,0.88,0.52,0.88,0.79,5.63,9.63,4.84,399.41,6.46,4.99,2.14,3.38
27,8.65,8.56,0.09,8.65,8.84,8.69,0.15,8.84,0.67,2.37,2.37,0.68,6.41,12.65,7.20,623.83,4.79,4.27,3.36,3.70
28,8.66,8.78,0.12,8.78,8.94,8.98,0.04,8.98,1.89,1.42,1.89,0.88,6.81,11.21,5.42,440.07,6.16,4.95,2.22,3.11
29,8.93,9.10,0.17,9.10,9.13,8.95,0.19,9.13,1.43,0.96,1.43,0.68,6.80,11.25,5.48,445.54,5.34,5.93,3.05,2.30
30,8.99,8.86,0.14,8.99,9.05,9.08,0.03,9.08,0.76,1.13,1.13,0.63,8.82,13.53,6.04,471.59,6.21,4.48,2.03,3.71
31,8.79,9.22,0.43,9.22,9.04,9.09,0.05,9.09,1.01,1.07,1.07,0.95,8.28,13.08,6.04,480.27,5.31,4.86,2.90,3.59
32,9.13,8.82,0.30,9.13,8.98,8.83,0.15,8.98,0.95,1.22,1.22,0.83,5.87,9.74,4.74,386.33,6.46,4.73,1.98,3.38
33,8.74,8.55,0.19,8.74,9.07,8.65,0.42,9.07,1.61,1.57,1.61,0.68,6.28,11.55,6.21,526.84,6.29,4.21,2.21,3.75
34,8.86,8.92,0.06,8.92,9.00,8.85,0.15,9.00,0.90,0.68,0.90,0.67,6.57,10.12,4.54,355.59,5.82,6.22,2.32,2.29
35,8.57,8.79,0.22,8.79,8.84,8.72,0.12,8.84,1.28,0.62,1.28,0.79,7.71,12.76,6.21,505.08,6.29,3.99,2.18,3.98
36,8.94,8.91,0.04,8.94,8.89,9.12,0.24,9.12,1.08,1.08,1.08,0.65,6.55,12.18,6.61,562.96,4.62,5.10,3.58,3.26
37,8.59,8.30,0.30,8.59,8.84,8.77,0.07,8.84,1.33,2.03,2.03,0.77,8.70,14.96,7.56,625.64,4.65,4.03,3.65,3.93
38,8.32,8.91,0.59,8.91,9.06,9.27,0.21,9.27,2.19,2.34,2.34,0.88,6.97,11.37,5.44,439.80,5.40,5.66,2.82,2.50
39,9.00,8.64,0.36,9.00,8.99,8.93,0.06,8.99,1.16,0.81,1.16,0.72,5.81,10.06,5.12,424.91,4.74,6.24,3.52,2.18
40,9.09,9.01,0.08,9.09,9.33,9.04,0.29,9.33,1.86,0.94,1.86,0.55,6.98,12.65,6.71,566.31,5.06,4.40,3.36,3.70
41,9.33,8.93,0.40,9.33,9.23,8.81,0.42,9.23,1.20,1.14,1.20,0.71,7.30,13.12,6.92,582.20,4.72,4.83,3.51,3.41
42,8.95,8.51,0.43,8.95,9.28,8.90,0.37,9.28,0.97,1.80,1.80,0.82,6.96,12.39,6.47,542.26,4.76,4.59,3.49,3.39
43,8.69,8.44,0.25,8.69,8.96,8.49,0.47,8.96,1.41,2.26,2.26,0.66,6.67,12.65,6.98,597.83,4.77,4.69,3.38,3.29
44,8.66,9.07,0.41,9.07,8.86,9.12,0.27,9.12,1.41,0.72,1.41,0.87,7.43,13.00,6.68,556.80,4.61,4.73,3.56,3.72
45,9.03,8.93,0.10,9.03,8.90,8.89,0.01,8.90,1.28,0.60,1.28,0.80,4.91,7.85,3.67,293.78,6.47,6.23,2.12,2.11
46,9.10,8.43,0.67,9.10,9.31,8.80,0.51,9.31,2.50,2.12,2.50,0.61,9.72,15.33,7.06,560.53,5.53,4.46,2.82,3.56
47,8.44,8.75,0.31,8.75,8.74,8.84,0.10,8.84,1.70,1.82,1.82,0.69,5.63,11.60,6.82,597.22,4.65,4.67,3.60,3.51
