,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,s_1,s_2
0,5.32,6.99,1.67,6.99,4.52,6.02,1.50,0.03,6.72,11.77,6.06,504.97,4.55,6.07
1,5.26,5.22,0.05,5.26,4.27,4.36,0.09,0.00,6.74,12.64,6.91,590.08,4.55,4.42
2,7.28,7.10,0.18,7.28,5.82,6.09,0.27,0.11,7.36,10.01,3.75,264.45,6.35,6.46
3,7.34,5.05,2.28,7.34,6.19,4.27,1.92,0.02,6.73,11.93,6.21,520.08,6.55,4.43
4,5.22,6.54,1.31,6.54,4.27,5.56,1.29,0.01,8.78,13.81,6.35,503.51,4.43,6.01
5,6.21,7.10,0.88,7.10,5.21,6.08,0.87,0.04,6.64,10.32,4.67,367.27,5.39,6.45
6,5.06,5.50,0.44,5.50,4.26,4.77,0.51,0.00,7.37,13.34,7.08,597.76,4.17,4.72
7,5.29,5.85,0.56,5.85,4.31,5.03,0.73,0.00,7.48,12.74,6.38,525.29,4.61,5.36
8,6.69,5.46,1.23,6.69,5.72,4.64,1.07,0.04,6.26,10.65,5.33,438.77,5.94,4.69
9,6.67,6.64,0.02,6.67,5.60,5.57,0.03,0.04,7.40,10.52,4.23,312.30,5.90,6.08
10,5.52,5.93,0.40,5.93,4.52,5.03,0.51,0.00,7.69,13.13,6.59,543.76,4.86,5.08
11,4.94,7.20,2.26,7.20,4.22,6.21,1.99,0.11,7.24,11.86,5.70,461.75,4.32,6.42
12,4.76,5.58,0.82,5.58,4.09,4.67,0.57,0.00,7.53,14.21,7.81,668.03,3.88,4.72
13,7.02,5.33,1.69,7.02,5.94,4.34,1.60,0.04,7.96,12.94,6.18,498.28,6.25,4.45
14,5.06,5.62,0.56,5.62,4.26,4.76,0.49,0.00,6.15,12.62,7.40,647.32,4.18,4.75
15,7.02,5.66,1.36,7.02,5.88,4.67,1.21,0.00,8.79,13.29,5.82,449.62,6.18,4.68
16,5.75,5.53,0.22,5.75,4.82,4.67,0.15,0.00,7.74,13.44,6.87,570.64,4.72,4.68
17,6.82,5.67,1.15,6.82,5.67,4.66,1.00,0.02,7.28,11.56,5.37,428.30,6.14,5.01
18,5.63,5.32,0.31,5.63,4.56,4.31,0.25,0.00,6.96,12.08,6.17,512.60,4.65,4.44
19,4.95,5.91,0.97,5.91,4.19,4.97,0.78,0.00,8.19,14.46,7.51,627.82,4.34,5.10
20,6.80,6.97,0.16,6.97,5.94,5.82,0.12,0.04,9.33,12.77,4.84,344.19,6.16,6.19
