,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,SemiVar0,SemiVar1,Max SemiVar,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,s_1,s_2,p1,p2
0,50.54,57.51,6.98,57.51,46.77,47.12,0.35,47.12,123.21,221.63,221.63,0.91,54.03,86.97,41.04,3293.19,27.88,27.24,18.74,20.18
1,52.08,53.74,1.66,53.74,49.20,48.56,0.64,49.20,61.54,71.74,71.74,0.93,47.96,78.31,37.55,3035.09,28.86,29.89,20.83,20.83
2,54.79,53.70,1.09,54.79,46.95,46.54,0.41,46.95,234.93,135.91,234.93,0.46,56.50,89.93,41.90,3342.93,28.44,26.32,18.73,20.88
3,53.19,50.97,2.22,53.19,47.95,47.36,0.58,47.95,154.05,74.58,154.05,0.42,56.32,89.90,42.03,3358.08,27.90,28.47,20.87,19.57
4,50.68,48.99,1.69,50.68,45.70,44.61,1.09,45.70,77.83,78.42,78.42,0.92,54.90,90.00,43.33,3509.65,26.70,23.91,20.19,22.04
5,53.66,53.55,0.11,53.66,46.59,46.09,0.50,46.59,115.11,117.96,117.96,0.93,56.79,85.81,37.53,2901.59,28.24,26.33,19.45,20.42
6,50.52,49.23,1.29,50.52,47.87,47.58,0.29,47.87,9.12,11.10,11.10,0.94,60.32,85.39,34.12,2506.68,27.98,29.47,20.89,18.73
7,55.54,50.38,5.17,55.54,46.90,45.92,0.97,46.90,151.40,65.85,151.40,0.96,54.82,85.64,39.03,3081.01,27.80,26.85,18.76,19.52
8,53.04,49.25,3.78,53.04,45.25,45.75,0.50,45.75,100.15,51.71,100.15,0.68,57.25,90.00,41.34,3275.28,26.27,25.99,19.72,20.91
9,54.12,50.83,3.29,54.12,47.25,45.23,2.02,47.25,120.55,90.33,120.55,0.77,57.80,90.00,40.87,3220.12,27.44,25.53,20.33,19.35
10,59.05,54.49,4.56,59.05,47.79,46.33,1.46,47.79,177.39,113.71,177.39,0.78,54.59,88.13,41.73,3354.47,28.62,27.18,19.17,18.96
