,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
0,34.28,36.69,2.41,36.69,25.60,26.22,0.62,26.22,24.29,24.70,0.41,0.07,57.37,90.00,35.50,26.38,26.14
1,34.73,29.62,5.11,34.73,22.02,26.06,4.04,26.06,21.50,21.96,0.46,0.07,46.98,79.40,34.77,22.34,26.24
2,39.56,38.28,1.28,39.56,28.31,23.51,4.80,28.31,26.26,23.55,2.71,0.08,52.41,90.00,40.21,27.43,24.09
3,27.82,34.88,7.06,34.88,24.54,28.82,4.29,28.82,22.06,26.12,4.06,0.05,55.94,90.00,36.86,26.03,28.21
4,32.86,35.34,2.48,35.34,27.34,27.71,0.37,27.71,24.33,25.51,1.18,0.07,56.22,85.63,32.23,27.83,28.85
5,31.46,36.62,5.16,36.62,24.97,24.69,0.29,24.97,22.83,23.47,0.63,0.06,48.39,79.38,33.40,26.65,25.20
6,29.76,33.89,4.13,33.89,25.65,21.44,4.21,25.65,22.02,21.17,0.85,0.07,53.33,90.00,39.34,25.85,21.75
7,30.52,31.52,0.99,31.52,26.06,26.18,0.12,26.18,24.40,22.58,1.83,0.01,55.64,87.90,35.05,26.51,26.24
8,31.40,28.99,2.42,31.40,25.93,25.24,0.69,25.93,24.04,22.69,1.35,0.04,49.10,78.74,32.10,27.49,26.48
9,30.75,33.16,2.41,33.16,25.72,28.31,2.59,28.31,23.64,24.96,1.32,0.04,58.06,90.00,34.84,26.06,29.35
10,33.97,32.41,1.55,33.97,27.48,28.67,1.19,28.67,25.89,25.25,0.64,0.07,61.06,90.00,31.99,28.27,29.48
11,35.40,36.05,0.65,36.05,27.54,25.88,1.67,27.54,24.57,23.97,0.61,0.10,57.10,90.00,35.76,28.10,25.40
12,33.43,31.14,2.29,33.43,23.92,25.87,1.95,25.87,22.52,23.77,1.24,0.08,53.91,87.32,36.10,24.10,27.47
13,36.71,26.61,10.10,36.71,26.41,23.68,2.73,26.41,25.20,21.68,3.52,0.06,52.03,82.35,32.92,27.89,24.78
14,32.51,36.35,3.84,36.35,26.46,26.03,0.43,26.46,23.71,23.85,0.14,0.06,45.74,79.87,36.42,27.51,26.62
15,30.26,34.91,4.65,34.91,27.18,27.63,0.45,27.63,23.99,25.45,1.45,0.08,60.69,90.00,32.34,28.76,27.76
16,28.17,33.23,5.06,33.23,24.92,27.27,2.35,27.27,22.19,24.44,2.25,0.04,57.80,88.37,33.46,26.49,27.40
17,34.13,39.66,5.54,39.66,26.19,30.47,4.28,30.47,24.65,27.11,2.46,0.10,60.61,90.00,32.42,26.91,30.97
18,28.38,35.02,6.63,35.02,24.84,26.66,1.83,26.66,22.11,24.68,2.57,0.05,55.18,88.55,36.13,25.57,26.60
19,37.33,34.68,2.65,37.33,30.20,27.20,3.01,30.20,26.13,24.61,1.52,0.06,58.02,89.17,34.05,29.38,27.04
20,37.74,31.73,6.01,37.74,26.50,26.31,0.19,26.50,24.30,23.85,0.45,0.08,61.37,90.00,31.70,27.61,27.31
21,33.87,23.39,10.48,33.87,27.57,21.53,6.03,27.57,26.10,19.54,6.56,0.02,56.49,90.00,36.33,28.47,22.67
22,34.09,31.08,3.01,34.09,26.89,25.46,1.43,26.89,24.20,22.53,1.67,0.05,59.57,90.00,33.41,27.80,26.68
23,33.43,32.99,0.44,33.43,25.93,24.94,0.99,25.93,23.78,23.52,0.27,0.07,50.67,85.20,37.06,27.17,26.09
24,28.22,34.23,6.01,34.23,23.99,25.90,1.91,25.90,21.70,24.39,2.69,0.02,56.57,90.00,36.26,24.84,27.17
25,31.25,34.32,3.08,34.32,24.61,27.66,3.06,27.66,23.10,25.34,2.24,0.07,50.10,79.94,32.34,25.51,28.11
26,39.02,34.07,4.94,39.02,28.29,27.24,1.05,28.29,27.01,23.92,3.09,0.09,51.27,81.15,32.44,28.86,26.49
27,28.85,28.92,0.06,28.92,21.37,26.03,4.66,26.03,20.53,22.80,2.27,0.04,53.11,84.03,33.57,22.49,27.47
28,34.55,35.33,0.77,35.33,28.76,28.89,0.13,28.89,24.98,25.25,0.27,0.06,50.40,81.85,33.97,28.80,28.09
29,33.00,32.62,0.38,33.00,27.83,26.15,1.68,27.83,24.71,23.54,1.17,0.04,50.39,81.88,34.02,27.24,27.07
30,36.16,26.54,9.62,36.16,26.89,23.64,3.25,26.89,24.75,21.55,3.20,0.03,54.89,89.74,37.59,26.08,24.54
31,29.87,35.14,5.26,35.14,25.34,27.29,1.94,27.29,22.12,25.18,3.07,0.02,53.98,85.30,34.03,26.02,27.51
32,27.69,38.57,10.88,38.57,25.34,26.53,1.19,26.53,22.77,25.13,2.35,0.07,52.10,84.28,34.79,26.84,27.83
33,33.07,29.68,3.39,33.07,26.40,24.93,1.48,26.40,24.02,22.00,2.02,0.02,52.77,88.12,37.98,26.79,24.13
34,27.98,30.87,2.89,30.87,23.50,27.59,4.10,27.59,21.80,24.23,2.42,0.02,59.43,89.01,32.55,24.33,28.71
35,31.41,35.27,3.85,35.27,21.95,26.48,4.53,26.48,21.64,25.15,3.51,0.05,48.79,90.00,43.65,22.00,27.36
36,33.67,34.42,0.75,34.42,27.75,26.18,1.58,27.75,24.82,23.91,0.91,0.04,39.62,74.45,36.81,26.66,26.54
37,29.34,40.68,11.34,40.68,26.96,25.87,1.10,26.96,23.20,25.06,1.87,0.08,57.03,89.84,35.66,27.41,26.13
38,37.33,32.50,4.83,37.33,29.29,28.44,0.85,29.29,25.91,25.50,0.41,0.06,49.14,77.68,31.00,29.35,29.11
39,29.92,30.56,0.64,30.56,25.91,21.29,4.62,25.91,23.49,20.59,2.90,0.06,47.09,80.68,35.94,26.69,21.88
