,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,SemiVar0,SemiVar1,Max SemiVar,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,s_1,s_2,p1,p2
0,8.51,8.38,0.14,8.51,8.91,8.69,0.22,8.91,0.73,0.94,0.94,0.73,8.42,13.96,6.80,553.36,4.49,4.10,3.58,3.78
1,9.31,9.16,0.15,9.31,9.04,9.20,0.16,9.20,1.03,0.83,1.03,0.78,7.24,12.38,6.23,514.52,4.43,5.90,3.91,2.52
2,9.18,9.16,0.02,9.18,9.33,9.15,0.18,9.33,1.32,1.58,1.58,0.87,9.47,13.89,5.85,442.62,4.40,6.24,3.85,2.37
3,9.26,9.13,0.13,9.26,9.39,9.23,0.15,9.39,1.14,0.78,1.14,0.78,9.67,14.57,6.35,489.48,4.66,6.36,3.77,2.44
4,9.29,9.04,0.25,9.29,9.44,9.07,0.37,9.44,0.87,1.51,1.51,0.63,7.70,12.61,6.07,491.58,6.11,4.64,2.45,3.75
5,8.77,9.44,0.67,9.44,8.98,9.29,0.31,9.29,2.31,1.16,2.31,0.70,9.39,16.00,8.02,661.38,4.29,4.51,3.97,3.82
6,8.79,8.24,0.55,8.79,8.96,8.94,0.02,8.96,1.13,2.78,2.78,0.67,9.48,16.00,7.94,652.21,4.29,4.40,3.96,3.93
7,8.89,9.19,0.30,9.19,9.08,9.40,0.32,9.40,1.61,1.67,1.67,0.81,9.30,14.99,7.08,568.48,4.52,5.31,3.80,3.10
8,9.16,8.59,0.57,9.16,8.85,9.03,0.19,9.03,1.17,2.41,2.41,0.75,8.74,12.89,5.46,415.25,5.26,6.28,3.06,2.35
9,8.97,8.89,0.08,8.97,9.12,9.21,0.09,9.21,1.31,1.69,1.69,0.80,6.87,11.23,5.39,436.24,5.06,6.02,3.18,2.35
10,9.10,9.07,0.03,9.10,9.29,9.25,0.04,9.29,0.85,1.11,1.11,0.82,9.30,12.83,4.93,353.25,6.19,5.81,2.42,2.63
11,8.67,8.99,0.32,8.99,9.12,9.08,0.04,9.12,1.58,1.74,1.74,0.68,9.31,16.00,8.09,668.92,4.57,4.39,3.84,3.99
12,9.08,8.88,0.20,9.08,9.37,9.16,0.22,9.37,0.85,0.82,0.85,0.79,7.55,12.19,5.77,463.89,5.10,5.76,3.41,2.76
13,8.66,8.98,0.32,8.98,9.05,9.11,0.07,9.11,1.28,1.31,1.31,0.78,8.91,13.92,6.35,500.91,6.01,4.36,2.41,3.79
14,9.05,9.26,0.21,9.26,9.38,9.31,0.06,9.38,1.37,0.90,1.37,0.81,9.19,13.35,5.53,415.36,4.69,6.58,3.65,2.00
15,8.94,9.71,0.77,9.71,9.11,9.84,0.73,9.84,0.79,0.68,0.79,0.94,11.48,16.00,6.24,451.53,4.92,5.64,3.74,3.05
16,8.71,8.82,0.12,8.82,9.27,8.83,0.43,9.27,2.11,1.32,2.11,0.64,8.28,13.99,6.96,571.56,4.30,5.40,3.81,2.91
17,9.15,8.69,0.46,9.15,9.13,8.88,0.25,9.13,0.69,1.16,1.16,0.79,9.74,14.96,6.68,521.99,5.82,4.20,2.60,3.98
18,9.46,9.21,0.25,9.46,9.20,9.34,0.13,9.34,0.79,0.69,0.79,0.79,7.81,13.75,7.12,594.50,5.05,4.33,3.37,3.87
19,9.02,9.19,0.17,9.19,9.20,9.24,0.04,9.24,0.70,0.89,0.89,0.89,9.41,14.97,6.97,555.97,4.74,4.84,3.69,3.61
20,9.02,8.99,0.03,9.02,9.13,9.32,0.18,9.32,0.72,1.34,1.34,0.86,10.15,14.98,6.35,482.89,4.46,5.35,3.85,3.16
21,8.94,9.02,0.08,9.02,9.06,9.19,0.13,9.19,1.79,1.13,1.79,0.71,9.40,14.93,6.94,552.70,5.22,4.68,3.21,3.70
22,9.12,8.90,0.23,9.12,9.02,9.15,0.13,9.15,0.51,1.50,1.50,0.86,8.86,14.83,7.30,597.32,4.62,4.71,3.56,3.55
23,8.64,8.97,0.33,8.97,9.17,8.98,0.19,9.17,1.00,1.08,1.08,0.89,10.40,16.00,7.16,559.86,4.46,4.23,3.75,3.83
24,8.91,8.87,0.04,8.91,9.05,8.93,0.12,9.05,1.86,2.36,2.36,0.74,9.60,14.95,6.78,534.20,6.32,4.64,2.20,3.63
25,8.79,9.03,0.23,9.03,9.26,8.83,0.43,9.26,1.44,0.70,1.44,0.75,9.72,15.69,7.43,597.41,4.56,4.68,3.78,3.76
26,8.70,9.48,0.79,9.48,9.12,9.18,0.06,9.18,1.52,0.75,1.52,0.69,7.24,11.27,5.12,403.17,5.46,6.06,2.88,2.33
27,8.95,8.55,0.40,8.95,9.13,8.81,0.32,9.13,0.73,1.83,1.83,0.67,8.03,14.73,7.90,669.74,4.29,4.13,3.89,4.06
28,9.47,9.22,0.25,9.47,9.26,9.26,0.00,9.26,1.11,1.28,1.28,0.74,9.01,14.04,6.38,502.61,4.88,6.19,3.58,2.51
29,9.38,8.86,0.52,9.38,9.63,9.18,0.45,9.63,1.12,0.98,1.12,0.72,10.88,16.00,6.75,511.92,6.28,4.37,2.34,3.90
30,9.44,9.20,0.24,9.44,9.36,9.34,0.02,9.36,1.06,1.00,1.06,0.83,8.25,13.63,6.62,538.55,4.42,4.63,3.94,3.77
31,8.63,9.04,0.41,9.04,8.82,9.12,0.30,9.12,1.03,0.92,1.03,0.78,9.97,14.80,6.33,483.33,4.12,6.10,3.99,2.55
32,9.37,9.48,0.11,9.48,9.42,9.65,0.23,9.65,1.46,1.34,1.46,0.83,12.56,16.00,5.32,343.63,6.48,6.40,2.45,2.48
33,8.73,8.67,0.05,8.73,8.96,9.08,0.11,9.08,0.99,2.48,2.48,0.79,8.53,14.06,6.81,553.00,6.07,3.94,2.36,4.18
34,8.99,8.67,0.32,8.99,9.28,9.16,0.13,9.28,0.76,1.08,1.08,0.79,11.47,14.94,5.19,347.00,6.05,5.40,2.39,2.91
35,8.51,9.19,0.68,9.19,8.85,9.27,0.42,9.27,1.01,1.00,1.01,0.95,9.72,15.60,7.34,588.14,4.56,4.61,3.73,3.81
36,9.13,8.81,0.32,9.13,9.17,9.22,0.05,9.22,1.18,1.16,1.18,0.68,10.60,15.60,6.59,499.57,5.49,5.26,3.04,3.05
37,9.08,9.21,0.13,9.21,9.13,9.25,0.12,9.25,1.25,1.20,1.25,0.78,10.51,15.99,7.06,548.01,4.87,4.70,3.40,3.59
38,9.51,8.93,0.59,9.51,9.23,8.97,0.26,9.23,0.88,0.58,0.88,0.88,9.69,14.02,5.79,433.60,6.21,4.17,2.26,3.99
39,9.41,9.77,0.36,9.77,9.09,9.38,0.29,9.38,1.43,1.58,1.58,0.93,7.76,11.10,4.51,334.13,5.04,6.33,3.32,2.40
40,9.02,9.05,0.02,9.05,9.15,9.09,0.05,9.15,1.80,1.53,1.80,0.79,9.70,14.62,6.38,492.19,4.44,6.16,3.77,2.34
41,9.21,9.04,0.17,9.21,9.54,9.13,0.41,9.54,1.12,1.36,1.36,0.76,9.17,14.36,6.56,518.77,6.29,4.37,2.28,3.97
42,9.50,9.14,0.36,9.50,9.24,9.66,0.42,9.66,0.51,1.13,1.13,0.90,10.23,13.99,5.29,375.83,5.43,5.88,3.05,2.84
43,9.09,8.98,0.10,9.09,9.19,9.04,0.15,9.19,1.71,0.86,1.71,0.63,9.81,16.00,7.66,619.14,4.79,5.00,3.69,3.41
44,8.68,9.29,0.61,9.29,8.72,9.32,0.59,9.32,1.56,1.60,1.60,0.86,9.50,15.95,7.87,644.18,4.30,4.47,3.96,3.77
45,9.05,9.17,0.12,9.17,9.16,9.41,0.25,9.41,1.30,1.27,1.30,0.81,9.89,15.83,7.42,594.10,4.32,5.67,3.97,2.90
46,8.80,8.49,0.31,8.80,9.11,8.94,0.17,9.11,1.11,1.13,1.13,0.73,7.99,12.51,5.72,452.50,6.26,4.68,2.19,3.70
47,8.26,8.96,0.70,8.96,8.40,8.84,0.43,8.84,2.73,1.47,2.73,0.62,9.38,14.41,6.43,502.28,4.73,6.24,3.41,2.21
48,8.79,8.90,0.11,8.90,9.02,8.88,0.14,9.02,1.26,0.56,1.26,0.62,8.70,15.03,7.64,633.88,4.40,4.63,3.78,3.72
49,8.70,8.82,0.13,8.82,8.92,9.04,0.11,9.04,1.70,0.74,1.70,0.77,8.96,14.65,7.03,568.63,4.51,4.81,3.66,3.46
50,8.35,9.01,0.66,9.01,8.89,9.21,0.33,9.21,1.75,0.99,1.75,0.83,10.42,14.85,5.99,442.60,5.07,6.02,3.21,2.40
51,8.84,9.08,0.24,9.08,8.94,9.06,0.12,9.06,1.24,0.90,1.24,0.83,8.96,14.34,6.72,537.73,5.02,4.32,3.36,3.93
52,8.53,8.95,0.42,8.95,8.83,8.93,0.10,8.93,1.24,0.96,1.24,0.79,10.72,15.34,6.23,461.86,4.60,5.92,3.70,2.51
53,8.92,9.14,0.22,9.14,8.84,9.37,0.53,9.37,1.09,0.87,1.09,0.84,9.78,13.29,4.98,351.30,5.98,5.91,2.65,2.69
