,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,s_1,s_2
0,4.73,5.32,0.58,5.32,4.00,4.53,0.53,0.00,8.12,13.86,6.96,573.76,3.87,4.69
1,6.94,5.29,1.65,6.94,5.83,4.48,1.35,0.01,9.09,13.44,5.71,435.04,6.18,4.67
2,4.74,4.74,0.01,4.74,3.89,3.82,0.07,0.00,8.78,16.00,8.53,721.53,4.07,3.99
3,5.24,6.48,1.24,6.48,4.59,5.53,0.94,0.01,6.85,11.68,5.86,483.26,4.73,5.75
4,5.71,5.65,0.06,5.71,4.81,4.74,0.07,0.00,9.79,15.64,7.31,584.42,4.83,4.79
5,5.48,5.76,0.28,5.76,4.61,4.82,0.21,0.00,9.24,14.59,6.73,534.84,4.76,4.91
6,4.94,5.28,0.34,5.28,3.91,4.25,0.34,0.00,10.01,16.00,7.49,599.41,4.20,4.51
7,5.23,6.21,0.98,6.21,4.41,5.19,0.78,0.00,8.47,13.62,6.42,514.63,4.38,5.51
8,6.84,6.75,0.09,6.84,5.81,5.69,0.12,0.04,6.63,10.18,4.55,355.22,6.01,5.53
9,5.35,5.49,0.15,5.49,4.57,4.71,0.14,0.00,8.78,14.81,7.34,602.69,4.59,5.00
10,5.54,5.68,0.13,5.68,4.62,4.89,0.28,0.00,8.95,15.20,7.59,624.73,4.64,4.92
11,5.41,6.62,1.21,6.62,4.46,5.63,1.17,0.01,8.96,13.71,6.10,475.32,4.62,6.02
12,5.57,5.01,0.56,5.57,4.83,4.23,0.60,0.01,9.78,16.00,7.69,622.47,4.90,4.22
13,5.37,5.61,0.24,5.61,4.35,4.59,0.24,0.00,9.80,16.00,7.67,619.73,4.26,4.69
14,5.44,5.51,0.08,5.51,4.47,4.59,0.12,0.00,9.34,16.00,8.06,666.06,4.49,4.80
15,5.15,5.65,0.50,5.65,4.32,4.80,0.48,0.00,10.08,15.80,7.23,572.02,4.38,4.92
16,5.26,5.32,0.06,5.32,4.42,4.42,0.00,0.00,7.88,13.95,7.25,606.96,4.42,4.41
17,5.61,7.08,1.47,7.08,4.69,5.99,1.31,0.01,9.20,13.64,5.82,444.16,4.67,6.35
18,5.00,4.95,0.05,5.00,4.01,4.14,0.13,0.00,9.12,15.20,7.45,608.20,4.14,4.28
19,5.43,5.73,0.30,5.73,4.46,4.60,0.15,0.00,9.18,15.39,7.59,621.18,4.50,4.65
20,6.91,5.97,0.93,6.91,5.79,4.90,0.88,0.03,7.67,11.92,5.40,425.12,6.19,5.14
21,5.49,6.80,1.31,6.80,4.71,5.81,1.10,0.03,9.23,13.58,5.74,435.43,4.94,6.24
22,5.33,5.48,0.16,5.48,4.39,4.76,0.37,0.00,9.62,15.50,7.32,588.20,4.52,4.62
23,6.01,5.35,0.67,6.01,5.18,4.30,0.87,0.01,9.06,14.70,7.00,564.10,5.33,4.57
24,5.32,5.35,0.03,5.35,4.30,4.42,0.12,0.00,9.71,16.00,7.75,629.23,4.38,4.36
25,5.67,5.06,0.61,5.67,4.70,4.07,0.63,0.00,9.49,15.73,7.66,623.56,4.91,4.30
26,7.18,6.23,0.95,7.18,6.20,5.24,0.96,0.01,11.26,15.57,6.00,430.97,6.30,5.26
27,6.68,5.04,1.64,6.68,5.75,4.19,1.56,0.01,9.21,14.67,6.84,545.89,6.17,4.33
28,5.31,6.73,1.42,6.73,4.32,5.68,1.37,0.02,7.68,12.14,5.62,446.77,4.13,6.25
29,5.62,6.35,0.73,6.35,4.43,5.55,1.13,0.00,9.37,14.12,6.16,475.38,4.71,5.90
30,6.92,5.66,1.26,6.92,5.71,4.68,1.03,0.00,9.16,13.46,5.68,430.69,6.02,4.90
31,5.58,5.27,0.31,5.58,4.58,4.38,0.20,0.00,8.72,14.73,7.32,600.80,4.55,4.30
32,7.22,5.22,2.00,7.22,6.23,4.51,1.72,0.07,8.08,12.30,5.43,422.02,6.44,4.50
33,5.89,5.31,0.57,5.89,4.93,4.42,0.51,0.00,9.52,14.63,6.54,510.82,4.86,4.61
34,5.81,5.18,0.62,5.81,4.72,4.30,0.42,0.00,9.27,14.83,6.96,556.67,5.10,4.25
35,7.02,6.68,0.34,7.02,5.86,5.89,0.02,0.08,11.18,14.21,4.70,302.50,6.12,6.22
36,4.91,5.08,0.17,5.08,4.17,4.09,0.09,0.01,9.75,16.00,7.71,624.95,4.40,4.12
37,5.68,5.12,0.56,5.68,4.84,4.30,0.54,0.00,8.77,14.59,7.13,581.43,5.10,4.29
38,7.12,6.88,0.25,7.12,6.08,5.80,0.29,0.06,8.61,11.57,4.25,295.74,6.33,6.26
39,7.28,5.50,1.77,7.28,6.06,4.39,1.67,0.02,8.97,14.27,6.64,529.63,6.12,4.45
40,7.04,4.82,2.22,7.04,6.10,4.04,2.05,0.01,9.46,14.52,6.48,506.03,6.45,4.15
41,6.74,6.69,0.04,6.74,5.79,5.73,0.06,0.00,8.46,12.11,4.92,364.84,6.01,6.12
42,5.46,6.80,1.33,6.80,4.54,5.80,1.26,0.04,10.40,14.93,6.09,452.68,4.52,6.05
43,5.86,5.14,0.72,5.86,4.75,4.29,0.46,0.00,10.88,16.00,6.75,512.25,5.20,4.48
44,5.18,6.45,1.27,6.45,4.40,5.36,0.95,0.00,10.54,16.00,7.04,545.70,4.40,5.34
45,5.75,6.00,0.25,6.00,4.74,5.14,0.40,0.00,6.72,12.39,6.68,567.16,4.53,5.13
46,6.80,5.46,1.34,6.80,5.74,4.71,1.03,0.03,8.47,12.42,5.22,395.02,6.26,4.89
47,5.30,5.14,0.16,5.30,4.41,4.41,0.01,0.00,8.48,14.84,7.63,635.27,4.47,4.39
48,6.55,6.98,0.42,6.98,5.72,5.95,0.23,0.01,7.73,11.61,5.04,388.02,5.98,6.21
49,6.97,5.01,1.96,6.97,6.04,4.19,1.84,0.04,9.22,14.25,6.41,503.05,6.44,4.21
50,6.46,5.30,1.16,6.46,5.53,4.41,1.12,0.00,9.10,14.39,6.65,528.91,5.78,4.42
51,5.00,7.09,2.09,7.09,4.38,6.02,1.64,0.09,10.20,14.39,5.72,419.01,4.75,6.53
52,5.83,5.78,0.05,5.83,4.99,4.92,0.08,0.00,7.83,13.32,6.66,549.07,5.02,5.01
53,5.31,5.91,0.60,5.91,4.47,5.00,0.52,0.00,9.47,15.51,7.46,603.76,4.58,4.99
54,5.99,6.52,0.52,6.52,4.91,5.50,0.59,0.01,9.25,13.80,5.94,455.40,5.02,5.81
55,7.04,5.48,1.57,7.04,5.95,4.69,1.26,0.03,10.29,14.71,5.97,442.46,6.36,4.63
56,5.53,5.58,0.05,5.58,4.62,4.71,0.09,0.01,8.24,13.30,6.30,506.37,4.57,4.81
57,6.81,4.73,2.08,6.81,5.81,3.86,1.96,0.02,11.20,15.95,6.43,475.29,6.21,4.04
58,6.77,5.63,1.14,6.77,5.81,4.85,0.95,0.06,8.00,12.06,5.26,405.45,6.20,5.05
59,5.26,5.15,0.11,5.26,4.33,4.18,0.15,0.00,8.84,15.19,7.67,634.45,4.49,4.19
60,5.00,6.81,1.80,6.81,4.18,5.93,1.76,0.01,8.35,13.74,6.65,539.60,4.14,6.10
61,6.10,6.10,0.00,6.10,5.12,5.23,0.11,0.00,7.97,12.81,6.03,483.83,5.36,5.29
62,5.06,4.99,0.07,5.06,4.33,4.37,0.04,0.00,6.63,12.47,6.84,584.34,4.44,4.36
63,5.16,5.29,0.13,5.29,4.26,4.46,0.20,0.00,7.75,13.98,7.40,623.21,4.30,4.71
64,5.06,6.20,1.14,6.20,4.30,5.44,1.14,0.00,10.27,15.51,6.78,524.35,4.27,5.66
65,4.92,5.09,0.17,5.09,4.20,4.27,0.07,0.00,8.54,14.76,7.50,622.34,4.48,4.56
66,5.81,6.73,0.92,6.73,5.14,5.77,0.63,0.01,9.46,13.76,5.71,429.50,5.28,6.04
67,5.24,4.90,0.34,5.24,4.31,3.95,0.36,0.00,9.20,16.00,8.18,679.81,4.37,4.24
68,5.06,5.15,0.09,5.15,4.17,4.38,0.21,0.00,8.65,14.47,7.12,581.91,4.38,4.63
69,5.51,5.16,0.35,5.51,4.66,4.33,0.32,0.00,9.36,15.45,7.49,608.84,4.65,4.37
70,5.29,5.49,0.20,5.49,4.52,4.25,0.27,0.00,8.16,13.35,6.42,519.69,4.57,4.38
71,5.37,7.08,1.71,7.08,4.33,5.87,1.54,0.03,8.76,13.74,6.29,497.90,4.60,6.20
72,6.37,5.23,1.14,6.37,5.27,4.41,0.86,0.01,8.97,13.95,6.32,497.50,5.59,4.52
73,5.42,5.78,0.36,5.78,4.55,4.86,0.31,0.00,8.04,13.77,6.93,572.53,4.71,4.70
74,6.04,5.40,0.64,6.04,5.10,4.47,0.63,0.00,7.96,13.02,6.25,506.00,5.13,4.60
75,5.41,6.77,1.37,6.77,4.46,5.79,1.34,0.00,9.00,13.89,6.25,489.91,4.47,6.37
76,4.98,5.37,0.39,5.37,4.08,4.46,0.38,0.00,9.14,15.48,7.71,633.58,4.12,4.44
77,6.90,5.68,1.22,6.90,5.89,4.75,1.14,0.09,10.24,14.22,5.51,397.72,6.32,4.72
78,6.53,6.85,0.33,6.85,5.67,5.79,0.12,0.08,8.77,12.21,4.76,343.95,5.88,5.95
79,6.91,5.05,1.86,6.91,5.88,4.33,1.55,0.03,11.00,15.57,6.22,457.14,6.23,4.51
80,5.74,5.56,0.18,5.74,4.74,4.71,0.03,0.02,11.44,16.00,6.27,455.84,5.18,4.83
81,7.04,5.06,1.98,7.04,6.09,4.36,1.72,0.01,7.41,11.92,5.62,450.63,6.29,4.57
82,7.17,7.09,0.07,7.17,6.05,6.06,0.01,0.09,8.06,11.01,4.16,295.05,6.45,6.40
83,4.95,4.56,0.38,4.95,4.09,3.83,0.25,0.00,8.12,15.23,8.33,711.27,3.94,4.02
84,6.27,4.93,1.34,6.27,5.44,4.32,1.12,0.02,7.27,11.98,5.80,470.78,5.56,4.41
85,5.49,5.36,0.14,5.49,4.59,4.54,0.06,0.00,9.76,15.33,7.04,557.27,4.55,4.62
86,5.35,6.88,1.53,6.88,4.61,5.89,1.28,0.00,7.23,11.95,5.80,471.73,4.60,6.15
87,5.03,5.43,0.39,5.43,4.16,4.57,0.42,0.00,9.05,16.00,8.31,694.74,4.08,4.77
88,6.49,6.38,0.12,6.49,5.24,5.44,0.20,0.04,10.86,14.77,5.54,391.13,5.47,5.76
89,6.15,6.34,0.19,6.34,5.19,5.41,0.22,0.00,9.52,15.02,6.93,550.05,5.17,5.71
90,5.07,5.78,0.71,5.78,4.25,5.03,0.78,0.00,8.56,14.11,6.83,554.97,4.31,5.10
91,5.34,4.89,0.46,5.34,4.62,4.00,0.62,0.00,8.98,15.12,7.49,614.34,4.61,4.23
92,5.05,7.02,1.97,7.02,4.19,6.08,1.89,0.03,8.08,13.20,6.33,512.03,4.19,6.39
93,5.05,5.35,0.30,5.35,4.08,4.53,0.45,0.00,7.67,13.86,7.34,618.67,4.33,4.45
94,5.04,7.27,2.24,7.27,4.31,6.15,1.84,0.03,10.89,15.60,6.34,470.34,4.16,6.39
95,5.56,5.28,0.29,5.56,4.67,4.41,0.26,0.00,8.59,14.46,7.15,586.39,4.87,4.60
96,5.59,5.61,0.02,5.61,4.90,4.77,0.13,0.00,8.07,13.68,6.81,560.18,5.07,4.76
97,6.69,6.27,0.42,6.69,5.61,5.23,0.38,0.08,10.41,13.85,5.00,343.43,6.09,5.40
98,5.46,5.39,0.06,5.46,4.70,4.56,0.14,0.01,10.45,16.00,7.12,555.41,5.01,4.59
99,4.61,5.66,1.04,5.66,3.74,4.86,1.12,0.01,9.68,16.00,7.77,632.12,3.75,4.97
100,5.45,5.51,0.06,5.51,4.41,4.62,0.21,0.00,9.68,15.82,7.59,614.05,4.47,4.57
101,4.99,6.91,1.92,6.91,3.98,5.80,1.82,0.01,8.98,14.25,6.62,527.00,4.19,6.31
102,5.21,6.62,1.41,6.62,4.31,5.82,1.51,0.04,10.98,16.00,6.66,501.69,4.39,5.79
103,7.07,5.85,1.22,7.07,5.99,4.90,1.09,0.03,9.57,13.98,5.85,441.45,6.42,4.94
104,5.50,5.55,0.05,5.55,4.47,4.46,0.01,0.00,10.23,15.94,7.24,570.30,4.58,4.36
105,5.56,4.94,0.62,5.56,4.64,4.17,0.46,0.00,7.33,14.05,7.82,672.11,4.48,4.37
106,7.46,5.37,2.08,7.46,6.46,4.62,1.84,0.07,7.76,12.54,5.95,478.12,6.45,4.57
107,7.19,5.64,1.55,7.19,6.08,4.68,1.40,0.06,7.61,11.84,5.37,423.00,6.41,4.97
108,5.68,5.34,0.34,5.68,4.96,4.43,0.53,0.00,8.20,14.42,7.45,621.74,5.09,4.79
109,5.56,5.43,0.13,5.56,4.82,4.68,0.14,0.00,8.45,14.72,7.53,626.45,4.90,4.48
