,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,SemiVar0,SemiVar1,Max SemiVar,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,s_1,s_2,p1,p2
0,54.22,53.48,0.74,54.22,45.33,46.11,0.77,46.11,289.18,315.03,315.03,0.95,56.80,90.00,41.72,3319.80,21.98,25.94,23.46,20.20
1,52.97,51.86,1.11,52.97,50.14,49.36,0.78,50.14,57.99,39.65,57.99,0.90,60.53,88.73,37.28,2819.99,30.26,30.69,20.12,18.48
2,58.37,63.73,5.36,63.73,48.72,48.98,0.26,48.98,148.41,515.01,515.01,0.79,55.25,90.00,43.03,3474.56,28.66,27.54,19.87,21.22
3,51.74,56.31,4.58,56.31,46.58,47.35,0.76,47.35,162.55,149.49,162.55,0.66,52.69,90.00,45.21,3730.96,23.41,24.67,23.61,22.29
4,54.87,54.79,0.08,54.87,46.13,46.38,0.26,46.38,156.42,112.59,156.42,0.34,52.85,90.00,45.08,3715.43,23.45,25.40,22.68,20.20
5,55.73,54.75,0.98,55.73,48.09,46.22,1.87,48.09,137.48,177.86,177.86,0.30,49.79,90.00,47.68,4020.98,26.77,22.71,21.08,23.21
6,55.27,55.21,0.06,55.27,46.62,46.76,0.14,46.76,129.84,177.18,177.18,0.92,60.58,90.00,38.51,2942.27,27.50,28.09,20.34,19.43
7,52.94,55.14,2.20,55.14,45.82,47.69,1.88,47.69,109.76,142.63,142.63,0.85,57.14,90.00,41.43,3285.50,26.48,27.70,19.86,19.44
8,56.26,54.62,1.64,56.26,46.75,45.79,0.96,46.75,151.49,242.67,242.67,0.37,48.91,90.00,48.43,4109.32,23.94,25.01,22.76,20.84
9,56.39,57.42,1.02,57.42,47.24,46.73,0.51,47.24,222.91,408.32,408.32,0.67,57.87,90.00,40.81,3213.20,26.56,27.39,20.59,19.06
10,51.82,53.95,2.13,53.95,45.29,46.43,1.14,46.43,100.11,210.66,210.66,0.64,51.33,90.00,46.37,3866.93,21.40,26.23,24.37,20.99
11,51.65,58.69,7.04,58.69,46.04,44.17,1.87,46.04,129.90,253.49,253.49,0.75,53.04,90.00,44.92,3696.13,26.86,19.97,19.35,23.74
12,51.96,53.21,1.25,53.21,49.05,48.01,1.04,49.05,34.79,86.78,86.78,0.94,61.53,90.00,37.70,2847.44,29.13,28.00,20.44,20.09
13,59.90,61.10,1.20,61.10,45.92,46.14,0.22,46.14,268.41,247.82,268.41,0.29,54.18,90.00,43.94,3581.53,25.93,25.12,20.59,20.68
14,61.01,62.30,1.29,62.30,47.96,46.44,1.52,47.96,321.10,657.42,657.42,0.78,59.30,90.00,39.59,3069.69,28.09,28.18,19.59,19.31
15,59.69,58.07,1.62,59.69,47.23,47.03,0.20,47.23,197.55,192.42,197.55,0.81,55.31,90.00,42.98,3468.75,25.09,27.37,22.07,20.64
16,62.16,62.54,0.38,62.54,48.31,49.16,0.85,49.16,215.60,266.89,266.89,0.84,53.74,90.00,44.32,3625.86,26.95,28.18,22.24,21.84
17,53.93,57.88,3.95,57.88,49.07,49.45,0.38,49.45,43.79,89.44,89.44,0.87,62.42,90.00,36.94,2758.09,29.67,28.52,19.52,21.42
18,53.75,55.86,2.11,55.86,46.42,46.12,0.30,46.42,183.77,214.85,214.85,0.97,55.82,90.00,42.55,3417.51,25.51,26.29,22.19,21.07
19,56.65,56.09,0.56,56.65,48.19,47.18,1.01,48.19,293.74,264.49,293.74,0.87,56.62,90.00,41.87,3337.85,27.29,28.16,21.58,20.16
20,51.80,48.65,3.15,51.80,46.15,44.51,1.64,46.15,44.91,76.61,76.61,0.96,54.98,90.00,43.27,3502.34,26.53,20.55,20.64,24.93
21,49.74,50.48,0.74,50.48,48.07,48.73,0.66,48.73,20.91,21.99,21.99,0.86,55.97,81.81,34.23,2583.49,29.03,28.65,19.83,21.15
22,51.98,52.77,0.79,52.77,46.29,46.31,0.02,46.31,103.96,126.20,126.20,0.39,55.32,90.00,42.98,3468.26,27.02,26.36,19.82,20.53
23,57.38,56.45,0.93,57.38,48.24,47.33,0.91,48.24,235.72,174.07,235.72,0.42,54.32,90.00,43.83,3568.43,28.24,25.91,20.00,21.49
24,53.21,52.97,0.24,53.21,47.16,47.63,0.47,47.63,60.71,88.41,88.41,0.86,62.17,90.00,37.15,2782.89,25.13,28.33,22.47,19.45
25,52.71,54.33,1.63,54.33,46.67,46.93,0.27,46.93,132.74,228.35,228.35,0.88,57.78,90.00,40.89,3222.22,26.83,26.58,21.68,21.75
26,53.32,56.75,3.44,56.75,47.42,47.75,0.33,47.75,47.26,120.00,120.00,0.85,59.07,90.00,39.79,3093.49,28.64,28.64,19.85,19.35
