,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
0,36.45,39.28,2.84,39.28,25.64,25.33,0.31,25.64,23.26,24.52,1.26,0.08,50.51,90.00,42.01,25.14,25.20
1,40.08,33.06,7.03,40.08,26.53,26.88,0.35,26.88,25.30,24.08,1.22,0.05,56.95,90.00,35.90,25.93,27.15
2,33.72,37.79,4.08,37.79,25.28,27.18,1.91,27.18,23.23,24.89,1.66,0.04,53.93,90.00,38.76,24.73,26.93
3,27.52,30.67,3.15,30.67,23.23,26.47,3.25,26.47,21.47,23.49,2.01,0.02,52.96,90.00,39.69,24.17,26.54
4,30.76,35.12,4.36,35.12,23.57,26.11,2.53,26.11,21.52,24.08,2.56,0.05,55.78,90.00,37.01,24.40,26.79
5,34.38,34.92,0.53,34.92,24.81,26.54,1.73,26.54,23.41,24.19,0.78,0.06,55.92,90.00,36.87,25.86,26.79
6,35.82,34.64,1.18,35.82,25.63,22.49,3.14,25.63,24.70,22.69,2.01,0.05,57.26,90.00,35.61,27.19,22.94
7,32.33,35.95,3.62,35.95,26.76,26.36,0.40,26.76,24.48,24.80,0.32,0.05,53.73,90.00,38.96,27.59,25.61
8,31.74,34.02,2.28,34.02,24.69,25.12,0.44,25.12,22.61,23.48,0.86,0.03,55.70,90.00,37.08,24.60,25.87
9,29.11,26.94,2.18,29.11,25.69,22.73,2.96,25.69,22.59,20.32,2.27,0.01,57.55,90.00,35.33,26.69,23.77
10,30.24,31.93,1.69,31.93,23.86,25.32,1.47,25.32,22.53,23.72,1.19,0.04,53.69,90.00,39.00,24.55,25.96
11,41.91,35.75,6.17,41.91,28.32,23.67,4.65,28.32,26.16,22.58,3.57,0.08,53.11,90.00,39.54,27.87,23.95
12,36.47,33.04,3.43,36.47,28.19,24.97,3.22,28.19,25.07,23.18,1.89,0.06,54.87,90.00,37.87,27.16,24.76
13,34.40,33.73,0.67,34.40,26.09,25.62,0.47,26.09,23.70,23.21,0.49,0.06,55.79,90.00,37.00,26.12,24.59
14,35.43,31.18,4.25,35.43,28.28,22.82,5.46,28.28,25.86,22.06,3.81,0.03,54.48,90.00,38.24,28.51,23.15
15,35.28,29.76,5.53,35.28,24.24,21.58,2.65,24.24,23.33,20.92,2.41,0.04,52.57,90.00,40.06,25.26,21.92
16,35.83,38.19,2.36,38.19,19.30,31.11,11.82,31.11,20.22,28.21,7.98,0.05,50.30,90.00,42.22,19.55,31.13
17,28.07,31.43,3.36,31.43,25.29,26.29,1.00,26.29,21.94,23.01,1.07,0.05,65.19,90.00,28.07,26.20,27.09
18,36.81,38.21,1.40,38.21,25.60,26.87,1.27,26.87,24.11,24.97,0.86,0.08,52.57,90.00,40.06,25.83,26.51
19,40.27,37.72,2.55,40.27,26.12,22.93,3.19,26.12,25.39,21.98,3.41,0.05,49.21,90.00,43.25,26.01,21.59
20,43.36,38.35,5.01,43.36,30.46,27.41,3.05,30.46,28.51,25.99,2.52,0.08,59.72,90.00,33.27,31.04,28.07
21,33.70,34.69,0.99,34.69,28.08,30.40,2.33,30.40,24.61,25.87,1.26,0.04,64.83,90.00,28.41,29.18,30.63
