,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,SemiVar0,SemiVar1,Max SemiVar,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,a_1,a_2,b_1,b_2,p1,p2
0,8.52,8.68,0.16,8.68,8.58,8.58,0.00,8.58,1.04,1.35,1.35,0.57,2.92,8.62,6.14,570.21,0.95,0.88,-3.36,-4.88,4.03,2.08
1,9.46,8.82,0.64,9.46,8.90,8.71,0.19,8.90,0.51,0.92,0.92,0.68,3.77,8.00,4.79,422.54,0.63,1.00,-4.11,-3.88,0.99,4.22
2,8.62,8.87,0.25,8.87,8.79,8.68,0.10,8.79,2.25,0.32,2.25,0.30,3.13,8.92,6.25,578.53,0.95,0.95,-3.75,-5.06,3.74,2.45
3,8.83,8.51,0.32,8.83,8.96,8.74,0.22,8.96,2.23,1.74,2.23,0.45,2.58,7.36,5.17,478.02,0.96,0.90,-4.70,-4.57,2.90,2.51
4,8.83,8.92,0.09,8.92,8.84,8.41,0.43,8.84,0.82,1.51,1.51,0.75,2.95,7.69,5.19,474.52,0.90,0.81,-3.49,-4.58,3.61,1.86
5,8.32,8.54,0.23,8.54,8.61,8.91,0.30,8.91,1.73,2.31,2.31,0.56,2.94,9.05,6.55,611.03,0.95,0.98,-4.05,-4.65,3.45,2.98
6,9.34,8.68,0.67,9.34,9.08,8.77,0.31,9.08,0.65,1.42,1.42,0.67,3.26,6.30,3.52,303.58,0.74,0.91,-5.07,-4.84,1.19,2.68
7,8.87,9.00,0.13,9.00,8.80,8.55,0.25,8.80,1.32,1.12,1.32,0.68,3.25,8.00,5.24,474.71,0.97,0.86,-4.00,-5.17,3.64,1.59
8,9.06,8.38,0.68,9.06,8.86,8.47,0.39,8.86,0.49,3.10,3.10,0.64,2.71,8.00,5.70,528.88,0.71,0.95,-4.37,-3.34,1.29,4.16
9,8.43,8.95,0.52,8.95,8.91,8.92,0.01,8.92,1.26,0.62,1.26,0.78,4.31,8.00,4.34,369.16,0.93,0.79,-4.48,-4.94,2.94,1.39
10,8.95,8.24,0.71,8.95,8.75,8.71,0.04,8.75,1.07,2.54,2.54,0.60,2.56,8.06,5.88,550.08,0.91,0.95,-4.41,-4.02,2.76,3.32
11,8.89,8.65,0.24,8.89,8.86,8.39,0.47,8.86,1.86,1.07,1.86,0.56,3.43,7.99,5.08,456.36,0.96,0.83,-4.08,-5.04,3.49,1.57
12,8.36,8.65,0.29,8.65,8.23,8.58,0.34,8.58,0.52,1.82,1.82,0.82,2.80,8.00,5.62,519.78,0.88,0.96,-5.15,-3.80,1.79,3.74
13,8.49,9.14,0.66,9.14,8.89,8.86,0.04,8.89,4.22,0.67,4.22,0.45,3.51,8.99,6.00,547.71,0.99,0.91,-4.33,-4.51,3.49,2.54
14,8.17,9.10,0.94,9.10,8.38,8.55,0.17,8.55,1.32,1.31,1.32,0.65,3.38,8.00,5.13,462.46,0.96,0.86,-4.47,-4.65,3.00,2.04
15,9.23,8.96,0.27,9.23,9.01,8.88,0.13,9.01,0.83,0.49,0.83,0.58,3.92,8.00,4.67,408.37,0.80,0.98,-5.24,-4.46,1.30,3.46
16,8.44,8.40,0.04,8.44,8.42,8.53,0.10,8.53,0.72,2.38,2.38,0.66,2.70,8.30,6.00,559.59,0.89,0.92,-3.82,-4.38,3.17,2.85
17,8.51,8.97,0.46,8.97,8.71,9.05,0.34,9.05,2.20,1.14,2.20,0.68,3.69,8.40,5.26,470.69,0.89,0.88,-4.01,-4.68,3.04,2.22
18,8.54,8.92,0.37,8.92,8.47,8.68,0.21,8.68,1.74,1.78,1.78,0.59,2.68,8.53,6.25,584.86,0.99,0.90,-3.74,-4.90,3.99,2.16
19,8.54,8.49,0.05,8.54,8.58,8.54,0.04,8.58,1.32,1.52,1.52,0.65,2.64,7.09,4.84,444.73,0.87,0.89,-4.08,-4.67,2.63,2.29
20,8.03,8.91,0.89,8.91,8.66,8.66,0.01,8.66,1.85,0.74,1.85,0.71,2.92,7.74,5.26,481.97,0.94,0.82,-3.57,-4.87,3.77,1.61
21,8.30,9.29,0.99,9.29,8.88,8.77,0.11,8.88,2.99,0.80,2.99,0.60,2.97,8.09,5.56,511.73,0.97,0.86,-3.95,-4.95,3.66,1.85
22,9.27,8.65,0.62,9.27,8.87,8.75,0.12,8.87,1.06,1.40,1.40,0.74,5.03,9.64,5.36,461.01,0.85,0.97,-5.03,-4.38,1.84,3.28
23,8.49,8.86,0.37,8.86,8.55,8.61,0.06,8.61,1.10,0.86,1.10,0.71,2.93,7.49,5.00,455.65,0.95,0.85,-3.99,-4.78,3.42,1.87
24,8.81,8.66,0.15,8.81,8.67,8.86,0.19,8.86,0.87,1.35,1.35,0.84,2.73,8.00,5.68,527.26,0.84,0.93,-5.15,-3.17,1.61,4.20
