,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
0,5.43,5.33,0.10,5.43,5.51,4.92,0.58,5.51,4.43,4.07,0.37,0.00,2.31,8.64,6.45,0.93,0.90,-3.91,-3.42
1,7.00,7.04,0.04,7.04,6.74,7.16,0.42,7.16,5.58,6.09,0.51,0.05,3.30,6.44,3.31,0.81,0.85,-4.58,-5.28
2,7.03,6.80,0.23,7.03,6.82,6.57,0.25,6.82,5.72,5.66,0.06,0.07,3.15,6.37,3.38,0.86,0.82,-5.08,-4.72
3,5.65,5.68,0.03,5.68,5.59,5.58,0.01,5.59,4.57,4.61,0.04,0.00,2.41,8.14,5.85,0.86,0.90,-3.67,-3.81
4,5.81,6.28,0.47,6.28,5.70,5.94,0.23,5.94,4.79,5.08,0.29,0.00,4.18,9.13,5.16,0.89,0.89,-4.28,-4.28
5,6.42,6.17,0.26,6.42,5.80,6.19,0.39,6.19,5.08,5.21,0.12,0.01,3.03,7.53,4.65,0.82,0.90,-4.01,-4.64
6,6.19,6.25,0.06,6.25,6.28,6.19,0.10,6.28,5.12,5.16,0.04,0.01,2.21,6.74,4.64,0.85,0.88,-4.15,-4.38
7,7.43,7.04,0.39,7.43,6.85,6.91,0.06,6.91,5.84,5.82,0.02,0.07,1.93,5.19,3.35,0.80,0.77,-4.52,-4.30
8,6.52,6.54,0.02,6.54,6.25,6.23,0.02,6.25,5.19,5.33,0.14,0.03,2.57,7.22,4.78,0.85,0.80,-4.17,-3.58
9,6.09,6.29,0.20,6.29,5.81,6.11,0.30,6.11,4.88,5.22,0.35,0.02,2.63,7.38,4.88,0.90,0.86,-4.41,-4.34
10,6.42,6.50,0.08,6.50,6.38,6.09,0.29,6.38,5.27,5.21,0.07,0.04,2.93,7.70,4.91,0.87,0.81,-4.20,-3.73
11,6.43,5.96,0.47,6.43,6.46,6.21,0.25,6.46,5.42,5.04,0.38,0.00,3.76,8.23,4.65,0.88,0.87,-4.52,-4.33
12,6.54,6.45,0.09,6.54,6.20,6.44,0.25,6.44,5.28,5.41,0.13,0.01,3.41,7.66,4.42,0.81,0.90,-4.00,-4.83
13,5.15,5.15,0.00,5.15,5.12,4.98,0.14,5.12,4.14,4.28,0.13,0.00,3.06,9.38,6.47,0.85,0.87,-3.21,-3.47
14,6.11,6.45,0.34,6.45,5.80,6.23,0.44,6.23,4.99,5.24,0.24,0.05,2.54,6.89,4.48,0.88,0.84,-4.41,-4.11
15,5.39,5.73,0.34,5.73,5.39,5.73,0.34,5.73,4.52,4.60,0.09,0.01,3.09,9.16,6.23,0.91,0.95,-3.80,-4.23
16,6.19,6.12,0.06,6.19,5.94,6.13,0.19,6.13,5.06,5.15,0.09,0.00,2.95,7.70,4.90,0.80,0.90,-3.64,-4.41
17,6.60,6.48,0.12,6.60,6.46,6.15,0.31,6.46,5.43,5.35,0.08,0.02,3.50,8.00,4.67,0.85,0.94,-4.23,-4.99
