,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
0,34.29,38.02,3.73,38.02,29.71,29.43,0.28,29.71,25.76,26.47,0.71,0.05,29.34,59.14,31.26,0.88,0.88,-23.73,-23.03
1,35.47,36.28,0.81,36.28,28.70,30.26,1.57,30.26,24.28,26.26,1.98,0.07,17.65,48.89,32.11,0.85,0.95,-20.26,-26.22
2,36.72,34.48,2.24,36.72,32.21,29.19,3.02,32.21,26.89,25.02,1.87,0.02,17.75,46.64,29.78,0.89,0.91,-24.30,-24.47
3,31.97,36.99,5.02,36.99,26.82,29.92,3.10,29.92,22.78,25.89,3.11,0.06,20.06,50.33,31.28,0.83,0.90,-19.66,-24.30
4,39.98,35.61,4.38,39.98,30.62,27.53,3.10,30.62,26.69,24.61,2.08,0.07,18.86,50.44,32.52,0.87,0.84,-23.67,-19.77
5,40.28,31.38,8.90,40.28,31.62,27.62,4.00,31.62,27.15,23.04,4.11,0.04,19.43,49.50,31.03,0.93,0.83,-27.36,-18.55
6,37.73,36.46,1.28,37.73,29.96,28.39,1.57,29.96,25.71,24.83,0.88,0.09,25.46,56.84,32.65,0.88,0.87,-22.60,-21.65
7,33.52,40.02,6.50,40.02,27.24,29.67,2.43,29.67,23.79,25.59,1.80,0.08,16.07,45.42,30.15,0.88,0.82,-22.14,-19.90
8,37.82,33.37,4.44,37.82,29.82,28.58,1.24,29.82,25.96,25.64,0.31,0.08,30.25,60.20,31.46,0.87,0.88,-23.15,-23.58
9,39.39,35.83,3.56,39.39,31.06,28.91,2.15,31.06,27.04,24.65,2.38,0.03,21.10,51.28,31.23,0.88,0.92,-23.37,-25.27
10,40.37,39.80,0.57,40.37,34.39,28.98,5.42,34.39,28.71,24.67,4.05,0.08,20.30,47.77,28.49,0.88,0.78,-27.28,-17.80
11,33.78,38.06,4.28,38.06,29.26,29.24,0.02,29.26,24.58,25.50,0.92,0.04,26.94,57.20,31.61,0.89,0.89,-23.17,-23.72
12,37.08,36.42,0.65,37.08,30.64,29.13,1.51,30.64,26.58,24.95,1.63,0.02,32.41,62.42,31.63,0.88,0.85,-24.23,-21.79
13,39.95,35.91,4.04,39.95,27.21,28.41,1.21,28.41,24.20,22.94,1.26,0.08,30.97,65.87,36.44,0.86,0.85,-18.76,-19.35
14,36.49,38.27,1.78,38.27,27.34,31.69,4.35,31.69,24.05,27.00,2.96,0.08,19.28,49.93,31.62,0.84,0.89,-19.91,-25.25
15,32.28,39.80,7.52,39.80,27.62,32.61,4.99,32.61,23.21,27.25,4.04,0.05,23.46,52.13,29.84,0.82,0.89,-18.85,-26.06
16,36.51,33.01,3.50,36.51,28.84,28.37,0.47,28.84,25.58,24.90,0.68,0.03,29.21,60.09,32.34,0.86,0.89,-21.57,-23.29
17,38.56,35.81,2.75,38.56,30.72,26.11,4.61,30.72,27.09,24.58,2.50,0.10,21.03,50.82,30.84,0.90,0.84,-25.07,-20.07
18,39.74,39.43,0.31,39.74,29.43,31.32,1.88,31.32,25.81,26.13,0.33,0.11,16.46,46.71,31.08,0.89,0.86,-23.65,-22.62
19,39.40,35.81,3.60,39.40,32.76,27.68,5.08,32.76,28.25,24.13,4.12,0.04,20.57,50.50,30.96,0.92,0.85,-26.73,-21.31
20,35.10,34.86,0.24,35.10,30.01,29.61,0.40,30.01,25.39,24.93,0.46,0.05,19.68,49.07,30.38,0.89,0.82,-24.50,-19.58
21,43.75,36.23,7.52,43.75,29.10,30.92,1.81,30.92,26.87,25.10,1.77,0.07,22.20,55.30,34.21,0.90,0.88,-23.51,-23.27
22,32.82,35.29,2.47,35.29,27.79,28.30,0.50,28.30,24.30,24.74,0.44,0.04,24.16,54.66,31.70,0.92,0.89,-23.99,-22.92
23,32.87,39.02,6.15,39.02,27.17,29.77,2.60,29.77,24.04,26.76,2.72,0.07,27.63,57.95,31.70,0.86,0.86,-21.86,-22.21
